date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,116.38,115.06,114.86,116.4,1069056.0
2014-01-02,115.24,115.21,115.04,115.65,741692
2014-01-05,115.49,114.85,114.81,116.3,877722
2014-01-06,115.13,115.48,114.65,115.82,941890
2014-01-07,115.47,115.8,115.34,116.134,2240896.0
2014-01-08,116.38,116.52,115.99,116.85,1795892.0
2014-01-09,116.38,116,115.66,116.46,837382
2014-01-12,115.68,114.35,113.89,116.15,1118604.0
2014-01-13,114.01,114.8,113.85,115,834313
2014-01-14,115.1,115.02,114.97,115.81,1001797.0
2014-01-15,114.94,114.67,113.79,115.275,1090934.0
2014-01-16,113.99,111.99,110.26,114.76,2672120.0
2014-01-20,110.33,111.77,110,112.57,2490966.0
2014-01-21,111.83,112.6,111.65,112.67,940068
2014-01-22,112.11,111.85,111.31,112.38,1291026.0
2014-01-23,111.16,111.27,110.87,112.015,1303453.0
2014-01-26,111.16,110.66,110.61,112.23,1885893.0
2014-01-27,110.98,111.25,110.25,111.35,986113
2014-01-28,110.43,111.69,110.28,112.665,1452209.0
2014-01-29,112.19,112.8,111.755,113.03,692165
2014-01-30,111.24,111.51,111.23,112.28,840444
2014-02-02,111.36,109.3,109.16,111.83,1396768.0
2014-02-03,110.1,110.84,109.46,111.071,1261277.0
2014-02-04,110.59,111.35,110.46,111.9,683331
2014-02-05,111.5,112.42,111.35,112.49,567150
2014-02-06,112.81,113,112.41,113.84,771058
2014-02-09,112.86,112.94,112.19,113.35,537149
2014-02-10,112.91,113.99,112.395,114.26,565531
2014-02-11,113.88,113.19,112.87,114.79,942304
2014-02-12,112.59,113.36,111.7,113.54,822942
2014-02-13,113.44,114.06,113.44,114.13,344845
2014-02-17,114.31,113.73,113.52,114.7,384461
2014-02-18,113.92,112.24,112.13,114.24,942158
2014-02-19,112.45,112.43,111.3,113.0999,710167
2014-02-20,112.39,113.51,112.23,113.748,770250
2014-02-23,113.39,114.9,113.05,115.55,724065
2014-02-24,114.69,114.49,113.991,115.04,750904
2014-02-25,114.69,115.72,113.81,116.27,659043
2014-02-26,115.01,115.68,113.99,115.68,791674
2014-02-27,115.74,116.59,115.62,117.72,813866
2014-03-02,115.45,115.68,114.77,115.96,532417
2014-03-03,116.39,117.84,116.39,117.98,702572
2014-03-04,117.65,117.36,116.92,117.74,687121
2014-03-05,117.73,118.91,117.73,119.3,730794
2014-03-06,119.94,119.38,118.71,120.66,968809
2014-03-09,119.06,119.35,119,119.93,591049
2014-03-10,119.38,118.19,117.33,119.5,901256
2014-03-11,117.71,118.36,117.21,118.44,566394
2014-03-12,118.86,117.3,116.88,119,700642
2014-03-13,117.01,117.43,116.92,118.18,658372
2014-03-16,117.85,117.71,117.12,118.29,576369
2014-03-17,118.21,118.02,117.42,118.38,491588
2014-03-18,118.04,118.27,117.41,119.35,761509
2014-03-19,117.89,120.96,117.466,121.07,1166651.0
2014-03-20,121.84,121.13,120.86,123.04,1404328.0
2014-03-23,121.39,121.05,120.43,122.554,825329
2014-03-24,121.47,121.17,120.42,121.76,628354
2014-03-25,121.6,120.98,120.92,122.13,679503
2014-03-26,120.77,119.56,119.44,121.3,1056942.0
2014-03-27,120,120.44,119.52,120.97,673053
2014-03-30,120.98,121.3,120.58,121.49,680986
2014-03-31,121.8,121.77,120.68,121.91,621084
2014-04-01,121.96,121.24,120.92,121.96,600633
2014-04-02,121.3,121.84,120.9,121.91,541540
