date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,4.33,4.43,4.28,4.5,53979
2021-06-01,4.43,5,4.34,5.1949,1649399.0
2021-06-02,5.02,4.38,4.35,5.43,880629
2021-06-03,4.4,4.25,4.25,4.49,193771
2021-06-06,4.2,4.14,4.12,4.269,98937
2021-06-07,4.12,4.27,4.1,4.37,104739
2021-06-08,4.29,4.19,4.1681,4.37,49150
2021-06-09,4.19,4.18,4.07,4.29,125552
2021-06-10,4.18,4.28,4.18,4.38,84598
2021-06-13,4.28,4.42,4.15,4.81,248189
2021-06-14,4.41,4.21,4.2,4.41,85654
2021-06-15,4.22,4.25,4.2,4.27,132542
2021-06-16,4.23,4.05,4.03,4.27,86949
2021-06-17,4.03,4.08,4.01,4.1276,84087
2021-06-20,4.11,4.065,4.01,4.1486,39930
2021-06-21,4.05,4.04,4.01,4.13,23683
2021-06-22,4.02,4.12,4.01,4.14,19646
2021-06-23,4.12,4.24,4.105,4.26,28809
2021-06-24,4.2,4.26,4.1501,4.33,50257
2021-06-27,4.34,4.29,4.1807,4.34,20369
2021-06-28,4.25,4.3647,4.23,4.51,147892
2021-06-29,4.34,4.32,4.1731,4.48,28044
2021-06-30,4.38,4.38,4.3,4.48,38583
2021-07-01,4.4,4.39,4.2101,4.46,26483
2021-07-05,4.46,4.4,4.3087,4.46,49299
2021-07-06,4.46,4.45,4.28,4.46,68118
2021-07-07,4.46,4.38,4.22,4.46,105376
2021-07-08,4.33,4.36,4.25,4.42,43639
2021-07-11,4.4,4.38,4.3,4.4,22032
2021-07-12,4.25,4.38,4.25,4.43,16370
2021-07-13,4.38,4.32,4.2301,4.38,24957
2021-07-14,4.35,4.66,4.3301,5.18,800383
2021-07-15,4.5,4.09,4.05,4.99,128056
2021-07-18,4.03,3.89,3.62,4.09,108299
2021-07-19,3.89,3.89,3.69,3.97,49719
2021-07-20,3.88,3.99,3.88,4.07,23992
2021-07-21,4,3.93,3.93,4.05,15572
2021-07-22,3.99,4.12,3.8,4.16,54780
2021-07-25,4.09,3.9,3.9,4.0915,28874
2021-07-26,3.88,4.08,3.7501,4.1,41372
2021-07-27,4.09,4.17,3.9658,4.19,19652
2021-07-28,4.17,4.12,4.045,4.17,8877
2021-07-29,4.14,4.09,4.03,4.23,20983
2021-08-01,4.11,4.21,4.0955,4.22,8906
2021-08-02,4.25,4.25,4.1,4.38,30385
2021-08-03,4.25,4.2,4.121,4.31,21993
2021-08-04,4.16,4.24,4.05,4.26,14096
2021-08-05,4.23,4.53,4.23,4.58,28547
2021-08-08,4.55,4.49,4.4501,4.59,48284
2021-08-09,4.5,4.48,4.4,5.7,1100551.0
2021-08-10,4.43,4.07,4.03,4.52,89334
2021-08-11,4.04,4.09,4.04,4.1526,21407
2021-08-12,4.06,3.85,3.85,4.09,62285
2021-08-15,3.83,3.54,3.51,3.83,114732
2021-08-16,3.5,3.64,3.5,3.68,25804
2021-08-17,3.58,3.65,3.55,3.72,42799
2021-08-18,3.6,3.65,3.56,3.8,77997
2021-08-19,3.7,3.6,3.6,3.7522,28051
2021-08-22,3.6,3.67,3.59,3.7,19797
2021-08-23,3.69,3.8,3.68,3.83,22088
2021-08-24,3.8,3.7,3.7,3.8,22931
2021-08-25,3.7,3.69,3.645,3.79,20644
2021-08-26,3.704,3.8,3.704,3.95,97800
2021-08-29,3.86,3.87,3.76,3.92,33305
2021-08-30,3.87,3.97,3.81,4.0689,79365
2021-08-31,4.02,4.35,3.96,4.35,115091
2021-09-01,4.34,4.12,4.11,4.39,79977
2021-09-02,4.12,3.99,3.986,4.16,54564
2021-09-06,4,3.9,3.9,4.13,17123
2021-09-07,3.9,3.92,3.8301,4.06,114914
2021-09-08,3.88,4.06,3.88,4.14,160810
2021-09-09,4.04,3.92,3.9192,4.06,20754
2021-09-12,3.93,3.9,3.8342,3.99,78589
2021-09-13,3.874,3.91,3.82,3.9299,45290
2021-09-14,3.87,3.83,3.83,4,10883
2021-09-15,3.835,3.86,3.8301,3.96,14836
2021-09-16,3.9,4,3.8401,4,37316
2021-09-19,3.96,3.83,3.74,4,68704
2021-09-20,3.6416,3.85,3.6042,3.97,25968
2021-09-21,3.83,3.8,3.73,3.93,20093
2021-09-22,3.79,3.91,3.7569,3.91,10672
2021-09-23,3.7938,3.98,3.7938,4.08,65639
2021-09-26,4.0162,4,3.94,4.04,22144
2021-09-27,3.98,3.96,3.92,4.04,10069
2021-09-28,4.04,3.96,3.93,4.04,7445
2021-09-29,3.96,4.15,3.9,4.32,87420
2021-09-30,4.17,4.21,4.05,4.3,16045
2021-10-03,4.28,4.18,4.1001,4.3,32899
2021-10-04,4.14,4.18,4.0701,4.3,21618
2021-10-05,4.105,4.48,4.105,4.53,90239
2021-10-06,4.53,4.33,4.3,4.55,32864
2021-10-07,4.39,4.49,4.33,4.49,19147
2021-10-10,4.5,4.5,4.23,4.58,23303
2021-10-11,4.5796,4.38,4.3401,4.59,13171
2021-10-12,4.36,4.31,4.29,4.44,11344
2021-10-13,4.29,4.4,4.25,4.4,9403
2021-10-14,4.44,4.33,4.28,4.49,9748
2021-10-17,4.16,4.25,4.16,4.37,20311
2021-10-18,4.3,4.15,4.15,4.39,13459
2021-10-19,4.2,4.25,4.18,4.25,5085
2021-10-20,4.22,4.19,4.15,4.22,8740
2021-10-21,4.17,4.09,4.06,4.2,10957
2021-10-24,4.15,4.16,3.95,4.24,34398
2021-10-25,4.0213,4.08,3.995,4.2,25540
2021-10-26,4,3.98,3.98,4.08,14868
2021-10-27,4.0114,4.11,4.0114,4.18,9446
2021-10-28,4.13,4.08,4.0515,4.2,9238
2021-10-31,4.08,4.26,4.07,4.35,46399
2021-11-01,4.26,4.27,4.12,4.35,17158
2021-11-02,4.25,4.49,4.25,4.54,45858
2021-11-03,4.51,4.4,4.32,4.55,9537
2021-11-04,4.3,4.51,4.3,4.53,7969
2021-11-07,4.45,4.3,4.26,4.49,19210
2021-11-08,4.31,4.41,4.21,4.41,7621
2021-11-09,4.27,4.18,4.18,4.4,16790
2021-11-10,4.15,4.13,4.0782,4.24,7255
2021-11-11,4.2481,4.25,4.14,4.25,11476
2021-11-14,4.295,4.27,4.16,4.3338,6422
2021-11-15,4.25,4.15,4.15,4.34,17001
2021-11-16,4,4.22,4,4.31,10536
2021-11-17,4.25,4.09,4.01,4.3,15785
2021-11-18,4.05,4.11,4.02,4.2,5206
2021-11-21,4.19,4.05,4.0422,4.2,10765
2021-11-22,4.15,4,3.94,4.19,12636
2021-11-23,4.064,4.0102,3.9381,4.1,4706
2021-11-25,4.025,3.9651,3.9001,4.05,5823
2021-11-28,3.91,3.82,3.8,4.0319,31846
2021-11-29,3.85,3.9,3.8,3.925,7767
2021-11-30,3.9,3.82,3.811,3.94,8267
2021-12-01,3.81,3.85,3.8,3.9,4962
2021-12-02,3.8,3.76,3.71,3.8061,6408
2021-12-05,3.73,3.78,3.71,3.84,6445
2021-12-06,3.75,3.75,3.72,3.9,10981
2021-12-07,3.78,3.785,3.7719,3.9,6449
2021-12-08,3.8102,3.71,3.71,3.855,5451
2021-12-09,3.71,3.72,3.62,3.8894,11691
2021-12-12,3.6492,3.69,3.63,3.7999,3770
2021-12-13,3.78,3.6137,3.6137,3.78,3610
2021-12-14,3.65,3.54,3.51,3.65,9169
2021-12-15,3.51,3.42,3.42,3.6,5734
2021-12-16,3.38,3.56,3.36,3.64,5974
2021-12-19,3.64,3.12,2.8437,3.64,21838
2021-12-20,3.12,3.124,3.09,3.3632,8569
2021-12-21,3.0597,3.1,3.04,3.1,14834
2021-12-22,3.19,3.2084,3.07,3.2084,27702
2021-12-26,3.09,3.06,3.0301,3.24,26112
2021-12-27,3.05,3.125,3.05,3.2,14244
2021-12-28,3.11,2.88,2.85,3.12,34562
2021-12-29,2.91,2.78,2.7373,2.9999,36207
2021-12-30,2.8,2.45,2.38,2.8208,190242
2022-01-02,2.53,2.69,2.51,2.805,33079
2022-01-03,2.7,2.8,2.49,2.97,93381
2022-01-04,2.9,2.98,2.7,3.0999,52203
2022-01-05,2.94,2.91,2.9,3.0899,17401
2022-01-06,2.9,2.9,2.8,2.95,8720
2022-01-09,2.9,2.86,2.8,2.9,6874
2022-01-10,2.86,2.85,2.7167,2.9,6902
2022-01-11,2.8608,2.7388,2.7001,2.9,13188
2022-01-12,2.84,2.7165,2.7,2.9738,5416
2022-01-13,2.7,2.72,2.6652,3.05,17684
2022-01-17,2.4,2.51,2.38,2.7358,47415
2022-01-18,2.59,2.5,2.45,2.5901,11630
2022-01-19,2.49,2.4799,2.37,2.659,24820
2022-01-20,2.43,2.28,2.28,2.48,17589
2022-01-23,2.2,2.31,2.12,2.3399,25383
2022-01-24,2.43,2.55,2.2994,2.5899,18263
2022-01-25,2.66,2.46,2.33,2.66,18016
2022-01-26,2.47,2.49,2.28,2.5698,20974
2022-01-27,2.45,2.5,2.41,2.59,9500
2022-01-30,2.44,2.585,2.44,2.63,5110
2022-01-31,2.6,2.51,2.41,2.6,6150
2022-02-01,2.5,2.58,2.46,2.63,6946
2022-02-02,2.55,2.51,2.4674,2.65,5831
2022-02-03,2.44,2.56,2.44,2.59,3310
2022-02-06,2.5804,2.54,2.5177,2.5804,2812
2022-02-07,2.51,2.61,2.5,2.61,1268
2022-02-08,2.57,2.56,2.4801,2.6099,6213
2022-02-09,2.55,2.63,2.52,2.63,6056
2022-02-10,2.51,2.75,2.51,2.75,30965
2022-02-13,2.71,2.72,2.64,2.89,30897
2022-02-14,2.78,2.75,2.43,2.92,53059
2022-02-15,2.7,2.78,2.7,2.87,2840
2022-02-16,2.74,2.75,2.5888,2.86,8744
2022-02-17,2.8,2.75,2.6171,2.9,5526
2022-02-21,2.75,2.7,2.61,2.8,3008
2022-02-22,2.65,2.59,2.5,2.65,6471
2022-02-23,2.45,2.47,2.4,2.59,7998
2022-02-24,2.52,2.64,2.4025,2.64,2711
2022-02-27,2.59,2.45,2.45,2.65,4535
2022-02-28,2.47,2.55,2.47,2.65,3360
2022-03-01,2.55,2.52,2.52,2.55,1511
2022-03-03,2.51,2.42,2.42,2.51,2255
2022-03-06,2.46,2.34,2.34,2.46,4954
2022-03-07,2.39,2.22,2.21,2.39,12258
2022-03-08,2.41,2.38,2.23,2.41,11762
2022-03-09,2.28,2.38,2.28,2.41,2587
2022-03-10,2.2638,2.34,2.2638,2.41,6044
2022-03-13,2.3465,2.27,2.27,2.3473,1916
2022-03-14,2.34,2.35,2.2674,2.5,15801
