date,open_price,close_price,lowest_price,highest_price,volume
2022-01-31,9.94,9.96,9.94,9.9899,2917169.0
2022-02-01,9.96,9.96,9.95,9.99,847630
2022-02-02,9.98,9.9765,9.97,9.99,125111
2022-02-03,9.96,10,9.96,10,135323
2022-02-06,9.96,9.96,9.96,9.99,2234
2022-02-07,10,9.98,9.97,10,1240
2022-02-08,9.96,9.99,9.96,9.99,53751
2022-02-09,9.97,9.99,9.97,10,100481
2022-02-10,9.98,9.98,9.98,9.985,152266
2022-02-14,9.99,9.99,9.98,9.99,75202
2022-02-15,9.98,9.99,9.98,9.99,776
2022-02-17,9.99,9.99,9.99,9.99,1341
2022-02-22,9.99,9.99,9.99,9.99,18870
2022-02-24,9.97,9.97,9.97,9.975,26356
2022-02-27,9.99,9.99,9.99,9.99,8473
2022-03-03,9.97,9.97,9.97,9.97,101
2022-03-06,9.97,9.97,9.97,9.97,197
2022-03-13,9.96,9.95,9.95,9.96,3532
2022-03-16,10.01,10.01,10.01,10.01,80049
2022-03-20,10,10,10,10.01,2733
2022-03-22,10,10,10,10,50832
2022-03-23,10.04,10.04,10.03,10.04,19752
2022-03-24,10.05,10.09,10.05,10.09,164263
2022-03-27,10.06,10.1,10.06,10.1,47976
2022-03-28,10.11,10.12,10.11,10.12,1400
2022-03-30,10.15,10.08,10.08,10.15,9604
2022-04-03,10.12,10.12,10.12,10.12,346
2022-04-04,10.12,10.12,10.12,10.12,239
2022-04-06,10.11,10.11,10.11,10.11,100
2022-04-10,10.12,10.12,10.12,10.12,279
2022-04-18,10.17,10.17,10.17,10.17,300
2022-04-27,10.08,10.08,10.08,10.08,200
2022-05-10,10,10,10,10,300
2022-05-23,9.99,9.99,9.99,9.99,50000
2022-06-06,10.15,10.15,10.15,10.15,994
2022-06-07,10.1,10.1,10.1,10.1,901
2022-06-08,10.2,10.15,10.15,10.2,560
2022-06-09,10.23,10.23,10.23,10.23,900
2022-06-12,9.96,9.96,9.96,9.96,1125
2022-06-13,10.15,10.15,10.15,10.15,900
2022-06-14,10.15,10.15,10.15,10.15,720
2022-06-15,10.12,10.12,10.12,10.12,722
2022-06-16,10.1,10.1,10.1,10.1,720
2022-06-20,10.1,10.1,10.1,10.1,720
2022-06-21,10.12,10.12,10.12,10.12,900
2022-06-22,10.4,10.1,10.1,10.4,1440
2022-06-23,10.1,10.1,10.1,10.1,900
2022-06-26,10.12,10.12,10.12,10.12,901
2022-06-27,10.1125,10.12,10.1125,10.12,1158
2022-06-29,10,10,10,10,100
2022-07-05,9.97,9.97,9.97,9.97,108
2022-07-10,9.95,9.95,9.95,9.95,844
2022-08-04,9.99,10.01,9.99,10.01,818
2022-08-08,9.99,9.99,9.99,9.99,100
2022-08-09,10.25,10.05,10.05,10.39,6362
2022-08-11,10.43,10.05,10.04,11.19,6333
2022-08-14,10.11,10.11,10.11,10.11,102
2022-08-15,10.04,10,10,10.09,3956
2022-09-01,10.24,10.24,10.24,10.24,200
2022-09-18,10,9.99,9.99,10,1295
2022-09-20,10.04,10.04,10.04,10.04,200
2022-09-22,10.04,10.04,10.04,10.04,2311
2022-09-27,10.05,10.05,10.04,10.08,1898
2022-10-09,10.04,10.04,10.04,10.04,100
2022-10-11,10.01,10.01,10.01,10.01,3002
2022-10-12,10.03,10.03,10.02,10.03,5271
2022-10-13,10.04,10.03,10.03,10.04,400
2022-10-17,10.09,10.09,10.09,10.09,100
2022-11-14,10.04,10.04,10.04,10.04,100
2022-11-22,10.03,10.03,10.03,10.03,300
2022-11-27,10.06,10.06,10.06,10.06,100
2022-11-30,10.04,10.04,10.04,10.04,10301
2022-12-20,10.04,10.04,10.04,10.04,349
2023-01-08,10.3,10.3,10.3,10.3,300
2023-01-10,10.31,10.31,10.31,10.31,274
2023-01-25,10.13,10.487,10.13,10.487,1004
2023-02-05,10.36,10.37,10.36,10.38,37002
2023-02-22,10.38,10.4,10.38,10.595,20000
2023-03-22,10.43,10.43,10.43,10.43,200
2023-04-12,10.51,10.52,10.51,10.52,902
2023-04-13,10.52,10.54,10.52,10.54,1501
2023-04-25,10.5,10.5037,10.5,10.5037,200
