date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,25.92,25.89,25.84,25.96,17013
2021-06-01,25.89,25.95,25.85,25.96,27867
2021-06-02,25.95,26.02,25.8999,26.0799,40267
2021-06-03,26.09,25.98,25.97,26.12,21845
2021-06-06,26.06,26.18,26.01,26.2,27243
2021-06-07,26.2196,26.2,26.06,26.22,12911
2021-06-08,26.22,26.19,26.1,26.22,22020
2021-06-09,26.162,26.19,26.09,26.21,20167
2021-06-10,26.2,26.3,26.14,26.3,28857
2021-06-13,26.35,26.27,26.19,26.35,4637
2021-06-14,26.3,26.27,26.2307,26.3188,13857
2021-06-15,26.3,26.25,26.22,26.3,21114
2021-06-16,26.24,26.34,26.2,26.34,14612
2021-06-17,26.239,26.33,26.239,26.33,6265
2021-06-20,26.29,26.39,26.2,26.4499,36417
2021-06-21,26.46,26.47,26.3972,26.52,9549
2021-06-22,26.4978,26.48,26.4777,26.4999,2335
2021-06-23,26.56,26.57,26.4938,26.66,7645
2021-06-24,26.6,26.6,26.5558,26.73,8158
2021-06-27,26.6,26.58,26.54,26.6,13704
2021-06-28,26.4018,26.52,26.4018,26.58,5400
2021-06-29,26.42,26.475,26.42,26.55,9137
2021-06-30,26.42,26.44,26.4,26.58,12526
2021-07-01,26.45,26.45,26.38,26.47,9632
2021-07-05,26.4849,26.515,26.417,26.515,6363
2021-07-06,26.52,26.58,26.52,26.73,48487
2021-07-07,26.45,26.51,26.45,26.6,6784
2021-07-08,26.61,26.62,26.575,26.6997,14426
2021-07-11,26.76,26.68,26.65,26.76,21195
2021-07-12,26.6107,26.64,26.61,26.68,12831
2021-07-13,26.55,26.76,26.55,26.76,17774
2021-07-14,26.5524,26.9,26.5524,26.9,6202
2021-07-15,26.88,26.74,26.74,26.9374,1680
2021-07-18,26.6999,26.69,26.67,26.6999,1100
2021-07-19,26.67,26.67,26.67,26.77,5763
2021-07-20,26.55,26.76,26.55,26.76,13222
2021-07-21,26.75,26.76,26.58,26.76,15134
2021-07-22,26.655,26.74,26.655,26.74,3340
2021-07-25,26.621,26.76,26.6014,26.76,13093
2021-07-26,26.6142,26.69,26.6,26.7455,6928
2021-07-27,26.58,26.67,26.52,26.7,20405
2021-07-28,26.63,26.69,26.59,26.69,4769
2021-07-29,26.7,26.73,26.66,26.74,7578
2021-08-01,26.76,26.84,26.73,26.89,4963
2021-08-02,26.8193,26.77,26.66,26.83,4926
2021-08-03,26.69,26.77,26.6216,26.792,15216
2021-08-04,26.79,26.84,26.75,26.8886,14257
2021-08-05,26.81,26.85,26.7529,26.85,2057
2021-08-08,26.85,26.84,26.67,26.85,6052
2021-08-10,26.67,26.85,26.65,26.89,9549
2021-08-11,26.8,26.87,26.7017,26.87,7400
