date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,3.46,3.53,3.21,3.53,17600
2021-06-01,3.4201,3.4,3.39,3.4201,6093
2021-06-02,3.4,3.46,3.4,3.46,1922
2021-06-03,3.41,3.41,3.41,3.41,219
2021-06-06,3.35,3.3,3.3,3.35,2044
2021-06-07,3.385,3.385,3.34,3.385,4245
2021-06-08,3.33,3.33,3.305,3.34,7306
2021-06-09,3.33,3.33,3.33,3.33,661
2021-06-10,3.24,3.28,3.24,3.285,3124
2021-06-13,3.2501,3.36,3.2501,3.36,2710
2021-06-14,3.22,3.29,3.22,3.29,1960
2021-06-16,3.12,3.17,3.1,3.195,39506
2021-06-20,3.02,3.1,3.02,3.11,27733
2021-06-21,3.1,3.1,3.1,3.1,3662
2021-06-22,2.97,3.03,2.89,3.0402,34505
2021-06-24,3,2.82,2.82,3.03,1832
2021-06-27,2.82,2.49,2.48,2.82,94642
2021-06-28,2.49,2.32,2.26,2.5,21147
2021-06-29,2.44,2.49,2.36,2.5699,56732
2021-06-30,2.5801,2.35,2.34,2.5965,42955
2021-07-01,2.46,2.27,2.27,2.46,25046
2021-07-06,2.41,2.38,2.04,2.43,134083
2021-07-07,2.38,2.3,2.16,2.41,150662
2021-07-08,2.36,2.37,2.36,2.37,2285
2021-07-11,2.21,2.35,2.21,2.46,66084
2021-07-12,2.38,2.57,2.38,2.57,11491
2021-07-13,2.4,2.55,2.31,2.55,34444
2021-07-14,2.36,2.72,2.36,2.72,6325
2021-07-15,3.1,2.56,2.38,3.1,40268
2021-07-18,2.74,2.53,2.36,2.74,23037
2021-07-19,2.49,2.52,2.49,2.61,92790
2021-07-20,2.56,2.6,2.56,2.7,2455
2021-07-22,2.47,2.6,2.41,2.6,6847
2021-07-25,2.4,2.47,2.39,2.57,78103
2021-07-27,2.48,2.45,2.45,2.48,200
2021-07-28,2.49,2.47,2.46,2.56,15740
2021-07-29,2.15,2.33,2.13,2.53,7300
2021-08-01,2.27,2.23,2.23,2.33,1042
2021-08-03,2.24,2.24,2.24,2.24,281
2021-08-04,2.45,2.44,2.44,2.47,3698
2021-08-09,2.23,2.06,1.9501,2.23,6922
2021-08-11,1.94,2.11,1.91,2.11,119560
2021-08-12,2.03,2.11,1.9,2.11,71692
2021-08-15,2.47,2.12,1.62,2.5,98176
2021-08-16,2.07,2.06,2.05,2.13,25023
2021-08-17,1.84,1.95,1.69,2.05,160391
2021-08-18,1.86,1.87,1.81,1.95,34752
2021-08-19,1.81,1.9,1.76,1.9,64095
2021-08-22,1.9,1.79,1.72,1.9,56057
2021-08-23,1.87,1.86,1.74,1.93,163796
2021-08-24,1.825,1.9,1.78,1.9,9009
2021-08-25,1.89,1.89,1.89,1.89,200
2021-08-26,1.87,1.85,1.78,1.93,186127
2021-08-29,1.87,1.65,1.65,1.94,457622
2021-08-30,1.79,1.78,1.73,1.9,526368
2021-08-31,1.85,1.73,1.69,1.89,10900
2021-09-01,1.82,1.746,1.7,1.86,34644
2021-09-02,1.9,1.76,1.7,1.9,59792
2021-09-06,1.78,1.78,1.72,1.88,182453
2021-09-07,1.74,1.73,1.7,1.78,78248
2021-09-08,1.705,1.76,1.705,1.76,11365
2021-09-09,1.725,1.61,1.6,1.725,81741
2021-09-12,1.61,1.66,1.61,1.71,245656
2021-09-13,1.6,1.57,1.56,1.67,55000
2021-09-14,1.5801,1.5901,1.58,1.5901,720
2021-09-15,1.67,1.6,1.6,1.67,12370
2021-09-16,1.67,1.7583,1.64,1.79,40697
2021-09-19,1.6991,1.65,1.65,1.74,146943
2021-09-20,1.65,1.62,1.62,1.65,3627
2021-09-21,1.72,1.75,1.7,1.79,23503
2021-09-22,1.81,1.81,1.8,1.81,3784
2021-09-23,1.76,1.74,1.74,1.8,7852
2021-09-26,1.8,1.83,1.8,1.83,400
2021-09-27,1.74,1.62,1.62,1.8,3800
2021-09-28,1.74,1.62,1.6,1.77,82658
2021-09-29,1.8,1.82,1.75,1.83,59773
2021-09-30,1.8,1.84,1.76,1.89,33492
2021-10-03,1.79,1.73,1.73,1.81,26079
2021-10-04,1.81,1.85,1.8,1.85,31538
2021-10-05,1.885,1.8,1.76,1.885,32900
2021-10-06,1.9,1.9,1.9,1.9,398
2021-10-10,1.8,1.8,1.77,1.8,42876
2021-10-11,1.76,1.83,1.73,1.84,25200
2021-10-13,1.87,1.89,1.8,1.9,83665
2021-10-14,1.89,1.92,1.89,1.93,25003
2021-10-17,1.86,1.83,1.83,1.86,500
2021-10-18,1.81,1.73,1.71,1.81,77746
2021-10-19,1.75,1.8,1.75,1.8,31336
2021-10-20,1.79,1.74,1.74,1.83,19562
2021-10-21,1.74,1.74,1.74,1.74,400
2021-10-24,1.71,1.67,1.67,1.71,1400
2021-10-25,1.75,1.75,1.72,1.82,25975
2021-10-26,1.72,1.68,1.68,1.74,31054
2021-10-27,1.76,1.81,1.76,1.82,22823
2021-10-28,1.77,1.86,1.76,1.86,8374
2021-10-31,1.94,1.9,1.9,1.94,7793
2021-11-01,1.9,1.8,1.8,1.93,23570
2021-11-02,1.91,1.9,1.86,1.91,2110
2021-11-04,1.98,1.98,1.98,1.98,400
2021-11-07,1.91,1.94,1.91,1.98,43073
2021-11-08,1.9,1.97,1.9,1.97,25200
2021-11-09,2.08,2.11,2.07,2.11,7541
2021-11-10,2.11,2.17,2.11,2.18,3107
2021-11-11,2.08,1.99,1.99,2.08,615
2021-11-14,1.98,1.99,1.96,2.04,2621
