date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,1.25,1.27,1.25,1.29,59769
2021-06-01,1.3,1.34,1.28,1.35,178388
2021-06-02,1.35,1.35,1.31,1.36,49146
2021-06-03,1.4,1.45,1.3612,1.539,207795
2021-06-06,1.49,1.45,1.4237,1.54,191230
2021-06-07,1.49,1.53,1.46,1.58,184401
2021-06-08,1.55,1.6,1.55,1.77,234593
2021-06-09,1.63,1.55,1.49,1.63,118374
2021-06-10,1.56,1.53,1.5001,1.56,60187
2021-06-13,1.5,1.5,1.4901,1.53,43248
2021-06-14,1.54,1.42,1.4,1.54,104702
2021-06-15,1.4,1.38,1.37,1.42,52298
2021-06-16,1.39,1.44,1.39,1.47,103608
2021-06-17,1.5,1.49,1.45,1.51,62627
2021-06-20,1.46,1.48,1.4269,1.48,54089
2021-06-21,1.45,1.45,1.4,1.4504,40893
2021-06-22,1.43,1.44,1.4166,1.5,38570
2021-06-23,1.42,1.48,1.42,1.49,22922
2021-06-24,1.48,1.65,1.46,1.65,204251
2021-06-27,1.65,1.68,1.6,1.69,96218
2021-06-28,1.7,1.68,1.62,1.71,90157
2021-06-29,1.65,1.55,1.54,1.71,71496
2021-06-30,1.55,1.52,1.5,1.55,76005
2021-07-01,1.49,1.44,1.41,1.5199,44478
2021-07-05,1.6,1.49,1.4111,1.6389,66255
2021-07-06,1.45,1.4436,1.4101,1.49,43656
2021-07-07,1.4,1.52,1.4,1.57,104532
2021-07-08,1.46,1.49,1.45,1.5,43918
2021-07-11,1.48,1.41,1.41,1.49,50533
2021-07-12,1.41,1.3,1.29,1.4273,134075
2021-07-13,1.38,1.46,1.3401,1.47,98354
2021-07-14,1.46,1.45,1.41,1.47,31185
2021-07-15,1.42,1.47,1.39,1.49,110596
2021-07-18,1.45,1.52,1.38,1.52,83334
2021-07-19,1.55,1.5,1.47,1.55,96468
2021-07-20,1.53,1.54,1.5,1.56,98652
2021-07-21,1.52,1.53,1.5045,1.55,34019
2021-07-22,1.49,1.5,1.4,1.54,105941
2021-07-25,1.55,1.33,1.32,1.55,87508
2021-07-26,1.33,1.325,1.31,1.34,57509
2021-07-27,1.35,1.37,1.33,1.47,88827
2021-07-28,1.37,1.36,1.34,1.4,53171
2021-07-29,1.33,1.35,1.32,1.36,64491
2021-08-01,1.35,1.3,1.29,1.36,243135
2021-08-02,1.3,1.33,1.3,1.35,123867
2021-08-03,1.3,1.35,1.26,1.37,134485
