date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,93.76,93.47,93.03,93.76,62544
2021-06-01,93.01,93.05,92.71,93.21,180726
2021-06-02,92.26,91.93,91.72,92.26,67036
2021-06-03,92.41,92.92,92.41,92.99,36333
2021-06-06,92.21,92,91.5889,92.23,44151
2021-06-07,91.6,91.32,91.15,91.63,55382
2021-06-08,91.12,90.92,90.88,91.37,50650
2021-06-09,90.98,91.32,90.87,91.48,129983
2021-06-10,91.29,91.16,90.78,91.29,145094
2021-06-13,91.04,91.32,91.01,91.4182,53754
2021-06-14,91.22,90.46,90.32,91.2356,1564143.0
2021-06-15,90.66,89.8,89.43,90.98,143354
2021-06-16,90.08,90.58,90.0457,90.76,127029
2021-06-17,90.34,89.73,89.73,90.34,98066
2021-06-20,89.27,89.87,89.01,89.87,53573
2021-06-21,88.66,89.2,88.635,89.2,62085
2021-06-22,90.2,90.22,90.19,90.8121,93389
2021-06-23,90.72,91.14,90.64,91.19,66442
2021-06-24,91.99,92.35,91.88,92.43,110649
2021-06-27,92.32,92.19,92.08,92.43,41020
2021-06-28,91.7,92.26,91.335,92.26,115242
2021-06-29,91.59,91.65,91.44,91.83,196247
2021-06-30,91.31,90.86,90.5177,91.45,286149
2021-07-01,90.3,90.37,90.035,90.4395,111276
2021-07-05,89.38,89.1,88.7008,89.61,216696
2021-07-06,89.17,88.71,88.385,89.265,191006
2021-07-07,86.4,86.46,86.06,86.66,230514
2021-07-08,87.61,88.42,87.42,88.5079,62028
2021-07-11,87.95,88.36,87.88,88.53,143383
2021-07-12,89.23,89.15,89.12,89.86,107103
2021-07-13,90.08,89.59,89.3978,90.26,189425
2021-07-14,89.92,89.76,89.4,90.18,236664
2021-07-15,89.9,88.91,88.79,89.96,55393
2021-07-18,87.28,87.28,86.6823,87.3,113087
2021-07-19,87.09,87.72,86.83,87.8862,77643
2021-07-20,86.92,87.75,86.83,87.8,94710
2021-07-21,88.26,88.27,87.905,88.49,44113
2021-07-22,87.11,86.73,86.2409,87.11,64060
2021-07-25,84.46,83.67,83.4,84.47,199374
2021-07-26,81.41,81.85,80.31,81.85,268875
2021-07-27,82.75,84.45,82.75,84.6,213243
2021-07-28,85.12,84.76,84.27,85.18,142289
2021-07-29,83.34,83.95,83.27,84.238,99740
2021-08-01,84.26,84.4,84.26,84.8,66971
2021-08-02,83.88,84.15,83.4701,84.25,82663
2021-08-03,84.97,85.3,84.91,85.645,86520
2021-08-04,84.71,84.89,84.6403,85.085,246540
2021-08-05,84.78,84.11,83.8217,84.78,156092
2021-08-08,84.63,84.94,84.58,85.19,111115
2021-08-09,85.15,84.9,84.632,85.28,44371
2021-08-10,85,84.77,84.38,85.08,70405
2021-08-11,83.78,83.72,83.33,83.78,83297
2021-08-12,83.02,83.07,82.56,83.11,68275
2021-08-15,82.04,82.11,81.64,82.11,143500
2021-08-16,80.1,79.88,79.68,80.47,116700
2021-08-17,80.85,80.45,80.31,81.06,116838
2021-08-18,78.46,78.34,78.14,78.855,121900
2021-08-19,77.93,78.33,77.85,78.71,115558
2021-08-22,79.02,79.78,78.8494,79.8,97270
2021-08-23,81.53,82.25,81.48,82.41,955582
2021-08-24,82.04,82.16,81.7456,82.2299,65604
2021-08-25,81.49,81.25,81.1801,81.62,55752
2021-08-26,81.23,81.64,81.16,81.71,37669
2021-08-29,81.33,81.5,81.0401,81.72,70778
2021-08-30,83.12,83.1,82.8901,83.41,50021
2021-08-31,83.95,84.72,83.95,84.95,85163
2021-09-01,84.5,83.92,83.8611,84.54,54705
2021-09-02,83.94,84.31,83.92,84.4399,32478
2021-09-06,84.81,85.26,84.81,85.725,62775
2021-09-07,84.8,83.92,83.8,84.8,65235
2021-09-08,82.78,83.14,82.67,83.35,75836
2021-09-09,83.81,83.06,82.98,83.89,52798
