date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,9.04,10.75,9.04,11.24,2163536.0
2021-06-01,10.3055,9.79,9.65,10.85,698364
2021-06-02,9.91,9.94,9.7632,10.65,580188
2021-06-03,9.86,9.74,9.04,9.9,348077
2021-06-06,9.57,8.99,8.9,9.57,417400
2021-06-07,9.22,7.75,7.7,9.56,627036
2021-06-08,8.11,8.19,8.07,8.4,271832
2021-06-09,8.18,8.28,8.09,8.87,228741
2021-06-10,8.5,8.66,8.48,8.95,170507
2021-06-13,8.51,8.31,8.259,8.548,63913
2021-06-14,8.35,7.92,7.8,8.398,283060
2021-06-15,7.77,7.91,7.725,8.13,194329
2021-06-16,7.94,8.15,7.94,8.36,263244
2021-06-17,8.04,7.91,7.8,8.15,210038
2021-06-20,7.99,8.32,7.83,8.32,217006
2021-06-21,8.18,8.04,7.93,8.38,200796
2021-06-22,8.03,9.08,8,9.15,460019
2021-06-23,8.04,7.91,7.9,8.45,765521
2021-06-24,8.14,7.9,7.8,8.17,189413
2021-06-27,7.95,7.96,7.9,8.15,164704
2021-06-28,8.28,8.28,8.02,8.28,235998
2021-06-29,8.3,7.96,7.95,8.31,165422
2021-06-30,7.96,8.1,7.96,8.29,136191
2021-07-01,8.03,8.22,7.96,8.29,278868
2021-07-05,8.14,7.76,7.6501,8.14,146566
2021-07-06,7.87,7.85,7.67,8.03,121041
2021-07-07,7.67,6.93,6.92,7.67,338293
2021-07-08,6.93,7.13,6.93,7.1399,74593
2021-07-11,7.18,6.75,6.63,7.29,146865
2021-07-12,6.77,6.84,6.69,6.9,142589
2021-07-13,6.95,6.61,6.56,6.95,144930
2021-07-14,6.56,6.51,6.31,6.83,159241
2021-07-15,6.65,6.46,6.26,6.7,51007
2021-07-18,6.33,6.36,6.05,6.39,111234
2021-07-19,6.36,6.44,6.2201,6.46,118380
2021-07-20,6.39,6.58,6.33,6.85,150277
2021-07-21,6.57,6.13,6.03,6.69,227853
2021-07-22,6,5.35,5.29,6.01,317509
2021-07-25,5.01,4.9,4.7,5.09,232916
2021-07-26,4.79,4.54,4.26,4.9,252032
2021-07-27,4.7,5.14,4.7,5.39,185533
2021-07-28,5.16,5.06,4.9,5.25,124817
2021-07-29,5,5.01,4.97,5.15,28362
2021-08-01,5.07,5.18,5.02,5.22,63011
2021-08-02,5.1,4.84,4.8,5.16,152444
2021-08-03,4.9,4.82,4.64,5.1,88932
2021-08-04,4.8,4.75,4.7,4.91,28351
2021-08-05,4.74,4.64,4.56,4.79,26100
2021-08-08,4.6,4.59,4.57,4.88,69215
2021-08-09,4.68,4.85,4.6419,5.0205,63000
2021-08-10,4.86,4.7,4.7,4.86,25159
2021-08-11,4.64,4.52,4.52,4.81,112982
2021-08-12,4.51,4.29,4.23,4.77,48616
2021-08-15,4.26,4.05,4.03,4.38,95671
2021-08-16,4.02,4.25,4.02,4.25,32046
2021-08-17,4.22,4.22,4.16,4.39,37408
2021-08-18,4.22,4.19,4.12,4.355,235140
2021-08-19,4.25,4.36,4.21,4.54,148443
2021-08-22,4.41,4.37,4.1901,4.5,140723
2021-08-23,4.44,4.45,4.42,4.59,43228
2021-08-24,4.45,4.45,4.32,4.65,29533
2021-08-25,4.46,4.39,4.34,4.6,41372
2021-08-26,4.39,4.23,4.05,4.48,64171
2021-08-29,4.2,4.22,3.9,4.3,183610
2021-08-30,4.17,4.11,4.1,4.33,69594
2021-08-31,4.14,4.21,4.08,4.21,38197
2021-09-01,4.1197,4.33,4.1197,4.33,57108
2021-09-02,4.26,4.27,4.22,4.35,37463
2021-09-06,4.31,4.23,4.14,4.35,87203
2021-09-07,4.2,4.15,4.05,4.29,78299
2021-09-08,4.09,4.07,4.03,4.18,38704
2021-09-09,4.1,4.01,4.01,4.15,28769
2021-09-12,4,4.06,3.95,4.245,54008
2021-09-13,4.1,4,3.97,4.1,32047
2021-09-14,4.045,3.78,3.75,4.06,71460
2021-09-15,3.7835,3.73,3.54,3.94,66204
2021-09-16,3.5,3.61,3.5,3.74,68151
2021-09-19,3.61,3.47,3.38,3.61,22898
2021-09-20,3.46,3.7,3.46,3.74,35323
2021-09-21,3.7,3.91,3.7,3.99,28884
2021-09-22,3.91,3.79,3.76,3.91,17113
2021-09-23,3.81,3.79,3.69,3.81,7319
2021-09-26,3.8,3.91,3.8,3.96,7338
2021-09-27,3.92,3.82,3.61,3.92,21188
2021-09-28,3.84,3.88,3.77,3.95,39816
2021-09-29,4,4.08,3.99,4.19,47921
2021-09-30,4.08,4.12,4,4.18,18061
2021-10-03,4.04,4.065,3.95,4.14,23240
2021-10-04,4.05,4.14,3.962,4.19,17024
2021-10-05,4,4.11,4,4.15,9053
2021-10-06,4.1201,4.33,4.1201,4.4,29459
2021-10-07,4.32,4.38,4.3,4.4,4393
2021-10-10,4.4,4.5,4.39,4.54,35014
2021-10-11,4.5,4.48,4.28,4.5,16423
2021-10-12,4.43,4.46,4.34,4.64,25821
2021-10-13,4.33,4.46,4.28,4.471,19768
2021-10-14,4.47,4.32,4.28,4.54,22824
2021-10-17,4.35,4.45,4.3,4.46,8405
2021-10-18,4.4,4.33,4.26,4.44,22198
2021-10-19,4.2611,4.24,4.23,4.3327,17695
2021-10-20,4.2401,4.09,4.08,4.2714,6835
2021-10-21,4.0901,4.175,4.0901,4.22,2465
2021-10-24,4.04,4.17,4.04,4.22,21183
2021-10-25,4.21,4.21,4.1,4.29,38897
2021-10-26,4.0601,4.15,4.0601,4.28,9445
2021-10-27,4.13,4.22,4.04,4.24,3160
2021-10-28,4.09,4.1548,4.09,4.27,20582
2021-10-31,4.11,4.1043,4.02,4.11,10562
2021-11-01,4.04,4.01,4.01,4.1,12200
2021-11-02,4.0101,4.1,4.0101,4.12,10291
2021-11-03,4.15,4.1599,4.05,4.19,10804
2021-11-04,4.1,4.15,4.05,4.24,14996
2021-11-07,4.2,4,3.7148,4.2,105379
2021-11-08,3.85,3.7973,3.73,3.85,4851
