date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,18.75,19.15,18.75,19.2,414976
2021-06-01,19.19,19.38,19.105,19.55,631384
2021-06-02,19.26,19.53,19.21,19.63,395395
2021-06-03,19.65,19.59,19.385,19.65,330479
2021-06-06,19.64,19.91,19.64,20.01,258197
2021-06-07,19.97,19.99,19.71,20.09,318872
2021-06-08,20.06,20.1,19.96,20.34,295102
2021-06-09,20.16,20.56,20.16,20.6,720972
2021-06-10,20.6,20.72,20.6,20.905,434112
2021-06-13,20.82,20.79,20.625,21.05,596818
2021-06-14,20.85,20.75,20.405,20.94,256115
2021-06-15,20.81,20.85,20.6419,21.01,320206
2021-06-16,20.89,19.93,19.66,20.93,1767252.0
2021-06-17,19.6,19.42,19.42,19.93,955394
2021-06-20,19.53,20.11,19.53,20.18,566733
2021-06-21,20.12,19.93,19.75,20.12,441067
2021-06-22,20.12,19.82,19.8,20.2,571036
2021-06-23,19.86,19.77,19.65,19.86,1188976.0
2021-06-24,19.86,19.53,19.47,19.86,448386
2021-06-27,19.48,19.11,18.94,19.49,1120733.0
2021-06-28,19.29,19.21,19.125,19.345,673976
2021-06-29,19.32,19.65,19.29,19.6996,776294
2021-06-30,19.97,19.85,19.525,19.97,484811
2021-07-01,19.94,19.87,19.62,19.94,221599
2021-07-05,19.99,19.6,19.39,19.99,947223
2021-07-06,19.64,19.23,19.19,19.76,942853
2021-07-07,18.98,19.17,18.75,19.33,765782
2021-07-08,19.44,19.51,19.245,19.685,3735979.0
2021-07-11,19.43,19.47,19.25,19.515,447782
2021-07-12,19.46,19.11,19.04,19.46,273468
2021-07-13,19.19,18.74,18.74,19.34,437335
2021-07-14,18.71,18.45,18.37,18.71,447608
2021-07-15,18.62,18.18,18.14,18.63,369779
2021-07-18,17.85,17.42,17.15,17.85,2338717.0
2021-07-19,17.54,18.17,17.51,18.265,623144
2021-07-20,18.45,18.21,18.21,18.79,1059583.0
2021-07-21,18.26,18.23,18.04,18.48,420305
2021-07-22,18.33,18.18,17.99,18.33,681947
2021-07-25,18.21,18.65,18.18,18.71,412147
2021-07-26,18.65,18.24,18.18,18.65,565598
2021-07-27,18.4,18.47,18.14,18.64,402259
2021-07-28,18.73,18.64,18.39,18.73,439457
2021-07-29,18.69,18.31,18.31,18.72,544977
2021-08-01,18.49,18.04,18.04,18.69,599002
2021-08-02,18.05,18.18,17.79,18.23,648794
2021-08-03,18.08,17.71,17.7,18.14,460285
2021-08-04,17.75,17.72,17.65,18.08,358242
2021-08-05,17.79,17.76,17.69,17.91,490896
2021-08-08,17.64,17.68,17.415,17.68,491447
2021-08-09,17.65,17.89,17.65,18.03,363706
2021-08-10,17.97,18.23,17.825,18.23,406080
2021-08-11,18.18,18.45,17.965,18.45,375557
2021-08-12,18.43,18.15,18.15,18.5,327992
