date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,20.16,20.11,19.775,20.16,100370
2021-06-01,20.25,19.81,19.69,20.35,47866
2021-06-02,19.71,19.64,19.34,19.8,61013
2021-06-03,19.72,19.43,19.37,19.7844,246726
2021-06-06,19.4,19.84,19.38,19.9,131143
2021-06-07,20.06,20.33,19.97,20.44,119142
2021-06-08,21.1,28.27,21.1,28.45,1897655.0
2021-06-09,27.48,26.47,25.945,27.72,672399
2021-06-10,26.32,24.22,24.07,26.32,539456
2021-06-13,24.22,24.35,23.87,24.83,183450
2021-06-14,24.39,24.45,24.13,24.888,166568
2021-06-15,24.45,24.44,24.37,24.78,193885
2021-06-16,24.3,24.41,24.27,24.81,206391
2021-06-17,24.05,23.24,23.12,24.41,297565
2021-06-20,23.33,22.79,22.72,23.765,158086
2021-06-21,22.65,22.44,22.33,23.61,154947
2021-06-22,22.32,22.61,22.32,22.85,180754
2021-06-23,22.74,22.87,22.61,22.99,95584
2021-06-24,22.81,22.96,22.57,23.11,446618
2021-06-27,22.93,22.73,22.54,23.18,66639
2021-06-28,22.75,22.43,22.35,22.87,76594
2021-06-29,22.28,21.96,21.8,22.43,115861
2021-06-30,21.96,22.52,21.89,22.59,102914
2021-07-01,22.73,22.74,22.51,22.79,173908
2021-07-05,22.7,22.88,22.57,23,99666
2021-07-06,22.94,22.81,22.66,23.04,100575
2021-07-07,22.45,22.14,22.0601,22.72,123626
2021-07-08,22.26,22.16,21.94,22.49,92006
2021-07-11,22.15,21.83,21.73,22.43,75647
2021-07-12,21.61,21.37,21.31,21.84,116665
2021-07-13,21.4,20.99,20.9,21.6,76157
2021-07-14,20.78,20.68,20.56,20.93,105929
2021-07-15,20.83,20.83,20.7,21.26,184715
2021-07-18,20.58,20.65,20.11,20.72,109308
2021-07-19,20.72,21.14,20.57,21.75,189724
2021-07-20,21.14,21.29,21,21.42,79420
2021-07-21,21.27,20.8,20.74,21.45,46519
2021-07-22,20.88,20.84,20.6701,20.9,46006
2021-07-25,20.95,21.07,20.52,21.1,125856
2021-07-26,20.91,20.94,20.63,21.23,90433
2021-07-27,21.01,21.9,20.91,22.01,133780
2021-07-28,22,22,21.89,22.19,112666
2021-07-29,22.02,22,21.92,22.21,74033
2021-08-01,22.03,21.86,21.3245,22.475,83381
2021-08-02,21.97,22.25,21.555,22.52,112000
2021-08-03,22.08,22.18,21.915,22.2,60870
2021-08-04,22.28,22.65,22.18,22.93,89570
2021-08-05,22.85,22.83,22.53,22.95,66969
2021-08-08,22.86,22.16,22.07,23.09,94934
2021-08-09,22.21,21.6,21.35,22.355,96380
2021-08-10,21.64,22,21.6,22.13,55285
2021-08-11,21.94,22.26,21.6444,22.28,130490
2021-08-12,22.24,22.6,22.04,22.82,50117
2021-08-15,22.4,22.45,22.05,22.57,40535
2021-08-16,22.38,22.12,22.025,22.38,53337
2021-08-17,22.06,22,21.89,22.29,65343
2021-08-18,21.89,22.26,21.7694,22.34,58957
2021-08-19,22.17,22.69,22.17,22.82,101388
2021-08-22,22.93,22.93,22.65,23.1,63125
2021-08-23,22.91,22.84,22.63,23.03,70035
2021-08-24,22.85,23.42,22.7,23.725,155843
2021-08-25,24.59,23.59,23.25,25.58,172434
2021-08-26,23.68,24.5,23.47,24.595,127552
2021-08-29,24.66,24.48,24.13,24.72,115240
2021-08-30,24.48,25.37,24.355,25.57,208532
2021-08-31,25.49,25.5,25,25.53,81868
2021-09-01,25.54,25.28,25.19,25.98,93845
2021-09-02,25.37,25.69,25.34,25.82,73179
2021-09-06,25.68,25.56,25.47,25.7116,56870
2021-09-07,25.38,25.49,25.3,25.63,71135
2021-09-08,25.56,25.17,25.17,25.72,73862
2021-09-09,25.24,24.65,24.65,25.36,144546
2021-09-12,24.77,24.67,24.205,24.905,60217
2021-09-13,25.58,24.91,24.83,25.58,103612
2021-09-14,24.96,25.32,24.87,25.48,155088
2021-09-15,25.32,25.08,24.98,25.42,107049
2021-09-16,25.2,24.36,24.32,25.29,459450
2021-09-19,24.17,23.82,23.75,24.48,116459
2021-09-20,24,24.05,23.731,24.24,82678
2021-09-21,24.16,24.76,24.06,24.935,78293
2021-09-22,24.83,24.75,24.61,25,82349
2021-09-23,24.54,24.84,24.38,24.89,50793
2021-09-26,24.76,24.69,23.75,24.88,88254
