date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,48.15,46.03,45.135,48.46,123690
2021-06-01,46.06,45.57,44.03,47.15,130418
2021-06-02,45.07,46.63,44.9099,48.15,147497
2021-06-03,47.06,47.41,46.66,49.5,64892
2021-06-06,47.17,48.49,45.31,49.75,155706
2021-06-07,48.86,46.75,46.61,49.91,86870
2021-06-08,46.93,45.4,45.09,47.82,100645
2021-06-09,44.67,44.99,44.115,46.31,75144
2021-06-10,45.01,45.4,43.06,45.68,81997
2021-06-13,45.49,49,45.49,50.215,170278
2021-06-14,49.11,49.42,47.22,50.77,99739
2021-06-15,49.23,49.95,47.77,52.71,222966
2021-06-16,49.17,44.53,44.3501,50.28,244217
2021-06-17,42.84,42.58,39.99,44.25,1327522.0
2021-06-20,42.64,44.28,41.07,46.9594,244204
2021-06-21,43.98,43.28,41.525,44.38,142323
2021-06-22,43.41,44.08,42.63,44.963,167868
2021-06-23,44.33,47.32,44.24,47.48,127740
2021-06-24,47.71,45.99,45.48,47.71,485545
2021-06-27,46.11,46.55,45.6301,47.97,158981
2021-06-28,46.97,44.43,43.97,46.97,132322
2021-06-29,43.98,45.74,43.98,47.6,159033
2021-06-30,45.06,46.61,43.89,46.79,129142
2021-07-01,47,45.67,43.3,47,301277
2021-07-05,46.02,44.28,43.98,46.485,105565
2021-07-06,43.84,41.8,41.525,44.7,147558
2021-07-07,40.5,42.28,40.5,43.41,122037
2021-07-08,42.83,43.24,42.07,44.65,88385
2021-07-11,42.96,42.8,41.55,43.83,66095
2021-07-12,42.15,40.75,40.65,42.31,131888
2021-07-13,41.43,39.02,38.9,41.43,124341
2021-07-14,38.71,38.01,37.21,39.82,134586
2021-07-15,38.76,37.64,37.5,38.76,198154
2021-07-18,35.61,36.49,35.61,38.255,164812
2021-07-19,36.55,36.08,35.27,36.79,238283
2021-07-20,36.47,37.3,35.53,37.61,233906
2021-07-21,37.15,34.97,34.841,38.75,92397
2021-07-22,35,34.19,32.145,35.4,138057
2021-07-25,34.7,33.22,32.45,35.43,141886
2021-07-26,33.17,32.03,30.63,34.3,223559
2021-07-27,32.45,29.36,28.87,33.51,891662
2021-07-28,29.81,28.93,28.84,30.8,255826
2021-07-29,28.73,28.03,27.045,29.23,674855
2021-08-01,28.15,28.8,28.15,30.24,361215
2021-08-02,28.58,28.75,27.57,29.64,234051
2021-08-03,28.39,27.65,26.48,29.93,217921
2021-08-04,27.68,29.77,27.68,30.09,287673
2021-08-05,32.33,28.95,27.61,32.6221,397234
2021-08-08,29.18,29.64,28.49,30.33,197504
2021-08-09,30,29.02,27.815,30.7,340964
2021-08-10,29.385,30.02,29.385,30.9799,205287
2021-08-11,29.82,31.27,29.27,31.42,274802
2021-08-12,30.96,30.12,29.68,31.1,163778
2021-08-15,29.66,29.51,28.52,30.67,197370
2021-08-16,28.91,29.47,28,29.5,142642
2021-08-17,29.33,28.59,28.41,30.74,113893
2021-08-18,28.16,27.54,27.35,30.8299,233706
2021-08-19,27.8,29.24,27.15,30.09,172722
2021-08-22,29.75,30.01,29.31,30.98,239511
2021-08-23,29.94,29.69,29.0917,30.03,67625
2021-08-24,29.84,29.95,28.92,30.96,93605
2021-08-25,29.59,29.75,28.09,31.045,296537
2021-08-26,29.57,31,29.175,31.97,255402
2021-08-29,31.17,29.98,29.78,31.49,142705
2021-08-30,30.19,30.07,29.26,31.249,169534
2021-08-31,30.49,31.11,29.975,32.03,144057
2021-09-01,31.46,32.25,31.13,33.28,98088
2021-09-02,32.11,30.06,29.01,33,176575
2021-09-06,29.89,29.72,29.02,30.39,118277
2021-09-07,29.58,28.5,28.25,30.21,121827
2021-09-08,28.48,28.5,28.36,29.81,111909
2021-09-09,28.61,27.93,27.64,28.8,160423
2021-09-12,28.02,27.35,26.81,28.02,174746
2021-09-13,27.59,26.74,26.48,27.59,92148
2021-09-14,26.52,26.79,26.41,27.805,223047
2021-09-15,26.83,26.91,25.45,27.4,131184
2021-09-16,26.82,27.5,25.74,27.97,429137
2021-09-19,26.68,26.86,26.3,27.91,168847
2021-09-20,27.12,26.97,26.57,28.0477,116133
2021-09-21,27.35,26.99,26.73,28.13,73731
2021-09-22,27.24,27.51,26.29,28.5,371891
2021-09-23,27.26,27.39,26.65,27.91,165145
2021-09-26,27.71,28.4,27.71,28.86,102160
2021-09-27,28.22,27.26,27,28.32,103075
2021-09-28,27.43,26.35,26.26,27.43,92199
2021-09-29,26.64,25.87,25.21,26.83,168392
2021-09-30,26.16,26.05,25,26.43,247816
2021-10-03,26.06,25.49,25.09,26.31,147926
2021-10-04,25.68,25.11,24.97,26.3,592413
2021-10-05,24.82,24.86,24.165,25.48,149907
