date,open_price,close_price,lowest_price,highest_price,volume
2023-05-02,24.92,24.8415,24.8415,24.92,475
2023-05-03,24.8,24.6993,24.678,24.8,240
2023-05-04,25.11,25.1574,25.07,25.27,2655485.0
2023-05-07,25.1774,25.1403,25.14,25.2,2900
2023-05-08,24.935,25.0192,24.935,25.0212,2506
2023-05-09,24.93,24.9844,24.895,25.01,7228
2023-05-10,24.8199,24.8986,24.8199,24.8986,2709
2023-05-11,24.895,24.7949,24.78,24.895,876
2023-05-14,24.9451,25.0968,24.9451,25.18,3429
2023-05-15,24.98,24.9303,24.9303,25.09,8558
2023-05-16,24.8601,25.0581,24.8601,25.0581,1629
2023-05-17,24.8101,24.905,24.8101,24.905,3716
2023-05-18,24.96,25.0373,24.96,25.14,69921
