date,open_price,close_price,lowest_price,highest_price,volume
2021-10-11,1,0.9999,0.9999,1,1667
2021-10-13,0.7499,0.7,0.7,0.75,4560
2021-10-14,0.7667,0.7667,0.7322,0.7672,600
2021-10-17,0.7,0.7,0.7,0.7,5867
2021-10-18,0.6501,0.5804,0.5804,0.6501,71988
2021-10-19,0.6,0.6395,0.5501,0.64495,2535
2021-10-20,0.6,0.6,0.6,0.62,1034
2021-10-21,0.63155,0.63155,0.63155,0.63155,420
2021-10-24,0.63,0.6302,0.6299,0.67,13896
2021-10-25,0.6155,0.65,0.6155,0.66,9442
2021-10-26,0.65,0.65,0.65,0.67,27894
2021-10-27,0.61,0.65,0.6,0.65,57465
2021-10-28,0.6474,0.6501,0.6474,0.6501,15121
2021-10-31,0.68,0.69,0.68,0.69,14222
2021-11-02,0.9301,0.8989,0.8214,1.15,4340
2021-11-04,0.85,0.8,0.8,0.85,4328
2021-11-07,0.8,0.8,0.8,0.8,10100
2021-11-09,0.7998,0.7899,0.75,0.7998,2400
2021-11-10,0.7875,0.7875,0.7875,0.7875,100
2021-11-11,0.7999,0.730049,0.7089,0.7999,36610
2021-11-14,0.7999,0.7999,0.7999,0.7999,100
2021-11-15,0.75,0.75,0.748803,0.75,21900
2021-11-16,0.75,0.75,0.7299,0.75,6741
2021-11-17,0.745,0.73,0.7299,0.75,2350
2021-11-18,0.73,0.729899,0.729899,0.73,8000
2021-11-22,0.7601,0.7699,0.7002,0.7699,2663
2021-11-23,0.7353,0.7699,0.7353,0.7699,230
2021-11-25,0.7499,0.720201,0.720201,0.75,3650
2021-11-28,0.7201,0.7264,0.68,0.7901,12600
2021-11-29,0.68,0.73,0.68,0.73,57471
2021-11-30,0.68,0.7,0.6701,0.7,5100
2021-12-01,0.7011,0.67,0.67,0.7011,14200
2021-12-02,0.65,0.6899,0.65,0.6899,72257
2021-12-05,0.6501,0.69,0.6501,0.69,1006
2021-12-06,0.68,0.7,0.68,0.7,2890
2021-12-12,0.6999,0.7001,0.6999,0.7001,31056
2021-12-13,0.7759,0.7759,0.7759,0.7759,900
2021-12-14,0.734799,0.72,0.72,0.734799,21735
2021-12-16,0.7201,0.7201,0.7201,0.7201,100
2021-12-19,0.72,0.72,0.72,0.72,970
2021-12-20,0.7301,0.7392,0.7301,0.7392,2400
2022-01-03,0.7495,0.7494,0.7445,0.7496,5700
2022-01-05,0.65,0.65,0.65,0.65,170
2022-01-09,0.65,0.65,0.65,0.7,30871
2022-01-11,0.69,0.64,0.64,0.69,1411
2022-01-12,0.65,0.640001,0.64,0.65,18302
2022-01-13,0.64,0.6397,0.63,0.65,5313
2022-01-18,0.51,0.5,0.498501,0.51,56556
2022-01-19,0.52,0.5298,0.5,0.5299,78404
2022-01-20,0.52,0.5,0.5,0.52,28287
2022-01-25,0.5351,0.5,0.5,0.5351,301
2022-01-26,0.5005,0.5,0.5,0.5005,316
2022-01-27,0.5,0.5,0.5,0.5,360
2022-01-30,0.51,0.5101,0.51,0.5101,61279
2022-01-31,0.61,0.5,0.5,0.61,10403
2022-02-10,0.5,0.5,0.5,0.5,701
2022-02-14,0.5,0.5,0.5,0.5,1480
2022-02-15,0.5,0.5,0.5,0.5,350
2022-02-21,0.500101,0.503748,0.5,0.51,5104
2022-03-01,0.5,0.5,0.5,0.5,200
2022-03-02,0.5,0.4998,0.4602,0.5646,230375
2022-03-03,0.5,0.5,0.5,0.5,400
2022-03-06,0.5135,0.51,0.5,0.52,75265
2022-03-08,0.61,0.6499,0.61,0.6499,220
2022-03-17,0.4506,0.4506,0.3503,0.4506,2402
2022-03-24,0.4219,0.2968,0.0301,0.4305,4347
2022-03-27,0.4,0.3139,0.29,0.4,1801
2022-03-28,0.4875,0.4403,0.4,0.4875,30364
2022-03-29,0.585,0.549269,0.5431,0.598455,1485
2022-03-30,0.4183,0.45,0.4183,0.45,2212
2022-03-31,0.5467,0.5842,0.5467,0.5947,2103
2022-04-03,0.41,0.479,0.4,0.5332,8573
2022-04-04,0.5005,0.41,0.402,0.5501,4700
2022-04-05,0.5363,0.5129,0.4966,0.5506,2902
