date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,15.8,15.72,15.7,15.8,82444
2021-06-01,15.77,15.7,15.7,15.78,101554
2021-06-02,15.7,15.77,15.66,15.79,86978
2021-06-03,15.8,15.99,15.79,16.04,220234
2021-06-06,15.99,16.02,15.975,16.05,120204
2021-06-07,16.1,16.04,16.01,16.1,70820
2021-06-08,16.07,16.03,16.01,16.11,87412
2021-06-09,16.09,16.02,15.99,16.17,130698
2021-06-10,16.08,16.06,16.01,16.11,64472
2021-06-13,16.07,16.13,16.05,16.13,56580
2021-06-14,16.18,16.24,16.01,16.24,77908
2021-06-15,16.26,16.25,16.2301,16.4,157996
2021-06-16,16.32,16.18,16.17,16.49,104572
2021-06-17,16.14,15.99,15.92,16.2,92120
2021-06-20,16.05,16.02,15.98,16.07,76662
2021-06-21,16.07,16.09,16.0221,16.13,88537
2021-06-22,16.17,16.19,16.13,16.19,39249
2021-06-23,16.24,16.22,16.22,16.29,57926
2021-06-24,16.25,16.01,16,16.25,112412
2021-06-27,16.06,16.06,16.02,16.09,65021
2021-06-28,16.09,16.18,16.09,16.18,84376
2021-06-29,16.22,16.17,16.17,16.26,101140
2021-06-30,16.25,16.27,16.161,16.3,63762
2021-07-01,16.26,16.2,16.2,16.3,109536
2021-07-05,16.2,16.26,16.16,16.27,35886
2021-07-06,16.26,16.27,16.25,16.29,28514
2021-07-07,16.26,16.22,16.19,16.27,54913
2021-07-08,16.25,16.21,16.17,16.26,101526
2021-07-11,16.23,16.2,16.17,16.23,52891
2021-07-12,16.25,16.31,16.18,16.31,66533
2021-07-13,16.31,16.28,16.27,16.36,51711
2021-07-14,16.27,16.14,16.02,16.3031,127348
2021-07-15,16,15.89,15.86,16.045,94362
2021-07-18,15.92,15.66,15.5,15.92,134027
2021-07-19,15.81,15.78,15.71,15.81,72229
2021-07-20,15.82,15.79,15.71,15.8499,133377
2021-07-21,15.85,15.78,15.7,15.85,94182
2021-07-22,15.84,15.8,15.75,15.84,92488
2021-07-25,15.81,15.9,15.78,15.9079,53955
2021-07-26,15.88,15.9,15.88,15.94,51183
2021-07-27,15.92,15.98,15.89,15.98,37787
2021-07-28,15.95,15.96,15.92,15.9905,51415
2021-07-29,15.97,15.86,15.83,16,67830
2021-08-01,15.89,15.9,15.85,15.94,60033
2021-08-02,15.89,15.96,15.89,15.96,38145
2021-08-03,15.96,16.05,15.96,16.05,59182
2021-08-04,16.09,16.13,16.02,16.13,37162
2021-08-05,16.09,16.13,16.09,16.16,27038
2021-08-08,16.13,16.17,16.117,16.19,30778
2021-08-09,16.17,16.25,16.155,16.25,26947
2021-08-10,16.25,16.26,16.21,16.27,42739
2021-08-11,16.3,16.3,16.22,16.32,55654
2021-08-12,16.31,16.36,16.3,16.365,45231
2021-08-15,16.33,16.33,16.33,16.415,148778
2021-08-16,16.33,16.4,16.33,16.44,102368
2021-08-17,16.42,16.34,16.34,16.44,72859
2021-08-18,16.16,16.12,15.9,16.2,132550
2021-08-19,16.11,16,16,16.21,55904
2021-08-22,16.07,16.03,16.03,16.11,55280
2021-08-23,16.09,16.02,15.99,16.1,64958
2021-08-24,16.03,16.03,16,16.05,31428
2021-08-25,15.99,15.9,15.88,15.99,81122
2021-08-26,15.97,16.25,15.97,16.25,93254
2021-08-29,16.3,16.32,16.2,16.32,75268
2021-08-30,16.33,16.29,16.29,16.4,87369
2021-08-31,16.39,16.51,16.35,16.52,101671
2021-09-01,16.51,16.51,16.4,16.51,79607
2021-09-02,16.5,16.42,16.33,16.5304,45079
2021-09-06,16.44,16.28,16.17,16.44,135086
2021-09-07,16.33,16.32,16.2701,16.37,69537
2021-09-08,16.36,16.37,16.33,16.39,43626
2021-09-09,16.44,16.37,16.34,16.48,47088
2021-09-12,16.45,16.62,16.3742,16.62,90431
2021-09-13,16.53,16.55,16.52,16.66,62587
2021-09-14,16.6,16.59,16.56,16.63,55875
2021-09-15,16.56,16.56,16.56,16.59,73665
2021-09-16,16.51,16.52,16.49,16.6,142239
2021-09-19,16.5,16.52,16.44,16.56,203541
2021-09-20,16.54,16.53,16.519,16.59,152687
2021-09-21,16.58,16.59,16.52,16.6,88470
2021-09-22,16.6,16.58,16.56,16.6,79645
2021-09-23,16.59,16.56,16.56,16.59,67273
2021-09-26,16.59,16.58,16.56,16.59,72146
2021-09-27,16.56,16.47,16.47,16.58,172136
2021-09-28,16.48,16.38,16.34,16.5054,112706
2021-09-29,16.42,16.19,16.19,16.438,138694
2021-09-30,16.25,16.2,16.19,16.27,66756
2021-10-03,16.14,16.15,16.12,16.26,66848
2021-10-04,16.16,16.16,16.12,16.22,75231
2021-10-05,16.13,16.28,16.12,16.28,53572
2021-10-06,16.26,16.35,16.26,16.4108,60885
2021-10-07,16.43,16.31,16.28,16.46,37681
2021-10-10,16.37,16.4,16.34,16.46,56537
2021-10-11,16.46,16.47,16.36,16.47,46264
2021-10-12,16.47,16.44,16.38,16.48,58402
2021-10-13,16.44,16.52,16.44,16.58,122082
2021-10-14,16.56,16.52,16.44,16.58,57235
2021-10-17,16.52,16.43,16.38,16.53,83325
2021-10-18,16.46,16.48,16.38,16.52,68972
2021-10-19,16.53,16.45,16.38,16.55,90513
2021-10-20,16.34,16.2,16.2,16.34,62122
2021-10-21,16.21,16.25,16.21,16.29,72834
2021-10-24,16.25,16.21,16.19,16.3,184068
2021-10-25,16.16,16.18,16.09,16.21,207932
2021-10-26,16.14,16.27,16.14,16.27,67899
2021-10-27,16.25,16.35,16.24,16.35,63571
2021-10-28,16.34,16.37,16.26,16.38,27198
2021-10-31,16.33,16.35,16.23,16.39,136028
2021-11-01,16.34,16.26,16.25,16.37,99982
2021-11-02,16.28,16.35,16.2235,16.35,33258
2021-11-03,16.28,16.19,16.14,16.3672,142848
