date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,8.15,8.68,8.04,8.91,2177308.0
2020-06-01,8.87,9.03,8.87,9.18,1411112.0
2020-06-02,9.17,9.65,9.17,9.79,1414485.0
2020-06-03,9.69,10.33,9.5,10.46,1755089.0
2020-06-04,11.36,10.93,10.8,11.84,2096435.0
2020-06-07,11.53,12.16,11.38,12.21,2437056.0
2020-06-08,11.62,11.1,10.87,11.78,2457193.0
2020-06-09,11.01,10.61,10.34,11.13,1496991.0
2020-06-10,9.65,9.15,8.92,9.99,2945450.0
2020-06-11,9.82,9.84,9.21,9.94,1266746.0
2020-06-14,9.21,9.94,9.0953,10.19,1711534.0
2020-06-15,10.66,10.15,9.92,10.671,1174827.0
2020-06-16,10.29,10.21,10.04,10.55,1494288.0
2020-06-17,10.02,10.05,9.87,10.26,940129
2020-06-18,10.09,9.83,9.61,10.21,3411072.0
2020-06-21,9.7,9.75,9.51,9.8,1023980.0
2020-06-22,9.98,10.1,9.88,10.12,1537157.0
2020-06-23,9.85,9.56,9.04,9.93,1800497.0
2020-06-24,9.4,10.15,9.38,10.17,1397960.0
2020-06-25,10.1,9.94,9.5501,10.14,2624856.0
2020-06-28,9.65,9.86,9.37,9.92,1539835.0
2020-06-29,9.8,9.81,9.54,9.91,1521058.0
2020-06-30,9.86,9.5,9.48,10.17,1451196.0
2020-07-01,9.77,9.35,9.235,9.83,1194779.0
2020-07-05,9.48,9.48,9.365,9.79,949314
2020-07-06,9.35,9.04,9.02,9.36,1270892.0
2020-07-07,9.01,9.07,8.92,9.22,1320534.0
2020-07-08,9.01,8.76,8.67,9.06,1528461.0
2020-07-09,8.68,9.14,8.67,9.16,1397863.0
2020-07-12,9.25,9.05,8.99,9.31,1290468.0
2020-07-13,9,9.16,8.97,9.265,690372
2020-07-14,9.55,9.7,9.38,9.83,1331407.0
2020-07-15,9.49,9.49,9.44,9.78,1132356.0
2020-07-16,9.51,9.35,9.32,9.56,630360
2020-07-19,9.28,9.25,9.03,9.35,623813
2020-07-20,9.42,9.39,9.29,9.5,631435
2020-07-21,9.34,9.63,9.34,9.66,757135
2020-07-22,9.55,9.44,9.43,9.665,780135
2020-07-23,9.42,9.13,9.13,9.505,872464
2020-07-26,9.08,9.06,8.97,9.15,1032915.0
2020-07-27,8.95,9.31,8.95,9.43,1641474.0
2020-07-28,9.32,9.37,9.19,9.39,752615
2020-07-29,9.15,9.31,9.09,9.32,871938
2020-07-30,9.45,9.3,9.265,9.92,2032621.0
2020-08-02,9.33,9.16,8.94,9.36,1709240.0
2020-08-03,9.15,9.25,9.095,9.335,1218953.0
2020-08-04,9.33,9.49,9.19,9.52,1517698.0
2020-08-05,9.47,9.43,9.4,9.645,1174749.0
2020-08-06,9.37,9.49,9.23,9.55,1134506.0
