date,open_price,close_price,lowest_price,highest_price,volume
2022-05-30,0.12,0.1,0.1,0.12,1691200.0
2022-05-31,0.09,0.1,0.09,0.101,1336053.0
2022-06-01,0.1,0.13,0.1,0.13,252848
2022-06-06,0.1,0.1,0.1,0.12,866914
2022-06-07,0.1,0.1,0.1,0.1,312
2022-06-09,0.0955,0.0975,0.095,0.0975,77700
2022-06-12,0.1,0.09,0.09,0.1,47570
2022-06-14,0.09,0.0998,0.09,0.1,18359
2022-06-22,0.1,0.1,0.1,0.1,500
2022-06-26,0.1,0.1,0.1,0.1,20001
2022-06-27,0.09,0.1,0.09,0.1,44001
2022-06-28,0.1,0.11,0.1,0.11,56006
2022-06-29,0.115,0.115,0.115,0.115,10000
2022-06-30,0.11,0.11,0.11,0.1125,10606
2022-07-06,0.1005,0.1,0.0911,0.10555,75780
2022-07-11,0.096,0.1026,0.091,0.1026,337580
2022-07-17,0.091,0.093,0.091,0.1075,14269
2022-07-18,0.1075,0.1075,0.1075,0.1075,15978
2022-07-19,0.0851,0.09,0.0851,0.095,19079
2022-07-28,0.085,0.105,0.085,0.105,1015
2022-08-02,0.0875,0.0875,0.0875,0.0875,1109
2022-08-08,0.0875,0.1,0.0875,0.1,129503
2022-08-16,0.0875,0.0846,0.08,0.0875,77400
2022-08-17,0.075,0.0738,0.07,0.075,40800
2022-08-22,0.07,0.069983,0.0631,0.07,139208
2022-08-25,0.06,0.06,0.06,0.06,172600
2022-08-31,0.105,0.095,0.095,0.105,500
2022-09-08,0.0601,0.06,0.06,0.0601,302309
2022-09-11,0.06,0.0672,0.0534,0.0672,5999
2022-09-13,0.08,0.07,0.07,0.08,290100
2022-09-14,0.07,0.075,0.07,0.075,45800
2022-09-20,0.075,0.07,0.07,0.075,80000
2022-09-25,0.07,0.07,0.07,0.07,10112
2022-09-29,0.0749,0.0749,0.074799,0.0749,27200
2022-10-02,0.079,0.07,0.07,0.079,800
2022-10-05,0.075,0.0743,0.0742,0.075,37868
2022-10-06,0.075,0.079,0.075,0.079,20051
2022-10-09,0.07,0.07,0.07,0.07,43744
2022-10-10,0.07,0.07,0.07,0.07,100
2022-10-12,0.075,0.075,0.0746,0.078,151699
2022-10-13,0.07,0.07,0.07,0.07,30518
2022-10-16,0.07,0.0602,0.0602,0.07,1882
2022-10-17,0.0601,0.05,0.05,0.0601,55501
2022-10-18,0.051,0.060001,0.05,0.060001,101700
2022-10-19,0.0549,0.06,0.0549,0.06,28107
2022-10-20,0.06,0.06,0.06,0.0637,67500
2022-10-23,0.06,0.065,0.06,0.065,97400
2022-10-25,0.05,0.08,0.05,0.0862,102596
2022-10-27,0.099,0.08,0.08,0.099,303905
2022-10-30,0.0845,0.0845,0.0845,0.0845,1200
2022-10-31,0.07,0.07,0.07,0.07,26600
2022-11-01,0.08,0.066,0.066,0.08,14700
2022-11-02,0.07,0.07,0.07,0.0952,160777
2022-11-03,0.07,0.091,0.07,0.091,251600
2022-11-06,0.099,0.099,0.099,0.099,100
2022-11-07,0.099,0.099,0.099,0.099,200
2022-11-08,0.07,0.07,0.07,0.07,25044
2022-11-09,0.065,0.065,0.0646,0.0763,81350
2022-11-13,0.06,0.06,0.06,0.06,3067
2022-11-16,0.06,0.06,0.06,0.06,161
2022-11-17,0.06,0.0565,0.0564,0.06,25640
2022-11-20,0.0575,0.0575,0.0575,0.0575,300
2022-11-22,0.06,0.07,0.06,0.07,141518
2022-11-28,0.07,0.07,0.07,0.07,1399
2022-11-29,0.07,0.07,0.07,0.07,6622
2022-11-30,0.0601,0.0606,0.06,0.0606,125000
2022-12-05,0.06,0.06,0.06,0.06,25000
2022-12-07,0.0575,0.057501,0.0575,0.06,67456
2022-12-08,0.06,0.06,0.06,0.06,19500
2022-12-18,0.06,0.06,0.06,0.06,6432
2022-12-20,0.067,0.067,0.067,0.067,1900
2022-12-21,0.07,0.067,0.067,0.08,30300
2022-12-22,0.067,0.0617,0.0617,0.067,1471
2022-12-28,0.06875,0.06,0.0575,0.08,43436
2023-01-02,0.0601,0.0601,0.0601,0.0601,1431
2023-01-03,0.0625,0.0625,0.0613,0.0625,33670
2023-01-04,0.06,0.086125,0.06,0.086125,21760
2023-01-05,0.0688,0.0688,0.0688,0.0688,5000
2023-01-08,0.07,0.07,0.07,0.07,500
2023-01-09,0.095,0.065,0.065,0.095,1500
2023-01-10,0.065,0.065,0.065,0.066475,53570
2023-01-11,0.065,0.08,0.065,0.08,97150
2023-01-12,0.08,0.075,0.0651,0.08,21250
2023-01-16,0.0675,0.0676,0.0675,0.0676,350
2023-01-17,0.068,0.068,0.068,0.068,109
2023-01-18,0.068,0.07,0.068,0.07,144400
2023-01-19,0.075,0.085,0.075,0.085,154765
2023-01-23,0.08,0.08,0.08,0.08,78800
2023-01-24,0.08,0.08,0.08,0.08,25200
2023-02-12,0.075,0.075,0.075,0.075,200
2023-02-15,0.09,0.09,0.09,0.09,5500
2023-02-16,0.1,0.1274,0.090049,0.2501,257666
2023-02-20,0.086,0.1008,0.086,0.1275,1640
2023-02-21,0.1275,0.1397,0.0962,0.3026,169901
2023-02-22,0.15,0.15,0.15,0.15,100
2023-02-26,0.1007,0.1075,0.1,0.1075,21166
2023-03-01,0.105,0.105,0.1,0.105,61400
2023-03-02,0.14,0.175,0.13505,0.175,2318
2023-03-05,0.0975,0.0975,0.0975,0.0975,2201
2023-03-06,0.1071,0.1151,0.1071,0.1151,37868
2023-03-07,0.107,0.0901,0.0901,0.107,2450
2023-03-09,0.0977,0.09,0.09,0.0977,36402
2023-03-14,0.0851,0.0902,0.0851,0.095,26699
2023-03-15,0.095,0.0901,0.0875,0.0975,30500
2023-03-19,0.089,0.085233,0.0851,0.0954,26840
2023-03-21,0.0975,0.0975,0.0975,0.0975,700
2023-04-02,0.0975,0.087,0.087,0.0975,1708
2023-04-09,0.087,0.0925,0.087,0.0925,5249
2023-04-11,0.0801,0.0801,0.0801,0.0801,2645
2023-04-18,0.0901,0.0901,0.0901,0.0901,511
2023-04-19,0.085,0.0925,0.085,0.0925,30338
2023-04-25,0.095,0.0949,0.0949,0.095,795
2023-04-26,0.095,0.0949,0.0949,0.095,307
2023-05-07,0.0801,0.0801,0.0801,0.0801,19500
