date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,4,4.03,3.93,4.04,703872
2021-06-01,3.99,3.94,3.91,4.03,761676
2021-06-02,3.96,3.93,3.8575,3.96,502402
2021-06-03,3.93,3.86,3.86,3.99,505846
2021-06-06,3.89,4.04,3.87,4.0641,786459
2021-06-07,4.06,4.1,4.04,4.17,778950
2021-06-08,4.12,4.34,4.12,4.36,1845110.0
2021-06-09,4.37,4.46,4.32,4.62,3836209.0
2021-06-10,4.55,4.38,4.34,4.69,2624163.0
2021-06-13,4.3821,4.25,4.18,4.3821,1830952.0
2021-06-14,4.27,4.12,4.0699,4.28,1260526.0
2021-06-15,4.1426,4.11,4.03,4.1501,1162828.0
2021-06-16,4.11,4.17,4.03,4.26,2472488.0
2021-06-17,4.16,4.06,4.04,4.18,1225135.0
2021-06-20,4.06,4.01,3.92,4.09,1795117.0
2021-06-21,4.02,3.97,3.92,4.05,1341476.0
2021-06-22,4.06,3.98,3.94,4.09,1606614.0
2021-06-23,3.98,4.07,3.9711,4.11,1381381.0
2021-06-24,4.04,4.1,4.015,4.1399,5948185.0
2021-06-27,4.1,3.98,3.98,4.17,1439550.0
2021-06-28,3.97,3.91,3.85,3.99,1716165.0
2021-06-29,3.89,3.88,3.83,3.95,1178391.0
2021-06-30,3.91,3.82,3.8,3.91,2037810.0
2021-07-01,3.83,3.67,3.62,3.84,3540909.0
2021-07-05,3.7,3.61,3.53,3.7044,1671520.0
2021-07-06,3.62,3.51,3.505,3.63,1464003.0
2021-07-07,3.42,3.57,3.3908,3.615,1270222.0
2021-07-08,3.57,3.68,3.535,3.69,817950
2021-07-11,3.69,3.58,3.57,3.8,924927
2021-07-12,3.56,3.47,3.45,3.58,1196740.0
2021-07-13,3.49,3.47,3.4499,3.54,988933
2021-07-14,3.45,3.43,3.33,3.4797,1160547.0
2021-07-15,3.45,3.39,3.385,3.5,482187
2021-07-18,3.325,3.5,3.32,3.5,777786
2021-07-19,3.5,3.56,3.44,3.57,877920
2021-07-20,3.56,3.6,3.52,3.645,954754
2021-07-21,3.63,3.57,3.515,3.6399,576228
2021-07-22,3.56,3.5,3.465,3.56,680501
2021-07-25,3.48,3.44,3.4,3.515,1510608.0
2021-07-26,3.44,3.44,3.37,3.45,648164
2021-07-27,3.41,3.54,3.41,3.56,364132
2021-07-28,3.56,3.47,3.46,3.56,331111
2021-07-29,3.44,3.47,3.36,3.48,814454
2021-08-01,3.48,3.47,3.445,3.545,402190
2021-08-02,3.52,3.66,3.52,3.72,2268562.0
2021-08-03,3.7,3.62,3.6,3.75,1008495.0
2021-08-04,3.6,3.65,3.58,3.69,747897
2021-08-05,3.71,3.66,3.65,3.72,906961
2021-08-08,3.69,3.56,3.56,3.715,864952
2021-08-09,3.59,3.51,3.48,3.59,483039
2021-08-10,3.54,3.53,3.485,3.65,1058291.0
2021-08-11,3.54,3.58,3.5,3.6,346206
2021-08-12,3.65,3.58,3.56,3.69,902392
2021-08-15,3.6,3.49,3.43,3.6,664778
2021-08-16,3.49,3.56,3.43,3.57,769098
2021-08-17,3.63,3.67,3.61,3.82,1436331.0
2021-08-18,3.63,3.46,3.44,3.66,1003496.0
2021-08-19,3.44,3.52,3.41,3.57,752646
2021-08-22,3.53,3.67,3.52,3.69,934300
2021-08-23,3.65,3.76,3.64,3.78,1027668.0
2021-08-24,3.76,3.72,3.64,3.76,368858
2021-08-25,3.71,3.69,3.675,3.79,384910
2021-08-26,3.69,3.67,3.62,3.74,674552
2021-08-29,3.71,3.68,3.65,3.715,449104
2021-08-30,3.69,3.8,3.67,3.87,835011
2021-08-31,3.81,3.9,3.785,3.94,1243420.0
2021-09-01,3.15,3.27,3.09,3.3,4198081.0
2021-09-02,3.25,3.26,3.1726,3.28,1213170.0
2021-09-06,3.2253,3.2,3.15,3.2593,1094867.0
2021-09-07,3.22,3.16,3.12,3.235,837103
2021-09-08,3.13,3.14,3.09,3.17,862622
2021-09-09,3.17,3.23,3.09,3.26,751194
2021-09-12,3.22,3.3,3.155,3.47,1041009.0
2021-09-13,3.29,3.26,3.175,3.36,939345
2021-09-14,3.24,3.2,3.169,3.26,713872
2021-09-15,3.22,3.22,3.16,3.23,353821
2021-09-16,3.2,3.23,3.2,3.265,682151
2021-09-19,3.22,3.25,3.145,3.27,460077
2021-09-20,3.24,3.24,3.23,3.29,573166
2021-09-21,3.23,3.26,3.23,3.28,328335
2021-09-22,3.26,3.3,3.25,3.3,419418
2021-09-23,3.25,3.37,3.23,3.42,588751
2021-09-26,3.39,3.5,3.3615,3.55,645005
2021-09-27,3.49,3.49,3.445,3.52,462495
2021-09-28,3.5,3.48,3.44,3.5,469859
2021-09-29,3.47,3.475,3.42,3.5,465385
2021-09-30,3.47,3.46,3.415,3.51,668699
2021-10-03,3.43,3.42,3.37,3.45,513755
2021-10-04,3.42,3.33,3.26,3.43,752865
2021-10-05,3.29,3.3,3.2,3.37,738014
2021-10-06,3.29,3.3,3.25,3.31,481657
2021-10-07,3.3,3.29,3.23,3.3,452430
2021-10-10,3.31,3.27,3.255,3.31,419889
2021-10-11,3.3,3.33,3.26,3.35,463035
2021-10-12,3.32,3.32,3.3,3.385,445224
2021-10-13,3.33,3.27,3.25,3.335,529680
2021-10-14,3.28,3.26,3.21,3.29,348807
2021-10-17,3.26,3.21,3.115,3.285,721257
2021-10-18,3.22,3.25,3.195,3.255,348265
