date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,8.44,8.25,8.23,8.5,36745
2021-06-01,8.32,8.73,8.245,8.96,140515
2021-06-02,8.69,8.2,8.2,8.69,68652
2021-06-03,8.22,8.26,8.02,8.31,166756
2021-06-06,8.23,8.35,8.23,8.41,79213
2021-06-07,8.36,8.23,8.21,8.54,83580
2021-06-08,8.73,8.69,8.66,9.03,144021
2021-06-09,8.72,8.29,8.27,8.8,56869
2021-06-10,8.36,8.26,8.13,8.36,80199
2021-06-13,8.23,8.2,8.2,8.455,75555
2021-06-14,8.2,8.01,7.96,8.2,106072
2021-06-15,8.11,8.16,8.05,8.29,149572
2021-06-16,8.16,8.18,8.09,8.36,132687
2021-06-17,8.09,8.16,8.01,8.255,136421
2021-06-20,8.15,8.18,7.97,8.3,266299
2021-06-21,8.13,8.44,8.1,8.525,283084
2021-06-22,8.44,8.22,8.2,8.58,123462
2021-06-23,8.26,8.64,8.2,8.7,135556
2021-06-24,8.59,8.86,8.43,8.92,2016053.0
2021-06-27,8.89,9.13,8.77,9.25,88857
2021-06-28,9.09,8.92,8.835,9.19,80240
2021-06-29,8.91,8.87,8.75,8.975,64170
2021-06-30,8.84,8.78,8.75,8.87,63154
2021-07-01,8.83,8.73,8.6,8.86,43370
2021-07-05,8.79,8.3,8.28,8.8,54819
2021-07-06,8.35,8.28,8.2,8.3967,165614
2021-07-07,8.2,8.48,8.09,8.49,85599
2021-07-08,8.6,8.47,8.35,8.69,37805
2021-07-11,8.48,8.33,8.33,8.69,25907
2021-07-12,8.33,8.2,8.2,8.43,48242
2021-07-13,8.28,8.22,8.1,8.33,75482
2021-07-14,8.25,8.28,8.1,8.31,86909
2021-07-15,8.2,8.2,8.2,8.37,74863
2021-07-18,8.17,8.32,7.96,8.36,235768
2021-07-19,8.35,8.67,8.33,8.86,42901
2021-07-20,8.7,8.71,8.61,8.88,25774
2021-07-21,8.69,8.65,8.6,8.88,26237
2021-07-22,8.68,8.96,8.52,9.13,56343
2021-07-25,8.97,8.74,8.73,9.1,23127
2021-07-26,8.76,9.09,8.73,9.5,174319
2021-07-27,9.11,9.04,8.95,9.245,76883
2021-07-28,9.03,9.29,9.01,9.36,36131
2021-07-29,9.3,9.42,9.3,9.52,67614
2021-08-01,9.43,9.4,9.15,9.59,55692
2021-08-02,9.49,9.29,9.1783,9.49,51181
2021-08-03,9.25,9.35,9.205,9.43,22113
2021-08-04,9.33,9.33,9.29,9.4,29544
2021-08-05,9.36,9.37,8.848,9.51,28477
2021-08-08,9.38,9.29,9.27,9.48,26355
2021-08-09,9.3,9.26,9.01,9.43,48624
2021-08-10,9.29,9.39,9.19,9.47,66414
2021-08-11,9.34,9.65,9.34,9.75,151235
2021-08-12,9.59,9.45,9.45,9.7499,46885
2021-08-15,9.35,9.2,9.1366,9.35,39855
2021-08-16,9.1,9.04,8.99,9.32,58996
2021-08-17,9.048,9.09,9.04,9.27,37605
2021-08-18,9,8.93,8.8,9.03,37079
2021-08-19,9,8.83,8.75,9.06,62807
2021-08-22,8.84,9,8.84,9.088,71333
2021-08-23,9.01,8.97,8.74,9.18,64388
2021-08-24,8.91,8.95,8.865,9.155,71806
2021-08-25,8.88,8.91,8.88,9,10872
