date,open_price,close_price,lowest_price,highest_price,volume
2023-01-18,0.1515,0.1474,0.12,0.2538,1159001.0
2023-01-19,0.14,0.1333,0.12,0.14,335707
2023-01-23,0.13,0.13,0.13,0.13,343205
2023-01-24,0.13,0.15,0.13,0.2,373312
2023-01-26,0.151,0.1501,0.145,0.151,465100
2023-01-29,0.1501,0.1501,0.1501,0.1501,621
2023-02-07,0.1601,0.1601,0.16,0.1601,140101
2023-02-08,0.1601,0.1601,0.1601,0.1601,500
2023-02-09,0.1601,0.1601,0.1601,0.1601,500
2023-02-12,0.1601,0.1601,0.1601,0.1601,723
2023-02-16,0.1601,0.1601,0.1601,0.1601,450
2023-02-21,0.1601,0.1601,0.1601,0.1601,124500
2023-02-23,0.1601,0.1601,0.1601,0.1601,75000
2023-02-28,0.1601,0.1601,0.1601,0.1601,26400
2023-03-07,0.19,0.2,0.19,0.2,10000
2023-03-08,0.16,0.16,0.16,0.16,1000
2023-03-09,0.1601,0.1601,0.1601,0.1601,1000
2023-03-12,0.1601,0.1601,0.1601,0.1601,964
2023-03-14,0.1601,0.1601,0.1601,0.1601,100
2023-03-15,0.1601,0.1601,0.1601,0.1601,100300
2023-03-16,0.1601,0.1601,0.1601,0.1601,66800
2023-03-19,0.1601,0.1601,0.1601,0.1601,100
2023-03-20,0.1601,0.1601,0.1601,0.1601,100
2023-03-27,0.2,0.1701,0.1701,0.2,26000
2023-04-02,0.1701,0.1701,0.1701,0.1701,416
2023-04-12,0.2,0.2,0.2,0.2,11500
2023-04-24,0.2,0.2,0.2,0.2,500
2023-05-08,0.2,0.17,0.17,0.2,20890
2023-05-09,0.15,0.15,0.15,0.15,833
2023-05-10,0.077,0.15,0.0638,0.15,24616
2023-05-11,0.15,0.15,0.15,0.15,1102
2023-05-14,0.1499,0.1001,0.1001,0.15,30102
2023-05-16,0.13,0.1,0.1,0.13,247465
2023-05-17,0.12,0.12,0.12,0.12,1000
2023-05-18,0.12,0.12,0.11,0.12,625
