date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,111.28,111.42,110.6,111.88,278238
2020-06-01,111.75,112.07,110.94,112.47,227559
2020-06-02,112.7,113.28,112.7,114.1,198392
2020-06-03,113.5,112.14,111.015,113.5,184116
2020-06-04,113.8,113.4,112.905,114.28,239028
2020-06-07,112.82,113.58,112.29,114,247095
2020-06-08,112.78,112.47,111.91,113.45,294470
2020-06-09,113,111.64,110.82,113,369478
2020-06-10,110,104.25,104.21,110.61,379704
2020-06-11,106.69,105.36,103.08,107.53,250253
2020-06-14,103.44,105.41,103.065,106.54,239519
2020-06-15,108.3,107.39,106.86,109.09,255097
2020-06-16,108.19,106.91,106.37,108.65,209543
2020-06-17,106.28,106.99,105.97,107.97,219169
2020-06-18,107.21,107.6,106.1,107.99,348324
2020-06-21,106.94,107.55,105.5,107.67,243740
2020-06-22,108.46,107.44,106.92,108.46,229709
2020-06-23,106.58,105.94,105.85,107.52,435120
2020-06-24,105.41,107.6,103.78,107.63,265237
2020-06-25,107.12,107.72,106.17,108.69,925877
2020-06-28,108.24,109.25,107.89,110.19,190553
2020-06-29,109.13,111.98,109.13,112.28,422835
2020-06-30,111.91,112.48,110.95,112.665,249922
2020-07-01,113.44,114.97,113.44,115.01,273792
2020-07-05,115.99,115.26,114.18,116.66,335743
2020-07-06,114.64,115.15,114.18,116,348679
2020-07-07,114.79,112.93,112.59,115.75,207555
2020-07-08,113.16,113.76,111.405,114.14,309433
2020-07-09,114.17,114.95,112.395,115.17,245431
2020-07-12,114.96,113.43,113.27,116.265,292189
2020-07-13,113.76,116.31,113.69,116.5,195163
2020-07-14,117.44,117.9,116.54,118.29,330248
2020-07-15,118.04,117.24,116.8,118.49,254828
2020-07-16,118,119.4,117.34,119.71,252465
2020-07-19,119.4,119.29,118.27,119.75,185113
2020-07-20,119.58,118.18,117.67,119.87,396438
2020-07-21,118.25,118.5,117.41,118.98,416615
2020-07-22,118.39,118.44,118.09,119.23,289504
2020-07-23,119,118.85,118.38,119.785,246546
2020-07-26,118.83,119.85,118.5,120.45,284163
2020-07-27,119.81,118.05,117.78,119.81,210230
2020-07-28,118.72,118.81,117.33,119.41,253302
2020-07-29,117.75,117.91,116.7,118.91,361412
2020-07-30,115,115.2,111.22,117.9,678838
2020-08-02,116.85,118.66,114.85,119.68,297022
2020-08-03,118.95,118.62,118.22,120.18,235426
2020-08-04,119.56,118.36,118.22,120.67,166983
2020-08-05,118.82,117.66,116.68,120.11,248569
2020-08-06,117.07,119.25,116.78,119.37,203563
2020-08-09,119.58,117,116.9,119.58,205998
2020-08-10,118.02,116.74,116.53,119.35,215520
2020-08-11,116.92,118.09,116.75,118.57,176122
2020-08-12,117.24,118.52,117.24,119.47,215544
2020-08-13,117.88,118.49,117.7,119.635,135917
2020-08-16,119.14,118.25,118.01,119.92,162212
2020-08-17,117.91,117.88,116.77,118.64,173140
2020-08-18,118.7,117.69,117.32,119.37,147478
2020-08-19,117.06,117.55,116.6,118.125,160895
2020-08-20,117.12,117.8,116.4,118.35,200668
2020-08-23,118.2,119.11,118.2,119.76,228761
2020-08-24,119.54,118.13,117.93,119.54,115221
2020-08-25,117.99,118.6,117.56,119,121260
2020-08-26,118.63,120.05,118.5,120.62,211704
2020-08-27,119.7,118.13,118,119.7,296637
2020-08-30,118.58,118.39,117.78,119.16,184176
2020-08-31,117.94,119.5,117.94,119.64,135427
2020-09-01,119.75,122.26,118.97,122.44,155004
2020-09-02,122.28,119.17,118.5,122.28,229559
2020-09-03,120.04,118.72,116.49,120.3,225992
2020-09-07,118.13,116.06,116.04,118.13,166997
2020-09-08,116.64,117.89,116.64,118.63,156014
2020-09-09,118.17,117.19,116.71,118.91,254552
2020-09-10,117.88,118.36,117.13,118.71,125387
2020-09-13,119.37,119.08,118.47,120.06,130967
2020-09-14,119.44,118.33,118.12,119.8,126408
2020-09-15,119.58,117.77,117.57,119.58,236656
2020-09-16,116.5,115.96,115.08,117.24,355994
2020-09-17,116.58,115.04,114.23,116.75,604736
2020-09-20,113.6,113.45,111.82,114.04,253896
2020-09-21,113.97,114.33,113.56,114.67,294102
2020-09-22,114.2,112.14,111.71,114.53,173892
2020-09-23,111.9,112.26,111.16,113.17,275032
2020-09-24,111.46,112.1,111.46,112.58,255839
2020-09-27,113.17,112.36,112.04,114.22,231223
2020-09-28,112.06,112.62,111.745,113.35,236629
2020-09-29,113.27,113.2,112.5,114.06,201780
2020-09-30,113.45,113.7,113.14,114.97,169001
2020-10-01,112.31,112.85,112.31,114.175,168281
2020-10-04,113.36,114.55,113.21,114.93,152575
2020-10-05,115.01,114.56,113.92,115.9,225516
2020-10-06,115.09,114.98,114.5,116.17,174607
2020-10-07,115.8,116.52,115.52,116.79,139926
2020-10-08,118.12,116.81,116.185,118.39,156855
2020-10-11,117.05,118.04,116.7,118.825,139152
2020-10-12,117.73,117.56,117.25,118.91,160908
2020-10-13,117.5,116.44,116.04,118.03,101550
2020-10-14,114.72,116.34,114.22,116.59,126386
2020-10-15,116.71,116.35,116.19,117.23,98954
2020-10-18,116.64,115.15,114.58,116.64,115074
2020-10-19,116.05,116.96,115.22,117.56,196591
2020-10-20,117.27,117.74,117.27,118.76,134813
2020-10-21,117.89,118.31,116.745,118.475,165374
2020-10-22,118.75,118.35,117.48,118.97,107060
2020-10-25,117.35,117.46,115.93,117.49,115249
2020-10-26,117.17,115.65,115.61,117.19,126182
2020-10-27,114.11,112.34,112.25,114.61,171553
2020-10-28,112.3,112.94,110.3445,113.1,280968
2020-10-29,116.25,114.09,113.54,116.76,381070
2020-11-01,115.17,118.19,114.67,118.29,216987
2020-11-02,118.5,119.56,118.329,121.46,245802
2020-11-03,120,119.05,118.1,120.02,153081
2020-11-04,120.61,122.91,120.43,123.1,187373
2020-11-05,123.59,123.6,122.47,124.61,223676
2020-11-08,127.62,123.17,122.11,128.86,340436
2020-11-09,123.39,127.61,122.9466,128.8,327299
2020-11-10,127.75,125.27,124.365,127.75,196830
2020-11-11,124.24,124.27,122.59,125.21,127541
2020-11-12,124.85,125.07,124.1,126,127071
2020-11-15,126.28,126.86,125.57,127,208990
2020-11-16,126.26,127.36,125.7,128.1,193782
2020-11-17,127.43,126.37,125.97,127.86,174016
2020-11-18,126.7,127.23,126,127.615,215093
2020-11-19,127.51,127.81,127.19,128.36,240349
2020-11-22,128.06,126.86,126.4024,129.12,183816
2020-11-23,128.16,127.88,126.875,128.47,241485
2020-11-24,128.48,126.29,125.77,128.48,138491
2020-11-26,126.55,127.24,126.08,127.3,67786
2020-11-29,126.79,126.32,125.685,126.93,205816
2020-11-30,127.15,127.82,126.42,128.58,166776
2020-12-01,127.36,126.26,125.72,128.05,135337
2020-12-02,126.07,125.87,125.15,127.11,140555
2020-12-03,125.48,127.68,125.48,127.8,145778
2020-12-06,127.99,128.63,127.64,128.99,116030
2020-12-07,128.29,129.19,127.9381,130.9,162681
2020-12-08,129.13,129.53,128.66,130.18,147847
2020-12-09,129.47,130.47,129.02,131.09,249398
2020-12-10,129.59,130.45,129.59,131.1,166609
2020-12-13,131.05,128.41,128.2,131.99,208644
2020-12-14,128.56,130.26,128.31,130.65,159989
2020-12-15,130.99,131.1,130.2,131.7399,267618
2020-12-16,131.29,133.14,131,133.69,298838
2020-12-17,134,134.1,133.64,134.67,700519
2020-12-20,132.78,134.89,131.5,135,213500
2020-12-21,134.65,134.5,134.01,136.22,258447
2020-12-22,134.52,134.53,134.45,135.75,192474
2020-12-23,135,135.7,134.65,136.37,85108
2020-12-27,136.19,135.68,135.055,137.14,101583
2020-12-28,136.27,135.31,134.8387,136.75,96369
2020-12-29,135.91,136.39,135.456,137.36,100701
2020-12-30,136.77,136.89,135.61,137.32,170395
2021-01-03,135.92,134,133.68,137.97,327422
2021-01-04,134.13,133.7,133.54,135.29,262716
2021-01-05,134.22,137.72,134.22,137.97,290623
2021-01-06,137.52,139.7,136.505,140,194994
2021-01-07,139.57,139.07,137.755,140.62,143024
2021-01-10,139.5,138.79,138.38,139.87,119158
2021-01-11,138.81,138.15,137.09,139.23,202415
2021-01-12,137.95,138.58,136.14,139.58,246658
2021-01-13,138.5,139.45,137.52,140.71,183526
2021-01-14,139.04,138.83,138.37,141.33,152202
2021-01-18,139.58,137.26,137.25,140.62,224921
2021-01-19,137.73,140.62,137.49,140.75,256369
2021-01-20,140.27,138.11,138.01,141.125,210507
2021-01-21,137.86,138.19,137.11,138.38,229404
2021-01-24,138.16,139.57,137.85,139.92,190518
2021-01-25,139.43,138.85,137.08,140,127935
2021-01-26,137.53,133.25,133.15,137.53,188819
2021-01-27,134.08,135.25,133.6064,135.8,168319
2021-01-28,134.43,132.97,131.82,135.36,379928
2021-01-31,134.13,134.09,131.805,134.39,186157
2021-02-01,135.05,136.94,134.74,138.12,194787
2021-02-02,136.16,136.56,135.385,137.3,141668
2021-02-03,136.12,138,135,138.4,252818
2021-02-04,139.46,140.66,138.715,140.73,179828
2021-02-07,141.25,141.98,140.53,142,173867
2021-02-08,141.96,142.17,141.22,142.89,184684
2021-02-09,143,143.25,142.505,144.105,152312
2021-02-10,143.5,142.97,142.06,144.32,197869
2021-02-11,142.38,144.63,142.38,144.76,105709
2021-02-15,144.61,143.6,142.9,144.72,178906
2021-02-16,143.75,143.21,142.445,144.175,210053
2021-02-17,142.62,140.99,140.99,143.18,209756
2021-02-18,138.57,132.24,131.61,138.57,496579
2021-02-21,131.25,129.1,127.5,131.37,350663
2021-02-22,127.82,128.28,126.78,128.72,496655
2021-02-23,128.26,128.76,127.8,129.04,214650
2021-02-24,128.77,130.3,128.77,130.91,380106
2021-02-25,131.06,130.07,129.555,131.57,387557
2021-02-28,130.78,130.6,129.875,132,284590
2021-03-01,130.44,130.35,129.47,130.6646,369113
2021-03-02,130.37,131.05,129.5037,132.18,221838
2021-03-03,130.89,130.4,130.125,131.9,494167
2021-03-04,131.14,134.09,130.41,134.14,206068
2021-03-07,134.83,137.71,134.1,138.48,235528
2021-03-08,138.68,137.69,137.68,140.67,252365
2021-03-09,138.21,139.38,137.935,140.12,151921
