date,open_price,close_price,lowest_price,highest_price,volume
2021-10-28,14.1,14.8,14,18.37,1573558.0
2021-10-31,14.85,15.3,14.46,16.9,433375
2021-11-01,15.06,17.21,15.0201,21,619594
2021-11-02,17.01,17.83,15.52,18.72,197496
2021-11-03,17.82,18.31,17.5,19.85,207681
2021-11-04,19.7213,18.69,17.2201,21.485,212211
2021-11-07,18.5,15.8,15.8,20.0483,274267
2021-11-08,16.05,17.15,16.05,17.47,94359
2021-11-09,17,16.26,16,17.29,106833
2021-11-10,16.71,17.25,16.475,17.69,86704
2021-11-11,17.23,17.49,17.0604,18.305,85768
2021-11-14,16.8775,20.7,16.8775,20.84,217226
2021-11-15,20.39,24.89,20.345,26.16,234176
2021-11-16,24.88,23.99,23.141,25.2175,147529
2021-11-17,23.83,22.31,21.78,24.555,94645
2021-11-18,22.35,22.5,21.38,24,69474
2021-11-21,22.5,19.82,18.5,23.17,121944
2021-11-22,19.82,17.95,17.02,21.585,101936
2021-11-23,18.62,19.99,17.7,22.7909,301179
2021-11-25,19.24,22.62,18.53,22.97,84954
2021-11-28,22.2,17.75,16.6101,22.2,189636
2021-11-29,18.06,17.44,16.65,18.75,47677
2021-11-30,18,18.11,17.2,18.75,73055
2021-12-01,17.97,19.14,17.685,19.34,74823
2021-12-02,18.85,18.61,17.075,18.99,54397
2021-12-05,19,16.56,16.04,19,77025
2021-12-06,16.51,15.7,15,17.63,207891
2021-12-07,15.7,16.56,15.2,17.15,149898
2021-12-08,16.98,17.2,16.11,17.3485,52089
2021-12-09,16.0289,17.25,16.0289,17.3,28653
2021-12-12,17,16.45,15.805,17.21,59341
2021-12-13,16.465,17,15.84,17.59,96383
2021-12-14,17.55,18.26,16.426,19.11,84438
2021-12-15,17.83,18.13,17.48,19.27,120281
2021-12-16,17.94,16.11,15.25,18.34,715332
2021-12-19,15.37,14.76,13.5,16.595,460720
2021-12-20,14.57,15.01,14.28,15.23,126372
2021-12-21,14.99,15.32,14.92,15.75,52398
2021-12-22,15.4,16.04,15.125,16.51,31718
2021-12-26,16.1,17.61,15.5211,17.61,35196
2021-12-27,17.61,16.18,15.99,17.99,34273
2021-12-28,16.14,16.51,15.75,16.51,26767
2021-12-29,16.35,16.62,15.84,16.99,19132
2021-12-30,16.33,16.98,16.33,17.26,28746
2022-01-02,17.32,18.79,16.925,18.99,33630
2022-01-03,18.59,18.94,18.0101,19.67,89592
2022-01-04,18.37,17.3,17.11,18.91,15447
2022-01-05,17.4,18.25,16.472,18.3,12365
2022-01-06,18.61,16.93,16.73,18.85,12533
2022-01-09,17,17.73,16.48,17.95,8754
2022-01-10,17.95,17.59,16.91,17.95,10377
2022-01-11,17.87,15.94,15.94,17.87,14158
2022-01-12,16.73,16.45,15.87,16.8,19880
2022-01-13,16,16.4,15.8,16.4,18518
2022-01-17,16.39,16.26,15.8645,16.4,8086
2022-01-18,16.66,19.5,16.38,19.5,99280
2022-01-19,19.99,18.16,17.78,19.99,35583
2022-01-20,17.98,17.81,16.74,18.34,24300
2022-01-23,17.51,18.01,17.3,18.25,48724
2022-01-24,18.2,17.87,17.71,19.0243,14443
2022-01-25,18.34,17.69,17.41,18.34,14797
