date,open_price,close_price,lowest_price,highest_price,volume
2021-07-19,24.55,24.47,24.126,24.7213,63365
2021-07-20,24.49,24.3399,24.1,24.49,21441
2021-07-21,24.165,24.2,24.12,24.3299,10422
2021-07-22,24.3,24.41,24.27,24.75,44886
2021-07-25,24.601,24.6,24.595,24.7,8557
2021-07-26,24.7,24.6399,24.6,24.7,4753
2021-07-27,24.65,24.7,24.55,24.7,12468
2021-07-28,24.72,24.7,24.65,24.72,18400
2021-07-29,24.73,24.66,24.65,24.94,15911
2021-08-01,24.7,24.7,24.34,24.7,49146
2021-08-02,25.45,25.3,24.68,25.45,10316
2021-08-03,24.68,24.67,24.6,24.785,50712
2021-08-04,24.6882,24.66,24.61,24.71,17691
2021-08-05,24.9,24.65,24.65,24.9,10579
2021-08-08,24.6999,24.7,24.65,24.7,4856
2021-08-09,24.68,24.69,24.5001,24.7,7307
2021-08-10,24.605,24.6696,24.605,24.7,13185
2021-08-11,24.61,24.68,24.61,24.7,4175
2021-08-12,24.7,24.685,24.6701,24.7,7558
2021-08-15,24.94,24.81,24.67,24.95,22647
2021-08-16,24.875,24.83,24.7,24.9915,10248
2021-08-17,24.846,24.7351,24.72,24.923,7744
2021-08-18,24.771,24.74,24.7,24.79,11111
2021-08-19,24.75,24.72,24.7,24.99,5207
2021-08-22,24.75,24.86,24.724,24.9,7643
2021-08-23,24.8879,24.94,24.845,24.94,6951
2021-08-24,24.82,24.93,24.82,24.9799,4362
2021-08-25,24.98,24.99,24.9247,24.99,8054
2021-08-26,23.5,25.14,23.5,25.45,9523
2021-08-29,25.2,25.2,25,25.25,7864
2021-08-30,25.1999,25.14,25.05,25.1999,9607
2021-08-31,25.14,25.7149,25.14,25.7149,26104
2021-09-01,25.6,25.5638,25.5,25.86,12931
2021-09-02,25.6613,25.58,25.58,25.6613,3073
2021-09-06,25.6133,25.2499,25.1709,25.6133,12897
2021-09-07,25.1756,25,25,25.6,8884
2021-09-08,25.25,25.25,25.15,25.64,3455
2021-09-09,25.1507,25.49,25.1507,25.49,363
2021-09-12,25.49,25.4182,25.3,25.49,1632
2021-09-13,25.3,25.6225,25.1001,25.6225,10482
2021-09-14,25.4683,26.25,25.37,26.25,18466
2021-09-15,26.05,26.0142,26.0142,26.185,1963
2021-09-16,26.12,26.48,26.12,26.5001,2391
2021-09-19,26.44,26.8149,26.44,26.8149,680
2021-09-20,26.085,26,25.11,26.44,5424
2021-09-21,25.4,25.9999,25.4,25.9999,3909
2021-09-22,25.8911,26.165,25.8911,26.345,1184
2021-09-23,26.04,26.0656,25.96,26.075,2778
2021-09-26,26.1,26.08,26.05,26.26,10490
2021-09-27,26.03,25.973,25.81,26.0499,3651
2021-09-28,26.2,26.0746,26.025,26.2998,6550
2021-09-29,25.998,25.95,25.8001,26.4291,3100
2021-09-30,26.4349,26.5,26.4349,26.5,335
2021-10-03,25.76,25.76,25.76,25.76,398
2021-10-04,26.05,25.76,25.76,26.2038,1866
2021-10-05,25.9,25.75,25.53,25.9,7819
2021-10-06,25.9418,25.9546,25.65,25.9546,5335
2021-10-07,25.95,25.72,25.72,25.95,752
2021-10-10,26.35,26.0671,26,26.4,8482
2021-10-11,26,26,26,26,763
2021-10-12,26.27,26.05,26.05,26.3,986
2021-10-13,26.1,26.205,26.05,26.225,1473
2021-10-14,26.1999,25.9,25.8,26.2,2555
2021-10-17,25.95,25.92,25.9,25.95,595
2021-10-18,25.9527,25.9999,25.8,25.9999,2005
2021-10-19,25.95,25.95,25.9,25.9661,4364
2021-10-20,26,26,26,26,1716
2021-10-21,25.9153,25.86,25.86,26,2073
2021-10-24,25.9999,26.0201,25.9644,26.0201,5624
2021-10-25,26.16,25.7,25.7,26.3,15759
2021-10-26,25.72,25.72,25.72,25.72,276
2021-10-27,25.87,25.93,25.67,26,11510
2021-10-28,25.9,25.69,25.49,25.9,7016
2021-10-31,25.9999,25.938,25.65,25.9999,10753
2021-11-01,25.95,25.75,25.66,26.15,10334
2021-11-02,25.72,25.5,25.0601,25.72,17879
2021-11-03,25.46,25.5234,25,25.7492,8821
2021-11-04,25.8372,25.45,25,25.9899,6791
2021-11-07,25.26,25.22,25.22,25.8481,15375
2021-11-08,25.21,25.2777,25.21,25.525,2877
