date,open_price,close_price,lowest_price,highest_price,volume
2021-08-25,34.44,34.56,34.2,36.18,19404.8333
2021-08-26,34.8,36,34.44,36.12,29696.3333
2021-08-29,36,36.12,35.76,37.44,23013.25
2021-08-30,36,37.2,35.88,37.68,22551.6667
2021-08-31,37.32,38.88,37.02,38.88,49482
2021-09-01,38.88,38.16,37.68,38.88,44132.0833
2021-09-02,34.8,36.24,34.326,36.9876,23552
2021-09-06,36.36,34.68,34.68,36.36,31987.75
2021-09-07,34.8,32.76,32.52,34.92,35572.3333
2021-09-08,32.4,32.88,31.8,33.48,26316.6667
2021-09-09,33.6,32.4,32.4,33.9168,24060.3333
2021-09-12,32.52,32.04,31.26,32.7,28504.0833
2021-09-13,32.04,30.72,30.3,32.4,49472.4167
2021-09-14,26.52,27.72,26.16,29.88,327288
2021-09-15,27.72,27.84,26.16,28.2,65952.5833
2021-09-16,28.08,30.48,27,30.84,274759.0833
2021-09-19,29.28,28.68,28.32,30.24,76025.5833
2021-09-20,29.04,29.4,28.2,29.64,49418.3333
2021-09-21,29.76,28.68,28.2,30.3252,65483.5
2021-09-22,28.92,29.52,28.44,29.76,30814.6667
2021-09-23,29.28,28.92,28.8,30,59833.5
2021-09-26,28.44,29.16,28.44,30,35798
2021-09-27,29.4,27.96,27.72,30,40239.5
2021-09-28,28.08,27,26.76,29.0952,39024.1667
2021-09-29,27.36,26.16,25.2,27.6,89705.1667
2021-09-30,26.28,27,25.44,27.84,44720.5833
2021-10-03,27,25.68,25.38,27.24,43303.6667
2021-10-04,26.28,25.2,24.6,26.28,43919.25
2021-10-05,24.84,24.72,24.36,25.56,56063
2021-10-06,25.08,25.92,24.72,26.04,80254.5833
2021-10-07,25.92,26.16,25.08,26.76,71152.0833
2021-10-10,26.4,25.8,25.44,27.12,28423.3333
2021-10-11,26.04,27.24,25.56,27.6,30855.3333
2021-10-12,27.12,27.12,26.64,27.36,15597.9167
2021-10-13,27.12,27.36,27.12,27.96,14488.4167
2021-10-14,27.96,27.24,26.76,27.96,30796
2021-10-17,26.88,26.52,25.62,26.94,22129.8333
2021-10-18,26.4,26.88,26.04,27,25058.25
2021-10-19,27,25.92,25.92,27,21912.9167
2021-10-20,26.04,26.28,25.68,26.76,22770.1667
2021-10-21,26.16,26.16,25.2,26.16,20507.5
2021-10-24,26.04,26.4,25.44,26.76,27827.6667
2021-10-25,26.16,26.64,25.2,27.24,31722.5833
2021-10-26,26.88,27.72,25.8,28.08,42498.5
2021-10-27,28.08,28.32,27,28.56,28738.4167
2021-10-28,27.84,28.08,27.6,28.5,27043.6667
2021-10-31,27.6,28.68,27.6,28.68,27800.5833
2021-11-01,28.32,27.96,27.12,28.56,43254.6667
2021-11-02,27.84,28.68,27.84,29.4,32348.4167
2021-11-03,28.56,28.44,28.2,28.8,11833.8333
2021-11-04,28.32,28.44,27.78,29.28,26278.4167
2021-11-07,28.32,28.44,27.84,28.68,19398.1667
2021-11-08,28.08,27.84,27.48,28.32,15807.6667
2021-11-09,26.88,27.36,26.6652,28.2,22513.5833
2021-11-10,27.36,27.72,26.52,27.96,14168.3333
2021-11-11,27.48,27.48,26.76,27.96,20393.25
2021-11-14,27.48,27,26.28,27.72,19719.5833
2021-11-15,27.84,26.76,26.16,27.84,18287.0833
2021-11-16,26.64,26.16,25.83,26.79,18446.5833
2021-11-17,26.16,25.8,25.08,26.16,31494.4167
2021-11-18,25.56,26.04,25.32,26.58,20479.25
2021-11-21,26.4,26.64,25.8,27,34252.25
2021-11-22,27,26.28,24.84,27.36,51685.5
2021-11-23,25.92,26.04,25.32,26.4,13818.75
2021-11-25,25.2,25.08,24.48,25.8,19501.8333
2021-11-28,25.2,24.24,24,25.5,29670.0833
2021-11-29,24.36,24,22.92,24.96,25993.5833
2021-11-30,24.48,22.44,22.32,25.08,22239.5833
2021-12-01,22.68,22.44,21.48,22.92,28523.4167
2021-12-02,22.8,21.6,21.1596,23.4,39142.8333
2021-12-05,21.72,21.48,20.64,22.332,24149.3333
2021-12-06,21.96,23.52,21.84,24,20152.3333
2021-12-07,23.76,23.88,23.16,24.36,13626.3333
2021-12-08,23.64,23.04,22.8,23.82,15378.3333
2021-12-09,22.8,22.2,22.2,23.4,14416.1667
2021-12-12,22.2,21.48,21,22.2,18902.9167
2021-12-13,21,20.52,20.52,21.84,19786.1667
2021-12-14,20.88,21.36,19.572,21.48,68528.5833
2021-12-15,21.84,21.36,21.24,22.32,20053.75
2021-12-16,21.36,20.88,20.52,22.2,95652.8333
2021-12-19,20.64,22.32,19.92,22.6956,57747.75
2021-12-20,22.56,22.2,21.72,22.8,35618.6667
2021-12-21,21.72,21.96,21.72,22.44,12078.6667
