date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,22,21.7,21.68,22.82,383796
2020-06-01,22.18,21.55,21.41,22.28,267297
2020-06-02,22.23,22.79,22.17,23.28,334053
2020-06-03,22.53,23.93,22.17,23.94,431466
2020-06-04,25.21,25.13,24.85,25.83,549168
2020-06-07,25.74,25.25,25.03,26.06,355486
2020-06-08,24.99,25.01,24.34,25.78,411688
2020-06-09,24.74,23.38,23.32,24.74,488879
2020-06-10,21.83,21.13,21.09,22.16,448985
2020-06-11,22.47,21.47,20.73,22.47,456862
2020-06-14,20.31,21.7,20.31,22.04,337241
2020-06-15,22.95,22.68,21.815,23.025,330864
2020-06-16,22.87,21.85,21.7,22.87,307397
2020-06-17,21.36,21.5,21.35,22.15,291840
2020-06-18,21.87,21.02,20.745,21.88,953357
2020-06-21,20.76,21.33,20.4,21.53,457961
2020-06-22,21.9,21.09,20.92,22.1,321574
2020-06-23,20.59,20.14,19.69,20.64,368709
2020-06-24,19.96,20.28,19.72,20.57,617021
2020-06-25,19.96,19.75,19.19,20.06,1233023.0
2020-06-28,19.94,21.51,19.9,21.55,617453
2020-06-29,21.24,22.08,21.11,22.16,284892
2020-06-30,22,20.87,20.629,22.17,335975
2020-07-01,21.63,21.15,21.06,21.94,318577
2020-07-05,21.67,20.84,20.6,21.96,262191
2020-07-06,20.52,20.17,20.03,20.68,303585
2020-07-07,20.03,19.99,19.46,20.3814,336984
2020-07-08,19.95,19.55,18.97,20.05,408345
2020-07-09,19.66,20.16,19.56,20.18,292238
2020-07-12,20.25,20.13,19.74,20.5,416910
2020-07-13,20.01,19.73,19.5,20.2302,293040
2020-07-14,20.48,21.48,20.1701,21.61,557545
2020-07-15,21.13,21.23,20.85,21.65,223291
2020-07-16,21.21,20.61,20.5,21.24,214256
2020-07-19,20.34,20.15,20.04,20.5,179581
2020-07-20,20.34,21.22,20.34,21.24,208445
2020-07-21,20.87,20.53,20.37,21.025,172980
2020-07-22,20.36,21.1,20.36,21.27,185327
2020-07-23,20.99,20.71,20.64,21.1102,174792
2020-07-26,20.61,20.67,20.21,20.8,241227
2020-07-27,20.44,20.53,20.44,20.93,215469
2020-07-28,20.48,21.2,20.42,21.39,299701
2020-07-29,21.97,22.57,21.75,23.18,629734
2020-07-30,22.21,22.41,21.66,22.442,448982
2020-08-02,22.29,22.11,21.88,22.4,254758
2020-08-03,22.1,22.18,21.84,22.27,355533
2020-08-04,22.48,23.01,22.26,23.07,253523
2020-08-05,22.99,23.41,22.7529,23.6,302403
2020-08-06,23.4,24.08,23.16,24.08,302918
2020-08-09,24.14,24.75,24.14,25.14,323716
2020-08-10,25.37,25.37,25.21,25.93,387575
2020-08-11,25.93,25.05,24.6,26.23,324161
2020-08-12,24.85,24.59,24.44,25.05,167428
2020-08-13,24.36,24.89,24.17,25.14,229148
2020-08-16,24.76,24.87,24.4,24.89,164823
2020-08-17,24.82,24.18,24.0464,24.825,343917
2020-08-18,24.4,24.52,24.19,24.84,283010
2020-08-19,24.03,24.26,23.95,24.5,209365
2020-08-20,23.99,24.13,23.98,24.45,216399
2020-08-23,24.3,25.16,24.05,25.21,255980
2020-08-24,25.49,25.37,25.05,25.71,190801
2020-08-25,25.27,24.78,24.68,25.36,301910
2020-08-26,25.04,25.38,24.5,25.73,300116
2020-08-27,25.39,25.35,24.9001,25.44,326592
2020-08-30,25.16,24.78,24.76,25.37,359630
2020-08-31,24.5,24.81,24.35,25.11,197961
2020-09-01,24.83,24.95,24.63,25.015,159066
2020-09-02,25.1,24.7,24.58,25.78,296295
2020-09-03,25.38,24.91,24.45,25.57,238582
2020-09-07,24.61,23.94,23.59,24.61,267923
2020-09-08,24.19,23.61,23.3344,24.19,225660
2020-09-09,23.91,23.31,23.13,23.91,334139
2020-09-10,23.43,23.7,23.11,23.98,589415
2020-09-13,23.85,23.93,23.66,24.13,282081
2020-09-14,23.93,23.35,23.28,23.93,206137
2020-09-15,23.48,23.93,23.19,24.15,423184
