date,open_price,close_price,lowest_price,highest_price,volume
2021-05-31,42.95,42.92,42.765,43.28,43659056.0
2021-06-01,43.1,42.94,42.6,43.17,34555597.0
2021-06-02,42.77,43.25,42.68,43.49,47075665.0
2021-06-03,43.24,43.27,42.83,43.39,37537109.0
2021-06-06,43.27,43.12,43.06,43.39,28763213.0
2021-06-07,42.86,42.88,42.425,43.24,42250479.0
2021-06-08,42.47,42.32,42.11,42.73,42714637.0
2021-06-09,42.76,41.69,41.615,42.9599,40652967.0
2021-06-10,41.81,41.86,41.51,41.89,31634971.0
2021-06-13,41.85,41.36,41.06,41.905,36323818.0
2021-06-14,41.28,41.39,40.9,41.56,39890996.0
2021-06-15,41.28,41.62,40.67,41.985,64080944.0
2021-06-16,42.02,39.8,39.72,42.1,81313327.0
2021-06-17,39.01,38.78,38.49,39.3,108925673.0
2021-06-20,39.12,39.75,39.03,39.78,48684877.0
2021-06-21,39.88,39.97,39.28,40.26,44579493.0
2021-06-22,40.16,40.2,40.07,40.42,32614067.0
2021-06-23,40.44,40.83,40.18,41.01,37591860.0
2021-06-24,41.27,41.62,40.84,41.83,54267058.0
2021-06-27,41.46,41.56,41.1,41.58,34989241.0
2021-06-28,41.63,40.89,40.75,41.95,38906318.0
2021-06-29,40.76,41.23,40.72,41.355,29400263.0
2021-06-30,41.56,41.54,41.205,41.7002,28426644.0
2021-07-01,41.37,41.15,41.1,41.47,29229025.0
2021-07-05,40.81,40.07,39.87,40.88,47940459.0
2021-07-06,39.57,39.75,39.36,40,44336537.0
2021-07-07,38.62,38.78,38.48,39.235,53749986.0
2021-07-08,39.65,40.04,39.4,40.24,44514642.0
2021-07-11,39.79,40.63,39.6366,40.81,43189645.0
2021-07-12,40.48,39.86,39.58,40.48,54721268.0
2021-07-13,39.11,38.86,37.79,39.55,106250798.0
2021-07-14,38.39,38.83,38.32,39.33,55021438.0
2021-07-15,39.22,37.92,37.59,39.29,61308676.0
2021-07-18,36.75,36.93,36.51,37.25,83803827.0
2021-07-19,36.86,37.69,36.61,38.12,59780656.0
2021-07-20,38.05,38.46,37.98,38.77,50401077.0
2021-07-21,38.36,37.96,37.68,38.4,53039400.0
2021-07-22,38.2,37.7,37.56,38.27,49136584.0
2021-07-25,37.66,38.13,37.66,38.24,32714261.0
2021-07-26,37.72,37.98,37.46,38.24,39486573.0
2021-07-27,38.19,38.13,37.75,38.5,43726276.0
2021-07-28,38.55,38.68,38.37,38.98,43001591.0
2021-07-29,38.51,38.36,38.05,38.8288,46210135.0
2021-08-01,38.4,37.96,37.91,38.95,49894048.0
2021-08-02,38.06,38.55,37.55,38.63,39680560.0
2021-08-03,38.03,38.27,37.86,38.77,42289825.0
2021-08-04,38.57,39.02,38.55,39.06,34727523.0
2021-08-05,39.47,40.15,39.47,40.41,58008277.0
2021-08-08,40.05,40.67,39.8013,40.96,56340112.0
2021-08-09,40.71,41.43,40.58,41.62,44987250.0
2021-08-10,41.6,41.95,41.475,42.19,58458232.0
2021-08-11,42.23,42.15,41.77,42.285,37412913.0
2021-08-12,42.09,41.63,41.43,42.23,41344939.0
2021-08-15,41.16,41.29,40.61,41.3,38607213.0
2021-08-16,41.05,41.09,40.6221,41.565,43526919.0
2021-08-17,40.77,40.79,40.66,41.53,50342507.0
2021-08-18,40.12,40.19,40.01,40.665,51883938.0
2021-08-19,40.09,40.37,39.91,40.47,39914979.0
2021-08-22,40.63,40.91,40.6,41.1,35364530.0
2021-08-23,41.1,41.48,41.04,41.6799,35579304.0
2021-08-24,41.66,42.15,41.535,42.45,50919944.0
2021-08-25,42.5,42.04,42.02,42.84,41184514.0
2021-08-26,42.12,42.49,41.94,42.645,46468554.0
2021-08-29,42.63,41.66,41.625,42.63,44855624.0
2021-08-30,41.67,41.75,41.36,42.0739,54654600.0
2021-08-31,41.75,41.19,41.03,41.78,52361936.0
2021-09-01,41.11,41.02,40.64,41.485,44262366.0
2021-09-02,41.02,41.05,40.68,41.19,41818455.0
2021-09-06,41.25,41.32,41.18,41.85,44172048.0
2021-09-07,41.08,40.78,40.68,41.49,36044284.0
