date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,48.14,49.45,47.82,49.68,23108251.0
2020-06-01,50.71,50.84,50.16,51.29,28122754.0
2020-06-02,52.56,53.34,52.42,53.76,33947531.0
2020-06-03,53.3,55.65,52.61,55.69,33521457.0
2020-06-04,61.57,58.86,58.34,62.47,45633637.0
2020-06-07,60.66,61.24,59.77,61.33,33085933.0
2020-06-08,59,59.5,57.65,60.2,30904882.0
2020-06-09,58.9,55.86,55.86,59.14,37020154.0
2020-06-10,51.67,48.39,48.2,53.515,62907826.0
2020-06-11,51.4,52.25,49.8,52.45,40023082.0
2020-06-14,49.96,52.98,49.74,53,36993469.0
2020-06-15,56.3,54.45,52.32,56.4,38205106.0
2020-06-16,54.7,53,52.88,54.8,24010970.0
2020-06-17,52.67,53.04,52.03,53.65,22638981.0
2020-06-18,54.06,52.92,51.56,54.09,51714555.0
2020-06-21,51.85,52.06,51.52,52.57,22922340.0
2020-06-22,52.95,52.95,52.5,53.73,22416485.0
2020-06-23,51.67,50.81,50.1643,51.84,27533643.0
2020-06-24,50.3,52.68,50.13,52.79,28374895.0
2020-06-25,52.34,49.58,49.47,52.34,35820432.0
2020-06-28,50.28,50.29,49.61,50.92,22833017.0
2020-06-29,49.81,51.1,49.65,51.55,23625362.0
2020-06-30,51.76,50.35,50.15,51.995,19430438.0
2020-07-01,52.12,50.55,50.33,52.455,22404783.0
2020-07-05,51.87,51.97,51.185,52.56,22985700.0
2020-07-06,51.25,50.32,50.09,51.355,20939985.0
2020-07-07,50.2,50.88,49.94,51.07,19194218.0
2020-07-08,50.73,49.45,49.03,51.08,24460107.0
2020-07-09,49.45,52.65,49.45,52.69,28186091.0
2020-07-12,53.33,52.2,51.86,53.6,27567212.0
2020-07-13,51.29,50.15,50.01,52.0809,36087981.0
2020-07-14,51.9,51.84,50.68,52.11,28150185.0
2020-07-15,51.28,51.46,50.935,52.455,19049832.0
2020-07-16,51.22,50.22,50.2,51.48,20363364.0
2020-07-19,49.99,50.14,49.75,50.58,23772228.0
2020-07-20,50.9,51.73,50.67,51.82,22338251.0
2020-07-21,51.54,51.66,51.145,52.28,18151099.0
2020-07-22,51.45,52.08,51.13,52.23,17242627.0
2020-07-23,52.1,51.67,51.5,52.48,16454934.0
2020-07-26,51.46,51.29,50.605,51.46,14253722.0
2020-07-27,51.02,51.27,50.965,51.66,13250845.0
2020-07-28,51.17,52.52,50.99,52.59,17111194.0
2020-07-29,51.11,50.87,49.86,51.2,24407628.0
2020-07-30,50.26,50.01,49.3678,50.31,22726780.0
2020-08-02,50.56,50.39,49.69,50.85,16159045.0
2020-08-03,50.23,50.14,49.85,50.32,16405474.0
2020-08-04,50.5,51.04,50.47,51.31,16682371.0
2020-08-05,50.75,50.89,50.58,51.29,11158105.0
2020-08-06,50.52,52.12,50.13,52.23,21638313.0
2020-08-09,52.29,52.86,52.25,53.205,17048050.0
2020-08-10,54.45,53.76,53.54,55.027,25607942.0
2020-08-11,54.94,53.35,52.745,55.0185,19601736.0
2020-08-12,52.83,52.89,52.57,53.48,13978361.0
2020-08-13,52.45,52.93,52.355,53.345,14089272.0
2020-08-16,52.63,51.42,51.35,52.82,20035624.0
2020-08-17,51.52,50.34,50.28,51.53,17261009.0
2020-08-18,50.68,50.29,50,51.33,21193810.0
2020-08-19,49.53,49.58,49.23,50.015,16138933.0
2020-08-20,49.45,49.3,49.1599,50.08,17895340.0
2020-08-23,49.9,51.06,49.45,51.13,19941906.0
2020-08-24,51.85,51.65,50.97,52.505,17503609.0
2020-08-25,51.66,50.85,50.815,51.79,14803367.0
2020-08-26,50.72,51.72,50.65,52.2101,19603169.0
2020-08-27,52.07,52.28,51.525,52.37,17308922.0
2020-08-30,51.91,51.12,51.1,52.04,16515524.0
2020-08-31,50.88,51.2,50.54,51.565,17169533.0
2020-09-01,51.04,51.95,50.6575,52.14,15554769.0
2020-09-02,52.44,51.5,51.23,53.64,25259918.0
2020-09-03,52.47,52.52,51.44,53.36,25392445.0
2020-09-07,51.92,51.04,50.6599,52.09,28402264.0
2020-09-08,51.2,51.4,50.615,51.59,19423117.0
2020-09-09,51.72,50.95,50.7,52.5,22433612.0
2020-09-10,50.89,51,50.8,51.685,21194669.0
2020-09-13,51.49,48.15,47.9,52.08,59018751.0
2020-09-14,48.12,44.81,44.67,48.39,85558805.0
2020-09-15,45.21,46.02,44.62,46.76,46173140.0
2020-09-16,45.46,45.53,45.01,45.83,29082309.0
2020-09-17,45.52,44.86,44.755,45.96,35031473.0
2020-09-20,43.41,43.93,43.07,44.155,33980368.0
2020-09-21,43.79,43.29,43.075,44.13,26203042.0
2020-09-22,43.61,41.85,41.79,43.95,28988784.0
2020-09-23,41.85,42.19,41.29,42.595,31729323.0
2020-09-24,41.84,42.02,41.52,42.13,26948636.0
2020-09-27,42.92,43.34,42.89,43.88,21566263.0
2020-09-28,43.1,42.42,42.02,43.29,20880614.0
2020-09-29,42.58,43.11,42.5,43.59,22830794.0
2020-09-30,43.33,43.44,42.6,43.65,22116066.0
2020-10-01,42.54,43.66,42.52,43.87,24296062.0
2020-10-04,44.26,44.91,44.21,45.23,24405116.0
2020-10-05,45.475,44.41,44.16,46.06,29863395.0
2020-10-06,45.02,44.84,44.61,45.63,22539737.0
2020-10-07,44.91,44.72,44.28,45.17,29061178.0
2020-10-08,45.01,44.93,44.69,45.59,25917850.0
2020-10-11,45.09,45.88,44.95,45.99,24485641.0
2020-10-12,46.12,43.68,43.55,46.12,50474669.0
2020-10-13,43.52,43.03,43,44.235,30773468.0
2020-10-14,42.54,43.61,42.25,43.635,26733879.0
2020-10-15,43.68,43.19,43.08,43.88,26749970.0
2020-10-18,43.35,42.9,42.81,43.39,23078700.0
2020-10-19,43.37,43.52,43.34,44.08,21517724.0
2020-10-20,43.46,43.01,42.9,43.7299,20062406.0
2020-10-21,42.89,43.95,42.66,43.99,21595739.0
2020-10-22,44.21,43.95,43.665,44.57,18662224.0
2020-10-25,43.36,43.26,42.81,43.4,25126920.0
2020-10-26,43.04,41.88,41.87,43.04,24514561.0
2020-10-27,40.97,41.13,40.745,41.59,27909800.0
2020-10-28,41.13,41.66,40.71,42.15,23576306.0
2020-10-29,41.03,41.42,40.49,41.54,27153978.0
2020-11-01,41.86,42.21,41.2,42.67,24580947.0
2020-11-02,43.3,43.53,43.06,44.02,30303954.0
2020-11-03,42.53,42.08,41.895,43.41,26312544.0
2020-11-04,42.34,43.07,42.18,43.58,25200300.0
2020-11-05,43.51,42.71,42.5,43.61,17842190.0
2020-11-08,46.87,47.64,46.26,48.78,58257637.0
2020-11-09,48.31,47.65,47.45,48.75,34248116.0
2020-11-10,47.9,48.93,47.68,49.29,30106548.0
2020-11-11,47.97,48.28,47.71,48.41,28675106.0
2020-11-12,48.65,48.66,48.4,49.065,18900045.0
2020-11-15,50.41,50.4,49.855,51.02,27586826.0
2020-11-16,49.84,50.73,49.48,50.93,19336414.0
2020-11-17,51.09,51.05,51.01,52.645,26219608.0
2020-11-18,51.6,52.14,50.95,52.32,20671577.0
2020-11-19,51.83,51.65,51.19,52.11,16138708.0
2020-11-22,52.51,53.3,52.29,53.63,29244689.0
2020-11-23,54.48,57.06,54.48,57.14,33662713.0
2020-11-24,56.27,57.06,55.33,57.16,28935355.0
2020-11-26,57,56.67,56.12,57.24,14228076.0
2020-11-29,56.14,55.07,54.995,56.54,23607752.0
2020-11-30,56.55,55.47,55.4,56.74,24147790.0
2020-12-01,55.36,57.2,55.25,57.415,26931564.0
2020-12-02,57.38,56.58,56.2,57.445,19029278.0
2020-12-03,57.56,58.62,57.31,58.82,24940353.0
2020-12-06,58.15,58.13,57.28,58.61,21535531.0
2020-12-07,57.48,58.36,57.36,58.4,15758674.0
2020-12-08,59.16,58.95,58.3,59.55,27620297.0
2020-12-09,58.04,60.5,58.01,60.785,26070346.0
2020-12-10,59.8,58.93,58.18,59.81,21232819.0
2020-12-13,60,58.74,58.73,60.255,19958253.0
2020-12-14,58.74,59.67,58.57,59.859,16468799.0
2020-12-15,60.065,59.75,59.36,60.14,15151731.0
2020-12-16,60,60.05,59.5699,60.29,18132761.0
2020-12-17,60.3,59.06,58.71,60.3,30618387.0
2020-12-20,60.35,61.23,59.81,61.82,32498255.0
2020-12-21,61.1,59.26,59.155,61.1393,18166626.0
2020-12-22,60,60.78,59.79,61.31,16921915.0
2020-12-23,60.93,60.57,59.88,61.09,6926763.0
2020-12-27,60.62,61.13,60.49,61.93,14618716.0
2020-12-28,61.15,60.91,60.55,61.3999,10985272.0
2020-12-29,60.91,60.86,60.67,61.265,10871324.0
2020-12-30,60.67,61.66,60.53,61.85,12594562.0
2021-01-03,61.59,60.14,59.73,61.7083,21674520.0
2021-01-04,60.35,61.7,60.04,62,20450543.0
2021-01-05,64.49,65.25,63.95,66.6,39000196.0
2021-01-06,67.07,66.02,66.01,68.1,24672675.0
2021-01-07,66.21,65.37,64.34,66.21,21058899.0
2021-01-10,64.58,66.44,64.33,66.62,20793238.0
2021-01-11,67.49,66.67,66.24,67.74,20506896.0
2021-01-12,67,66.86,65.9884,67.215,18885441.0
2021-01-13,67.52,69.01,67.17,69.425,29420630.0
2021-01-14,67.37,64.23,64.09,67.6499,38957680.0
2021-01-18,65.2,63.69,62.91,65.25,27699411.0
2021-01-19,63.75,63.25,62.835,63.82,17785196.0
2021-01-20,63.21,61.87,61.74,63.335,19691561.0
2021-01-21,60.94,61.33,60.19,61.83,25119189.0
2021-01-24,60.67,60.56,59.17,60.77,26153009.0
2021-01-25,61.2,60.91,60.087,61.24,19061200.0
2021-01-26,59.9,59.4,58.53,60,25042847.0
2021-01-27,60.15,60.34,59.63,61.06,20207380.0
2021-01-28,59.96,57.99,57.69,60.2,27400737.0
2021-01-31,58.66,58.43,57.4,58.67,16337466.0
2021-02-01,59.6,59.58,59.3,60.25,18941045.0
2021-02-02,59.41,61.1,59.32,61.15,19011569.0
2021-02-03,61.57,62.41,61.42,62.63,16856523.0
2021-02-04,62.99,62.58,62.07,63.08,13712783.0
2021-02-07,63.09,63.65,62.85,63.71,15287122.0
2021-02-08,63.7,63.12,62.515,63.87,12642100.0
2021-02-09,63.48,63.62,62.98,63.9899,12919671.0
2021-02-10,63.6,63.2,61.925,63.87,12265771.0
2021-02-11,62.92,63.63,62.89,64.02,12352736.0
2021-02-15,64.92,64.12,63.835,65.07,19543732.0
2021-02-16,63.8,64.76,63.45,64.905,18110672.0
2021-02-17,64.3,63.48,63.09,64.55,14887844.0
2021-02-18,64.16,65.78,64.05,65.99,20880768.0
2021-02-21,65.4,65.52,65.29,66.895,23347632.0
2021-02-22,65.59,66.74,64.86,66.915,27103233.0
2021-02-23,67.17,68.6,67,68.68,21090821.0
2021-02-24,69.04,67.41,66.89,69.38,25612365.0
2021-02-25,66.78,65.88,65.54,67.595,24564342.0
2021-02-28,68.49,69.54,67.98,69.985,28542383.0
2021-03-01,69.19,68.91,68.85,69.99,19570551.0
2021-03-02,69.49,70.38,69.3,71.49,25411397.0
2021-03-03,70.18,69.81,67.89,71.78,28906772.0
2021-03-04,70.84,70.23,68.4401,71.27,25723661.0
2021-03-07,71.07,72.22,70.86,72.84,27612284.0
2021-03-08,70.91,70.99,70.04,72.485,24830331.0
2021-03-09,71.285,73.75,71.2,73.88,21624803.0
2021-03-10,73.48,73.31,72.55,74.275,17928422.0
2021-03-11,74.4203,75.18,74.1,75.25,17453328.0
2021-03-14,75.51,74.22,73.275,75.59,19281991.0
2021-03-15,73.52,73.33,72.315,73.625,16019701.0
2021-03-16,73.93,73.6,72.74,74.34,19563245.0
2021-03-17,74.43,73.84,73.45,76.13,24132011.0
2021-03-18,73.2,73.01,71.522,73.5802,25537842.0
2021-03-21,72.29,71.96,71.64,72.6,15258144.0
2021-03-22,71.3,70.91,70.505,72.64,16375943.0
2021-03-23,71.69,70.08,70.06,72.48,17278097.0
2021-03-24,69.83,71.72,69.15,71.92,18599019.0
2021-03-25,72.57,73.02,72,73.24,15937041.0
2021-03-28,71.55,71.58,70.37,72.15,17955530.0
2021-03-29,72,72.96,72,73.22,15806654.0
2021-03-30,72.71,72.75,72.46,73.83,15425920.0
2021-03-31,72.22,73.14,72.22,73.29,15434400.0
2021-04-04,74.07,72.75,72.44,74.34,16321009.0
