date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,13.2,13.57,13.02,13.77,1235987.0
2020-06-01,13.81,14.23,13.8,14.375,1628633.0
2020-06-02,14.67,14.8,14.47,15.06,2303392.0
2020-06-03,14.62,15.75,14.56,15.76,2568068.0
2020-06-04,17.08,16.52,16.42,17.445,2508820.0
2020-06-07,17,17.65,17,17.73,2275528.0
2020-06-08,17.15,16.73,16.58,17.355,2145670.0
2020-06-09,16.61,16.05,15.885,16.65,1827695.0
2020-06-10,14.7,13.6,13.4,14.96,2539980.0
2020-06-11,14.94,15,14.45,15.24,1703457.0
2020-06-14,14.03,15.37,13.81,15.53,1897587.0
2020-06-15,16.43,16.39,15.56,16.65,2214618.0
2020-06-16,16.41,15.99,15.935,16.62,1647651.0
2020-06-17,15.61,15.68,15.41,16.39,1647211.0
2020-06-18,16.01,15.83,15.46,16.25,2563416.0
2020-06-21,15.65,15.79,15.26,15.92,1334190.0
2020-06-22,16.19,15.55,15.375,16.29,1500836.0
2020-06-23,15.3,15.05,14.76,15.35,1698850.0
2020-06-24,14.86,15.74,14.7,15.75,1500176.0
2020-06-25,15.5,14.83,14.8,15.65,2416318.0
2020-06-28,15.2,15.31,14.92,15.6,3219632.0
2020-06-29,15.07,15.35,14.87,15.41,2469846.0
2020-06-30,15.48,14.4,14.32,15.54,2296465.0
2020-07-01,14.85,15.67,14.85,15.935,2685860.0
2020-07-05,16.17,16.26,15.7192,16.35,2453192.0
2020-07-06,16.05,15.81,15.73,16.24,1285908.0
2020-07-07,15.77,15.64,15.385,15.98,1272828.0
2020-07-08,15.55,15.26,14.94,15.66,1468962.0
2020-07-09,15.34,15.81,15.2039,15.97,1512303.0
2020-07-12,16.01,15.58,15.425,16.1,1888733.0
2020-07-13,15.54,16.26,15.38,16.33,1801458.0
2020-07-14,16.63,16.58,16.24,16.88,1558677.0
2020-07-15,16.41,16.55,16.05,16.695,1279625.0
2020-07-16,16.65,16.42,16.41,16.86,1600734.0
2020-07-19,16.27,16.05,16.005,16.7,1093331.0
2020-07-20,16.25,16.68,16.23,17.065,1388996.0
2020-07-21,16.6,16.84,16.48,16.88,964450
2020-07-22,16.74,17.04,16.72,17.12,1339152.0
2020-07-23,17.07,17.1,16.95,17.315,1054408.0
2020-07-26,16.97,18.4,16.85,18.47,2086701.0
2020-07-27,18.25,18.09,17.695,18.4,2022812.0
