date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,49.986,49.858,49.486,50.09,1525855.0
2020-06-01,50.324,50.54,49.941,50.792,1387540.0
2020-06-02,51.176,52.066,50.89,52.314,1647890.0
2020-06-03,51.614,51.736,51.576,52.294,1304450.0
2020-06-04,53.004,53.152,52.882,54.326,3052885.0
2020-06-07,53.096,52.522,52.21,53.58,2138285.0
2020-06-08,51.336,52.724,51.328,53.32,2090195.0
2020-06-09,52.482,52.032,51.97,52.792,1453110.0
2020-06-10,50.748,49.394,49.394,50.748,2025325.0
2020-06-11,50.828,50.4,49.574,51.028,2184995.0
2020-06-14,49.162,50.412,48.614,50.84,1759700.0
2020-06-15,51.812,51.412,51.016,52.294,2067340.0
2020-06-16,51.81,51.502,51.28,52.138,1050840.0
2020-06-17,51.23,51.26,51.058,51.554,1046515.0
2020-06-18,51.782,50.768,50.586,51.782,1606360.0
2020-06-21,50.76,50.596,50.334,51.184,1319325.0
2020-06-22,51.49,50.126,50.098,51.49,2891245.0
2020-06-23,49.678,49.096,49.084,50.19,2399855.0
2020-06-24,48.944,50.13,48.732,50.146,1646525.0
2020-06-25,50.174,49.726,49.5,50.446,1689360.0
2020-06-28,49.906,50.094,49.606,50.35,2126845.0
2020-06-29,50.018,51.068,49.696,51.244,1971670.0
2020-06-30,51.158,50.846,50.216,51.41,1738285.0
2020-07-01,51.386,50.742,50.7,51.564,1390995.0
2020-07-05,51.334,50.918,50,51.444,3415895.0
2020-07-06,50.72,51.06,50.72,51.89,1627660.0
2020-07-07,51.236,51.846,51.206,51.906,1261220.0
2020-07-08,51.848,51.166,50.726,51.868,1922795.0
2020-07-09,51.26,51.598,50.78,51.696,1341980.0
2020-07-12,52.018,50.706,50.648,52.146,2158700.0
2020-07-13,50.508,52.142,50.448,52.186,1999370.0
2020-07-14,52.604,52.988,52.604,53.375,1620895.0
2020-07-15,52.678,53.666,52.678,53.7438,1573505.0
2020-07-16,54,54.808,53.906,55.114,2129210.0
2020-07-19,54.696,54.482,54.172,54.894,1484400.0
2020-07-20,54.562,54.208,54.208,54.99,1951655.0
2020-07-21,54.882,54.706,54.134,56.106,3893330.0
2020-07-22,54.918,54.982,54.714,55.342,2144860.0
2020-07-23,54.864,54.816,54.544,55.056,1577590.0
2020-07-26,54.754,55.374,54.754,55.724,1500240.0
2020-07-27,55.12,54.95,54.768,55.466,1795070.0
2020-07-28,55.05,56.06,55.05,56.152,2133000.0
2020-07-29,55.296,55.074,54.646,55.4385,1336320.0
2020-07-30,54.912,55.036,53.664,55.094,2934395.0
2020-08-02,55.458,53.708,53.618,55.458,2682940.0
2020-08-03,53.608,54.274,53.608,54.584,2275985.0
2020-08-04,54.578,54.684,54.342,54.858,1662490.0
2020-08-05,54.838,55.824,54.744,55.87,1406285.0
2020-08-06,55.674,56.398,55.548,56.41,1219335.0
2020-08-09,56.56,57.378,55.94,57.432,1790630.0
2020-08-10,57.712,58.252,57.71,58.774,1625870.0
2020-08-11,58.822,59.064,58.676,59.942,3001700.0
2020-08-12,59.156,58.774,58.492,59.3,1383080.0
2020-08-13,58.628,58.734,58.496,59.144,913660
2020-08-16,58.968,59.68,58.802,60.16,1409540.0
2020-08-17,59.746,60.14,59.523,60.342,2001240.0
2020-08-18,60.232,59.736,59.692,60.566,943375
2020-08-19,59.366,59.646,59.208,59.923,1167945.0
2020-08-20,59.672,59.74,58.932,59.842,1594815.0
2020-08-23,60.288,59.626,59.362,60.288,1011610.0
2020-08-24,59.638,59.66,59.504,60.11,1583445.0
2020-08-25,59.602,59.878,59.051,59.946,3041595.0
2020-08-26,60.078,60.2,59.6,60.37,1038575.0
2020-08-27,60.222,59.77,59.672,60.482,1483730.0
2020-08-30,60.026,59.136,59.086,60.146,1418895.0
2020-08-31,59.136,59.1,58.694,59.418,1901460.0
2020-09-01,59.308,59.262,58.992,59.684,2270150.0
2020-09-02,59.174,58.558,58.083,59.408,1278735.0
2020-09-03,58.854,58.078,57.546,59.136,1219400.0
2020-09-07,57.452,57.358,56.554,58.358,1967505.0
2020-09-08,57.998,58.906,57.706,59.366,1566795.0
2020-09-09,59.15,59.12,58.853,59.532,1788025.0
2020-09-10,59.49,60.052,59.354,60.32,1569555.0
2020-09-13,60.494,61.084,60.18,61.248,1830600.0
