date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,55.97,56.69,55.45,57.84,390821
2020-06-01,57.49,57.29,57.04,58.18,484177
2020-06-02,58.9,60.26,58.815,60.86,386147
2020-06-03,59.71,62.74,59.69,62.83,611881
2020-06-04,65.85,65.87,64.67,68.04,618301
2020-06-07,67.09,66.72,66.17,67.74,400242
2020-06-08,64.66,63.9,63.35,64.81,468850
2020-06-09,63.18,59.69,59.59,63.18,451166
2020-06-10,55.52,53.33,53.32,56.73,481978
2020-06-11,55.68,55.02,53.34,57.3432,416707
2020-06-14,52.62,55.06,52.1,55.74,323141
2020-06-15,59,57.87,56.72,59.3539,598728
2020-06-16,58,56.17,56.07,58,382244
2020-06-17,55.5,55.63,55.27,56.99,392063
2020-06-18,56.42,54.99,54.34,56.65,768659
2020-06-21,54.69,55.49,53.39,55.72,480839
2020-06-22,56.21,55.46,54.8887,56.374,448784
2020-06-23,54.53,54.24,53.78,55.11,487998
2020-06-24,53.81,55.86,53.54,55.89,477768
2020-06-25,55.22,56.35,54.98,56.43,939380
2020-06-28,57.37,58.81,56.69,58.93,667189
2020-06-29,58.28,59.46,58.28,59.94,533621
2020-06-30,59.59,56.91,56.82,60.105,545271
2020-07-01,58.16,57.91,57.51,59.24,358062
2020-07-05,59.6,58.67,57.95,59.62,294186
2020-07-06,57.93,56.41,56.35,58.29,285141
2020-07-07,56.45,56.08,55.36,57.08,269844
2020-07-08,55.58,53.65,53.615,55.8,360374
2020-07-09,53.52,54.74,53.52,55.04,341785
2020-07-12,55.47,56.39,54.86,57.5,516099
2020-07-13,56.59,58.11,55.79,58.17,262175
2020-07-14,59.76,60.45,59.21,60.82,229933
2020-07-15,60.11,60.04,59.75,61.26,166868
2020-07-16,60.22,60.24,60.06,61.12,318188
2020-07-19,59.68,58.88,58.23,60.17,255331
2020-07-20,59.58,60.03,59.58,60.88,195393
2020-07-21,59.44,60.77,59.44,60.96,342444
2020-07-22,60.54,61.02,60.05,61.66,172566
2020-07-23,61.32,60.58,60.44,61.82,140151
2020-07-26,60.3,61.41,59.4663,61.5,324543
2020-07-27,60.22,57,56.95,60.72,571603
2020-07-28,56.36,57.21,56.125,57.24,438402
2020-07-29,56.35,56.54,55.48,56.8269,345082
2020-07-30,56.07,56.57,55.25,56.64,339330
2020-08-02,56.98,57.54,56.4871,57.91,250373
2020-08-03,57.37,57.5,56.6601,57.64,213210
2020-08-04,57.88,58.78,57.74,58.8999,189422
2020-08-05,58.39,58.73,58.35,59.0088,222678
2020-08-06,58.54,60.27,58.4,60.33,242721
2020-08-09,60.67,62.43,60.67,62.545,234906
2020-08-10,63.76,62.56,62.375,64.6167,298850
2020-08-11,63.51,61.95,61.5,63.51,151321
2020-08-12,61.24,61.01,60.64,61.53,149924
2020-08-13,60.38,60.92,60.33,61.46,157059
2020-08-16,61.15,59.8,59.68,61.15,286761
2020-08-17,59.77,57.88,57.82,59.87,276838
2020-08-18,58.11,58.38,57.535,58.75,249921
