date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,28.3,28.37,27.8,28.6,1663636.0
2020-06-01,28.57,28.59,28.37,29.04,1588790.0
2020-06-02,28.83,29.5,28.83,29.68,1311344.0
2020-06-03,29.35,29.11,28.82,29.56,1679203.0
2020-06-04,29.89,29.54,29.381,30.27,2541112.0
2020-06-07,29.69,29.17,28.98,30.03,1686720.0
2020-06-08,28.8,28.99,28.55,29.31,1476504.0
2020-06-09,28.87,28.24,28.08,28.97,1121013.0
2020-06-10,27.29,26.6,26.59,27.4,1004207.0
2020-06-11,27.29,27.77,26.655,27.84,2268704.0
2020-06-14,27.21,27.99,27,28.065,2035275.0
2020-06-15,28.62,28.5,28.21,28.99,1675471.0
2020-06-16,28.52,28.05,27.925,28.54,1052944.0
2020-06-17,27.85,27.9,27.36,28.025,1310303.0
2020-06-18,28.12,26.91,26.91,28.12,4131493.0
2020-06-21,26.86,26.93,26.4503,27.28,1242137.0
2020-06-22,27.1,26.72,26.56,27.25,1528462.0
2020-06-23,26.48,26.76,26.14,26.905,1494821.0
2020-06-24,26.79,26.96,26.35,26.96,1223127.0
2020-06-25,26.9,26.31,26.29,27.02,2049593.0
2020-06-28,26.61,27,26.28,27.03,1168725.0
2020-06-29,26.68,26.99,26.68,27.14,1440808.0
2020-06-30,26.93,28.12,26.895,28.31,917379
2020-07-01,28.59,28.58,28.235,28.68,1546215.0
2020-07-05,29.07,28,27.95,29.07,896309
2020-07-06,27.73,27.51,27.49,27.87,710705
2020-07-07,27.51,27.72,27.375,27.75,1049978.0
2020-07-08,27.62,27.42,27.28,27.62,628852
2020-07-09,27.34,27.38,27.3,27.715,859119
2020-07-12,27.47,27.24,27.175,27.74,712639
2020-07-13,27.24,27.76,27.24,27.81,1371249.0
2020-07-14,28.06,27.9,27.74,28.26,1270533.0
2020-07-15,27.87,27.91,27.67,28.115,1388094.0
2020-07-16,28.15,28.73,27.719,28.75,1071543.0
2020-07-19,28.74,27.73,27.73,28.78,1199577.0
2020-07-20,27.82,27.68,27.64,28.24,878730
2020-07-21,27.54,28.35,27.38,28.37,675771
2020-07-22,28.22,28.01,27.81,28.42,770641
2020-07-23,28.11,27.65,27.63,28.21,545832
2020-07-26,27.57,27.69,27.13,27.72,705820
2020-07-27,27.73,28.42,27.57,28.515,1078358.0
2020-07-28,28.76,29.21,28.68,29.21,1135987.0
2020-07-29,28.84,29.27,28.57,29.36,850509
2020-07-30,29.57,29.67,29.235,29.71,1901542.0
2020-08-02,29.45,29.09,28.995,29.76,1048420.0
2020-08-03,29.1,29.51,28.89,29.595,1259740.0
2020-08-04,29.62,29.18,29.04,29.79,1197798.0
2020-08-05,28.92,29.14,27.99,29.16,911698
2020-08-06,28.86,30.21,28.55,30.24,1962259.0
2020-08-09,30.82,30.65,30.3,30.925,1264134.0
2020-08-10,30.96,30.49,30.19,31.08,1217771.0
2020-08-11,31.08,30.74,30.22,31.09,1148249.0
2020-08-12,30.62,30.48,30.3,31,1465501.0
2020-08-13,30.36,30.96,30.35,31.25,1171152.0
2020-08-16,31.11,31.25,30.825,31.32,1377454.0
2020-08-17,31.01,31.37,31.01,31.59,1091031.0
2020-08-18,31.43,30.38,30.3,31.6,1148111.0
