date,open_price,close_price,lowest_price,highest_price,volume
2021-04-04,9.8,9.85,9.75,9.88,153891
2021-04-05,9.84,9.84,9.75,9.87,229749
2021-04-06,9.83,9.87,9.8,9.9,93179
2021-04-07,9.85,9.91,9.85,9.94,145047
2021-04-08,9.91,9.88,9.87,10,294309
2021-04-11,10,9.86,9.84,10,186086
2021-04-12,9.85,9.84,9.82,9.87,131724
2021-04-13,9.83,9.86,9.83,9.86,536884
2021-04-14,9.85,9.85,9.8,9.87,135925
2021-04-15,9.82,9.81,9.78,9.87,214357
2021-04-18,9.81,9.8,9.77,9.88,512166
2021-04-19,9.85,9.81,9.78,9.85,193594
2021-04-20,9.77,9.79,9.77,9.81,100825
2021-04-21,9.77,9.79,9.77,9.86,113614
2021-04-22,9.78,9.8,9.78,9.83,30597
2021-04-25,9.8,9.8,9.78,9.82,222347
2021-04-26,9.7911,9.79,9.78,9.83,82989
2021-04-27,9.8,9.79,9.78,9.81,101957
2021-04-28,9.82,9.81,9.8,9.82,37580
2021-04-29,9.81,9.86,9.8,9.86,112952
2021-05-02,9.88,9.91,9.83,9.96,1202994.0
2021-05-03,9.93,9.93,9.91,9.95,2307657.0
2021-05-04,9.93,9.94,9.9,9.97,1404518.0
2021-05-05,9.96,9.9,9.88,9.96,138356
2021-05-06,9.87,9.86,9.85,9.89,198884
2021-05-09,9.81,9.84,9.81,9.87,569968
2021-05-10,9.79,9.81,9.79,9.84,555384
2021-05-11,9.8,9.8,9.8,9.85,234175
2021-05-12,9.8,9.78,9.77,9.81,85250
2021-05-13,9.77,9.77,9.77,9.79,37452
2021-05-16,9.77,9.77,9.76,9.78,110966
2021-05-17,9.76,9.76,9.75,9.79,78849
2021-05-18,9.77,9.77,9.73,9.77,89308
2021-05-19,9.77,9.75,9.73,9.77,45267
2021-05-20,9.74,9.75,9.74,9.8,43650
2021-05-23,9.75,9.76,9.74,9.78,55812
2021-05-24,9.78,9.77,9.75,9.8,73526
2021-05-25,9.7875,9.78,9.77,9.83,617769
2021-05-26,9.8068,9.78,9.78,9.84,955922
2021-05-27,9.78,9.78,9.78,9.81,326971
2021-05-31,9.7825,9.8,9.78,9.81,44665
2021-06-01,9.79,9.77,9.76,9.802,274839
2021-06-02,9.77,9.8,9.76,9.8,519537
2021-06-03,9.82,9.79,9.78,9.82,115527
2021-06-06,9.79,9.79,9.77,9.82,452112
2021-06-07,9.8,9.79,9.75,9.81,1044135.0
2021-06-08,9.81,9.77,9.77,9.81,358898
2021-06-09,9.78,9.78,9.76,9.79,321663
2021-06-10,9.78,9.77,9.75,9.8,638835
2021-06-13,9.77,9.77,9.74,9.7719,908040
2021-06-14,9.76,9.76,9.74,9.77,816572
2021-06-15,9.78,9.76,9.72,9.78,580811
2021-06-16,9.76,9.76,9.73,9.77,161602
