date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,10.2,10.42,10.05,10.68,422695
2020-06-01,10.38,10.29,10.24,10.67,244359
2020-06-02,10.46,10.8,10.46,10.84,514741
2020-06-03,10.74,11.43,10.63,11.63,565995
2020-06-04,12.17,11.8,11.72,12.8624,854914
2020-06-07,12.55,12.99,12.4201,13.12,839961
2020-06-08,12.55,12.5,12.31,12.9299,645895
2020-06-09,12.5,12.04,11.76,12.58,436586
2020-06-10,11.02,11.15,10.8,11.76,604902
2020-06-11,11.7,11.93,11.31,11.94,334661
2020-06-14,11.37,12.17,11.1446,12.389,426220
2020-06-15,12.79,12.39,12.05,12.92,448040
2020-06-16,12.4,12.24,12.17,12.49,315996
2020-06-17,11.99,12.13,11.88,12.36,268941
2020-06-18,12.26,11.85,11.82,12.38,967586
2020-06-21,11.75,11.82,11.58,11.94,337541
2020-06-22,11.98,11.92,11.78,12.02,420915
2020-06-23,11.73,11.46,11.1,11.866,439826
2020-06-24,11.31,11.8,11.28,11.81,279711
2020-06-25,11.59,11.51,11.31,11.8799,536707
2020-06-28,11.5,11.78,11.39,11.92,310398
2020-06-29,11.67,11.78,11.38,11.81,275181
2020-06-30,11.77,11.58,11.45,11.94,297882
2020-07-01,11.82,11.36,11.31,11.8395,270884
2020-07-05,11.58,11.58,11.26,11.61,276030
2020-07-06,11.42,11.06,11.03,11.4382,239548
2020-07-07,10.99,11.16,10.77,11.215,291161
2020-07-08,11.6,11.02,10.97,11.98,411622
2020-07-09,10.94,11.23,10.9,11.265,306030
2020-07-12,11.35,11.21,11.08,11.4,354627
2020-07-13,11.23,11.36,11.09,11.47,143181
2020-07-14,11.6,11.99,11.6,12.1,349148
2020-07-15,11.9,11.9,11.76,12.04,214737
2020-07-16,11.91,11.89,11.69,11.98,198314
2020-07-19,11.76,11.75,11.62,11.92,184588
2020-07-20,11.93,12.09,11.77,12.19,256905
2020-07-21,12.03,12.2,11.95,12.43,215069
2020-07-22,12.12,12.24,12.1,12.42,163163
2020-07-23,12.27,11.94,11.93,12.3999,167395
2020-07-26,11.96,12,11.86,12.15,184499
2020-07-27,11.91,12.08,11.91,12.24,237618
2020-07-28,12.17,12.19,12,12.2,158287
2020-07-29,11.9,12.02,11.82,12.06,126470
2020-07-30,11.96,11.76,11.63,11.96,332420
2020-08-02,11.74,11.66,11.45,11.75,374151
2020-08-03,11.58,11.7,11.52,11.795,260044
2020-08-04,11.82,12.17,11.66,12.19,365897
2020-08-05,11.92,11.98,11.92,12.11,236187
2020-08-06,12.4,12.2,11.74,12.4,440128
2020-08-09,12.2,12.55,12.2,12.66,467903
2020-08-10,12.8,12.47,12.43,12.94,297502
2020-08-11,12.65,12.43,12.18,12.76,246979
2020-08-12,12.34,12.32,12.18,12.58,157157
2020-08-13,12.21,12.54,12.11,12.58,156743
2020-08-16,12.52,12.51,12.25,12.61,183675
2020-08-17,12.47,12.37,12.28,12.57,138594
2020-08-18,12.33,12.57,12.2897,12.7,204357
2020-08-19,12.36,12.43,12.35,12.55,154062
2020-08-20,12.37,12.47,12.3,12.595,331613
2020-08-23,12.55,12.82,12.37,12.88,196040
2020-08-24,12.95,12.76,12.47,12.99,148102
2020-08-25,12.77,12.55,12.52,12.77,104464
2020-08-26,12.53,12.7,12.53,12.8747,119640
2020-08-27,12.66,12.73,12.57,12.78,153110
2020-08-30,12.74,12.46,12.44,12.81,397640
2020-08-31,12.35,12.46,12.29,12.57,263600
2020-09-01,12.43,12.42,12.14,12.48,408165
2020-09-02,12.5,12.46,12.35,12.705,300921
2020-09-03,12.65,12.41,12.21,12.71,187165
2020-09-07,12.41,12.41,12.26,12.57,178171
2020-09-08,12.49,12.47,12.4075,12.615,141942
2020-09-09,12.48,12.26,12.25,12.645,206812
2020-09-10,12.23,12.24,12.03,12.38,205370
2020-09-13,12.31,12.5,12.2,12.61,436620
2020-09-14,12.56,12.56,12.475,12.725,220592
2020-09-15,12.64,13.11,12.62,13.21,375683
2020-09-16,13,13.11,12.93,13.255,163960
2020-09-17,13.17,13.19,12.99,13.26,576313
2020-09-20,12.88,12.49,12.45,13.04,389014
2020-09-21,12.46,12.57,12.35,12.63,253716
2020-09-22,12.56,12.16,12.12,12.74,291505
2020-09-23,12.23,12.29,12.02,12.57,239020
2020-09-24,12.25,12.61,12.25,12.65,113018
2020-09-27,12.74,12.83,12.74,13.06,177979
2020-09-28,12.62,12.42,12.28,12.73,198812
2020-09-29,12.5,12.26,12.23,12.58,233369
2020-09-30,12.26,12.39,12.08,12.4,253018
2020-10-01,12.21,12.74,12.2,12.77,165338
2020-10-04,12.88,12.58,12.4683,12.88,225646
2020-10-05,12.67,12.53,12.46,12.94,228321
2020-10-06,12.62,12.6,12.52,12.72,145730
2020-10-07,12.71,13.11,12.61,13.12,326169
2020-10-08,13.3,12.95,12.83,13.35,207795
2020-10-11,12.9,13.05,12.84,13.124,210551
2020-10-12,12.95,12.88,12.82,12.98,113219
2020-10-13,13.02,12.87,12.85,13.19,169435
2020-10-14,12.83,13.12,12.8,13.12,124067
2020-10-15,13.05,12.95,12.89,13.11,146269
2020-10-18,12.99,12.83,12.78,13.0626,113285
2020-10-19,12.9,12.94,12.8806,13.1,113523
2020-10-20,12.9,12.79,12.726,12.9762,128286
2020-10-21,12.81,12.89,12.81,12.99,100214
2020-10-22,12.95,13.14,12.95,13.27,97224
2020-10-25,13,12.88,12.73,13.12,235512
2020-10-26,12.84,12.68,12.66,13.03,231093
2020-10-27,12.48,12.35,12.14,12.67,346967
2020-10-28,12.21,12.4,12.01,12.42,271177
2020-10-29,12.3,12.24,12.115,12.4,459199
2020-11-01,12.5,12.92,12.33,12.92,366946
2020-11-02,13.06,12.96,12.9,13.06,174522
2020-11-03,12.84,12.92,12.7,12.99,174504
2020-11-04,12.82,13.06,12.82,13.2335,171980
2020-11-05,13,12.96,12.83,13.2,167429
2020-11-08,13.45,13.35,13.34,13.72,354331
2020-11-09,13.52,13.84,13.24,13.96,363787
2020-11-10,13.94,13.6,13.4,13.94,257828
2020-11-11,13.51,13.44,13.28,13.63,187812
2020-11-12,13.5,13.86,13.5,13.947,181117
2020-11-15,14.06,14.45,14,14.5967,290992
2020-11-16,14.45,14.49,14.36,14.64,258187
2020-11-17,14.64,14.52,14.51,14.9,251018
2020-11-18,14.44,14.53,14.24,14.61,173217
2020-11-19,14.48,14.52,14.34,14.6,283127
2020-11-22,14.55,14.88,14.46,14.9,250939
2020-11-23,15.3,15.27,15.14,15.43,359957
2020-11-24,15.25,15.19,14.85,15.27,357137
2020-11-26,15.19,14.88,14.79,15.19,160247
2020-11-29,14.84,14.4,14.24,14.97,657809
2020-11-30,14.55,14.63,14.43,14.9,214603
2020-12-01,14.65,14.71,14.51,14.77,160409
2020-12-02,14.77,14.76,14.65,14.88,157879
2020-12-03,14.8,15,14.77,15.1,187543
2020-12-06,15.06,14.82,14.71,15.06,168222
2020-12-07,14.75,15,14.75,15.09,191522
2020-12-08,15,14.93,14.8,15.11,187632
2020-12-09,14.9,14.97,14.79,15.03,152757
2020-12-10,14.9,15.04,14.82,15.05,168003
2020-12-13,15.13,15.04,15.01,15.22,190487
2020-12-14,15.01,15.31,15.01,15.36,197465
2020-12-15,15.35,15.27,15.22,15.377,131374
2020-12-16,15.3,15.24,15.24,15.43,263863
2020-12-17,15.24,14.97,14.96,15.62,869396
2020-12-20,14.8,14.99,14.74,15.1,268181
2020-12-21,14.92,14.94,14.82,15.025,198163
2020-12-22,14.99,15.15,14.92,15.23,149514
2020-12-23,15.12,15.11,14.97,15.21,63310
2020-12-27,15.16,15.24,15.16,15.4,181148
2020-12-28,15.3,15.01,15,15.3,229647
2020-12-29,14.94,14.83,14.8,15.13,269140
2020-12-30,14.88,14.84,14.79,14.98,268391
2021-01-03,14.91,14.6,14.435,14.94,481088
2021-01-04,14.58,14.52,14.46,14.65,344974
2021-01-05,14.69,15.05,14.58,15.2,473357
2021-01-06,15,15.16,14.9051,15.1998,282264
2021-01-07,15.15,15.15,14.92,15.17,221179
2021-01-10,15.05,15.14,15.031,15.37,250460
2021-01-11,15.14,15.24,15.06,15.26,135420
2021-01-12,15.31,15.22,15.17,15.37,269445
2021-01-13,15.3,15.29,15.16,15.33,226750
2021-01-14,15.35,15.21,15.12,15.35,286033
2021-01-18,15.26,15.41,15.12,15.53,448364
2021-01-19,15.4,15.49,15.32,15.62,232302
2021-01-20,15.5,15.79,15.445,15.88,255565
2021-01-21,15.66,15.77,15.48,15.77,206179
2021-01-24,15.73,15.72,15.5339,15.805,178643
2021-01-25,15.83,15.46,15.45,15.87,198862
2021-01-26,15.3,15.08,15.01,15.46,289504
2021-01-27,15.08,15.21,14.92,15.29,237745
2021-01-28,15.07,14.96,14.9,15.16,384303
2021-01-31,15.04,15.05,14.8491,15.0999,190444
2021-02-01,15.16,15.38,15.1101,15.46,193477
2021-02-02,15.36,15.32,15.27,15.4849,177858
2021-02-03,15.32,15.51,15.32,15.58,138588
2021-02-04,15.57,15.74,15.52,15.74,225152
2021-02-07,15.83,15.77,15.67,15.86,280275
2021-02-08,15.77,15.65,15.595,15.78,294750
2021-02-09,15.73,15.7,15.639,15.8399,316617
2021-02-10,15.75,15.68,15.5,15.87,158122
