date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,199.16,200.43,198.43,201.72,1484006.0
2020-06-01,200.67,202.68,199.67,203.26,1606123.0
2020-06-02,204.68,203.24,201.73,205,1424599.0
2020-06-03,203.17,201.12,200.14,203.85,1312371.0
2020-06-04,203.3,205.17,201.51,206.52,1423288.0
2020-06-07,203.5,204.84,201.92,205.39,1248519.0
2020-06-08,203.04,200.72,200.01,203.68,1072136.0
2020-06-09,201.5,200.43,199.47,201.945,806136
2020-06-10,196.37,189.2,188.88,196.67,1264594.0
2020-06-11,191.74,191.38,187.91,193.715,1899936.0
2020-06-14,188.06,191.44,185.59,191.58,844982
2020-06-15,196.73,196.2,193.5,198.88,945266
2020-06-16,195.86,195.19,194.595,197.82,1101934.0
2020-06-17,194.37,196.15,193.72,196.97,924022
2020-06-18,199.9,190.3,190.12,199.9,2604338.0
2020-06-21,191.16,192.26,189.43,193.445,1495628.0
2020-06-22,193.61,194.31,192.26,195.28,1281980.0
2020-06-23,193.5,187.75,187.22,193.99,1847235.0
2020-06-24,186.58,186.95,183.22,187.85,2143490.0
2020-06-25,188.35,184.14,183.34,189.6,1509864.0
2020-06-28,185.27,185.65,183.91,185.8,906117
2020-06-29,185.58,188.68,185.095,189.23,1353790.0
2020-06-30,189.76,189.33,188.51,190.94,845569
2020-07-01,192.56,191.61,190.74,193.37,859067
2020-07-05,194,192.02,189.96,194.71,1529198.0
2020-07-06,191.88,189.12,188.99,191.88,1689474.0
2020-07-07,188.47,188.61,185.48,189.46,1485945.0
2020-07-08,188.89,187.81,187.52,191.21,1010033.0
2020-07-09,188.25,189.69,186.5,190.24,821441
2020-07-12,190.76,189.74,189.2,193.24,877103
2020-07-13,189.02,195.88,188.67,196.16,1368334.0
2020-07-14,198.89,199.53,197.98,201.53,1628812.0
2020-07-15,198.62,199.14,197.39,199.45,956481
2020-07-16,200.1,198,197.385,200.23,1067685.0
2020-07-19,196.98,196.34,195.2,197.27,659308
2020-07-20,197.53,194.47,194.16,197.91,784067
2020-07-21,194.34,195.57,193.26,195.87,632311
2020-07-22,196.78,194.1,193.45,197.65,790152
2020-07-23,192.68,191.75,190.29,193.99,1012234.0
2020-07-26,192.34,192.84,191.05,193.54,873171
2020-07-27,191.65,192.6,190.44,193.21,947587
2020-07-28,192.6,190.88,190.32,193.37,1393459.0
2020-07-29,189.59,193.03,187.75,193.87,1653444.0
2020-07-30,193.03,197.54,192.35,197.79,1576225.0
2020-08-02,199.16,198.17,197.45,199.68,970320
2020-08-03,198.23,199.42,196.42,200,863974
2020-08-04,200,201.24,199.025,202.4,1240152.0
2020-08-05,200.86,199.24,197.4,200.86,960814
2020-08-06,198.87,199.99,198.23,200.49,1322101.0
2020-08-09,199.55,204.49,199.1,205,938571
2020-08-10,206.07,207.26,205.64,208.315,1079040.0
2020-08-11,208,211.5,206.69,212.8,1410622.0
2020-08-12,214,213.37,212.26,217.32,1226727.0
2020-08-13,211.88,212.09,211.38,212.745,872153
2020-08-16,213.98,213.97,212.42,214.52,922875
2020-08-17,213.15,213.29,212.61,214.67,983770
2020-08-18,213.11,212.5,210.84,214.35,1332345.0
2020-08-19,197.86,198.27,194.14,200,4402268.0
2020-08-20,201.78,207.01,200.56,207.93,3309268.0
2020-08-23,211.77,212.57,210.92,215.685,1772646.0
2020-08-24,213.13,215.43,210.8257,215.56,977547
2020-08-25,215,216.68,214.78,217.85,1494250.0
2020-08-26,216.8,216.41,215.85,217.98,1045045.0
2020-08-27,216.2,222.93,216.2,223.54,1394691.0
2020-08-30,223.41,221.72,219.29,224.23,1939191.0
2020-08-31,218.85,220.99,217.96,222.62,1766428.0
2020-09-01,221.8,221.96,221.4,223.15,1561479.0
2020-09-02,222.21,218.06,216.31,223.28,1540937.0
2020-09-03,218.79,216.22,212.15,218.79,1592871.0
2020-09-07,213.73,216.02,212.6,216.94,1559735.0
2020-09-08,217.1,218.51,216.73,220.22,1405629.0
2020-09-09,219.54,214.6,213.95,220.56,970590
2020-09-10,216.19,214.69,213.28,216.68,865470
2020-09-13,216.5,217.41,216.075,219.74,694024
2020-09-14,219.06,217.76,217.59,220.28,812236
2020-09-15,218.28,217.26,217.18,219.8,706073
2020-09-16,215.49,215.71,214.4,218.085,560740
2020-09-17,213.98,212.39,211.39,215.95,1260631.0
2020-09-20,209.5,207.83,204.23,211.36,1016686.0
2020-09-21,209.03,209.83,207.73,211.41,783965
2020-09-22,210.89,207.63,207.34,211.72,715946
2020-09-23,206.78,210.46,205.38,212.65,1032315.0
2020-09-24,209.2,215.2,208.86,215.53,1022407.0
2020-09-27,217.11,215.75,214.97,217.86,887729
2020-09-28,217.87,214.78,212.73,217.8999,974437
2020-09-29,215.81,218.25,215.38,219.97,1051237.0
2020-09-30,219.69,219.53,217.33,220.57,909889
2020-10-01,217.15,218.76,215.79,220.76,742738
2020-10-04,221.66,222.05,220.14,223.055,839037
2020-10-05,222,217.66,216.84,223.02,920905
2020-10-06,219.42,221.48,219.065,222.14,791913
2020-10-07,222.24,224.21,221.3,224.81,788205
2020-10-08,224.58,224.6,222.51,226.27,753148
2020-10-11,226.43,227.02,224.6,228.6,832641
2020-10-12,224.13,223.02,222.01,225.22,889144
2020-10-13,225.82,222.84,221.47,225.82,876827
2020-10-14,221.46,221.88,220.35,223.65,909873
2020-10-15,223.46,224.13,222.585,225.63,997195
2020-10-18,224.62,222.34,221.37,226.295,747545
2020-10-19,223.95,225.72,222.71,227.655,597608
2020-10-20,226.7,232.65,225.67,233.815,1236782.0
2020-10-21,232.08,232.62,230.86,234.76,870763
2020-10-22,234.02,235.23,232.46,235.84,698225
2020-10-25,232.24,232.17,227.29,233.02,1197696.0
2020-10-26,233.52,231.05,230.355,233.52,997430
2020-10-27,226.81,220.55,220.4,227.6,1083588.0
2020-10-28,220.55,223.14,219.12,225.31,1050066.0
2020-10-29,221.5,219.66,216.25,224.9,1427281.0
2020-11-01,233.54,223.85,220.42,237.82,2474744.0
2020-11-02,226.06,224.79,221.46,227.55,1691097.0
2020-11-03,226.83,227.75,225.465,230.91,993376
2020-11-04,231,236.86,229.74,237.63,1411910.0
2020-11-05,238.11,238.64,235.33,239.86,976358
2020-11-08,248.97,246.21,246,256.07,1962749.0
2020-11-09,246.72,247.35,246.2,250.23,1501346.0
2020-11-10,249.39,248.23,247.45,251.08,1266476.0
2020-11-11,247.88,249.49,246.94,250.78,905874
2020-11-12,250,255.11,249.6113,255.6,932266
2020-11-15,258.75,258.34,252.87,259.775,1319934.0
2020-11-16,255.22,256.95,254.14,259.47,1014991.0
2020-11-17,257.42,250.32,250.23,257.75,1175208.0
2020-11-18,245.95,241.92,238.93,246.87,2651796.0
2020-11-19,242.37,240.56,240.05,244.37,1364118.0
2020-11-22,241.49,239.7,237.615,241.94,1702471.0
2020-11-23,241.03,245.81,240.65,246.71,1441510.0
2020-11-24,247.21,246.85,246.37,248.825,1091508.0
2020-11-26,246.36,245.94,242.02,247.05,631302
2020-11-29,243.83,245.32,240.25,245.98,3509235.0
2020-11-30,250.24,247.17,245.545,250.85,1547160.0
2020-12-01,245.1,245.32,244.21,247.35,943307
2020-12-02,244.38,245.46,244.12,248.12,1053692.0
2020-12-03,245.93,244.12,241.56,246.61,1152259.0
2020-12-06,242.89,245.76,242.01,246.1,1040830.0
2020-12-07,244.78,248.48,244.22,249.025,1034893.0
2020-12-08,248.09,246.65,245.325,249.32,1251549.0
2020-12-09,246.92,246.53,245.34,248.56,1054709.0
2020-12-10,245.76,245.75,243.9904,247.95,796669
2020-12-13,248.4,247.45,246.87,249.76,1296383.0
2020-12-14,250.06,250.4,247.5,252.1225,1276801.0
2020-12-15,251.54,258.68,250.46,259.17,1676233.0
2020-12-16,258.62,263.83,258.62,265.55,2367872.0
2020-12-17,265.19,261.31,259.3,267.04,3108955.0
2020-12-20,256.72,254.52,250.79,257.54,1960675.0
2020-12-21,254.95,257.46,254.55,258.96,952522
2020-12-22,258.58,259.63,256.94,261.81,618450
2020-12-23,261.32,260.95,259.93,261.63,293516
2020-12-27,264.37,263.82,262.4401,264.85,634493
2020-12-28,266.95,262.75,262.67,267.2,749139
2020-12-29,263.41,262.62,261.85,264.28,563783
2020-12-30,262.92,266.19,262.01,266.66,704784
2021-01-03,261.05,254.99,253.51,264.65,1972066.0
2021-01-04,254.99,258.83,254.96,258.96,1400548.0
2021-01-05,256.52,258.34,256.3,261.31,1317822.0
2021-01-06,261.1,258.27,256.89,261.55,909882
2021-01-07,260.03,260.73,257.45,261.07,955882
2021-01-10,258.7,258.11,256.03,259.7,923459
2021-01-11,257.76,255.41,255.245,259.5,1274093.0
2021-01-12,253.79,256.66,252.56,258.66,1201838.0
2021-01-13,258.38,250.02,249.76,258.405,1091422.0
2021-01-14,249.5,249.13,248.1275,251.14,2214637.0
2021-01-18,249,248.44,245.88,250.11,1774116.0
2021-01-19,251.79,255.22,246,255.69,1320729.0
2021-01-20,254.91,255.27,253.69,258.89,851368
2021-01-21,255.63,249.83,249.72,256.23,1185793.0
2021-01-24,250.24,250.02,247.405,252.2,1087957.0
2021-01-25,249.72,245.31,244.8,250.21,1005719.0
2021-01-26,242.53,235.85,231.97,243.505,2629739.0
2021-01-27,237.82,245.08,236.27,247.215,1540228.0
2021-01-28,243.58,236.65,235.805,243.605,1181572.0
2021-01-31,238.83,241.85,237.73,243.29,1495264.0
