date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,4.5,4.65,4.4011,4.7,15242
2020-06-01,4.77,4.66,4.56,4.815,37224
2020-06-02,4.85,4.68,4.6,4.85,27331
2020-06-03,4.79,4.71,4.7,4.8571,18698
2020-06-04,4.86,4.86,4.7,4.865,43849
2020-06-07,5,5.02,4.8515,5.1,85624
2020-06-08,5.09,5.05,4.82,5.12,69013
2020-06-09,5.11,5.0873,5,5.17,22651
2020-06-10,4.8,4.5601,4.5601,5.0499,12777
2020-06-11,4.84,4.8599,4.681,4.8999,18260
2020-06-14,4.55,4.72,4.45,4.8,10502
2020-06-15,4.66,4.73,4.6301,4.87,28519
2020-06-16,4.57,4.72,4.49,4.85,26854
2020-06-17,4.53,4.8167,4.49,4.88,26313
2020-06-18,4.6,4.76,4.5201,4.84,25643
2020-06-21,4.61,4.67,4.5685,4.73,23086
2020-06-22,4.62,4.69,4.56,4.8,69415
2020-06-23,4.65,4.66,4.65,4.83,38938
2020-06-24,4.63,4.65,4.5871,4.76,45608
2020-06-25,4.53,4.56,4.5001,4.72,27058
2020-06-28,4.6,4.72,4.5508,4.75,11304
2020-06-29,4.85,4.62,4.58,4.85,56871
2020-06-30,4.71,5,4.71,5.25,34194
2020-07-01,5,4.7,4.7,5.21,37377
2020-07-05,4.85,4.91,4.85,5.12,30744
2020-07-06,5.1,5.03,5.01,5.17,22154
2020-07-07,5.11,4.96,4.9502,5.22,27637
2020-07-08,5.11,5.07,5.01,5.18,42923
2020-07-09,5.1,4.93,4.85,5.12,23568
2020-07-12,4.87,4.75,4.75,5.12,14673
2020-07-13,4.96,5.05,4.9,5.1,38079
2020-07-14,5.25,5.24,5.02,5.25,48336
2020-07-15,5.25,5.3,5.14,5.37,16608
2020-07-16,5.27,5.26,5.26,5.49,18942
2020-07-19,5.5,5.5,5.45,5.76,9790
2020-07-20,5.67,5.5,5.5,5.75,22676
2020-07-21,5.32,5.47,5.25,5.59,27073
2020-07-22,5.49,5.36,5.35,5.49,8167
2020-07-23,5.24,5.75,5.13,5.89,27389
2020-07-26,5.71,5.76,5.6,5.879,21197
2020-07-27,5.7,5.49,5.46,5.7,15000
2020-07-28,5.42,5.46,5.42,5.61,5141
2020-07-29,5.47,5.46,5.4501,5.7,3056
2020-07-30,5.43,5.58,5.43,5.58,4632
2020-08-02,5.6,5.98,5.46,5.98,13828
2020-08-03,5.89,5.75,5.75,5.98,35696
2020-08-04,5.94,5.8,5.8,5.96,9674
2020-08-05,5.8403,5.76,5.72,5.97,11540
2020-08-06,5.7,5.68,5.6727,5.87,12068
2020-08-09,5.87,5.82,5.78,5.9,16754
2020-08-10,5.84,5.925,5.769,5.95,30366
2020-08-11,5.86,5.88,5.73,5.9,13470
2020-08-12,5.8,6.14,5.775,6.22,38932
2020-08-13,5.79,5.86,5.7,6.15,57647
2020-08-16,5.85,5.84,5.7,6.0417,25790
2020-08-17,5.97,5.98,5.8401,6.06,16592
2020-08-18,5.66,5.5966,5.54,5.66,45384
2020-08-19,5.49,5.43,5.3,5.515,27368
2020-08-20,5.29,5.45,5.2247,5.45,22815
2020-08-23,5.64,5.61,5.5001,5.65,36895
2020-08-24,5.68,5.6498,5.5815,5.68,14045
