date,open_price,close_price,lowest_price,highest_price,volume
2020-10-07,11,10.26,10.01,12,10761890.0
2020-10-08,11,10.07,10.05,11,2319712.0
2020-10-11,10.25,9.86,9.5,10.3,1919640.0
2020-10-12,9.8,9.71,9.06,9.8489,3431656.0
2020-10-13,10.18,9.32,9.32,10.28,1610113.0
2020-10-14,9.45,10.79,9.26,10.79,5001314.0
2020-10-15,11.38,12.01,10.79,12.5,5622557.0
2020-10-18,12.65,11.97,11.92,13.2,3824667.0
2020-10-19,11.4,12.2,11.1,12.38,1879924.0
2020-10-20,12.17,12.5,11.5,12.55,1517951.0
2020-10-21,12.15,12.4,11.44,12.47,1588465.0
2020-10-22,12.99,13.49,12.61,13.64,2806685.0
2020-10-25,13.25,13.73,13.18,14.19,2300144.0
2020-10-26,13.46,13.8,13.1,14.04,1966232.0
2020-10-27,13,13.73,12.4001,14.2,2600935.0
2020-10-28,13.95,13.64,13.56,14.69,2286936.0
2020-10-29,13.5,13.49,13.1801,13.95,2005333.0
2020-11-01,14.22,13.8,13.5501,14.7,1651464.0
2020-11-02,14.06,14.93,14,15.69,3210642.0
2020-11-03,15.45,14.28,14.05,15.53,1882128.0
2020-11-04,14.6,14.78,14.5991,15.61,1519376.0
2020-11-05,15.2,14.92,14.29,15.35,1966594.0
2020-11-08,14.96,14.65,14.35,15.2599,1403582.0
2020-11-09,14.55,15.65,14.4,15.75,3241920.0
2020-11-10,20.0002,16.03,15.95,20.35,12771346.0
2020-11-11,16.4,15.42,14.87,16.65,4830821.0
2020-11-12,15.12,15.32,14.96,16.57,4516987.0
2020-11-15,15.72,18.59,15.65,18.71,4728424.0
2020-11-16,18.3,21.66,18.3,22.44,12283274.0
2020-11-17,22.2,20.83,20.53,23.8799,8189537.0
2020-11-18,22.13,22.2,19.85,22.48,4407154.0
2020-11-19,22.8,23.65,22.8,24.5,5217029.0
2020-11-22,24.87,25.75,24.38,27.9,8449057.0
2020-11-23,27.61,24.85,22.7501,27.61,7446141.0
2020-11-24,24.51,25.26,23,25.57,5767882.0
2020-11-26,25.9,27.1,25.6,27.4199,3969299.0
2020-11-29,27.91,27.7,26.9,28.66,5558916.0
2020-11-30,28.08,26.74,26.595,28.3,5155638.0
2020-12-01,28.5,27.4,26.03,29.21,10490366.0
2020-12-02,26.75,26.9,26.3,28.3,5150929.0
2020-12-03,27.2,27,26.06,27.28,4739049.0
2020-12-06,27.89,27.6,27,29.76,6929917.0
2020-12-07,27.4,29,27.1737,29.6539,4252453.0
2020-12-08,29,29.79,27.77,32.73,8101593.0
2020-12-09,28.69,28.9,28.11,29.99,4827890.0
2020-12-10,28.5,27.58,26.5466,29.27,6087315.0
2020-12-13,28.5,27.15,25.55,28.98,4414064.0
2020-12-14,27.65,26.47,26.03,27.65,3076636.0
2020-12-15,27.6,29.7,26.93,31.1,12031061.0
2020-12-16,30.22,35.32,29.6,35.87,20332197.0
2020-12-17,35.99,39.25,35.93,40.18,20065042.0
2020-12-20,42.14,49.48,39.8933,51.64,32861760.0
2020-12-21,55.6,62,52.5,62.29,36140742.0
2020-12-22,56.08,52.59,52.5,57.87,20436071.0
2020-12-23,50.53,44.18,42.82,50.55,26412257.0
2020-12-27,39.82,38.94,36.5,41.47,29794321.0
2020-12-28,39.82,38.74,36.12,39.94,19336727.0
2020-12-29,37.7,33.31,32.25,38.99,53836826.0
2020-12-30,30.65,28,27.3501,30.65,64578449.0
2021-01-03,28.23,24.24,23.17,28.24,62282126.0
2021-01-04,27.71,27.33,26.77,30.77,76535673.0
2021-01-05,28.09,27.17,25.6105,29.19,37544408.0
2021-01-06,28.36,28.37,27.22,30.13,26265609.0
2021-01-07,28.97,27.31,26.01,29.4,20886202.0
2021-01-10,26.12,27.19,26.0709,28.94,13277941.0
2021-01-11,31.12,36.48,29.55,36.9,78612845.0
2021-01-12,38.29,35.8,34.51,40.4,54135656.0
2021-01-13,36.07,35.62,32.52,36.87,33038016.0
