date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,10.15,9.6,9.56,10.15,151113
2020-06-01,9.19,9.84,8.91,9.87,242810
2020-06-02,10.14,10.51,10.14,10.77,204256
2020-06-03,10.43,10.73,9.98,10.75,158078
2020-06-04,11.35,12.13,11.25,12.75,262106
2020-06-07,12.49,12.83,12.06,12.99,253777
2020-06-08,12.35,11.79,11.54,12.56,150063
2020-06-09,11.79,10.78,10.77,11.88,72527
2020-06-10,10.21,9.94,9.86,10.36,164378
2020-06-11,10.48,10.56,10.12,10.66,120661
2020-06-14,10.06,10.69,10.06,10.82,107088
2020-06-15,11.23,11.28,10.55,11.38,100889
2020-06-16,11.29,10.59,10.56,11.29,124878
2020-06-17,10.37,10.48,10.37,10.81,154479
2020-06-18,10.63,10.14,9.98,10.67,572186
2020-06-21,10.1,10.09,9.71,10.175,108938
2020-06-22,10.22,9.79,9.76,10.5,124773
2020-06-23,9.62,9.53,9.06,9.78,168195
2020-06-24,9.46,9.89,9.36,9.93,106331
2020-06-25,9.69,9.39,9.015,9.785,227643
2020-06-28,9.53,10,9.53,10.44,191571
2020-06-29,9.97,9.99,9.73,10.185,107401
2020-06-30,10.09,9.53,9.25,10.15,133653
2020-07-01,9.9,9.8,9.61,10.22,390873
2020-07-05,10.11,10.06,9.8,10.24,145498
2020-07-06,9.95,10.03,9.65,10.195,147849
2020-07-07,10,10.44,9.95,10.55,160998
2020-07-08,10.4,10.1,10.02,10.54,227378
2020-07-09,10.06,10.4,9.96,10.49,108126
2020-07-12,10.38,10.05,10,10.4891,104977
2020-07-13,10.13,10.14,9.85,10.27,158785
2020-07-14,10.5,11.18,10.5,11.49,171704
2020-07-15,11.1,11.13,10.87,11.54,90480
2020-07-16,11.11,11.09,10.93,11.34,111862
2020-07-19,11.09,11.19,11,11.34,84169
2020-07-20,11.38,11.8,11.38,12.07,102340
2020-07-21,11.64,11.07,10.98,11.78,95727
2020-07-22,10.9,11.42,10.9,11.47,88620
2020-07-23,10.71,10.5,10,12.08,202419
2020-07-26,10.46,10.56,10.4,10.92,141157
2020-07-27,10.26,10.4,10.11,10.71,293512
2020-07-28,10.58,11.23,10.58,11.41,156477
2020-07-29,11.03,11.19,10.87,11.31,171751
2020-07-30,12.18,11.98,11.79,12.865,288191
2020-08-02,12.03,11.93,11.7,12.62,141850
2020-08-03,11.73,11.54,11.46,12.05,175108
2020-08-04,11.66,11.72,11.4095,11.88,82636
2020-08-05,11.46,11.94,11.46,12.04,112843
2020-08-06,11.76,12.11,11.66,12.12,93451
2020-08-09,12.18,12.38,12.12,12.77,134808
2020-08-10,12.58,12.36,12.14,12.69,139898
2020-08-11,12.36,12.11,11.92,12.5,101882
2020-08-12,12.03,12.05,11.7,12.145,151115
2020-08-13,11.96,12.09,11.96,12.46,95936
2020-08-16,12,11.71,11.65,12.035,98267
2020-08-17,11.61,11.49,11.29,11.61,90512
2020-08-18,11.5,11.43,11.34,11.63,87870
2020-08-19,11.25,11.41,11.22,11.69,111094
2020-08-20,11.5,10.78,10.48,11.5,333581
2020-08-23,10.98,11.39,10.75,11.54,150543
2020-08-24,12,11.73,11.34,12.12,204240
2020-08-25,11.71,11.22,11.13,11.79,88912
2020-08-26,11.22,11.22,11.18,11.52,133644
2020-08-27,11.3,11.29,11.11,11.43,120900
2020-08-30,11.31,11.22,11.14,11.445,150864
2020-08-31,11.1,11.2,11.09,11.3,112191
2020-09-01,11.25,11.42,11.145,11.52,101831
