date,open_price,close_price,lowest_price,highest_price,volume
2020-10-21,15,15,13.56,15.66,2700703.0
2020-10-22,14.65,14.9,14,15,531651
2020-10-25,14.8,14.7,14.5,14.99,113208
2020-10-26,14.65,15,14.65,15.0489,232594
2020-10-27,14.75,15,14.54,15.13,158993
2020-10-28,14.85,14.8,14.75,15,142198
2020-10-29,14.66,14.75,14.66,14.98,91066
2020-11-01,14.78,14.63,14.27,14.92,148895
2020-11-02,14.7,14.75,14.6101,15.4,534011
2020-11-03,14.9499,14.86,14.71,15.48,159563
2020-11-04,14.73,15.21,14.69,15.29,61117
2020-11-05,15.15,15.12,14.76,15.2,28765
2020-11-08,15.15,15,14.78,15.3554,71408
2020-11-09,14.99,14.95,14.56,15.07,29018
2020-11-10,14.9,14.75,14.652,14.9,29940
2020-11-11,14.6,14.73,13.89,14.75,31888
2020-11-12,14.47,14.75,14.3501,14.75,76952
2020-11-15,14.5,14.71,14.5,14.8999,66199
2020-11-16,14.71,14.44,14.28,14.71,100488
2020-11-17,14.4,14.33,14.07,14.55,148936
2020-11-18,14.24,13.94,13.13,14.44,159030
2020-11-19,13.75,13.94,13.53,13.995,122847
2020-11-22,13.96,14.8,13.5,15.38,295385
2020-11-23,14.83,14.49,14.26,15,150903
2020-11-24,14.55,14.4,14.17,14.85,74315
2020-11-26,14.4,14.58,14.17,14.58,18998
2020-11-29,14.68,14.44,14.25,15.1,62058
2020-11-30,14.29,14.91,14.29,15.22,200446
2020-12-01,14.82,14.86,14.66,15.39,165771
2020-12-02,15.4,15.04,14.8301,15.4,52815
2020-12-03,14.93,15.11,14.8,15.21,23527
2020-12-06,15.11,15.49,14.82,15.555,91794
2020-12-07,15.41,15.29,14.81,15.51,71989
2020-12-08,15.05,15.11,14.83,15.17,62072
2020-12-09,15.2,15.16,14.89,15.22,38277
2020-12-10,14.93,15.46,14.93,15.46,37827
2020-12-13,15.6,15.25,15.17,15.7,67396
2020-12-14,15.27,15.39,15.0025,15.57,77740
2020-12-15,15.55,15.45,15.01,15.55,102019
2020-12-16,15.61,16.48,15.2558,16.74,284362
2020-12-17,16.72,15.39,14.68,16.74,339414
2020-12-20,15.46,15.89,15.2261,16.1733,128470
2020-12-21,15.86,16.41,15.75,16.41,116236
2020-12-22,16.25,16.95,16.11,17.1768,81259
2020-12-23,16.83,16.89,16.7982,17.25,22718
2020-12-27,16.79,17.08,16.7709,17.3999,61146
2020-12-28,17,17.26,16.4135,17.26,44800
2020-12-29,17.36,17.6,16.993,17.6,30234
2020-12-30,17.6,16.94,16.93,17.69,27395
2021-01-03,16.94,17.25,16.8902,17.7,62910
2021-01-04,17.3,17.76,16.9601,17.76,36355
2021-01-05,17.93,17.51,17.1233,17.9367,37107
2021-01-06,17.79,17.15,16.75,17.8497,40453
2021-01-07,17.32,17.31,17.05,17.73,15350
2021-01-10,17.36,17.51,16.88,17.82,20083
2021-01-11,17.8,17.54,17.21,18,48336
2021-01-12,17.8,17.24,17.23,18,62183
2021-01-13,17.05,17,17,17.4312,15990
2021-01-14,17.08,17.61,16.4201,17.8,30017
2021-01-18,16.11,17.54,16.11,17.9254,61654
2021-01-19,17.48,17.33,16.65,17.5,46562
2021-01-20,17.43,16.74,16.1993,17.43,145444
2021-01-21,16.15,16.1,15.8,16.44,144601
2021-01-24,15.9,15.66,15.52,15.9,85944
2021-01-25,15.47,15.72,15.1,15.93,96147
2021-01-26,15.33,15.58,14.7086,15.95,80454
2021-01-27,15.58,15.75,15.15,15.75,74944
2021-01-28,15.34,15.31,14.91,15.46,68072
2021-01-31,15.69,15.48,15.11,16.1,47511
2021-02-01,15.82,16.05,15.27,16.05,43597
2021-02-02,15.81,15.87,15.48,16.21,15481
2021-02-03,15.9,15.9,15.7603,16,27773
2021-02-04,15.78,16.21,15.42,16.5,33906
2021-02-07,17,16.97,16.7505,17.34,209244
2021-02-08,17.79,16.61,16.53,17.79,81573
2021-02-09,16.9,16.7,16.0701,17.21,105287
2021-02-10,16.46,16.54,16.09,16.9,38948
2021-02-11,16.4,16.43,16.11,16.732,28927
2021-02-15,16.61,16.98,16.2501,16.99,84503
2021-02-16,16.63,16.79,16.23,17.25,43922
2021-02-17,16.56,16.51,16.28,16.88,16414
2021-02-18,16.5,16.29,16.1,16.88,35457
2021-02-21,16.1,15.91,15.5,16.68,43021
2021-02-22,15.61,15.97,15.51,16.25,36837
2021-02-23,15.81,16.06,15.715,16.0619,13261
2021-02-24,15.9,16.22,15.51,16.27,17971
2021-02-25,16.23,16.32,15.9,16.4,11422
2021-02-28,16.05,16.74,15.88,16.9,27450
2021-03-01,16.57,16.5,16.3,16.81,23538
2021-03-02,17.5,16.36,16.22,17.5,108673
2021-03-03,16.69,15.48,13.88,16.69,62202
2021-03-04,15.48,15.5,14.04,15.5,28255
2021-03-07,15.38,15.85,14.64,15.85,9667
2021-03-08,15.48,15.5,15.01,15.6455,23800
2021-03-09,15.3,15.5,15.25,15.5,8929
2021-03-10,15.39,15.32,15.25,15.7,22717
2021-03-11,15.18,15.05,14,15.5,25116
2021-03-14,15.24,15.03,14.61,15.3275,16185
2021-03-15,14.96,15.09,14.6,15.4999,11934
2021-03-16,14.88,14.75,14.63,15.19,10723
2021-03-17,15.13,14.84,14.62,15.15,9278
2021-03-18,14.66,15.1,14.55,15.1,14551
2021-03-21,15.21,15.18,14.5,15.36,25323
2021-03-22,15.15,14.7,14.21,15.15,35937
2021-03-23,14.75,14.55,14.28,14.9,18499
2021-03-24,14.91,14.76,14.39,14.91,11658
2021-03-25,14.36,14.65,14.2134,14.82,14512
2021-03-28,14.52,14.81,14.52,15.025,19656
2021-03-29,15.11,14.57,14.36,15.11,13884
2021-03-30,14.4,14.2,14.01,14.95,24986
2021-03-31,14.39,14.4,14.1775,14.4,16089
2021-04-04,14.4,14.63,14.1,14.89,91323
2021-04-05,14.62,14.3,14,14.62,99057
2021-04-06,14.3,14.13,14.11,14.4599,6302
2021-04-07,14.34,14.09,14,14.34,29681
2021-04-08,14.07,14.17,14.01,14.3258,14979
2021-04-11,14.06,14.05,13.815,14.105,8265
2021-04-12,13.88,14.13,13.75,14.14,66919
2021-04-13,14.01,14.08,13.8,14.11,6494
2021-04-14,14.21,14,12.76,14.35,68245
2021-04-15,14.09,13.81,13.8,14.1,8824
2021-04-18,13.76,13.64,13.42,13.79,12140
2021-04-19,13.38,13.6,13.38,13.745,14100
2021-04-20,13.58,13.51,13.51,13.7338,6669
2021-04-21,13.55,13.27,12.5537,13.72,32443
2021-04-22,13.44,13.45,13.25,13.65,21759
2021-04-25,13.42,13.61,13.42,13.67,5502
2021-04-26,13.67,13.7,13.65,13.87,12077
2021-04-27,13.85,13.9,13.7,13.95,23726
2021-04-28,13.94,14.45,13.4837,14.5,30859
2021-04-29,14.4,14.85,14.4,15,46370
2021-05-02,14.88,15.1,14.66,15.22,29081
2021-05-03,15.05,15.12,14.56,15.33,11282
2021-05-04,15.05,15.33,15.05,15.84,13969
2021-05-05,15.39,15,14.66,15.39,20593
2021-05-06,14.97,14.34,14.34,15,9104
2021-05-09,14.49,14.2,14,14.8499,21700
2021-05-10,15,14.6,14.5,15.44,126643
2021-05-11,14.41,14.59,14.41,15,47175
2021-05-12,14.61,14.95,14.61,15.085,23712
2021-05-13,14.83,15.4,14.83,15.4,19767
2021-05-16,15.5,15.85,15.427,15.85,30245
2021-05-17,15.64,16.58,15.64,16.58,34643
2021-05-18,16.3,16.4,16.1,16.61,31606
2021-05-19,15.25,15.6,14.8174,15.86,40941
2021-05-20,15.6,15.31,15.268,15.6,4766
2021-05-23,15.5,15.22,15.13,15.5,8588
2021-05-24,15.18,15.4,15.04,15.5,39898
2021-05-25,15.4,15.29,15.195,15.4,9454
2021-05-26,15.2,15.65,15.2,15.65,10258
2021-05-27,15.5,15.7,15.1629,15.75,30583
2021-05-31,15.7,15.4,15.325,16,11864
2021-06-01,14.3019,15.59,14.3019,15.69,4961
2021-06-02,15.62,16,15.41,16,13981
2021-06-03,15.66,15.31,15.31,15.66,12324
2021-06-06,15.24,15.68,15.24,15.68,14170
2021-06-07,15.4,15.39,15.36,15.786,19415
2021-06-08,15.33,15.4,15.31,15.45,16485
2021-06-09,15.27,15.4,15.27,15.56,10354
2021-06-10,15.64,15.5,15.24,15.64,19687
2021-06-13,15.36,15.66,15.36,15.67,4706
2021-06-14,15.75,15.6,15.5,15.75,13653
2021-06-15,15.5,14.72,14.72,15.5539,29131
2021-06-16,14.83,15.05,14.83,15.24,31130
2021-06-17,15.05,15.65,14.88,15.65,26199
2021-06-20,15.64,15.5,15.25,15.6858,7581
2021-06-21,15.5499,15.42,15.02,15.5499,10345
2021-06-22,15.6,15.48,15.3,15.63,11984
2021-06-23,15.41,15.2,15.02,15.41,15116
2021-06-24,15.31,15.22,15.02,15.48,9156
2021-06-27,15.28,15.02,15.02,15.45,4128
2021-06-28,15.11,15.02,14.9,15.36,17424
2021-06-29,15,15.34,14.99,15.37,47319
2021-06-30,15.28,15.84,14.78,15.98,47334
2021-07-01,15.71,15.6,15.54,15.9386,10191
2021-07-05,15.48,16.15,15.07,16.35,26835
2021-07-06,16.23,15.67,15.5861,16.23,4833
2021-07-07,15.73,15.65,15.32,16.28,10352
2021-07-08,15.5613,15.77,15.5613,15.9,2278
2021-07-11,15.87,15.87,15.4,15.8943,26838
2021-07-12,15.75,15.785,15.59,15.8387,11957
2021-07-13,15.78,15.68,15.3756,15.78,16140
2021-07-14,15.6,15.75,15.4,15.75,12678
2021-07-15,15.88,15.74,15.5201,15.88,11446
2021-07-18,15.68,15.25,15.11,15.68,34433
2021-07-19,15.28,15.59,15.28,15.95,14169
2021-07-20,15.6,15.75,15.6,15.96,8568
2021-07-21,15.41,15.6,15.41,15.75,11143
2021-07-22,15.61,16,15.61,16,11999
2021-07-25,16,15.9,15.8325,16,8705
2021-07-26,16,15.84,15.705,16,12329
2021-07-27,15.7927,16,15.7927,16,30241
2021-07-28,15.9,15.9,15.64,16.05,32037
2021-07-29,15.9,15.9,15.66,15.965,64851
2021-08-01,15.99,15.8,15.26,16.15,35858
2021-08-02,15.6899,15.86,15.6899,15.86,11580
2021-08-03,15.89,15.65,15.52,15.89,16100
2021-08-04,15.4577,15.71,15.4577,15.92,13459
2021-08-05,15.76,15.97,15.76,15.98,25218
2021-08-08,15.93,15.85,15.7,16.05,24131
2021-08-09,15.91,15.67,15.6001,15.91,12587
2021-08-10,15.76,15.6,15.39,15.76,25461
2021-08-11,15.65,15.7,15.56,15.794,59236
2021-08-12,15.635,15.5,15.061,15.635,9780
2021-08-15,15.39,15.25,14.86,15.4,20084
2021-08-16,15.2,14.83,14.82,15.2,15156
2021-08-17,14.99,15.06,14.8128,15.13,22297
2021-08-18,14.88,14.75,14.5611,14.88,7406
2021-08-19,15,14.69,14.62,15,13484
2021-08-22,14.69,14.74,14.45,14.75,10203
2021-08-23,15,14.8,14.65,15.0499,16497
2021-08-24,14.6,14.79,14.5105,14.845,29657
2021-08-25,14.66,14.67,14.3301,14.76,58233
2021-08-26,14.7,14.54,14.35,14.73,33331
2021-08-29,14.68,14.25,14.2,14.68,20315
2021-08-30,14.12,14.45,14.12,14.45,17232
2021-08-31,14.38,14.35,14.2055,14.66,18214
2021-09-01,14.4,14.386,14.33,14.49,2600
2021-09-02,14.25,14.6,14.2044,14.6,12159
2021-09-06,14.46,14.65,14.25,14.65,5914
2021-09-07,14.52,14.27,13.42,14.68,31271
2021-09-08,14.27,14.26,14.17,14.44,1804
2021-09-09,14.27,14.52,14.27,14.54,1914
2021-09-12,14.44,14.45,14.14,14.45,4771
2021-09-13,14.4,14.45,14.14,14.52,12064
2021-09-14,14.34,14.17,14.04,14.55,26376
2021-09-15,14.23,14.08,14.01,14.49,15870
2021-09-16,14.22,14.42,13.86,14.42,14378
2021-09-19,14.26,14.2,13.8301,14.26,12302
2021-09-20,14.1,14.04,13.985,14.17,19610
2021-09-21,14.3138,14.3,14.1,14.3138,7066
2021-09-22,14.16,13.99,13.99,14.48,16756
2021-09-23,14.2,14.3,14.08,14.4676,31401
2021-09-26,13.4,14.11,13.4,14.23,7340
2021-09-27,13.82,13.78,13.5,14.1252,5914
2021-09-28,13.74,13.5,13.11,13.8,21645
2021-09-29,13.37,13.76,13.11,14.31,35256
2021-09-30,13.84,14,13.52,14.1,12361
2021-10-03,14.1902,14,14,14.1902,4054
2021-10-04,14.03,14.29,13.93,14.29,5644
2021-10-05,14.14,14,13.8214,14.15,3518
2021-10-06,14,14,13.5513,14.02,12715
2021-10-07,13.86,13.75,13.75,14.15,6135
2021-10-10,13.81,13.93,13.8,13.97,5000
2021-10-11,13.89,14.05,13.6,14.05,29801
2021-10-12,13.91,13.72,13.71,13.91,772
2021-10-13,13.71,13.66,13.66,13.74,4591
2021-10-14,13.91,13.75,13.75,13.91,2086
2021-10-17,13.728,13.58,13.58,13.832,4860
2021-10-18,13.43,13.6933,13.345,13.88,6274
2021-10-19,13.75,13.66,13.56,13.93,3440
2021-10-20,13.77,13.74,13.13,13.82,5514
2021-10-21,13.72,13.42,13.2085,13.7499,2485
2021-10-24,13.35,13.21,13.21,13.6466,3002
2021-10-25,13.44,14,13.44,14,7949
2021-10-26,13.99,13.65,13.65,14.36,15693
2021-10-27,13.85,13.8918,13.5444,13.94,1934
2021-10-28,13.6824,13.6,13.6,13.8433,3127
2021-10-31,13.58,13.5,13.26,13.915,13682
2021-11-01,13.63,13.61,13.12,13.72,9409
2021-11-02,13.8778,13.64,13.53,13.91,2019
2021-11-03,13.67,13.66,13.64,13.9,4084
2021-11-04,13.8,13.82,13.67,13.821,4556
2021-11-07,13.66,14.13,13.66,14.13,4697
2021-11-08,14,13.9,13.9,14.15,4998
2021-11-09,13.77,14,13.62,14.38,10392
2021-11-10,14.85,14.91,14.7,15.1653,68834
2021-11-11,15.07,15.095,15,15.49,22752
2021-11-14,15.84,15.79,15.28,16,142246
2021-11-15,15.9,15.5,15.3173,16.07,37551
2021-11-16,15.47,15.45,15.1201,15.53,61632
2021-11-17,15.6,15.95,15.54,16.0516,29445
2021-11-18,14.95,14.95,14.63,15.462,34874
2021-11-21,13.75,14.03,12.56,14.03,60654
2021-11-22,13.01,13.68,12.25,14.2499,41328
2021-11-23,13.41,13.7,13.2501,13.99,40980
2021-11-25,13.75,13.76,13.27,14.06,12224
2021-11-28,14.6,15.02,14.4501,15.11,73957
2021-11-29,14.99,14.78,13.54,15.3,59818
2021-11-30,14.8,14.65,14.41,14.942,16948
2021-12-01,14.66,14.75,14.22,14.81,19991
2021-12-02,14.89,14.85,14.4142,15.38,32145
2021-12-05,15.08,15.18,14.85,15.4786,46038
2021-12-06,15.2,14.95,14.6501,15.25,23745
2021-12-07,15.07,15.17,14.97,15.25,23632
2021-12-08,15.07,15.01,14.66,15.67,16183
2021-12-09,15,15.09,14.78,15.5,30677
2021-12-12,14.96,15.01,14.6301,15.13,22266
2021-12-13,14.84,14.99,14.715,15.02,12777
2021-12-14,14.95,14.88,14.42,15,12870
2021-12-15,14.78,14.9,14.47,15.01,11144
2021-12-16,14.7,14.15,14,14.7,35762
2021-12-19,13.54,13.95,13.27,14.04,57369
2021-12-20,13.85,14.2,13.53,14.48,11249
2021-12-21,14.23,14.04,13.87,14.23,20379
2021-12-22,13.78,14.11,13.77,14.22,14253
2021-12-26,13.97,13.87,13.06,14.01,26492
2021-12-27,13.8,13.81,13.33,14.1754,23208
2021-12-28,13.67,13.95,13.67,14.0907,27797
2021-12-29,13.9999,14.2,13.6834,14.4218,6295
2021-12-30,14.04,14.03,13.92,14.2387,14611
2022-01-02,13.93,14.27,13.93,14.49,7631
2022-01-03,14.25,14.1,14.02,14.51,12096
2022-01-04,14.14,14.26,14.14,14.4,7144
2022-01-05,14.14,14.14,14.1,14.4534,2697
2022-01-06,14.09,14.07,14.01,14.1805,3100
2022-01-09,13.99,14.12,13.99,14.21,8844
2022-01-10,14.05,13.91,13.698,14.08,20404
2022-01-11,14.34,13.76,13.75,14.34,6499
2022-01-12,13.75,13.93,13.64,14.04,20556
2022-01-13,13.76,13.98,13.76,13.99,3580
2022-01-17,13.82,13.65,13.65,13.9329,4158
2022-01-18,13.75,13.68,13.31,13.75,3985
2022-01-19,13.57,12.8,12.5,13.57,15684
2022-01-20,12.4003,12.6,12.305,12.7,9599
2022-01-23,12.38,12.24,12.08,12.38,15343
2022-01-24,12.18,12.22,12.18,12.4383,8991
2022-01-25,12.37,12.55,12.37,12.91,11332
2022-01-26,12.68,12.53,12.48,12.8585,4734
2022-01-27,12.355,12.62,12.355,12.62,1945
2022-01-30,12.46,12.41,12.3,12.79,3290
2022-01-31,13.1781,12.65,12.0101,13.1781,12825
2022-02-01,12.7,13.05,12.7,13.9,14964
2022-02-02,12.49,13.22,12.49,13.6364,15373
2022-02-03,13.24,13.02,12.53,13.59,30930
2022-02-06,12.92,13.24,12.71,13.26,8105
2022-02-07,13.3,13.66,13.02,13.66,14081
2022-02-08,13.035,13.25,12.92,13.59,8268
2022-02-09,13.505,13.3,12.84,13.6699,4428
2022-02-10,13.35,13.31,13.2,13.4,3271
