date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,17.73,17.82,17.56,18.28,462531
2020-06-01,18.13,18.45,17.94,18.79,385328
2020-06-02,18.8,18.99,18.8,19.53,321396
2020-06-03,18.88,20,18.565,20.05,592353
2020-06-04,20.9,21.44,20.9,21.79,745545
2020-06-07,21.8,21.6,21.19,22.23,734159
2020-06-08,21.06,20.53,20.5,21.24,341551
2020-06-09,20.63,18.93,18.92,20.63,440190
2020-06-10,17.84,16.81,16.78,18.189,491338
2020-06-11,17.6,17.39,16.75,18.03,471934
2020-06-14,16.65,17.96,16.6001,18.18,511142
2020-06-15,19.76,20.77,19.76,21.5599,1153439.0
2020-06-16,20.76,19.36,19.3,20.94,637003
2020-06-17,19,19.38,18.96,19.99,405060
2020-06-18,19.86,19.16,18.96,20.1175,805564
2020-06-21,18.78,18.74,18.21,18.915,387513
2020-06-22,19.14,18.83,18.56,19.14,363078
2020-06-23,18.51,17.81,17.77,18.77,526768
2020-06-24,17.43,18.55,17.22,18.57,435564
2020-06-25,18.45,18.44,17.45,18.46,726543
2020-06-28,18.91,19.22,18.5,19.35,535411
2020-06-29,18.96,19.14,18.82,19.36,556297
2020-06-30,19.2,17.94,17.9,19.56,338969
2020-07-01,18.48,18.2,18.12,19.09,329034
2020-07-05,18.74,18.4,18.12,19.09,393573
2020-07-06,18.14,17.74,17.67,18.35,294135
2020-07-07,17.88,17.93,17.5,18.24,576000
2020-07-08,17.8,16.96,16.78,17.9056,308406
2020-07-09,16.94,17.64,16.94,17.67,182596
2020-07-12,18.03,17.54,17.34,18.11,261938
2020-07-13,17.6,17.86,17.53,17.99,263336
2020-07-14,18.46,18.93,18.13,19.09,401207
2020-07-15,18.84,18.87,18.5374,19.22,274517
2020-07-16,18.9,19.19,18.81,19.429,427144
2020-07-19,19.09,18.97,18.5592,19.15,281843
2020-07-20,19.39,19.23,19.02,19.63,327599
2020-07-21,19.01,18.9,18.71,19.27,296742
2020-07-22,18.86,19.14,18.59,19.45,401487
2020-07-23,19.12,18.47,18.405,19.12,258787
2020-07-26,18.5,18.54,17.92,18.56,382628
2020-07-27,18.3,17.47,17.46,18.48,419722
2020-07-28,17.61,17.92,17.28,17.97,299339
2020-07-29,17.53,17.4,17.17,17.69,280654
2020-07-30,17.2,16.96,16.51,17.62,393627
2020-08-02,17.1,17.62,16.94,17.78,289416
2020-08-03,17.6,17.74,17.43,17.94,210345
2020-08-04,17.93,18.33,17.88,18.37,411003
2020-08-05,18.48,18.13,17.98,18.7,247576
2020-08-06,18.13,19,17.77,19.04,345815
2020-08-09,19,19.69,19,20.12,652337
2020-08-10,20.07,20.24,19.92,20.66,796422
2020-08-11,20.65,19.58,18.98,20.65,397304
2020-08-12,19.3,19.23,18.94,19.58,331502
2020-08-13,19.01,19.52,18.94,19.74,269962
2020-08-16,19.52,19.18,18.8909,19.7,241551
2020-08-17,19.34,18.77,18.75,19.34,236894
2020-08-18,18.98,18.69,18.46,19.13,275951
2020-08-19,18.47,18.55,18.37,18.65,217837
2020-08-20,18.35,17.98,17.86,18.35,303550
2020-08-23,18.11,18.65,17.745,18.72,441648
2020-08-24,18.81,18.43,18.04,18.96,299286
2020-08-25,18.24,18.31,17.91,18.51,196117
2020-08-26,18.5,18.81,18.35,18.9595,217627
2020-08-27,17.81,18.88,17.7075,19.19,404898
2020-08-30,18.88,18.59,18.36,18.962,346659
2020-08-31,18.49,19.05,18.21,19.16,284003
2020-09-01,19.09,18.83,18.4,19.15,276319
2020-09-02,18.91,18.23,18.15,19.195,325058
2020-09-03,18.65,18.8,18.3501,19,372762
2020-09-07,18.6,17.83,17.81,18.6,371499
2020-09-08,18.04,17.96,17.63,18.0501,365680
2020-09-09,18.06,17.35,17.32,18.06,446903
