date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,38.34,39.27,38.295,39.82,677491
2020-06-01,39.87,40.05,39.55,40.67,987663
2020-06-02,41,42.14,41,42.24,1268448.0
2020-06-03,41.71,42.22,40.53,42.41,916700
2020-06-04,44.83,44.11,43.89,45.89,1131395.0
2020-06-07,44.95,45.21,44.43,45.8,991454
2020-06-08,44,44.07,43.59,44.84,1257695.0
2020-06-09,43.66,41.56,41.52,43.71,1123115.0
2020-06-10,39.21,38.29,37.95,39.99,1352128.0
2020-06-11,40.3,39.41,37.68,40.3,1309761.0
2020-06-14,37.8,39.89,37.8,40.44,1131030.0
2020-06-15,41.85,41.29,40.39,42.07,779010
2020-06-16,41.51,40.14,40.08,41.56,706796
2020-06-17,39.49,39.2,39.1,40.07,1239083.0
2020-06-18,39.76,38.6,38.15,39.85,2710961.0
2020-06-21,38.4,38.63,37.44,38.89,801117
2020-06-22,39.31,38.34,38.26,39.36,763606
2020-06-23,37.76,36.71,36.095,37.95,808487
2020-06-24,36.89,37.53,36.45,37.65,1533346.0
2020-06-25,37.54,36.21,36.08,37.64,1363736.0
2020-06-28,36.71,37.18,36.22,37.29,826691
2020-06-29,37.11,37.33,36.9,37.82,1484441.0
2020-06-30,37.56,37.32,37.005,38.02,582041
2020-07-01,38.24,37.85,37.33,38.68,570042
2020-07-05,38.92,37.74,37.52,39.02,587569
2020-07-06,37.12,36.28,36.23,37.275,396869
2020-07-07,36.19,36.29,35.79,36.71,950569
2020-07-08,36.2,35.65,35.12,36.27,633024
2020-07-09,35.57,36.04,35.54,36.3,833814
2020-07-12,36.28,36.58,35.79,37.25,843337
2020-07-13,36.63,36.59,36.17,37.14,530123
2020-07-14,37.37,37.36,37.08,37.66,746390
2020-07-15,37.12,36.91,36.58,37.26,638906
2020-07-16,37,37.2,36.63,37.3,530625
2020-07-19,37.03,36.27,36.12,37.12,818494
2020-07-20,36.47,36.47,36.31,37.06,831081
2020-07-21,36.21,37.36,35.9673,37.38,736324
2020-07-22,37.14,37.7,37.05,37.99,671243
2020-07-23,37.58,36.76,36.76,37.86,403874
2020-07-26,36.63,37.02,36.01,37.04,596809
2020-07-27,36.87,38.29,36.82,38.495,772893
2020-07-28,38.43,39.43,38.04,39.44,967674
2020-07-29,38.62,38.43,38.03,39.34,926729
2020-07-30,38.38,38.34,37.16,38.38,936831
2020-08-02,38.24,38.22,37.53,38.33,449447
2020-08-03,38.09,38.85,38.05,39,452838
2020-08-04,39.16,39.25,38.62,39.28,786878
2020-08-05,38.95,38.88,38.74,39.305,878087
2020-08-06,38.73,39.85,38.56,39.89,473666
2020-08-09,39.97,39.77,39.52,40.31,640688
2020-08-10,40.37,39.41,39.205,40.62,680194
2020-08-11,39.75,39.73,39.09,39.82,400607
2020-08-12,39.47,38.56,38.27,39.65,614885
2020-08-13,38.01,38.04,37.91,38.675,530537
2020-08-16,38.05,38.29,37.66,38.38,574452
2020-08-17,38.28,37.51,36.84,38.28,721519
2020-08-18,37.5,37.24,36.61,37.54,871392
2020-08-19,36.89,37.33,36.88,37.88,525563
2020-08-20,37.36,37.26,36.83,37.675,374565
2020-08-23,37.35,37.79,36.94,37.8716,602782
2020-08-24,37.94,37.86,37.55,38.2,998386
2020-08-25,37.85,36.97,36.73,38.18,775609
2020-08-26,37.19,37.79,37.19,37.99,810911
2020-08-27,37.93,37.74,37.41,38.2,562840
2020-08-30,37.46,37.26,36.62,37.53,885966
2020-08-31,37.01,36.68,36.47,37.11,632736
2020-09-01,36.67,37,36.24,37.01,810772
2020-09-02,37.02,37.13,36.93,38.37,621829
2020-09-03,37.33,36.92,36.17,37.63,514636
2020-09-07,36.54,35.86,35.67,36.59,620278
2020-09-08,36.03,35.81,35.56,36.61,605334
2020-09-09,35.73,35.04,35.02,35.83,601927
2020-09-10,35.17,34.64,34.56,35.17,823680
2020-09-13,34.96,35.75,34.835,35.82,686942
2020-09-14,35.9,35.88,35.76,36.4,1390463.0
2020-09-15,36.17,36.73,35.71,37.17,1565854.0
2020-09-16,36.2,36.6,35.99,36.99,1435654.0
2020-09-17,36.85,35.33,35.25,36.85,1852567.0
2020-09-20,34.66,33.32,33.29,34.93,1263701.0
2020-09-21,33.38,33.57,33.38,34.12,1013147.0
2020-09-22,33.56,32.28,32.205,33.85,899238
2020-09-23,32.39,32.54,32.12,33.07,723996
2020-09-24,32.33,33.19,32.2,33.29,630953
2020-09-27,33.86,34.11,33.735,34.72,838919
2020-09-28,33.92,33.58,32.84,34.1,791465
2020-09-29,33.5,33.57,33.25,34.15,3085579.0
2020-09-30,33.5,34.4,33.44,34.42,1289215.0
2020-10-01,33.82,35.18,33.67,35.24,757293
2020-10-04,35.51,35.51,34.665,35.69,542475
2020-10-05,35.76,35.49,35.175,36.22,1197053.0
2020-10-06,35.7,35.24,34.89,35.81,775266
2020-10-07,35.59,35.83,35.31,35.9,1190166.0
2020-10-08,36.22,35.35,35.2,36.22,1269898.0
2020-10-11,35.43,35.7,34.96,35.92,1645167.0
2020-10-12,35.43,34.66,34.58,35.8,1807566.0
2020-10-13,34.54,33.65,33.58,34.9,1426018.0
2020-10-14,33.32,33.97,33.32,34.3,2185553.0
2020-10-15,33.91,33.27,33.26,34.09,1074969.0
2020-10-18,33.25,32.39,32.36,33.54,1123748.0
2020-10-19,32.77,32.55,32.45,33.28,796175
2020-10-20,32.45,32.68,31.97,32.8,3617350.0
2020-10-21,32.75,33.44,32.74,33.49,1007875.0
2020-10-22,33.64,33.52,33.14,33.88,640851
2020-10-25,33.13,32.5,32.16,33.35,693983
2020-10-26,32.36,31.17,31.09,32.78,711529
2020-10-27,30.54,29.71,29.65,30.67,1265737.0
2020-10-28,29.49,30.09,29.18,30.63,869397
2020-10-29,29.89,29.77,29.37,30.36,1415377.0
2020-11-01,30.22,30.52,29.77,30.64,814918
2020-11-02,30.95,31.38,30.72,31.56,635974
2020-11-03,31.19,30.82,30.74,31.47,612433
2020-11-04,30.96,31.47,30.875,31.65,664774
2020-11-05,31.57,29.9,29.74,31.6,732406
2020-11-08,32.42,33.61,32.42,35.69,1749189.0
2020-11-09,33.7,35.28,33.7,35.38,1686994.0
2020-11-10,35.33,35.63,34.29,35.64,1502220.0
2020-11-11,35.04,34.67,34.36,35.55,1238585.0
2020-11-12,34.44,36,34.425,36.01,1271479.0
2020-11-15,37.12,37.51,36.54,37.62,1345323.0
2020-11-16,37.06,37.85,36.835,38.43,929714
2020-11-17,37.95,36.6,36.57,38.14,798867
2020-11-18,36.36,37.2,36.115,37.23,684349
2020-11-19,37.1,37.12,36.6,37.24,752468
2020-11-22,37.55,38.08,37.37,38.57,709963
2020-11-23,38.84,39.61,38.82,40.13,1100491.0
2020-11-24,39.49,39.13,38.81,39.67,590843
2020-11-26,39.26,38.87,38.48,39.53,314953
2020-11-29,38.56,38.3,38.1,38.87,1882167.0
2020-11-30,38.94,38.98,38.67,39.41,1273797.0
2020-12-01,38.99,39.02,38.805,39.55,1180303.0
2020-12-02,39.03,39.27,38.86,39.58,1033714.0
2020-12-03,39.69,40.74,39.465,41.12,1686564.0
2020-12-06,40.4,39.7,39.475,40.4,765606
2020-12-07,39.31,38.78,38.69,39.875,741769
2020-12-08,38.97,39.46,38.65,39.65,1160065.0
2020-12-09,39.03,39.5,38.88,39.65,788568
2020-12-10,39.14,39.29,38.92,39.57,724161
2020-12-13,39.86,39.32,38.94,40.09,1390698.0
2020-12-14,39.52,40.7,39.27,40.71,758645
2020-12-15,40.91,40.26,40.02,40.98,578494
2020-12-16,40.43,40.32,39.91,40.47,516853
2020-12-17,40.39,39.12,38.77,40.4,2299286.0
2020-12-20,38.35,38.96,38,39,992684
2020-12-21,39.02,39.14,38.56,39.34,509676
2020-12-22,39.28,38.45,38.36,39.74,569530
2020-12-23,38.67,38.7,38.08,38.71,275326
2020-12-27,38.77,39.16,38.62,39.21,452494
2020-12-28,39.24,38.54,38.33,39.42,500138
2020-12-29,38.51,39.14,38.51,39.405,510801
2020-12-30,39.14,39.63,38.58,39.8,758306
2021-01-03,39.86,38.23,38.22,40.11,542842
2021-01-04,38.35,38.18,38.1,39.09,600258
2021-01-05,38.47,38.7,38.26,39.08,815398
2021-01-06,38.2,38.13,37.59,38.38,648175
2021-01-07,38.2,37.78,37.5,38.42,683452
2021-01-10,37.52,37.35,36.9,37.68,787141
2021-01-11,37.6,38.01,37.29,38.18,893475
2021-01-12,38.11,39.36,38.02,39.52,1194061.0
2021-01-13,40.19,40.17,39.46,40.45,599014
2021-01-14,39.9,40.82,39.55,40.95,781157
2021-01-18,41.13,40.31,39.97,41.13,903290
2021-01-19,40.23,40.56,40.21,41.09,1124266.0
2021-01-20,40.32,39.78,39.29,40.32,984774
2021-01-21,39.38,39.69,39.28,39.94,1814331.0
2021-01-24,39.64,39.51,39.16,40.1,1171250.0
2021-01-25,39.76,38.98,38.84,40.3,833511
2021-01-26,38.4,37.48,37.39,38.94,1060529.0
2021-01-27,37.73,37.91,37.42,38.325,1221156.0
2021-01-28,37.64,37.49,37.06,38.35,1447144.0
2021-01-31,37.63,38.31,37.01,38.31,746078
2021-02-01,38.59,38.28,37.86,38.59,464770
2021-02-02,37.99,38.97,37.61,39.02,1414305.0
2021-02-03,39.16,39.61,39.01,39.9,810242
2021-02-04,39.94,40.09,39.47,41,1530577.0
2021-02-07,40.22,41.09,40,41.17,906913
2021-02-08,41.1,40.54,40.46,41.3,1222869.0
2021-02-09,40.83,40.32,40.01,41.17,1004929.0
2021-02-10,40.24,41.05,40.02,41.11,1062042.0
2021-02-11,40.54,40.06,39.79,40.68,1334976.0
2021-02-15,40.21,40.17,39.725,40.42,1291078.0
2021-02-16,40.08,40.04,39.5,40.21,1135382.0
2021-02-17,39.73,39.61,39.22,39.97,1224745.0
2021-02-18,39.9,40.01,39.43,40.15,2187858.0
2021-02-21,40.01,41.38,39.86,41.42,1257347.0
2021-02-22,41.62,42.07,41.45,42.275,995288
2021-02-23,42.15,42.18,42.02,42.655,1151346.0
2021-02-24,42.2,40.89,40.62,42.65,881811
2021-02-25,40.84,39.96,39.96,41.09,1272875.0
2021-02-28,40.75,41.37,40.63,41.65,970211
2021-03-01,41.3,41.54,40.73,41.77,1032377.0
2021-03-02,41.58,42,41.49,42.56,673145
2021-03-03,42,41.83,41.16,42.61,867323
2021-03-04,42.3,42.39,41.1,42.64,1112623.0
2021-03-07,42.69,43.35,42.36,43.85,668843
2021-03-08,43.55,42.49,42.44,43.74,899892
2021-03-09,42.7,43.22,42.31,43.295,718502
2021-03-10,43.2,42.79,42.71,43.74,1164239.0
2021-03-11,43.21,43.94,43.16,43.95,659945
2021-03-14,44.11,44.07,43.42,44.555,656072
2021-03-15,44.03,43.64,43.395,44.05,563878
2021-03-16,43.63,43.81,43.04,43.84,656688
2021-03-17,43.67,43.67,43.52,44.18,877499
2021-03-18,43.72,42.62,42.5,43.89,1585170.0
2021-03-21,42.34,42.24,41.8,42.55,1332397.0
2021-03-22,41.95,41.92,41.6,42.45,959484
2021-03-23,42.1,42.04,42.03,42.92,765149
2021-03-24,41.77,43.13,41.2,43.25,841755
2021-03-25,43.43,43.84,43.07,44.17,694650
2021-03-28,43.73,43.62,42.89,44.12,915612
2021-03-29,43.58,43.84,43.35,43.935,431611
2021-03-30,43.55,42.94,42.59,43.55,1112188.0
2021-03-31,43.15,44.1,42.67,44.1,744478
2021-04-04,44.36,43.36,42.96,44.36,846818
2021-04-05,43.32,43.48,43.11,43.99,904576
2021-04-06,43.55,43.33,42.9,43.77,535039
2021-04-07,43.06,43,42.74,43.96,809453
2021-04-08,43.07,43.03,42.9,43.34,465253
2021-04-11,43.29,43.52,42.93,43.58,624404
2021-04-12,43.42,43.3,43.02,43.57,572996
2021-04-13,43.35,43.38,43.25,44.06,556524
2021-04-14,43.55,43.52,43.11,43.81,592537
2021-04-15,43.78,43.69,43.34,43.98,604286
2021-04-18,43.87,43.5,43.25,43.87,628583
2021-04-19,43.35,43.46,43.3,43.89,816501
2021-04-20,43.55,44.11,43.33,44.38,530654
2021-04-21,44.08,43.23,43.23,44.41,936249
2021-04-22,43.31,43,42.535,43.53,1209555.0
2021-04-25,43.32,43.74,43.3,44.09,1314158.0
2021-04-26,43.96,44.01,43.29,44.2,815786
2021-04-27,44.14,44.64,43.77,44.92,969191
2021-04-28,45,45.04,44.61,45.48,449592
2021-04-29,44.98,44.79,44.67,45.19,511233
2021-05-02,45.08,44.94,44.68,45.461,636308
2021-05-03,45.01,45.35,44.815,45.55,684468
2021-05-04,45.09,43.68,43.28,45.14,627988
2021-05-05,43.84,44.47,43.53,44.57,404101
2021-05-06,44.3,44.46,44.03,44.76,690726
2021-05-09,44.79,44.17,44.115,45.13,530089
2021-05-10,43.92,43.31,42.99,43.92,578248
2021-05-11,43.11,42.87,42.82,43.64,533863
2021-05-12,42.97,43.57,42.885,43.964,585691
2021-05-13,43.29,43.51,43.18,43.65,562386
2021-05-16,43.59,43.45,43.1,43.61,566593
2021-05-17,43.38,43.59,43.16,43.92,384709
2021-05-18,43.15,43.27,42.22,43.27,558172
2021-05-19,43.16,43.98,42.78,44.065,614604
2021-05-20,44.23,44.34,43.91,44.48,425464
2021-05-23,44.59,45.08,44.32,45.27,841429
2021-05-24,45.18,44.89,44.81,45.5094,867127
2021-05-25,44.96,45.5,44.81,45.63,543090
2021-05-26,45.75,45.47,45.18,45.8,795854
2021-05-27,45.77,45.68,45.45,45.81,769161
2021-05-31,46,47.14,45.74,47.2,893441
2021-06-01,47.37,47.38,46.71,47.54,903255
2021-06-02,47.23,47,46.715,47.23,887102
2021-06-03,47.06,47.09,46.73,47.29,789955
2021-06-06,47.32,47.76,47.12,48,579317
2021-06-07,47.73,47.92,47.66,48.11,659647
2021-06-08,48.2,48.19,48.04,48.5,609002
2021-06-09,48.25,48.53,48.16,48.73,449510
2021-06-10,48.5,48.51,48.16,48.66,446835
2021-06-13,48.72,48.62,48.395,48.87,522373
2021-06-14,48.56,47.78,47.75,48.98,521651
2021-06-15,47.74,47.05,47.05,47.87,488931
2021-06-16,47,46.3,46.16,47.07,523275
2021-06-17,46.1,45.4,45.31,46.24,1194612.0
2021-06-20,45.57,46.77,45.55,46.98,431828
2021-06-21,46.65,45.8,45.8,46.65,470838
2021-06-22,46.03,45.79,45.645,46.03,701204
2021-06-23,45.94,45.92,45.44,45.94,463048
2021-06-24,45.94,46.56,45.775,46.78,1013292.0
2021-06-27,46.55,45.21,44.615,46.55,541327
2021-06-28,45.2,45.1,44.99,45.59,486773
