date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,79.65,81.91,79.355,82.73,2405183.0
2020-06-01,83,83.6,81.24,83.65,3175351.0
2020-06-02,84.49,86.11,83.79,87.42,3649045.0
2020-06-03,86.19,86.34,84.36,87.44,3526565.0
2020-06-04,90.42,87.2,86.645,93.72,6943152.0
2020-06-07,89.86,89.7,88.54,90.78,4631648.0
2020-06-08,87.8,86.13,85.25,87.83,3124175.0
2020-06-09,85.38,82.83,82.35,85.92,3962434.0
2020-06-10,78,77.59,76.73,80.609,5354291.0
2020-06-11,80.93,77.45,76.16,81,4762150.0
2020-06-14,74.54,77.48,73.85,78.43,3443129.0
2020-06-15,81.29,78.25,76.725,81.74,3137465.0
2020-06-16,77.86,76.42,75.85,78.47,3485289.0
2020-06-17,75.74,78.16,75.43,79.14,3915681.0
2020-06-18,79.23,76.17,75.39,79.26,4408575.0
2020-06-21,75.95,76.08,74.83,76.805,1982180.0
2020-06-22,76.74,75.68,75.16,76.95,3996211.0
2020-06-23,75,73.19,71.59,75,3827401.0
2020-06-24,72.49,72.51,70.8066,72.73,4025049.0
2020-06-25,72.19,71.16,69.83,72.3,10004179.0
2020-06-28,71.52,73.92,70.11,73.92,3272233.0
2020-06-29,73.55,73.45,72.02,73.94,4396627.0
2020-06-30,74.68,74.44,74.12,76.53,3211186.0
2020-07-01,76.79,74.52,74.1304,76.98,1813612.0
2020-07-05,76.08,76.24,74.98,76.35,2959251.0
2020-07-06,75.26,74.17,73.75,75.46,2775952.0
2020-07-07,74.3,75.09,73.4,75.09,3618403.0
2020-07-08,75.41,74.13,72.52,75.59,2824541.0
2020-07-09,73.83,75.24,73.5,75.27,2182683.0
2020-07-12,75.55,73.58,73.55,76.26,3001466.0
2020-07-13,73.21,73.51,71.86,73.54,2471336.0
2020-07-14,76.6,80.92,76.01,81.48,4640420.0
2020-07-15,79.8,80.89,78.955,81.22,2894005.0
2020-07-16,80.67,79.9,78.51,80.69,2341428.0
2020-07-19,79.44,78.17,77.53,80.3199,2115144.0
2020-07-20,79.31,80.12,78.54,80.4,2106909.0
2020-07-21,79.61,79.62,78.79,80.35,2603239.0
2020-07-22,78.72,78.86,77.11,79.23,2172702.0
2020-07-23,78.42,77.43,76.93,78.5,1274867.0
2020-07-26,76.55,77.34,75.36,77.45,2414958.0
2020-07-27,77.02,76.67,76.5,77.58,2203629.0
2020-07-28,77.25,77.39,76.93,78.01,1620924.0
2020-07-29,76.5,76.14,75.38,76.96,2302982.0
