date,open_price,close_price,lowest_price,highest_price,volume
2021-12-14,24.9,24.7,23.75,25.25,12675179.0
2021-12-15,24.94,23.23,23.11,25,2939185.0
2021-12-16,23,22.32,21.8,23.09,2994603.0
2021-12-19,22.58,23.82,22.5,24.05,1465223.0
2021-12-20,24.08,25.36,24.0452,26.2,3550655.0
2021-12-21,25.81,27,25.7,27.38,655889
2021-12-22,27,27.61,26.12,27.69,746370
2021-12-26,27.9,29.37,27.51,31.41,1215528.0
2021-12-27,30,27.54,27.27,30.39,680231
2021-12-28,27.46,26.96,25.71,28,593720
2021-12-29,27,26.57,26.22,27.9999,460954
2021-12-30,28.09,28.11,26.21,28.89,877046
2022-01-02,28.75,26.77,26.7,29.1,780159
2022-01-03,27.17,25.03,24.02,27.17,1256055.0
2022-01-04,25.48,23.01,22.51,25.48,1631524.0
2022-01-05,23.01,22.99,21.81,24.19,2057899.0
2022-01-06,22.99,23.22,22.75,23.525,809579
2022-01-09,22.64,22.99,20.89,23.11,3226253.0
2022-01-10,22.9,24.43,22.71,24.68,871700
2022-01-11,24.99,24.75,24.5,26.8,1239542.0
2022-01-12,25.21,24.2,24.18,26.35,1527476.0
2022-01-13,23.88,22.91,22.655,24.3,2050281.0
2022-01-17,22.4,21.31,20.73,22.59,1953175.0
2022-01-18,21.31,20.35,19.5,21.71,3216763.0
2022-01-19,20.56,21.12,20.46,21.72,1611391.0
2022-01-20,21.12,19.4,19.15,21.69,1125818.0
2022-01-23,18.9,17.62,14.5501,18.99,5765995.0
2022-01-24,17.34,17.65,16.65,18.25,1650392.0
2022-01-25,18.1,17.28,16.59,18.43,779222
2022-01-26,17.73,16.11,16.08,18.315,1249334.0
2022-01-27,16,16.66,14.94,17.24,1061290.0
2022-01-30,16.75,18.1,16.75,18.47,1627961.0
2022-01-31,18.1,21.22,17.9699,21.75,1816760.0
2022-02-01,21.3,21.6,18.9801,21.839,2492162.0
2022-02-02,20.52,18.51,18.095,20.98,2491859.0
2022-02-03,18.52,20.56,17.53,21,2844494.0
2022-02-06,20.2,20.25,19.99,21.48,2757911.0
2022-02-07,20.04,21.89,19.52,21.9,700670
2022-02-08,22.27,24.47,21.84,24.69,1584248.0
2022-02-09,23.81,23.34,23.05,25.42,1179594.0
2022-02-10,23.27,20.93,20.87,24.045,722613
2022-02-13,20.76,21.71,20.57,22.75,541760
2022-02-14,21.99,22.44,21.65,22.73,431732
2022-02-15,22.24,20.96,20.54,23.5194,952772
2022-02-16,20.5,18.8,18.365,20.89,3123649.0
2022-02-17,18.71,17.11,16.55,18.8,1959563.0
2022-02-21,17.11,16.37,16.01,18.13,1093650.0
2022-02-22,16.52,15.89,15.66,17,840558
2022-02-23,15.03,16.86,15.03,17.15,1274257.0
2022-02-24,16.9,17.01,15.64,17.47,894632
2022-02-27,16.92,17.48,16.4838,17.57,1468349.0
2022-02-28,17.42,17.47,17.16,18.55,959493
2022-03-01,17.53,16.56,16.275,17.88,1402118.0
2022-03-02,18.725,16.82,16.11,19.45,4422096.0
2022-03-03,16.51,15.52,15.38,18.0499,1967964.0
2022-03-06,15.87,14.65,14.52,17.44,1580564.0
2022-03-07,14.77,16.21,14.21,17.34,1640329.0
2022-03-08,16.56,17.44,16.56,18.22,1472262.0
2022-03-09,16.98,16.85,16.39,17.52,792443
2022-03-10,16.81,15.15,15.1,17.2,1304550.0
2022-03-13,15.45,13.99,13.78,15.64,2059874.0
2022-03-14,14.03,13.69,12.51,14.9,3164880.0
2022-03-15,13.99,15.16,13.9001,15.55,1874456.0
2022-03-16,15.4,16.52,14.62,16.7,2264948.0
2022-03-17,15.89,16.81,15.89,17.32,4475144.0
2022-03-20,16.67,16.54,15.95,17.36,1292532.0
2022-03-21,16.8,17.48,16.1406,17.78,969308
2022-03-22,16.82,17.62,16.25,17.79,888745
2022-03-23,17.35,17.94,16.84,18.08,1095346.0
2022-03-24,17.85,17.47,17,17.91,836909
2022-03-27,17.3,17.9,16.9,18.26,825875
2022-03-28,17.9,17.94,17.65,18.48,936606
2022-03-29,17.81,17.2,17.05,18.41,745034
2022-03-30,16.97,16.02,15.65,17.32,1771281.0
2022-03-31,15.85,16.3,15.72,17.24,768023
2022-04-03,16.43,17.37,16.15,17.65,659254
2022-04-04,17.27,15.91,15.62,17.54,933209
2022-04-05,15.49,14.47,13.685,15.655,2901291.0
2022-04-06,14.4,14.32,13.57,14.78,1042408.0
2022-04-07,14.1,13.44,13.41,14.14,1567217.0
2022-04-10,13.18,13.34,12.89,13.66,781324
2022-04-11,13.55,13.53,13.35,14.4,783288
2022-04-12,13.58,14.34,13.25,14.58,1063627.0
2022-04-13,14.29,13.31,13.25,14.59,881449
2022-04-17,13.32,13.18,12.69,13.6,1110532.0
2022-04-18,13.18,14.24,12.83,14.39,863338
2022-04-19,14.31,13.26,12.98,14.39,1055684.0
2022-04-20,13.85,13.06,12.9,14.35,1716039.0
2022-04-21,13.24,13.14,12.82,13.7,1272688.0
2022-04-24,13.1,13.86,13,13.95,874782
2022-04-25,13.84,13.09,12.78,13.9,1265388.0
2022-04-26,13.21,13.25,13.01,13.85,723375
2022-04-27,13.44,13.23,12.69,13.75,1709676.0
2022-04-28,13.25,12.34,12.3,14.1206,1393614.0
2022-05-01,12.24,12.74,12.01,12.765,1233769.0
2022-05-02,12.63,12.66,12.4,13.12,604249
2022-05-03,12.75,12.87,11.52,12.92,1333690.0
2022-05-04,12.5,11.95,11.535,12.62,818226
2022-05-05,11.83,11.05,11.05,12,1766413.0
2022-05-08,10.65,9.68,9.3401,10.84,2007835.0
2022-05-09,9.96,9.54,8.8502,10.21,2632820.0
2022-05-10,9.4,9.2,9.0331,9.74,3259845.0
2022-05-11,8.94,10.04,8.72,10.07,1376103.0
2022-05-12,10.33,11.19,10.32,11.43,2181243.0
2022-05-15,11.06,10.39,10.25,11.27,1723795.0
2022-05-16,10.69,10.69,10.02,11.11,923526
2022-05-17,10.4,10.09,9.8,10.65,1443294.0
2022-05-18,10.19,10.66,10.19,10.95,1250733.0
2022-05-19,10.82,10.69,10.34,11.34,1342329.0
2022-05-22,10.67,10.35,10,10.73,809397
2022-05-23,10.16,9.71,9.56,10.16,1765499.0
2022-05-24,9.71,10.76,9.71,10.77,1540200.0
2022-05-25,10.6,11.01,10.52,11.4,1082553.0
2022-05-26,11.08,11.5,11.08,11.6438,1036661.0
2022-05-30,11.56,11.25,10.91,11.69,2455389.0
2022-05-31,11.09,11.43,11.09,11.91,1891136.0
2022-06-01,11.43,11.93,11.11,12.03,2216382.0
2022-06-02,11.67,11.55,10.1015,11.98,2359865.0
2022-06-05,11.55,10.87,10.66,12.36,4272803.0
2022-06-06,10.65,11.94,10.5,12.2,2705867.0
2022-06-07,11.84,11.62,11.42,12.06,999088
2022-06-08,11.53,12.02,11.17,12.54,2127357.0
2022-06-09,11.51,10.97,10.8875,11.53,1933722.0
2022-06-12,10.79,10.06,10,10.905,2427192.0
2022-06-13,10.12,10.71,9.86,10.97,1621030.0
2022-06-14,10.91,11.38,10.67,11.54,3698399.0
2022-06-15,11.1,9.99,9.86,11.61,2086065.0
2022-06-16,10.1,11.35,10.01,11.49,6193334.0
2022-06-20,11.44,12.4,11.295,12.51,2133296.0
2022-06-21,12,11.89,11.78,12.525,1714053.0
2022-06-22,12,12.48,11.745,13.05,2470355.0
2022-06-23,12.58,12.51,12.12,12.788,1554721.0
2022-06-26,12.1,11.84,11.606,12.45,845117
2022-06-27,11.72,11.41,11.3,12.1844,1476584.0
2022-06-28,11.4,11.48,11.04,11.54,780155
2022-06-29,11.29,11.17,10.58,11.35,1203206.0
2022-06-30,11.21,12.39,11.0348,12.5,1922331.0
2022-07-04,12.1,13.16,11.8,13.28,2059482.0
2022-07-05,13,13.13,12.7,13.31,1158871.0
2022-07-06,13.13,13.89,13.13,14.1,1501015.0
2022-07-07,13.67,14.55,13.22,14.81,2651864.0
2022-07-10,14.43,13.7,13.58,14.66,922044
2022-07-11,13.7,13.55,13.23,14.09,848578
2022-07-12,13.1,14.27,13.03,14.5199,2137356.0
2022-07-13,14.21,13.91,13.71,14.39,1005402.0
2022-07-14,14.06,14.19,13.6,14.4199,1013418.0
2022-07-17,14.49,13.91,13.9,14.98,1577126.0
2022-07-18,14.13,14.31,13.648,14.43,1620420.0
2022-07-19,14.46,14.87,14.38,15.325,2285602.0
2022-07-20,14.76,14.99,14.52,15.1899,1323577.0
2022-07-21,15.06,14.22,14.0201,15.185,1000634.0
2022-07-24,14.23,13.98,13.63,14.3691,806187
2022-07-25,13.65,13.2,13.09,13.9042,761363
2022-07-26,13.42,13.91,13.12,13.93,649587
2022-07-27,14.02,14.69,13.73,14.75,1576233.0
2022-07-28,14.56,14.46,14.24,14.7504,856408
2022-07-31,14.34,14.89,14.06,15.17,701051
2022-08-01,14.7,15,14.67,15.15,858658
2022-08-02,15.16,15.58,15.15,15.91,1531053.0
2022-08-03,15.59,16,15.23,16.08,1203913.0
2022-08-04,15.57,16.17,15.5,16.43,1473355.0
2022-08-07,16.2,16.48,15.65,16.66,984104
2022-08-08,16.39,16.04,15.67,16.4,928712
2022-08-09,16.74,16.48,16.45,17,1609193.0
2022-08-10,16.71,16.4,16.28,16.99,898794
2022-08-11,16.54,16.54,16.3,16.78,607536
2022-08-14,16.4,16.72,16.26,16.93,890187
2022-08-15,16.55,16.86,16.18,16.99,949862
2022-08-16,16.63,16.26,16.24,16.712,697193
2022-08-17,16.21,17.37,16.01,17.49,1663184.0
2022-08-18,17.06,15.93,15.55,17.26,1324183.0
2022-08-21,15.28,15.57,15.07,15.66,923149
2022-08-22,15.53,15.31,15.29,15.9328,685482
2022-08-23,15.27,15.64,15.27,15.94,723520
2022-08-24,15.8,15.9,15.605,15.98,595057
2022-08-25,15.95,15.35,15.01,16.12,807041
2022-08-28,15.09,14.42,14.41,15.66,1042924.0
2022-08-29,14.71,14.65,14.08,15.13,1017724.0
2022-08-30,14.77,14.87,14.7,15.43,2621803.0
2022-08-31,14.86,12.94,11.75,15,3813645.0
2022-09-01,13.46,12.79,12.5,13.48,1859861.0
2022-09-05,12.79,13.04,12.71,13.38,1541841.0
2022-09-06,12.65,12.78,12.18,12.865,3388885.0
2022-09-07,12.47,12.74,12.43,13.05,1312488.0
2022-09-08,12.76,13.05,12.76,13.19,1460168.0
2022-09-11,13.09,13.36,13.06,13.43,1118835.0
2022-09-12,12.75,12.76,12.64,13.15,1088561.0
2022-09-13,12.89,13.24,12.6501,13.48,2054143.0
2022-09-14,13.07,12.8,11.5,13.36,5098373.0
2022-09-15,12.51,12.63,12.35,12.86,3769851.0
2022-09-18,12.33,12.39,12.08,12.48,2019031.0
2022-09-19,12.13,12.31,12.13,12.51,1854092.0
2022-09-20,12.42,12.52,12.14,12.83,1144483.0
2022-09-21,12.79,11.84,11.83,12.82,866190
2022-09-22,11.7,11.66,11.33,11.81,909665
2022-09-25,11.59,11.6,11.57,12.105,959914
2022-09-26,11.82,11.92,11.505,12.01,731794
2022-09-27,11.9,12.32,11.9,12.44,909248
2022-09-28,12.17,12.14,11.89,12.3,622563
2022-09-29,11.98,12.07,11.96,12.48,799045
2022-10-02,12.24,11.87,11.66,12.28,858536
2022-10-03,12.18,12.89,12.18,12.93,1135428.0
2022-10-04,12.66,13.33,12.61,13.39,856866
2022-10-05,13.35,13.67,13.35,13.86,595052
2022-10-06,13.26,13.11,12.94,13.33,680130
2022-10-09,13.11,12.43,12.34,13.11,613261
2022-10-10,12.33,11.97,11.69,12.38,1094990.0
2022-10-11,11.95,11.67,11.58,11.97,967148
2022-10-12,11.44,11.13,10.58,11.56,1634427.0
2022-10-13,11.31,11,10.74,11.3988,1569651.0
2022-10-16,11.2,11.02,10.97,11.52,1191687.0
2022-10-17,11.25,11.87,11.24,12.07,866991
2022-10-18,11.76,11.45,11.35,11.86,1142295.0
2022-10-19,11.39,11.53,11.34,12.02,685527
2022-10-20,11.42,11.49,11.08,11.54,963895
