date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,2.48,2.61,2.48,2.68,221341
2020-06-01,2.6,2.67,2.53,2.72,297632
2020-06-02,2.61,2.59,2.55,2.66,228832
2020-06-03,2.56,2.61,2.5,2.7,427707
2020-06-04,2.6,2.72,2.59,2.82,430330
2020-06-07,2.72,2.64,2.56,2.78,562365
2020-06-08,2.6,2.67,2.57,2.75,236973
2020-06-09,2.67,2.75,2.66,2.9,513360
2020-06-10,2.61,2.45,2.41,2.72,421602
2020-06-11,2.5,2.45,2.4001,2.63,180660
2020-06-14,2.4,2.42,2.35,2.46,252191
2020-06-15,2.46,2.44,2.4,2.53,147591
2020-06-16,2.48,2.33,2.33,2.48,165710
2020-06-17,2.32,2.24,2.2,2.39,236291
2020-06-18,2.3,2.36,2.265,2.39,193800
2020-06-21,2.31,2.26,2.22,2.3284,168368
2020-06-22,2.28,2.17,2.11,2.31,351525
2020-06-23,2.14,2.21,2.04,2.25,261625
2020-06-24,2.25,2.42,2.1878,2.42,508945
2020-06-25,2.42,2.3,2.27,2.43,1975399.0
2020-06-28,2.32,2.36,2.3,2.4,139310
2020-06-29,2.31,2.23,2.22,2.39,117558
2020-06-30,2.24,2.24,2.19,2.29,161943
2020-07-01,2.28,2.21,2.14,2.32,211201
2020-07-05,2.2,2.26,2.17,2.27,173236
2020-07-06,2.28,2.12,2.12,2.28,181888
2020-07-07,2.2,2.15,2.08,2.229,205854
2020-07-08,2.15,2.09,2.0555,2.15,147294
2020-07-09,2.09,2.1,2.06,2.14,116653
2020-07-12,2.12,2.02,2.01,2.12,120310
2020-07-13,2.02,2.06,2,2.075,139639
2020-07-14,2.07,2.08,2.035,2.1,137516
2020-07-15,2.04,2.11,2.04,2.12,78317
2020-07-16,2.08,2.18,2.08,2.2699,217386
2020-07-19,2.26,2.24,2.21,2.28,123250
2020-07-20,2.23,2.2,2.16,2.26,107875
2020-07-21,2.2,2.16,2.1403,2.2,56549
2020-07-22,2.14,2.14,2.09,2.2,81642
2020-07-23,2.11,2.1,2.09,2.16,77473
2020-07-26,2.13,2.62,2.13,2.65,1647133.0
2020-07-27,9.63,7.94,7.62,11.8,285844261.0
2020-07-28,18.43,33.2,17.5,60,280316587.0
2020-07-29,43.58,29.83,27.5,44.44,100219019.0
2020-07-30,25.02,21.85,20.27,25.7,57888645.0
2020-08-02,21.13,14.94,14.74,21.16,47471906.0
2020-08-03,15.08,14.4,12.86,17.88,66407404.0
2020-08-04,15.51,14.9,13.72,16,26003428.0
2020-08-05,15.11,16.11,14.8,17.5,39621226.0
2020-08-06,15.79,14.88,14.57,16.75,16293123.0
2020-08-09,8.9,10.73,8.5,11.6,47937847.0
2020-08-10,11.26,10.01,9.95,11.35,19717505.0
2020-08-11,10.4,9.72,9.54,10.47,9727093.0
2020-08-12,9.5,9.2,9.01,9.67,8904803.0
2020-08-13,9.07,8.43,8.22,9.18,10657853.0
2020-08-16,8.34,7.64,7.55,8.37,9427873.0
2020-08-17,7.34,8.01,6.68,13.69,72929155.0
2020-08-18,8.2,7.79,7.73,9.09,32579372.0
2020-08-19,7.78,7.18,7.09,8,13850770.0
2020-08-20,7,6.88,6.52,8.02,26424527.0
2020-08-23,6.83,7,6.7,7.5,14033488.0
2020-08-24,6.98,6.76,6.57,7.44,14051590.0
2020-08-25,6.75,6.31,6.085,6.75,11884239.0
2020-08-26,6.17,5.88,5.72,6.24,11726254.0
2020-08-27,5.86,6.02,5.66,6.4,14136592.0
2020-08-30,5.9,5.98,5.85,6.37,19237124.0
2020-08-31,9.48,7.3,7.21,9.87,107495342.0
2020-09-01,7.32,7.16,6.77,7.5,19866748.0
2020-09-02,7,6.46,6.41,7.08,13476348.0
2020-09-03,6.4,6.1,5.95,6.5,8886199.0
2020-09-07,5.9,5.53,5.51,5.93,9873830.0
2020-09-08,5.6399,5.82,5.55,6.53,15747425.0
2020-09-09,5.82,5.93,5.73,6.25,12894485.0
2020-09-10,6.26,6.4,6.02,6.6,20895406.0
2020-09-13,6.23,6.5,6.11,6.73,9002721.0
2020-09-14,6.48,6.23,5.9375,6.531,11124424.0
2020-09-15,9.44,8.51,8.14,11.44,189717925.0
2020-09-16,8.48,10.7,8.01,11.04,102301669.0
2020-09-17,11.69,12.11,10.83,12.51,151091694.0
2020-09-20,10.15,10.49,9.26,10.99,44238528.0
2020-09-21,10.01,10.04,9.66,10.79,21851776.0
2020-09-22,9.76,8.93,8.69,9.89,17754723.0
2020-09-23,8.34,8.77,7.82,9.69,18103890.0
2020-09-24,9.01,9.32,8.95,9.49,9999220.0
2020-09-27,9.36,9.31,8.95,9.605,7336266.0
2020-09-28,9.12,9,8.86,9.29,5187975.0
2020-09-29,8.85,8.82,8.71,9.49,8632702.0
2020-09-30,8.88,8.82,8.67,9.1278,6459700.0
2020-10-01,8.43,8.76,8.32,9.05,7922541.0
2020-10-04,8.76,9.03,8.58,9.36,10499196.0
2020-10-05,8.97,8.75,8.71,9.32,8527802.0
2020-10-06,8.91,8.98,8.74,9.06,6096647.0
2020-10-07,9,8.86,8.74,9.085,4663745.0
2020-10-08,8.87,10.01,8.85,10.77,39505070.0
2020-10-11,10.03,9.58,9.36,10.49,11604097.0
2020-10-12,9.36,9.69,9.36,10.13,8673767.0
2020-10-13,9.65,9.57,9.4,9.74,5459034.0
2020-10-14,9.4,9.33,9.18,9.64,5029730.0
2020-10-15,9.41,8.97,8.93,9.895,10687581.0
2020-10-18,9.05,8.88,8.68,9.62,15659577.0
2020-10-19,9.05,8.91,8.8611,9.37,6009356.0
2020-10-20,8.94,8.7,8.66,8.99,5474013.0
2020-10-21,8.69,8.48,8.18,8.76,6915629.0
2020-10-22,8.54,8.47,8.31,8.66,4181044.0
2020-10-25,8.36,7.88,7.6,8.38,7376834.0
2020-10-26,7.87,7.68,7.64,7.98,2982734.0
2020-10-27,7.35,7.21,7.08,7.52,6781109.0
2020-10-28,7.24,7.41,7.12,7.53,5666373.0
2020-10-29,7.28,6.92,6.73,7.3021,6447941.0
2020-11-01,6.99,6.96,6.82,7.13,4080813.0
2020-11-02,7.04,7.14,6.95,7.34,5131449.0
2020-11-03,7.46,7.16,6.92,7.52,7867773.0
2020-11-04,7.13,7.3,7.06,7.34,4045560.0
2020-11-05,7.14,6.72,6.67,7.1499,8283294.0
2020-11-08,6.77,6.68,6.46,6.9235,8007387.0
2020-11-09,6.72,6.68,6.53,6.89,5956754.0
2020-11-10,6.53,6.63,6.36,6.76,4995732.0
2020-11-11,6.48,6.73,6.46,7.08,6542439.0
2020-11-12,6.8,6.71,6.705,7.15,6372183.0
2020-11-15,6.72,6.88,6.62,6.96,4442079.0
2020-11-16,6.79,7.23,6.79,7.66,9358703.0
2020-11-17,7.36,7.1,7.075,7.55,4459405.0
2020-11-18,7.08,7.49,7.05,7.57,4370649.0
2020-11-19,7.4,7.21,7.16,7.43,3875252.0
2020-11-22,7.29,7.23,6.95,7.33,5582792.0
2020-11-23,7.2,6.97,6.83,7.22,4702621.0
2020-11-24,6.9,7.96,6.84,8.3,26003486.0
2020-11-26,8.15,7.46,7.35,8.16,6080869.0
2020-11-29,7.5,7.63,7.33,7.93,7318214.0
2020-11-30,7.65,7.22,7.12,7.7,5161782.0
2020-12-01,7.15,7.25,6.91,7.8,5467046.0
2020-12-02,7.3,7.23,7.13,7.42,2869939.0
2020-12-03,7.29,7.53,7.234,7.65,4018000.0
2020-12-06,12.57,12.04,11.12,14.18,136047964.0
2020-12-07,13.13,11.15,10.95,13.25,29658409.0
2020-12-08,10.7,9.66,9.49,10.73,18430338.0
2020-12-09,10,10,9.77,10.5,9886785.0
2020-12-10,9.9,10.1,9.38,10.12,6612955.0
2020-12-13,9.84,9.69,9.61,10.17,4014493.0
2020-12-14,9.7,9.55,9.23,9.75,4284671.0
2020-12-15,9.45,9.34,9.1238,9.55,4088956.0
2020-12-16,9.21,9.78,9.19,10.3,8514367.0
2020-12-17,9.76,9.59,9.455,9.99,4189598.0
2020-12-20,9.28,9.43,9.263,9.82,3789511.0
2020-12-21,9.43,9.52,9.3,9.62,3513597.0
2020-12-22,9.47,9.36,9.23,9.5,3002863.0
2020-12-23,9.37,8.72,8.66,9.375,4220276.0
2020-12-27,8.8,8.37,8.15,8.8301,6846500.0
2020-12-28,8.3,8.27,8.04,8.67,6298517.0
2020-12-29,8.2,8.62,8.17,8.72,4137794.0
2020-12-30,8.62,8.14,8.11,8.63,4001639.0
2021-01-03,8.19,8.17,7.85,8.37,4022931.0
2021-01-04,8.11,8.26,8.06,8.345,2711285.0
2021-01-05,8.24,8.16,8.13,8.6,4198648.0
2021-01-06,8.24,8.59,8.2,8.85,5428017.0
2021-01-07,8.61,8.4,8.155,8.6749,6942289.0
2021-01-10,8.19,8.12,8.02,8.28,5009007.0
2021-01-11,8.1,8.05,7.88,8.17,4104208.0
2021-01-12,7.99,7.99,7.82,8,3684702.0
2021-01-13,7.94,8.33,7.85,8.91,8563770.0
2021-01-14,8.33,8.14,8.02,8.37,3118819.0
2021-01-18,8.14,8.84,8.1,9.35,11052057.0
2021-01-19,9,9.03,8.47,9.2071,8005103.0
2021-01-20,9.25,9.19,8.83,9.6,7217349.0
2021-01-21,8.96,9.46,8.9101,9.77,9589537.0
2021-01-24,9.86,9.55,9.03,10.3203,10918566.0
2021-01-25,9.57,9.43,9.2302,9.79,7578131.0
2021-01-26,12.72,12.08,10.71,13.99,48676525.0
2021-01-27,11.5,9.87,9.4501,11.64,16371215.0
2021-01-28,10.2,9.59,9.49,10.55,7758541.0
2021-01-31,9.9,10.02,9.32,10.201,6659910.0
2021-02-01,9.71,9.44,9.28,9.97,5692122.0
2021-02-02,9.44,10.98,9.35,13.8,43579023.0
2021-02-03,10.37,10.74,10.1701,11.44,12359638.0
2021-02-04,10.75,10.72,10.47,11.28,5639204.0
2021-02-07,10.85,11.34,10.72,11.5697,6671069.0
2021-02-08,11.25,11.89,11.03,12.39,8356157.0
2021-02-09,12.26,11.42,11.0525,12.5,5811591.0
2021-02-10,11.6,11.15,10.72,11.8197,4563848.0
2021-02-11,10.91,10.78,10.59,11.14,3756000.0
2021-02-15,10.83,10.3,10.28,10.96,4237954.0
2021-02-16,10.19,9.93,9.6,10.26,4911443.0
2021-02-17,9.6,9.41,9.24,10.17,6986293.0
2021-02-18,9.58,9.34,9.26,9.7,3267172.0
2021-02-21,9.15,9.06,9.02,9.54,3527192.0
2021-02-22,8.92,8.8,8.1,8.98,8027256.0
2021-02-23,8.81,9.09,8.6601,9.7,7518899.0
2021-02-24,9.38,8.82,8.66,9.44,5177000.0
2021-02-25,8.84,8.62,8.4,9.07,3520865.0
2021-02-28,8.96,9.15,8.66,9.54,5958970.0
2021-03-01,9.1,9.17,8.95,9.81,4814526.0
2021-03-02,9.19,8.51,8.46,9.4,4485333.0
2021-03-03,8.5,8.07,7.57,8.6099,6473170.0
2021-03-04,8.21,7.6,6.92,8.21,5730183.0
2021-03-07,7.66,7.62,7.4,7.86,3442840.0
2021-03-08,7.92,8.62,7.81,9.09,10553029.0
2021-03-09,8.78,9.2,8.47,9.75,11246091.0
2021-03-10,9.3,9.53,9.28,10.12,10178680.0
2021-03-11,9.24,9.77,9.08,10.04,5986592.0
2021-03-14,9.79,9.53,9.33,10.54,8769389.0
2021-03-15,9.57,8.75,8.71,9.65,10684273.0
2021-03-16,8.2,8.48,7.82,8.48,10542600.0
2021-03-17,8.36,8.04,8,8.59,4394822.0
2021-03-18,8.05,8.32,7.91,8.4,3941534.0
2021-03-21,8.38,8.24,8.1,8.44,3745833.0
2021-03-22,8.28,8.09,7.96,8.37,2713836.0
2021-03-23,8.2,7.65,7.64,8.3399,4249773.0
2021-03-24,7.5,8.1,7.4636,8.3,5457858.0
2021-03-25,8.2,8.31,8.02,8.44,3420345.0
2021-03-28,8.19,7.96,7.91,8.3,2072230.0
2021-03-29,7.97,8.05,7.68,8.09,2294936.0
2021-03-30,8.09,7.87,7.7899,8.18,2795562.0
2021-03-31,8,8.29,7.8708,8.5,4908883.0
2021-04-04,8.36,8.34,8.16,8.59,2085153.0
2021-04-05,8.41,8.31,8.27,8.58,1433647.0
2021-04-06,8.31,8.03,7.97,8.41,1900747.0
2021-04-07,8.08,7.94,7.85,8.09,2143897.0
2021-04-08,7.9,7.91,7.82,8.111,2608601.0
2021-04-11,7.93,7.25,7.2,8,6268708.0
2021-04-12,7.28,7.29,7.04,7.365,2750920.0
2021-04-13,7.29,7.36,7.29,7.78,3578700.0
2021-04-14,7.48,7.26,7.13,7.48,1994659.0
2021-04-15,7.2,7.42,7.1,7.47,2174569.0
2021-04-18,7.5,7.36,7.17,7.5182,1887791.0
2021-04-19,7.29,7.11,7.01,7.4,2187253.0
2021-04-20,7,7.36,6.88,7.405,2155199.0
2021-04-21,7.44,7.21,7.2,7.57,2134952.0
2021-04-22,7.2,7.48,7.09,7.64,2316590.0
2021-04-25,7.54,7.84,7.43,7.95,4674370.0
2021-04-26,7.89,7.74,7.61,7.89,1669812.0
2021-04-27,7.71,7.82,7.56,7.955,1651720.0
2021-04-28,7.9,7.53,7.41,7.94,2421873.0
2021-04-29,7.5,7.46,7.3,7.57,1346694.0
2021-05-02,7.55,7.43,7.31,7.57,1149294.0
2021-05-03,7.31,7.16,6.94,7.32,2899791.0
2021-05-04,7.15,7.02,6.97,7.19,1711664.0
2021-05-05,7,6.87,6.67,7,2419920.0
2021-05-06,6.88,7.28,6.8799,7.3489,2393412.0
2021-05-09,7.15,7.02,7.02,7.285,1688674.0
2021-05-10,6.83,7.19,6.74,7.25,2201393.0
2021-05-11,7.08,6.78,6.78,7.14,2498497.0
2021-05-12,6.87,6.44,6.29,6.89,4297354.0
2021-05-13,6.5,6.75,6.38,6.81,2273328.0
2021-05-16,6.66,6.87,6.5,6.94,1974962.0
2021-05-17,6.88,6.87,6.69,7,1268551.0
2021-05-18,6.7,6.59,6.46,6.79,2158041.0
2021-05-19,6.6,6.69,6.51,6.7187,1316148.0
2021-05-20,6.76,6.71,6.64,7.13,2661177.0
2021-05-23,6.76,6.48,6.37,6.76,3283806.0
2021-05-24,6.5,6.66,6.44,6.77,2034977.0
2021-05-25,6.69,7.02,6.69,7.11,2127172.0
2021-05-26,7.06,7.42,7.02,7.64,4313456.0
2021-05-27,7.47,7.12,7.11,7.57,2881755.0
2021-05-31,7.14,7.51,7.11,7.61,3054620.0
2021-06-01,7.52,8.66,7.5,8.935,14332964.0
2021-06-02,8.5,8.06,7.8905,8.65,4755235.0
2021-06-03,8.15,8.3,8.14,8.59,4731961.0
2021-06-06,8.3,8.67,8.14,8.84,3762947.0
2021-06-07,8.77,11.05,8.721,11.26,26168311.0
2021-06-08,10.37,9.77,9.6,10.52,10288255.0
2021-06-09,9.9,9.14,9.12,10.0693,6702108.0
2021-06-10,9.16,9.24,9.1398,9.5475,3420651.0
2021-06-13,9.3,9.21,8.86,9.61,3535886.0
2021-06-14,9.17,8.81,8.7,9.47,3764663.0
2021-06-15,8.61,9.11,8.58,9.1589,2625082.0
2021-06-16,8.96,9,8.92,9.4899,3552591.0
2021-06-17,8.87,8.76,8.725,9.07,2225611.0
2021-06-20,8.8,8.56,8.36,8.83,2493482.0
2021-06-21,8.54,8.93,8.52,9.03,3545931.0
2021-06-22,8.91,9.05,8.9,9.2282,2333333.0
2021-06-23,9.06,9.17,8.95,9.2,1499544.0
2021-06-24,9.18,8.95,8.905,9.3001,5380117.0
2021-06-27,8.93,8.81,8.71,8.99,1335727.0
2021-06-28,8.84,8.64,8.53,9.18,3609738.0
2021-06-29,8.575,8.32,8.32,8.59,1722441.0
2021-06-30,8.43,8.32,8.08,8.43,2006867.0
2021-07-01,8.33,8.05,7.94,8.38,1775096.0
2021-07-05,8,8.02,7.77,8.0683,1802029.0
2021-07-06,8,7.84,7.73,8.05,1362998.0
2021-07-07,7.66,8.01,7.58,8.04,1729575.0
2021-07-08,8.05,8.11,7.911,8.14,1070525.0
2021-07-11,8.14,7.98,7.855,8.16,1423133.0
2021-07-12,7.9,7.69,7.68,7.93,1068544.0
2021-07-13,7.69,7.42,7.4,7.78,1559013.0
2021-07-14,7.41,7.39,7.25,7.76,2304122.0
2021-07-15,7.38,7.06,7,7.4,1598320.0
2021-07-18,7,7.12,6.84,7.2,1858677.0
2021-07-19,7.15,7.54,7.03,7.66,1934441.0
