date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,99.6,98.38,98.2,101.4204,135437
2020-06-01,100,100.28,99.29,102.51,108641
2020-06-02,103.08,104.92,103.08,106.95,94276
2020-06-03,103.07,109.55,102.78,110.18,145510
2020-06-04,115.71,116.02,114.18,119.2,285211
2020-06-07,118,119.02,117.38,120.63,231286
2020-06-08,116.46,117.2,116.09,119.7919,123143
2020-06-09,116.29,117.04,115,119.4,127120
2020-06-10,111.18,111.39,109.71,113.11,243448
2020-06-11,117.19,111.25,107.93,117.6,131480
2020-06-14,107.24,117.67,106.2787,118.75,162161
2020-06-15,122,119.04,116.065,122,184363
2020-06-16,119.4,118.5,117.57,121.3234,249252
2020-06-17,116.7,117.64,115.01,118.84,90479
2020-06-18,118.59,114.68,113.63,118.59,359482
2020-06-21,113.99,115.67,111.7208,116.51,119938
2020-06-22,117.44,116.05,114.32,117.59,82008
2020-06-23,114.14,110.89,110.449,115.785,122506
2020-06-24,110.23,113.79,110.23,114.18,163797
2020-06-25,113.44,108.1,107.9,113.44,252378
2020-06-28,109.97,113.98,109.23,114.8,114540
2020-06-29,113.55,114.98,112.66,116.64,114230
2020-06-30,114.89,115,113.05,116.29,109562
2020-07-01,118.29,114.46,113.86,119.48,104046
2020-07-05,116.53,113.5,112.98,117.4174,79035
2020-07-06,111.97,110.73,110.06,113.35,93691
2020-07-07,110.09,110.37,108.55,111.72,125174
2020-07-08,109.67,106.46,105.42,110.685,120991
2020-07-09,107.45,108.91,106.91,109.06,146394
2020-07-12,110.55,108.82,108.235,113.07,71385
2020-07-13,108.27,113.17,108.27,113.23,110465
2020-07-14,121.63,118.96,118.13,122.94,240604
2020-07-15,117.84,118.85,117.475,120.5,91680
2020-07-16,119.02,118.71,116.975,120.09,112164
2020-07-19,117.79,119.52,117.18,120.47,70857
2020-07-20,121,120.23,119.43,121.79,111244
2020-07-21,119.3,122.91,119.3,123.505,78548
2020-07-22,122.75,120.65,118.49,124.32,116055
