date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,116.47,117.57,115.5,118.82,477666
2020-06-01,118.15,117.76,117,119.45,648208
2020-06-02,118.93,122.39,118.93,122.99,703943
2020-06-03,121.73,118.77,118.56,121.7799,760671
2020-06-04,122.26,124.44,122.26,126.13,865915
2020-06-07,125.97,126.53,124.17,127.74,808753
2020-06-08,123.85,124.66,122.125,124.77,692248
2020-06-09,123.29,121.84,121.35,124.04,604728
2020-06-10,117.22,115.46,115.22,118.716,855785
2020-06-11,119.66,119.08,114.82,120.43,1118639.0
2020-06-14,115.04,118.01,114.53,119.4,1215710.0
2020-06-15,122.77,121.09,119.18,122.77,839526
2020-06-16,122.04,118.64,117.84,122.6962,637192
2020-06-17,117.07,117.09,115.5,117.67,868670
2020-06-18,118.73,114.68,114.64,119.47,2397265.0
2020-06-21,114.64,114.19,113.01,116.19,668803
2020-06-22,115.21,113.54,113.3,116.26,650704
2020-06-23,111.92,110.52,108.06,112.53,812492
2020-06-24,109.78,111.35,109.1,111.46,676096
2020-06-25,110.76,110.27,109.43,111.9,739400
2020-06-28,111.31,111.52,108.78,111.745,444882
2020-06-29,111.76,114.67,111.67,115.09,1044420.0
2020-06-30,115.03,117.67,114.22,117.96,507668
2020-07-01,119.52,117.53,116.32,119.56,605372
2020-07-05,120.02,116.03,115.96,120.08,399713
2020-07-06,114.44,114.57,113.88,115.8996,548499
2020-07-07,114.57,113.82,113.38,115.18,666136
2020-07-08,113.28,112.56,111.25,113.28,471762
2020-07-09,112.49,113.6,112.025,114.325,533272
2020-07-12,114.1,112.34,112.19,114.1,574543
2020-07-13,111.57,112.94,111.5,113.49,658840
2020-07-14,114.52,112.43,112.14,114.7,703133
2020-07-15,111.7,112.02,111.19,112.875,469695
2020-07-16,112.5,112.92,111.46,113.62,512690
2020-07-19,112.31,110.02,109.08,113.07,423868
2020-07-20,110.62,109.36,108.86,111.15,443359
2020-07-21,108.81,112.17,108.63,112.87,989142
2020-07-22,111.88,111.65,110.42,112.75,425820
2020-07-23,112.13,111.27,110.71,112.205,447563
2020-07-26,110.81,110.32,109.06,110.81,432986
2020-07-27,110.4,112.99,109.88,113.63,517096
2020-07-28,113.78,113.92,111.94,114.5,555253
2020-07-29,112.69,117.52,112.67,118.76,862675
2020-07-30,117.03,119.19,114.75,119.2,727060
2020-08-02,118.56,116.88,115.4,118.56,543719
2020-08-03,116.44,116.92,115,117.74,607712
2020-08-04,117.54,116.26,115.515,117.62,290219
2020-08-05,115.74,116.5,115.37,116.915,378794
2020-08-06,115.82,116.49,115.56,116.865,457282
2020-08-09,116.94,117.05,116.35,118.385,578865
2020-08-10,118.09,116.71,116.14,119.245,564432
2020-08-11,117.13,117.09,116.05,117.52,262934
2020-08-12,116.44,115.69,115.44,117.93,392696
2020-08-13,115.55,114.86,114.31,116.22,768856
2020-08-16,114.95,116.04,114.04,116.23,286007
2020-08-17,116.28,116.07,114.43,116.52,324101
2020-08-18,116.06,113.28,112.66,116.06,626377
2020-08-19,112.84,114.83,112.84,115.27,386578
2020-08-20,115.25,114.84,113.11,115.4685,328174
2020-08-23,114.7,115.69,112.85,115.83,357784
2020-08-24,115.74,116.19,114.875,116.19,342010
2020-08-25,115.49,113.65,113.26,116.32,401436
2020-08-26,114.33,116.38,114.23,116.56,334520
2020-08-27,116.62,117.16,115.19,117.19,393877
2020-08-30,116.66,117.12,115.8,117.35,484245
2020-08-31,116.5,116.55,114.8,116.66,370780
2020-09-01,116.44,118.67,115.2505,118.88,875328
2020-09-02,119.3,117.83,117.03,120.83,526645
2020-09-03,118.12,118.35,116.06,119.43,481387
2020-09-07,117.97,115.68,115.01,118.245,648258
2020-09-08,116.12,116.44,115.39,118.38,492093
2020-09-09,116.29,116.44,114.31,117.41,700640
2020-09-10,116.45,115.91,114.96,116.45,583878
2020-09-13,116.99,119.65,116.44,120.09,476041
2020-09-14,119.61,118.57,118.05,120.84,311879
2020-09-15,119.44,118.19,117.95,120.55,554500
2020-09-16,117.36,117.14,115.695,118.355,655388
2020-09-17,116.32,114.93,114.68,117.38,1261010.0
2020-09-20,113.38,113.17,111.19,114.3,756810
2020-09-21,113.41,115.18,113.41,116,732142
2020-09-22,115.38,113.42,113.04,115.72,658088
2020-09-23,113.04,112.39,111.27,113.96,506152
2020-09-24,111.89,115.38,111.22,115.52,699951
2020-09-27,116.83,117.14,116.15,118.17,417663
2020-09-28,116.92,115.34,114.64,117.43,282226
2020-09-29,116.07,115.95,114.44,116.63,765601
2020-09-30,116,120.29,115.56,120.33,746059
2020-10-01,118.81,123.71,117.42,124.33,859842
2020-10-04,124.56,124.5,122.4845,124.88,588545
2020-10-05,124.87,123.54,122.83,125.24,613354
2020-10-06,124.04,122.95,121.7736,125.03,502817
2020-10-07,123.03,124.88,123.03,125.35,479378
2020-10-08,125.64,123.66,123.01,125.64,372376
2020-10-11,123.83,124.66,123.06,125,248920
2020-10-12,125.07,124.2,122.63,126.51,647247
2020-10-13,123.03,122.76,121.56,124.0382,496723
2020-10-14,121.72,122.47,121.19,123.91,596760
2020-10-15,122.34,119.44,119.3,122.6976,694996
2020-10-18,120.16,117.68,117.49,120.26,355505
2020-10-19,118.56,118.21,117.795,120.359,493253
2020-10-20,117.65,117.9,117.12,118.85,487177
2020-10-21,118.18,118.65,117.485,118.98,450858
2020-10-22,119.51,118.71,118.29,119.94,362194
2020-10-25,117.78,117.13,115.42,118.13,390130
2020-10-26,116.7,114.86,114.84,117.55,383460
2020-10-27,113.28,112.43,111.6706,114.83,707261
2020-10-28,112.44,113.53,110.53,115.01,613348
2020-10-29,113.45,116.63,113.45,116.77,580198
2020-11-01,117.19,119.84,116.48,119.84,729871
2020-11-02,121,123.32,120.575,123.95,599167
2020-11-03,123.28,122.72,121.7,124.84,388966
2020-11-04,122.78,124.03,121.78,124.7,637286
2020-11-05,124.03,122.67,122.07,125,488160
2020-11-08,130.76,125.61,125.55,137.54,1220912.0
2020-11-09,126.06,130.16,125.77,130.19,824987
2020-11-10,130.84,131.22,128.71,131.3,687023
2020-11-11,130.46,128.75,127.43,130.67,572949
2020-11-12,129.17,132.35,128.645,132.875,545546
2020-11-15,135.52,132.3,131.22,136.28,652915
2020-11-16,131.25,130.91,129.965,132.09,486330
2020-11-17,131.19,126.07,126.06,131.97,437666
2020-11-18,125.31,126.14,123.43,126.72,696325
2020-11-19,125.91,126.18,124.92,126.49,595228
2020-11-22,126.74,123.77,123.53,126.89,726773
2020-11-23,125.2,125.88,124.84,127.31,585025
2020-11-24,125.57,125.03,124.41,126.31,426784
2020-11-26,124.78,124,122.64,124.78,314239
2020-11-29,124,126.16,122.45,126.3,2088920.0
2020-11-30,126.16,124.59,123.67,126.32,835191
2020-12-01,124.71,123.73,123.25,127.475,542556
2020-12-02,123.8,123.65,123.33,124.875,740759
2020-12-03,123.99,125.13,123.57,125.42,617936
2020-12-06,124.71,125.32,124.65,126.1124,434340
2020-12-07,124.75,123.93,123.69,125.49,539064
2020-12-08,124.48,122.9,121,125.07,754655
2020-12-09,122.13,120.18,119.75,122.67,635418
2020-12-10,119.21,121.66,119.21,121.97,724807
2020-12-13,122.8,121.44,121.13,123.7,483514
2020-12-14,121.85,123.54,120.5,123.54,536808
2020-12-15,123.86,123.41,122.53,125.13,687832
2020-12-16,124.17,125.59,123.065,126.2,864158
2020-12-17,126.08,124.04,123.41,126.28,2043284.0
2020-12-20,122.57,124.6,122.33,124.98,858526
2020-12-21,124.6,125.28,123.57,125.4,610491
2020-12-22,125.77,122.66,122.58,126.25,607113
2020-12-23,123.05,124.6,122.97,124.61,100641
2020-12-27,125.04,124.97,124.05,125.84,464057
2020-12-28,125.09,124.25,123.453,126.31,314305
2020-12-29,124.42,125,124.2,126.21,333191
2020-12-30,124.68,126.69,123.9,126.97,408669
2021-01-03,126.69,122.71,122.15,127.37,707878
2021-01-04,122.61,122.67,122.35,123.82,633282
2021-01-05,123.02,124.7,122.765,124.86,700300
2021-01-06,124.43,124.55,123.45,125.33,665634
2021-01-07,124.55,125.27,124,125.37,772547
2021-01-10,125.01,124.21,123.17,125.33,561783
2021-01-11,123.51,124.69,123,124.97,601309
2021-01-12,124.86,126.42,124.6,127.07,669499
2021-01-13,126.2,129,125.32,129.08,1163979.0
2021-01-14,128.78,132.01,127.72,132.14,1010099.0
2021-01-18,132.21,130.61,129.99,132.425,784118
2021-01-19,130,133.16,128.94,133.61,499126
2021-01-20,132.28,133.45,131.14,133.53,533180
2021-01-21,133.61,134.18,132.2295,134.84,518156
2021-01-24,133.82,133.86,132.97,134.96,657582
2021-01-25,134.15,134.89,133.89,135.42,533112
2021-01-26,133.9,131.73,131.1,135,664041
2021-01-27,131.75,132.79,131.02,134.74,639985
2021-01-28,132.19,132.75,129.83,133.38,1223530.0
2021-01-31,132.99,134.98,130.72,135.13,713153
2021-02-01,135.79,135.58,133.8701,136.43,656311
2021-02-02,134.66,134.71,133.68,135.87,840932
2021-02-03,135.02,134.84,134,137,879400
2021-02-04,134.5,134.72,133.21,135.27,556423
2021-02-07,134.72,135.49,133.77,136.15,742989
2021-02-08,134.89,135.55,134.52,136.24,790860
2021-02-09,135.55,136.3,134.85,137.24,621018
2021-02-10,136.46,137.97,135.49,138.02,731765
2021-02-11,137.78,138.14,136.94,138.4,509314
2021-02-15,138.39,138.44,136.51,138.49,619546
2021-02-16,138.75,137.72,137.09,138.79,386402
2021-02-17,137.79,137.25,136.39,138.135,364659
2021-02-18,137.74,137.57,137,138.22,462372
2021-02-21,137.55,138.69,136.33,139.11,871484
2021-02-22,139.7,142.3,139.34,142.61,832178
2021-02-23,142.51,140.51,140.35,142.98,706785
2021-02-24,140.39,137.91,137.25,141.99,583165
2021-02-25,137.84,134.73,134.59,138.26,853073
2021-02-28,136.04,135.54,135.47,138.03,1400289.0
2021-03-01,135.09,135.3,134,136.87,927044
2021-03-02,135.3,134.6,134.03,136.165,801406
2021-03-03,134.78,132.7,131.45,135.29,893263
2021-03-04,133.11,133.91,131.87,134.22,896988
2021-03-07,134.24,134.23,133.06,136.24,690688
2021-03-08,134.48,134.73,134.4,137.04,445429
2021-03-09,134.22,134.83,132.87,135.91,520817
2021-03-10,134.84,136.55,134.49,137.39,399342
2021-03-11,137.26,141.78,137,141.79,915524
2021-03-14,141.65,144.98,140.64,146.31,765025
2021-03-15,145.14,144.38,143,145.76,547372
2021-03-16,144.61,145.47,142.82,145.53,533355
2021-03-17,145.02,146.41,144.185,146.65,686509
2021-03-18,146.23,141.52,141.33,146.5,1583128.0
2021-03-21,141.13,142.76,141.03,143.37,739046
2021-03-22,143,144.75,142.46,145.16,833312
2021-03-23,143.99,144.33,143.37,146.59,839735
