date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,6.83,7.14,6.75,7.41,6720978.0
2020-06-01,7.29,7.52,7.26,7.795,8453933.0
2020-06-02,7.76,8.59,7.76,8.75,12404931.0
2020-06-03,8.67,9.36,8.29,9.43,14484598.0
2020-06-04,10.99,11.16,10.8,11.76,20083281.0
2020-06-07,12.58,13.13,11.75,13.18,19337543.0
2020-06-08,11.83,11.96,11.4,12.7,11429988.0
2020-06-09,11.71,10.64,10.1,11.71,12872009.0
2020-06-10,9.58,9.16,9,9.87,10861137.0
2020-06-11,10.05,9.76,9.16,10.3,7973596.0
2020-06-14,8.94,9.57,8.83,10,7220566.0
2020-06-15,11.14,9.63,9.48,11.15,9122522.0
2020-06-16,9.61,9.25,9.195,9.83,4563809.0
2020-06-17,9.07,9.29,8.75,9.44,5099685.0
2020-06-18,9.53,8.85,8.78,9.55,9357407.0
2020-06-21,8.79,8.9,8.52,8.96,4427089.0
2020-06-22,9,8.98,8.86,9.3862,5409914.0
2020-06-23,8.75,8.52,8.16,8.79,7460168.0
2020-06-24,8.2,8.57,8.17,8.88,6892219.0
2020-06-25,8.5,8.05,7.93,8.67,21186101.0
2020-06-28,8.14,8.78,7.93,8.815,5534076.0
2020-06-29,8.92,8.97,8.7,9.1799,5088488.0
2020-06-30,9.01,8.7,8.55,9.24,6121928.0
2020-07-01,8.95,8.45,8.38,9.07,4466760.0
2020-07-05,8.67,8.55,8.17,8.74,3689986.0
2020-07-06,8.34,8.09,8.03,8.34,4444089.0
2020-07-07,8.05,8.33,7.83,8.38,3873316.0
2020-07-08,8.25,7.86,7.6,8.25,5165445.0
2020-07-09,7.76,8.46,7.7424,8.46,3289697.0
2020-07-12,8.53,8.57,8.11,8.7901,4275592.0
2020-07-13,8.45,8.38,8.23,8.8,3805360.0
2020-07-14,8.67,8.97,8.59,9.035,5337457.0
2020-07-15,8.8,8.49,8.4,8.95,3569103.0
2020-07-16,8.5,8.18,8.17,8.5602,3241271.0
2020-07-19,8.18,7.8,7.785,8.2402,4027185.0
2020-07-20,7.93,8.12,7.87,8.34,3472385.0
2020-07-21,8.07,8.19,7.88,8.255,2662772.0
2020-07-22,8.09,8.17,8.055,8.38,2530617.0
2020-07-23,8.16,7.95,7.91,8.19,2627513.0
2020-07-26,7.83,7.88,7.54,7.9,4172259.0
2020-07-27,7.81,8.28,7.78,8.39,5204279.0
2020-07-28,8.32,8.5,8.01,8.5,3107400.0
2020-07-29,8.2,8.16,8.04,8.32,2684231.0
2020-07-30,8.09,7.63,7.62,8.16,6629503.0
2020-08-02,7.55,7.6,7.2,7.625,6288078.0
2020-08-03,7.61,8.14,7.58,8.245,6464969.0
2020-08-04,8.25,7.99,7.97,8.35,3198967.0
2020-08-05,7.93,7.8,7.745,8.03,3726258.0
2020-08-06,7.74,7.85,7.53,7.938,6046012.0
2020-08-09,8.02,8.23,8.02,8.55,8890545.0
2020-08-10,8.45,8.18,8.09,8.84,9087770.0
2020-08-11,8.39,8.3,7.9,8.47,5034858.0
2020-08-12,8.2,7.9,7.88,8.43,4508659.0
2020-08-13,7.85,8,7.765,8.17,4917540.0
2020-08-16,8,8.12,7.84,8.32,4961690.0
2020-08-17,7.9,7.72,7.69,7.985,5035300.0
2020-08-18,7.75,7.51,7.5052,7.79,3754844.0
2020-08-19,7.48,7.68,7.36,7.81,3339289.0
2020-08-20,7.6,7.43,7.4,7.625,4590101.0
2020-08-23,7.52,8.01,7.29,8.02,6041865.0
2020-08-24,8.07,7.93,7.6601,8.195,3366553.0
2020-08-25,7.8,7.63,7.58,7.97,3150412.0
2020-08-26,7.66,7.76,7.64,7.9,3305307.0
2020-08-27,7.75,8.09,7.5981,8.09,3950225.0
2020-08-30,8,7.93,7.8299,8.03,3551459.0
2020-08-31,7.78,7.76,7.67,7.87,4122490.0
2020-09-01,7.67,7.81,7.56,7.82,4482012.0
2020-09-02,7.79,7.97,7.78,8.278,5691278.0
2020-09-03,8.07,8.27,8.03,8.39,4973648.0
2020-09-07,8.27,8.27,7.895,8.37,5730579.0
2020-09-08,8.28,7.86,7.8,8.28,5625924.0
2020-09-09,7.88,7.6,7.6,7.93,5278502.0
2020-09-10,7.6,7.35,7.29,7.65,4655476.0
2020-09-13,7.34,7.28,6.95,7.4,7796105.0
2020-09-14,7.29,7.47,7.25,7.76,4837690.0
2020-09-15,7.46,7.78,7.38,7.97,5298554.0
2020-09-16,7.6,7.81,7.55,7.84,3462010.0
2020-09-17,7.7,7.49,7.405,7.71,9070112.0
2020-09-20,7.3,6.87,6.86,7.37,9874700.0
2020-09-21,7,6.8,6.79,7.2201,5968176.0
2020-09-22,6.85,6.72,6.59,7.03,5711978.0
2020-09-23,6.67,6.75,6.55,6.9201,4183184.0
2020-09-24,6.63,6.76,6.63,6.82,3495694.0
2020-09-27,6.92,7.09,6.9001,7.26,3385675.0
2020-09-28,7.06,6.9,6.76,7.06,6076568.0
2020-09-29,6.9,6.79,6.75,7.12,4150729.0
2020-09-30,6.79,7.01,6.685,7.02,3494148.0
2020-10-01,6.75,7.41,6.7401,7.455,4015841.0
2020-10-04,7.52,7.47,7.3,7.58,2407747.0
2020-10-05,7.6,7.44,7.36,7.8,3626622.0
2020-10-06,7.5,7.62,7.5,7.71,3171004.0
2020-10-07,7.74,7.74,7.57,7.81,2801646.0
2020-10-08,7.8,7.52,7.48,7.84,2927423.0
2020-10-11,7.48,7.52,7.347,7.585,2248813.0
2020-10-12,7.4,7.25,7.1918,7.445,3586348.0
2020-10-13,7.28,7.17,7.13,7.32,2468604.0
2020-10-14,7.15,7.37,7.07,7.55,4395744.0
2020-10-15,7.34,7.27,7.11,7.42,3932842.0
2020-10-18,7.3,7.26,7.16,7.425,5969639.0
2020-10-19,7.38,7.15,7.1225,7.485,3282825.0
2020-10-20,7.13,7.17,7.0518,7.275,1883266.0
2020-10-21,7.13,7.41,7.09,7.43,3425415.0
2020-10-22,7.48,7.49,7.3,7.58,1908464.0
2020-10-25,7.39,7.35,7.16,7.39,2708521.0
2020-10-26,7.27,6.94,6.94,7.29,3865426.0
2020-10-27,6.77,6.53,6.53,6.88,5667713.0
2020-10-28,6.54,6.82,6.42,6.868,3566048.0
2020-10-29,6.79,6.96,6.66,6.96,2990537.0
2020-11-01,7.02,7.15,6.84,7.16,2995315.0
2020-11-02,7.25,7.45,7.2,7.54,4318954.0
2020-11-03,7.36,7.23,6.93,7.36,6281453.0
2020-11-04,7.06,7.08,6.98,7.4,5253117.0
2020-11-05,7.07,6.92,6.89,7.37,4708919.0
2020-11-08,8.31,9.02,8.29,9.43,19945732.0
2020-11-09,8.84,9.03,8.72,9.43,8785652.0
2020-11-10,9.01,8.56,8.42,9.07,5882967.0
2020-11-11,8.35,8.59,8.16,8.77,5429693.0
2020-11-12,8.74,8.81,8.545,8.975,6854211.0
2020-11-15,9.44,9.04,8.94,9.66,11000006.0
2020-11-16,8.91,8.98,8.83,9.33,5499480.0
2020-11-17,9.03,8.7,8.67,9.4,7410134.0
2020-11-18,8.7,9.21,8.67,9.335,8017470.0
2020-11-19,9.22,9.54,9.17,9.63,7970037.0
2020-11-22,10.01,10.08,9.8294,10.67,16237728.0
2020-11-23,10.25,10.9,10.25,11.32,14185088.0
2020-11-24,10.65,10.93,10.4175,11.14,6746806.0
2020-11-26,11.17,10.85,10.7,11.17,3164710.0
2020-11-29,10.9,10,9.98,11.1,9044399.0
2020-11-30,10.32,9.98,9.965,10.48,6620822.0
2020-12-01,9.99,10.4,9.75,10.93,11573802.0
2020-12-02,10.6,11.07,10.34,11.59,10361639.0
2020-12-03,11.42,11.89,11.27,12,7920135.0
2020-12-06,11.93,11.63,11.42,11.93,5626079.0
2020-12-07,11.57,11.96,11.51,11.99,3247967.0
2020-12-08,12.19,12.21,11.8905,12.47,8402662.0
2020-12-09,11.64,12,11.6,12.1,5508696.0
2020-12-10,11.94,11.63,11.44,11.94,3679427.0
2020-12-13,12.03,11.01,10.96,12.055,7118751.0
2020-12-14,10.98,11.64,10.98,11.64,3777733.0
2020-12-15,11.64,11.03,10.92,11.67,5976516.0
2020-12-16,11.21,11.14,10.9,11.25,3441643.0
2020-12-17,11.05,10.51,10.35,11.0983,8552919.0
2020-12-20,9.97,10.54,9.91,10.73,5481175.0
2020-12-21,10.65,10.33,10.26,10.72,2849395.0
2020-12-22,10.48,10.72,10.44,10.82,2612407.0
