date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,136.32,134.55,134.07,136.86,2011712.0
2018-05-29,135.02,136.27,134.6,136.94,1271711.0
2018-05-30,136.32,135.36,134.66,136.75,2316286.0
2018-05-31,136.58,138.34,135.71,138.99,1558520.0
2018-06-03,138.82,138.69,137.41,138.99,1277663.0
2018-06-04,138.5,138.22,137.84,139.8399,1334011.0
2018-06-05,137.97,141.57,137.7,141.72,2113466.0
2018-06-06,141.66,139.44,139.01,142.1896,1622736.0
2018-06-07,139.48,138.38,137.94,139.62,1609216.0
2018-06-10,138.04,139.14,137.745,139.84,1809825.0
2018-06-11,139.56,139.86,139.24,140.42,1354205.0
2018-06-12,140,138.35,137.76,140.48,1662692.0
2018-06-13,138.7,138.75,138.15,139.39,1216094.0
2018-06-14,139,138.83,137.22,139.19,2321156.0
2018-06-17,137.82,138.67,137.501,138.86,826478
2018-06-18,137.14,136.58,135.5,137.52,1364059.0
2018-06-19,136.75,135.99,135.83,138.22,1794920.0
2018-06-20,135.79,133.73,133.42,135.99,1684111.0
2018-06-21,133.95,132.61,132.48,134.31,1813937.0
2018-06-24,131.47,129.1,128.66,131.99,2432145.0
2018-06-25,129.45,129.43,128.96,130.14,1748818.0
2018-06-26,129.56,126.94,126.7,130.77,2284817.0
2018-06-27,127.04,125.26,124.22,127.29,2073606.0
2018-06-28,125.38,126.6,125.25,127.55,2022810.0
2018-07-01,125.57,126.49,125,126.92,1681299.0
2018-07-02,127.06,124.52,124.34,127.54,1345846.0
2018-07-04,125.06,126.49,125.06,126.71,1982623.0
2018-07-05,126.71,127.66,125.84,127.96,1435468.0
2018-07-08,129.08,130.16,127.91,130.26,2635437.0
2018-07-09,130.09,130.73,130.09,131.43,2269708.0
2018-07-10,130.07,129.85,129.26,130.63,1831331.0
2018-07-11,130.68,130.77,129.37,131.09,1334980.0
2018-07-12,130.54,131.01,130.41,131.16,843578
2018-07-15,131.24,130.79,130.26,131.44,1444190.0
2018-07-16,130.13,130.45,129.9,130.94,1224349.0
2018-07-17,130.36,133.13,130.16,133.68,2127714.0
2018-07-18,131.02,133.2,131.02,133.47,1964358.0
2018-07-19,132.91,133.05,132.07,134.12,1529783.0
2018-07-22,133.05,132.03,131.87,133.05,1497791.0
2018-07-23,132.01,130.02,128.77,132.31,3871104.0
2018-07-24,129,131.5,127.21,131.73,2717896.0
2018-07-25,132.17,130.97,130.7703,133.6608,1960497.0
2018-07-26,131.13,128.55,128.34,131.87,2028723.0
2018-07-29,128.29,125.91,125.69,128.47,2040135.0
2018-07-30,126.21,127.84,125.7,128.06,1614446.0
2018-07-31,127.78,127.87,126.97,129.18,2321718.0
2018-08-01,126.72,129.13,125.92,129.32,1513082.0
2018-08-02,129.11,128.19,127.58,129.28,1326507.0
2018-08-05,128.51,129.28,127.4,129.51,2014715.0
2018-08-06,125.31,124.43,123.96,126.83,3859026.0
2018-08-07,124.61,121.63,121.5,125.67,2864636.0
2018-08-08,122.03,120.79,120.61,122.9,3202708.0
2018-08-09,120.57,120.16,119.77,121.64,2314238.0
2018-08-12,120.65,120.46,119.9,121.45,1713025.0
2018-08-13,121.51,121.61,120.84,122,2162568.0
2018-08-14,120.56,120.43,119.32,121.02,2115688.0
2018-08-15,121.18,122.15,121.11,122.83,2475606.0
2018-08-16,122.1,123.85,121.42,123.88,2652814.0
2018-08-19,123.84,124.4,123.63,124.52,2439611.0
2018-08-20,124.43,125.16,124.365,125.64,2488358.0
2018-08-21,124.34,123.71,123.55,124.71,1582597.0
2018-08-22,123.65,122.18,122.02,123.83,1667196.0
2018-08-23,122.58,123.11,122.3,123.59,1408388.0
2018-08-26,123.68,124.29,123.58,124.7,1269859.0
2018-08-27,124.58,124.68,123.568,125.27,1698237.0
2018-08-28,124.31,126.95,124.16,127.76,3105275.0
2018-08-29,126.86,126.21,125.74,127.05,1814922.0
2018-08-30,126.34,126.47,126.21,127.27,2249708.0
2018-09-03,126.11,126.55,125.06,126.72,2069213.0
2018-09-04,125.7,125.01,124.86,126.19,3074411.0
2018-09-05,125.12,124.98,123.56,125.65,2464736.0
2018-09-06,125.01,126.61,124.3805,126.7,2916791.0
2018-09-09,127.08,127.68,126.7,128.04,4017439.0
2018-09-10,126.9,127.35,126.67,128.21,2683275.0
2018-09-11,127.18,127.57,126.5,127.71,1456601.0
2018-09-12,128.05,129.54,128.01,129.86,1928347.0
2018-09-13,129.82,130.43,129.42,130.86,1693763.0
2018-09-16,130.29,129.77,129.36,130.51,1935409.0
2018-09-17,129.85,129.81,129.25,130.27,1755926.0
2018-09-18,130.3,131.23,129.78,131.59,1625378.0
2018-09-19,131.72,132.18,130.24,132.25,1811398.0
2018-09-20,132.66,130.9,130.41,133.36,5531014.0
2018-09-23,130.38,130.24,128.39,130.76,1566799.0
2018-09-24,130.71,129.27,129.15,130.74,1362765.0
2018-09-25,129.52,130.98,129.3431,132.04,2358559.0
2018-09-26,130.48,133.42,130.34,133.5,1935045.0
2018-09-27,132.8,132.03,131.865,133.13,2438980.0
2018-09-30,132.67,128.35,128.3,132.86,2299685.0
2018-10-01,128.16,125.97,125.95,128.485,2168868.0
2018-10-02,126.3,124.59,124.34,126.89,2451676.0
