date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,9.86,10.12,9.81,10.19,4081017.0
2020-06-01,10.45,10.62,10.41,10.635,5750620.0
2020-06-02,11.07,11.06,11.01,11.28,6187176.0
2020-06-03,11.29,11.35,11.15,11.53,6478845.0
2020-06-04,11.85,11.59,11.47,11.94,9924785.0
2020-06-07,12.36,11.96,11.615,12.38,6652103.0
2020-06-08,11.51,11.32,11.24,11.65,6328151.0
2020-06-09,11.21,11.01,10.89,11.3,7082683.0
2020-06-10,10.59,9.99,9.92,10.66,7156110.0
2020-06-11,10.87,10.83,10.55,11.045,7751747.0
2020-06-14,10.35,10.85,10.275,10.925,4539050.0
2020-06-15,11.31,11.26,10.96,11.48,5981441.0
2020-06-16,11.4,11,10.98,11.43,3889449.0
2020-06-17,10.5,10.57,10.46,10.71,6670593.0
2020-06-18,10.75,10.28,10.2,10.76,6070996.0
2020-06-21,10.45,10.54,10.315,10.64,5553214.0
2020-06-22,11.04,10.85,10.83,11.12,6260668.0
2020-06-23,10.57,10.12,10.0401,10.59,6401891.0
2020-06-24,10.15,10.63,10.105,10.63,5079876.0
2020-06-25,10.37,10.16,10.07,10.435,5726129.0
2020-06-28,10.45,10.57,10.29,10.61,6616639.0
2020-06-29,10.25,10.73,10.23,10.82,18195285.0
2020-06-30,10.7,10.62,10.46,10.87,5997531.0
2020-07-01,11.16,10.94,10.88,11.29,4355383.0
2020-07-05,11.43,11.59,11.2,11.61,6809154.0
2020-07-06,11.44,11.32,11.32,11.56,4140867.0
2020-07-07,11.23,11.28,11.175,11.47,4589795.0
2020-07-08,11.12,10.93,10.81,11.18,3331813.0
2020-07-09,10.99,11.46,10.97,11.49,4911940.0
2020-07-12,11.88,11.58,11.565,11.97,6491557.0
2020-07-13,11.41,11.81,11.331,11.85,4984919.0
2020-07-14,12.1,12.02,11.8799,12.13,4651692.0
2020-07-15,11.85,11.65,11.64,11.955,3839443.0
2020-07-16,11.68,11.56,11.535,11.695,2392585.0
2020-07-19,11.52,11.59,11.52,11.675,2579727.0
2020-07-20,11.65,11.54,11.495,11.775,3292045.0
2020-07-21,11.42,11.49,11.36,11.52,2422793.0
2020-07-22,11.6,11.51,11.47,11.79,4032837.0
2020-07-23,11.5,11.47,11.42,11.5982,2587938.0
2020-07-26,11.44,11.51,11.41,11.72,3852692.0
2020-07-27,11.52,11.15,11.11,11.605,4012592.0
2020-07-28,11.32,11.55,11.25,11.55,3546334.0
2020-07-29,11.01,11.04,10.71,11.12,4971855.0
2020-07-30,11.09,10.97,10.89,11.16,4687336.0
2020-08-02,11.23,11.29,11.14,11.335,3757460.0
2020-08-03,11.28,11.41,11.24,11.4375,2521174.0
2020-08-04,11.94,12.02,11.875,12.19,3627206.0
2020-08-05,12.03,11.97,11.85,12.1,3206520.0
2020-08-06,11.59,11.76,11.385,11.76,4044824.0
2020-08-09,11.76,12.28,11.75,12.32,6027568.0
2020-08-10,12.59,12.32,12.27,12.68,6043937.0
