date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,106.25,108.53,105.36,108.94,804462
2020-06-01,110.28,106,104.99,110.28,1189137.0
2020-06-02,109.93,113.78,109,114.67,1128909.0
2020-06-03,113.08,117.9,112.29,118.395,1101016.0
2020-06-04,128.99,123.3,121.78,130.14,1497715.0
2020-06-07,126.28,127.4,124.22,127.9,1023399.0
2020-06-08,121.69,123.89,120.3892,125,801565
2020-06-09,121.75,116.75,116.7,122,1002993.0
2020-06-10,108.87,106.28,105.87,112.76,1257367.0
2020-06-11,113.11,108.96,105.84,113.11,1088523.0
2020-06-14,102.46,110.72,102.14,111.31,1293742.0
2020-06-15,116.15,113.26,110.48,116.15,1053221.0
2020-06-16,113.26,110.07,109.66,113.788,810154
2020-06-17,108.47,110.45,108.12,112.7,777611
2020-06-18,112.33,111.05,107.56,112.65,3550778.0
2020-06-21,109.37,108.51,108.22,110.76,976233
2020-06-22,110.69,108.47,108.28,112.26,622499
2020-06-23,106.33,102.92,102.43,106.995,721994
2020-06-24,102,105.14,101.53,105.5,798569
2020-06-25,102.69,100.46,98.68,103.25,1444153.0
2020-06-28,102.2,102.32,100.97,104,664109
2020-06-29,100.95,103.97,100.85,105.04,1038544.0
2020-06-30,104.49,101.31,101.19,104.57,538201
2020-07-01,104.54,100.59,100.085,105.33,589827
2020-07-05,103.24,101.93,101.05,104.9,775828
2020-07-06,100.64,98.54,98.13,101.11,779478
2020-07-07,98.36,98.98,97.34,100.5899,807211
2020-07-08,98.52,95.21,94.425,99.1,687403
2020-07-09,95.12,100.37,95.12,100.42,869413
2020-07-12,101.7,101.64,98.91,103.3,773511
2020-07-13,101.11,98.33,97.77,102.46,1026467.0
2020-07-14,100.92,102.77,100.51,103.28,754286
2020-07-15,101.42,102.52,100.95,104.67,428943
2020-07-16,102.48,99.32,98.98,102.505,531920
2020-07-19,98.64,98.79,98.03,99.68,884135
2020-07-20,99.72,103.94,99.72,104.77,1001439.0
2020-07-21,103.02,103.44,102.38,104.3,644793
2020-07-22,103.47,105,101.04,107.215,1232498.0
2020-07-23,105.77,105.13,104.595,106.84,749445
2020-07-26,104.29,102.9,101.55,104.33,770495
2020-07-27,102.33,102.84,102.12,103.54,577834
2020-07-28,102.27,106.82,101.56,107.45,995046
2020-07-29,103.95,105.78,101.22,106.28,961265
2020-07-30,104.78,105.95,103.16,106.15,1476102.0
2020-08-02,105.93,105.03,103.09,106.235,762009
2020-08-03,104.4,104.06,103.42,105.37,508025
2020-08-04,105,104.6,103.79,105.86,894176
2020-08-05,104,103.57,102.81,105.77,745453
2020-08-06,102.91,107.61,102.78,107.66,816441
2020-08-09,107.96,109.07,107.53,110,620383
2020-08-10,111.77,111.35,110.73,114.13,536978
2020-08-11,113.69,110.35,108.57,113.69,489743
2020-08-12,109,107.83,107.25,109.48,468054
2020-08-13,107,109.21,106.635,110.26,412357
2020-08-16,108.28,106.56,106.35,108.49,634304
2020-08-17,106.63,104.5,104.24,106.645,559392
2020-08-18,105.04,104.43,104.04,106.06,635253
2020-08-19,102.91,101.67,100.795,103.06,794323
2020-08-20,101.86,102.46,101.28,103.01,898928
2020-08-23,102.6,105.83,102.4,105.89,689795
2020-08-24,107.3,105.95,104.07,107.78,667388
2020-08-25,105.34,103.74,103.66,105.34,489586
2020-08-26,104.11,105.87,103.76,106.63,570333
2020-08-27,106.99,106.4,105.37,107,433957
2020-08-30,105.24,103.26,103.16,105.29,707286
2020-08-31,102.26,103.56,101.71,104.93,548930
2020-09-01,103.08,104.12,102.08,104.89,700089
2020-09-02,105.22,103.73,102.93,108.5,813296
2020-09-03,106.35,105.9,103.25,107.59,663365
2020-09-07,104.85,102.26,101.6,105.2655,867519
2020-09-08,102.89,101.16,100.45,102.89,699703
2020-09-09,101.84,99.05,98.75,102.52,1249322.0
2020-09-10,99.61,101.66,99,101.85,975869
2020-09-13,102.62,104.24,102.22,105.84,870934
2020-09-14,104.16,103.76,101.7,104.24,737086
2020-09-15,103.61,103.26,102.47,106.4,1451198.0
2020-09-16,102.16,102.42,101.51,103.34,821977
2020-09-17,101.74,101.78,101.33,103.45,1701783.0
2020-09-20,98.79,96.62,95.4,100.465,1008304.0
2020-09-21,96.42,93.11,92.37,97.4017,1161568.0
2020-09-22,93.5,90.86,90.77,95.89,1130586.0
2020-09-23,91.3,90.06,88.995,92.28,1221589.0
2020-09-24,89.17,91.3,88.48,91.69,925769
2020-09-27,93,94.22,92.03,95.375,848374
2020-09-28,93.69,91.13,90.15,93.69,1053754.0
2020-09-29,91.23,92.09,90.34,93.18,1558964.0
2020-09-30,92.22,92.21,90.75,93.24,852957
2020-10-01,90.55,93.53,90.45,94.93,999900
2020-10-04,94.76,97.59,94.63,97.74,1233709.0
