date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,9.41,9.74,9.19,10.15,605632
2020-06-01,9.91,9.94,9.8411,10.3,348135
2020-06-02,10.18,10.24,10.135,10.54,461092
2020-06-03,10.28,11.25,10.12,11.28,556636
2020-06-04,11.79,12.15,11.75,12.49,619023
2020-06-07,12.45,12.37,12.23,12.89,432248
2020-06-08,11.93,12.1,11.65,12.27,405460
2020-06-09,11.97,11.61,11.52,12.18,504565
2020-06-10,10.98,10.66,10.46,10.98,635356
2020-06-11,11.25,10.63,10.27,11.49,446255
2020-06-14,10.23,10.82,10.04,10.84,418250
2020-06-15,11.5,11.55,11.35,12.18,630018
2020-06-16,11.48,11.16,11.15,11.635,300521
2020-06-17,10.94,11.19,10.8801,11.54,251641
2020-06-18,11.43,11.19,10.92,11.56,468966
2020-06-21,11.02,10.73,10.65,11.04,283800
2020-06-22,11.01,10.91,10.74,11.095,316662
2020-06-23,10.69,10.33,10.3,10.77,268228
2020-06-24,10.25,10.67,10.1,10.68,311507
2020-06-25,10.57,10.47,10.11,10.57,653601
2020-06-28,10.67,11,10.67,11.23,282861
2020-06-29,10.9,10.88,10.6,10.97,265545
2020-06-30,10.92,10.35,10.33,11.05,279277
2020-07-01,10.63,10.6,10.48,11.14,346032
2020-07-05,10.85,10.72,10.505,11.08,257418
2020-07-06,10.56,10.22,10.1521,10.57,179727
2020-07-07,10.21,10.22,9.97,10.3,276136
2020-07-08,10.14,9.94,9.76,10.14,222887
2020-07-09,9.88,10.17,9.88,10.27,190982
2020-07-12,10.36,10.41,10.105,10.65,337553
2020-07-13,10.51,10.9,10.31,10.91,312692
2020-07-14,11.21,11.19,11.01,11.309,383950
2020-07-15,11.13,11.38,11,11.46,324705
2020-07-16,11.38,11.56,11.13,11.7,432504
2020-07-19,11.4,11.04,11.02,11.56,271088
2020-07-20,11.21,11.55,11.21,11.62,230627
2020-07-21,11.43,11.53,11.2814,11.62,221722
2020-07-22,11.52,11.61,11.42,11.73,223612
2020-07-23,11.53,11.41,11.37,11.72,138144
2020-07-26,11.42,11.66,11.33,11.74,183453
2020-07-27,11.53,11.16,11.15,11.7,164895
2020-07-28,11.2,11.42,11.04,11.46,166427
2020-07-29,11.14,11.07,10.971,11.25,106052
2020-07-30,10.93,10.66,10.27,11,330304
2020-08-02,10.65,10.87,10.5,11.06,277826
2020-08-03,10.86,10.83,10.65,10.9599,175637
2020-08-04,10.96,11.2,10.96,11.47,378058
2020-08-05,10.66,10.03,9.83,11.047,643621
2020-08-06,10,9.99,9.71,10.06,689399
2020-08-09,9.91,10.28,9.7875,10.41,689469
2020-08-10,10.47,10.67,10.31,11.07,536225
2020-08-11,10.92,10.46,10.2,10.9664,271435
2020-08-12,10.48,10.46,10.3,10.63,265914
2020-08-13,10.3,10.6,10.22,10.645,237789
2020-08-16,10.52,10.23,10.21,10.64,293295
2020-08-17,10.2,9.87,9.85,10.3,383252
2020-08-18,9.86,9.84,9.79,10.1,348265
2020-08-19,9.68,9.9,9.565,9.93,314070
2020-08-20,9.79,9.82,9.79,10.07,431328
2020-08-23,9.87,9.89,9.66,9.98,367738
2020-08-24,9.94,9.66,9.6,10.06,221173
2020-08-25,9.66,9.66,9.46,9.78,254437
2020-08-26,9.69,9.8,9.59,10.02,306254
2020-08-27,9.82,9.81,9.67,9.9,163326
2020-08-30,9.77,9.42,9.4,9.77,258551
2020-08-31,9.37,9.65,9.3,9.7,196735
2020-09-01,9.67,9.61,9.49,9.71,279708
2020-09-02,9.65,9.45,9.41,9.86,263990
2020-09-03,9.67,9.53,9.37,9.79,313952
2020-09-07,9.4,9.25,9.15,9.5,313876
2020-09-08,9.3,8.82,8.81,9.31,372512
2020-09-09,8.81,8.43,8.43,8.85,327450
2020-09-10,8.47,8.3,8.26,8.58,284054
2020-09-13,8.44,8.34,8.24,8.4827,336395
2020-09-14,8.39,8.35,8.25,8.6,469242
2020-09-15,8.4,8.77,8.23,8.84,578445
2020-09-16,8.67,9.12,8.5404,9.19,532458
2020-09-17,9.18,9.17,8.96,9.58,918107
2020-09-20,8.95,8.41,8.2401,8.95,565346
2020-09-21,8.45,8.19,8.17,8.48,375155
2020-09-22,8.25,7.98,7.98,8.59,391802
2020-09-23,8,8.04,7.82,8.235,240889
2020-09-24,7.94,8.09,7.89,8.13,245881
2020-09-27,8.28,8.4,8.2701,8.59,213211
2020-09-28,8.39,8.33,8.12,8.43,205094
2020-09-29,8.33,8.41,8.33,8.62,193225
2020-09-30,8.46,8.48,8.34,8.6,169324
2020-10-01,8.26,8.69,8.25,8.9,333096
2020-10-04,8.8,9.19,8.8,9.39,381897
2020-10-05,9.33,8.89,8.88,9.35,329045
2020-10-06,9,8.99,8.95,9.15,414910
2020-10-07,9.1,9.17,8.92,9.19,224434
2020-10-08,9.23,9.05,9,9.38,207027
2020-10-11,9.03,9.07,8.939,9.09,211408
2020-10-12,8.95,8.71,8.65,8.985,199811
2020-10-13,8.66,8.6,8.58,8.81,235349
2020-10-14,8.45,8.66,8.35,8.68,160733
2020-10-15,8.64,8.68,8.51,8.93,232502
2020-10-18,8.63,8.54,8.5,8.75,188169
2020-10-19,8.64,8.6,8.545,8.76,158800
2020-10-20,8.61,8.71,8.58,8.87,162137
2020-10-21,8.74,8.94,8.7,8.99,267764
2020-10-22,9.04,8.9,8.88,9.19,191071
2020-10-25,8.71,8.68,8.516,8.7225,201303
2020-10-26,8.61,8.2,8.17,8.61,265196
2020-10-27,8.04,7.77,7.65,8.135,350751
2020-10-28,7.75,7.53,7.36,7.75,368134
2020-10-29,7.52,7.53,7.37,7.64,365644
2020-11-01,7.67,7.86,7.56,7.96,368613
2020-11-02,8.04,8.32,7.98,8.4317,482935
2020-11-03,8.16,7.77,7.61,8.16,497641
2020-11-04,8.6,9.08,8.6,9.85,1356724.0
2020-11-05,9.14,9.2,8.99,9.57,498196
2020-11-08,9.9302,10.02,9.73,10.65,732392
2020-11-09,10.2,10.74,10.14,10.95,652015
2020-11-10,10.84,10.82,10.48,10.84,310769
2020-11-11,10.65,10.56,10.4,10.82,400228
2020-11-12,10.73,10.89,10.62,10.97,251631
2020-11-15,11.12,11.66,11.05,11.69,646615
2020-11-16,11.45,11.29,11.21,11.66,210866
2020-11-17,11.39,11.55,11.39,11.73,378722
2020-11-18,11.49,11.5,11.27,11.55,213206
2020-11-19,11.39,11.18,11.09,11.48,247736
2020-11-22,11.34,11.7,11.294,11.74,442390
2020-11-23,11.75,11.97,11.68,12.13,477599
2020-11-24,11.96,11.46,11.4226,11.96,249407
2020-11-26,11.51,11.53,11.445,11.62,158010
2020-11-29,11.43,11.11,11.11,11.43,283960
2020-11-30,11.49,11.24,11.18,11.57,363824
2020-12-01,11.21,11.32,11.18,11.42,307650
2020-12-02,11.37,11.39,11.225,11.415,397509
2020-12-03,11.54,12.38,11.42,12.4,986747
2020-12-06,12.16,12.42,11.62,12.52,617204
2020-12-07,12.18,12.72,12.18,12.81,441981
2020-12-08,12.86,12.92,12.58,13.01,282135
2020-12-09,12.81,12.61,12.37,12.81,288288
2020-12-10,12.41,12.76,12.4,12.85,294533
2020-12-13,12.99,12.72,12.46,12.99,331792
2020-12-14,12.94,13.47,12.9,13.48,340463
2020-12-15,13.53,13.41,13.23,13.56,430069
2020-12-16,13.56,13.62,13.2569,13.63,448355
2020-12-17,13.65,13.58,13.47,13.99,806667
2020-12-20,13.16,13.32,12.83,13.41,484341
2020-12-21,13.35,12.91,12.865,13.35,360071
2020-12-22,13.02,13.47,12.95,13.58,252458
2020-12-23,13.51,13.31,13.2,13.5346,100627
2020-12-27,13.55,13.26,13.2439,13.68,191149
2020-12-28,13.42,12.95,12.69,13.42,243310
2020-12-29,13.08,13.23,13.02,13.31,206190
2020-12-30,13.25,13.31,13.02,13.37,154623
2021-01-03,13.46,12.79,12.71,13.56,269201
