date,open_price,close_price,lowest_price,highest_price,volume
2022-07-31,7.75,8.5,5.55,9.2545,931100
2022-08-01,8.07,6.93,6.6007,8.1,440782
2022-08-02,6.12,7.93,5.98,9.0324,702973
2022-08-03,8.19,8.85,6.74,10,378690
2022-08-04,9.1,8.51,8.37,9.396,155486
2022-08-07,8.93,9.8,7.96,10.3197,206769
2022-08-08,10,9.47,8.76,10.25,239999
2022-08-09,9.47,9.39,8.7,9.66,165124
2022-08-10,9.03,9.76,8.28,10.1,129312
2022-08-11,9.35,9.32,9.1,9.9,130266
2022-08-14,9.5,9.55,9.06,9.64,82954
2022-08-15,9.55,9.01,8.37,9.75,140711
2022-08-16,9.08,9.35,8.5524,10.06,49295
2022-08-17,9.29,9.35,8.5,9.6,147224
2022-08-18,9.32,9.45,8.9562,9.71,79527
2022-08-21,9.46,8.65,8.13,12.3,421471
2022-08-22,8.27,10.32,8.08,10.5,253577
2022-08-23,10.3,9.93,9.2,10.75,114376
2022-08-24,9.68,10.03,9.0997,10.1,32242
2022-08-25,10.32,10.78,9.5,10.97,91425
2022-08-28,11.29,9.87,9.455,11.33,100347
2022-08-29,9.85,7.46,7.46,10.3,280861
2022-08-30,8.22,7.86,7.8301,8.52,209361
2022-08-31,7.9,8.02,7.8682,8.15,111344
2022-09-01,8.06,8.1,7.85,8.4,140057
2022-09-05,8.43,8.21,8,8.58,465219
2022-09-06,8.16,8.05,7.77,8.4,175699
2022-09-07,8,7.93,7.2487,8.12,156870
2022-09-08,7.68,7.94,7.34,8.05,282134
2022-09-11,8.08,7.94,7.75,8.17,129402
2022-09-12,7.82,7.96,7.6378,8.1,180697
2022-09-13,7.76,8.12,7.76,8.4,195292
2022-09-14,8.07,7.99,7.751,8.4,245117
2022-09-15,7.87,8.12,7.71,8.51,2875704.0
2022-09-18,8.02,8.2,8.02,8.24,77408
2022-09-19,8.2,8.08,7.99,8.27,101109
2022-09-20,7.85,7.29,7.25,8.39,265672
2022-09-21,7.19,7.24,6.3,7.5,496294
2022-09-22,7.18,6.95,6.62,7.4329,124901
2022-09-25,7.04,6.7,6.7,7.26,141028
2022-09-26,6.74,6.33,6.32,6.8718,37177
2022-09-27,6.25,6.42,6.25,6.55,113156
2022-09-28,6.35,6.28,6.28,6.73,184390
2022-09-29,6.28,6.37,6.28,6.5999,241858
2022-10-02,6.34,6.21,5.73,6.39,313741
2022-10-03,6.15,6.02,5.88,6.1878,58912
2022-10-04,6,6.28,6,6.38,115379
2022-10-05,6.11,5.74,5.6,6.13,203601
2022-10-06,5.56,4.7,4.5,6.01,174608
2022-10-09,4.67,4.85,4.67,4.99,90181
2022-10-10,4.84,4.99,4.84,5.17,181704
2022-10-11,5,4.67,4.42,5.44,328292
2022-10-12,4.57,4.95,4.57,5.06,237776
2022-10-13,4.96,5.07,4.84,5.07,89466
2022-10-16,5.18,5.15,4.8301,5.28,91572
2022-10-17,5.27,5.28,5.11,5.38,61570
2022-10-18,5.34,5.1,5.04,5.355,180014
2022-10-19,5.09,5.12,5.09,5.32,88960
2022-10-20,5.13,5.19,5.04,5.31,106314
2022-10-23,5.26,5.2,5.0236,5.3199,342159
2022-10-24,5.22,5.22,5.09,5.34,63104
2022-10-25,5.26,5.08,5.07,5.32,57099
2022-10-26,5.02,4.99,4.99,5.11,73570
2022-10-27,5.01,5.06,4.964,5.11,51105
2022-10-30,5.06,4.97,4.92,5.06,132232
2022-10-31,5.03,4.95,4.8249,5.09,145686
2022-11-01,4.96,5,4.81,5.1,62732
2022-11-02,4.99,4.81,4.71,4.99,95377
2022-11-03,4.86,4.99,4.86,5.2599,375966
2022-11-06,5,5.57,4.8701,5.62,719326
2022-11-07,5.7,5.77,5.3995,5.77,205833
2022-11-08,5.74,5.71,5.5,5.7873,429728
2022-11-09,5.59,6.59,5.59,6.67,502014
2022-11-10,6.55,5.14,4.87,6.63,873787
2022-11-13,5.12,5.69,5.013,5.88,344021
2022-11-14,5.83,6.46,5.55,6.565,438688
2022-11-15,6.29,6.46,6.27,6.62,126738
2022-11-16,6.5,6.16,6.12,6.55,75137
2022-11-17,6.22,6.3,6.026,6.72,171166
2022-11-20,6.12,5.97,5.9,6.195,37181
2022-11-21,5.85,5.14,5.01,5.86,183903
2022-11-22,5.08,5.46,5.08,5.6,104565
2022-11-24,5.57,5.45,5.39,5.7,6820
2022-11-27,5.53,5.88,5.39,5.95,89511
2022-11-28,5.75,5.86,5.73,5.94,14592
2022-11-29,5.88,6.09,5.81,6.17,33831
2022-11-30,6.04,6.42,5.8,6.42,68478
2022-12-01,6.35,6.03,5.88,6.53,14627
2022-12-04,6.11,6.15,5.89,6.3539,21534
2022-12-05,6.22,6.28,6.1,6.79,84118
2022-12-06,6.18,6.27,6.07,6.46,22028
2022-12-07,6.18,6.45,5.9368,6.8416,74985
2022-12-08,6.39,6.65,6.32,6.8699,125815
2022-12-11,6.55,5.63,5.62,6.58,161641
2022-12-12,5.83,6.01,5.6701,6.61,86075
2022-12-13,6.12,6.03,5.79,6.25,65728
2022-12-14,6.1,6.05,5.86,6.38,33721
2022-12-15,6.14,6.05,5.75,6.38,78496
2022-12-18,6.04,5.95,5.704,6.134,20215
2022-12-19,5.91,6.3,5.85,6.4,86725
2022-12-20,6.14,6.22,5.78,6.32,97586
2022-12-21,6.3,5.56,5.51,6.75,75882
2022-12-22,5.5,5.82,5.19,5.84,91021
2022-12-26,5.7,5.76,5.6,6.249,72063
