date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,15.19,16.44,14.9,16.58,643420
2020-06-01,16.61,15.6,15.37,16.74,280918
2020-06-02,15.99,16.4,15.8601,16.98,366165
2020-06-03,16.34,15.68,15.42,16.48,579498
2020-06-04,16.28,15.99,15.55,16.45,437000
2020-06-07,16.32,16.37,15.87,16.7,896714
2020-06-08,16.03,16.38,15.74,16.7,406247
2020-06-09,16.33,16.42,16.005,16.67,516977
2020-06-10,15.59,13.93,13.85,16,516476
2020-06-11,15,16.36,14.4,16.46,537042
2020-06-14,16.72,18.08,16.42,18.41,837940
2020-06-15,18.81,17.95,17.84,19.03,855068
2020-06-16,17.91,17.79,17.4901,19.0027,645738
2020-06-17,17.57,18.96,17.47,19.13,646332
2020-06-18,19.13,19.83,18.84,20.09,1419727.0
2020-06-21,19.9,19.4,19.12,20.01,719672
2020-06-22,19.57,19.51,19.27,19.85,592912
2020-06-23,19.18,19.21,18.6001,19.52,470683
2020-06-24,19.47,19.11,18.82,19.47,419145
2020-06-25,19,18.85,18.4,19.11,673661
2020-06-28,18.02,17.55,15.8901,18.5,1043685.0
2020-06-29,17.2,17.07,16.11,17.24,1114846.0
2020-06-30,17.81,17.51,17.01,18.46,2534883.0
2020-07-01,17.93,17.58,17.522,18.27,612916
2020-07-05,18.39,18.82,18.22,19.27,927969
2020-07-06,18.91,18.97,18.87,19.79,789047
2020-07-07,18.62,19.26,18.21,19.79,1067506.0
2020-07-08,19.7,19.1,18.71,19.7885,617991
2020-07-09,19.31,19.03,18.27,19.35,534858
2020-07-12,19.15,18.6,18.52,19.355,961523
2020-07-13,18.71,19.51,18.71,19.69,1522334.0
2020-07-14,20.37,19.4,19.34,20.93,1399398.0
2020-07-15,19.18,19.72,17.5,20.12,1206436.0
2020-07-16,19.68,20.94,19.13,21,1064225.0
2020-07-19,20.95,20.79,20.36,22.48,1751127.0
2020-07-20,21.26,20.51,20.44,21.57,803135
2020-07-21,21.05,21.84,21.01,22.26,1682225.0
2020-07-22,21.84,22,21.675,22.87,1219528.0
2020-07-23,21.81,22.3,21.01,22.59,696454
2020-07-26,23.22,23.75,23.14,24.7499,1508388.0
2020-07-27,23.74,23.61,23.05,24.6,997598
2020-07-28,23.6,23.74,23.3,24.13,1133778.0
2020-07-29,24.12,24.45,22.86,25.55,1753266.0
2020-07-30,24.58,25.01,24.09,25.67,904828
2020-08-02,25.18,25.52,23.96,26.36,1218060.0
2020-08-03,25.86,26.55,25.6501,26.745,1055470.0
2020-08-04,26.44,27.5,25.25,27.72,1314243.0
2020-08-05,27.45,27.66,26.97,28.6999,813689
2020-08-06,27.25,27.73,27.18,28.73,705931
2020-08-09,27.85,28.59,27.82,29.61,1170633.0
2020-08-10,28.83,26.86,25.91,29,1639144.0
2020-08-11,26.97,26.98,26.5616,28.039,810206
2020-08-12,27.17,28.2,27.05,28.535,813572
2020-08-13,26.24,24.29,23.9,26.35,7498940.0
2020-08-16,24.98,24.4,23.8002,25.09,2384083.0
2020-08-17,25.09,24.3,23.43,25.15,1880424.0
2020-08-18,24.19,24.16,23.98,25,1165213.0
2020-08-19,24.08,23.35,23.24,24.35,843648
2020-08-20,23.35,23.76,23.07,24.55,976509
2020-08-23,24.05,23.54,23.39,24.25,655406
2020-08-24,23.5,25.04,23.31,25.05,1153190.0
2020-08-25,24.94,24.2,23.89,26.11,1126887.0
2020-08-26,24.61,24.75,24.3,25.66,1129619.0
2020-08-27,24.77,24.54,24.35,25.07,994678
2020-08-30,24.5,23.72,23.13,24.6199,1313667.0
2020-08-31,23.58,23.7,23.1611,23.9,1295064.0
2020-09-01,24.52,23.82,23.54,24.74,1105368.0
2020-09-02,23.55,22.35,21.9101,23.85,1503240.0
2020-09-03,22.12,21.44,18.82,22.37,2443907.0
2020-09-07,21.04,22.09,20.51,22.4,1563050.0
2020-09-08,22.33,23.6,22.33,24.08,2101554.0
2020-09-09,23.57,23.45,23.28,24.255,2199000.0
2020-09-10,23.59,23.26,23.06,23.93,801642
2020-09-13,23.7,24.98,23.23,25.07,1116543.0
2020-09-14,25.38,26.42,25.23,27,1105995.0
2020-09-15,26.42,26.22,25.93,27.19,846621
2020-09-16,25.7,24.69,24.52,26.23,1044899.0
2020-09-17,25.23,25.14,24.86,26.3524,5001180.0
2020-09-20,24.5,25.85,24.1577,25.91,829913
2020-09-21,26.02,26.09,25.26,26.49,786450
2020-09-22,26.39,25.89,25.41,26.9,1205928.0
2020-09-23,25.45,25.46,24.37,26.33,1193355.0
2020-09-24,25.52,26.52,25.151,26.62,1637191.0
2020-09-27,27.01,26.79,26.58,28.29,1681657.0
2020-09-28,26.05,26.93,23.46,26.99,3653631.0
2020-09-29,27.42,30.41,27.2001,30.6763,3976045.0
2020-09-30,30.7,30.11,29.67,31.26,3392985.0
2020-10-01,29.25,28.57,28,33.01,4262723.0
2020-10-04,28.93,28.73,28.6,29.56,1705971.0
2020-10-05,29.05,28.05,27.68,29.42,2014966.0
2020-10-06,28.98,28.99,28.87,30.45,2356725.0
2020-10-07,29.75,28.02,27.26,30.3,2018643.0
2020-10-08,28.14,29.36,28.14,29.54,1042529.0
2020-10-11,30.17,28.35,28.02,30.64,2272763.0
2020-10-12,28.39,28.44,28.39,29.81,1667625.0
2020-10-13,29.27,29.64,28.7704,29.91,1653570.0
2020-10-14,28.97,28.37,28.07,30.3,2909928.0
2020-10-15,28.67,29,27.85,29.59,4969614.0
2020-10-18,29.3,29.97,28.74,30.91,2552066.0
2020-10-19,30.15,30.77,30.15,32.45,3078215.0
2020-10-20,31.09,26.74,26.64,31.39,3232231.0
2020-10-21,26.75,26.57,25.1906,27.2,2335076.0
