date,open_price,close_price,lowest_price,highest_price,volume
2020-05-31,52.12,53.37,51.8816,54,283617
2020-06-01,54.3,55,54.06,55.31,265283
2020-06-02,56.12,57.57,56.04,57.73,534004
2020-06-03,56.99,57.22,55.72,58.46,540711
2020-06-04,59.45,62.75,58.75,64.06,774205
2020-06-07,64.02,62.45,61.79,64.5,431732
2020-06-08,61.05,60.6,59.26,62.12,392781
2020-06-09,60.25,58.12,57,60.25,434053
2020-06-10,54.8,52.44,52.13,55.09,714073
2020-06-11,54.92,56.24,52.8501,56.28,454476
2020-06-14,53.79,58.14,53.13,58.6,606037
2020-06-15,61.04,60.78,58.41,61.16,676734
2020-06-16,61.08,60,59.46,61.08,506065
2020-06-17,59.07,61.03,59.07,61.59,525489
2020-06-18,61.7,62.75,60.47,62.89,1787537.0
2020-06-21,62.24,62.99,61.045,63.27,494478
2020-06-22,64.12,64.66,63.32,65.38,544132
2020-06-23,63.45,61.5,60.6,63.515,673500
2020-06-24,61.22,63.39,61.03,63.5,543700
2020-06-25,62.95,60.58,60.52,63.84,1143425.0
2020-06-28,61.76,63.04,61.07,63.58,438380
2020-06-29,62.56,64.73,62.235,65.03,357020
2020-06-30,64.96,64.03,63.77,65.5,344139
2020-07-01,65.42,64.3,64.27,66.21,408536
2020-07-05,65.93,64.22,63.75,65.93,244778
2020-07-06,63.39,61.66,61.56,63.8,334887
2020-07-07,61.63,62.54,60.6,62.56,297491
2020-07-08,62.2,60.97,60.34,62.83,315143
2020-07-09,61.23,62.81,61.11,62.88,230698
2020-07-12,63.52,62.22,62.16,64.7,187279
2020-07-13,61.92,63.07,61.06,63.15,247660
2020-07-14,65.12,66.45,64.5,66.94,274396
2020-07-15,65.99,66.42,65.35,66.91,204136
2020-07-16,66.45,67,65.76,67.44,245970
2020-07-19,66.36,66.84,65.78,67.08,160648
2020-07-20,67.37,67.52,67.14,68.59,180373
2020-07-21,67.13,67.07,66.48,67.96,177407
2020-07-22,66.61,67.24,66.61,68.41,182348
2020-07-23,67.26,65.2,65.09,67.26,173628
2020-07-26,65.06,66.07,64.335,66.1,236226
2020-07-27,66.11,67.48,66.11,68.8,359032
2020-07-28,67.55,69.01,67.03,69.11,253878
2020-07-29,67.67,68.28,65.78,68.54,170242
2020-07-30,67.71,66.86,65.21,67.71,220791
2020-08-02,67.39,68.02,66.34,68.64,292125
2020-08-03,72.24,69.44,69.21,74.08,507635
2020-08-04,70.62,69.55,68.26,70.99,312317
2020-08-05,69.24,68.37,68.03,70.14,288385
2020-08-06,68.78,69.81,68.33,69.85,212434
2020-08-09,69.87,68.91,68.705,70.92,189880
2020-08-10,69.81,69.47,69.05,71.01,277586
2020-08-11,70.68,70.76,70.12,71.33,166105
2020-08-12,70.6,70.82,69.85,71.73,199864
2020-08-13,69.62,69.93,69.26,70.6,195395
2020-08-16,70,70.18,69.92,71.0212,208457
2020-08-17,70.2,69.43,69.11,70.44,162180
2020-08-18,69.9,68.95,68.885,70.42,125839
2020-08-19,68.15,69.89,68.02,70.71,349233
2020-08-20,69.1,69.65,68.31,70.02,247824
2020-08-23,70,69.66,69.155,70.77,222829
2020-08-24,70.06,68.53,68.03,70.34,236688
2020-08-25,68.63,67.87,67.12,68.7,295473
2020-08-26,68.71,68.61,68.15,69.56,214062
2020-08-27,69.28,69.44,68.44,69.72,182943
2020-08-30,69.06,67.37,67.35,69.06,219577
2020-08-31,67.5,68.26,66.91,68.96,232925
2020-09-01,68.46,69.57,67.49,69.92,265602
2020-09-02,69.56,65.66,65.36,69.74,309225
2020-09-03,66.6,64.25,63.43,66.91,277384
2020-09-07,63.02,62.61,61.54,64.17,209594
2020-09-08,63.02,62.54,62.1,63.3849,249351
2020-09-09,63.54,62.88,62.54,64.01,349495
2020-09-10,63.03,62.91,62.39,63.525,261829
2020-09-13,63.82,66.33,63.71,66.52,347740
2020-09-14,66.76,67.54,66.41,68.17,542344
2020-09-15,67.81,69.12,67.43,70.15,638319
2020-09-16,68.16,68.86,66.86,68.89,404014
2020-09-17,69,67.92,67.61,69.88,960410
2020-09-20,65.5,64.78,63.8,65.99,423933
2020-09-21,65.18,65.25,64.04,66,258290
2020-09-22,65.1,62.94,62.8006,66.08,269879
2020-09-23,63,63.89,62.29,64.77,223058
2020-09-24,63.16,64.87,63.16,65.08,175634
2020-09-27,65.95,65.97,65.47,66.79,225261
2020-09-28,65.88,65.25,64.44,65.895,127809
2020-09-29,65.83,65.49,65.05,66.66,239718
2020-09-30,65.8,66.22,65.25,66.845,169986
2020-10-01,64.98,67.54,64.53,67.84,193922
2020-10-04,68.1,68.38,67.25,68.74,128664
2020-10-05,69.16,68.55,68.5,70.68,182284
2020-10-06,69.45,71.09,69.14,71.48,194989
2020-10-07,71.1,72.8,70.75,72.93,211715
2020-10-08,73.82,72.23,71.54,73.82,145403
2020-10-11,72.31,72.85,72.15,73.11,116629
2020-10-12,71.84,72.44,71.29,72.79,139905
2020-10-13,73.49,72.93,72.87,75.33,241629
2020-10-14,71.6,74.98,71.23,75,191079
2020-10-15,74.84,73.66,73.61,75.11,220937
2020-10-18,73.75,73.42,73.24,74.995,152517
2020-10-19,74.37,74.13,73.725,75.29,175747
2020-10-20,74.12,74.6,73.7,75.12,157552
2020-10-21,75.01,76.71,74.21,76.8,258256
2020-10-22,77.12,76.79,74.61,77.43,166086
2020-10-25,75.55,75.43,74.77,75.855,188671
2020-10-26,75.09,76.41,75.09,77.18,392611
2020-10-27,74.39,76.35,74.385,77.38,323194
2020-10-28,76.01,77.83,75,78.5,394825
2020-10-29,77.26,76.58,76.11,78.29,374358
2020-11-01,78.4,82.87,78.4,84.42,732598
2020-11-02,81.74,84.98,79.21,86,650594
2020-11-03,84,86.62,84,87.46,291626
2020-11-04,87.45,88.09,87.33,89.44,336468
2020-11-05,88.21,86.93,86.03,89.1,456017
2020-11-08,91.95,92.11,91.82,95.78,598011
2020-11-09,92.96,92.24,91.58,93.56,381721
2020-11-10,92.84,91.06,90.04,92.95,292508
2020-11-11,90.23,88.72,87.54,90.81,181904
2020-11-12,89.17,88.65,88.03,90.44,248632
2020-11-15,90.49,87.55,86.3,90.98,445634
2020-11-16,86.46,86.84,85,87.915,312593
2020-11-17,86.8,85.67,85.61,87.87,169642
2020-11-18,85.7,89.06,84.73,89.87,303736
2020-11-19,88.6,87.27,86.67,88.665,228307
2020-11-22,88.03,87.47,87.35,88.899,254871
2020-11-23,88.93,88.68,87.47,89.94,252479
2020-11-24,88.01,88.63,87.55,89.085,136993
2020-11-26,88.61,88.47,87.237,89.37,109491
2020-11-29,87.87,85.5,85.35,88.33,314951
2020-11-30,87,87.41,86.7,88.22,215250
