date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,119.05,118.24,117.25,119.565,584912
2018-05-29,118.71,118.42,118.28,119.43,607211
2018-05-30,118.88,117.5,117.46,118.88,962361
2018-05-31,118.6,120.04,118.05,120.42,619859
2018-06-03,120.79,120.4,120.245,121.61,774978
2018-06-04,120.58,121.1,120.49,122.15,361256
2018-06-05,121.56,123.03,120.1801,123.1,596374
2018-06-06,122.97,123.01,122.2339,123.5,630339
2018-06-07,123.03,122.64,121.56,123.34,735833
2018-06-10,122.78,123.78,122.43,124.267,678816
2018-06-11,124.08,123.61,123.23,124.7,786714
2018-06-12,123.5,120.74,120.16,123.5,838987
2018-06-13,120.62,120.78,120.5,121.389,820419
2018-06-14,119.06,119.03,116.82,119.53,1112074.0
2018-06-17,118,119.07,117.45,119.35,1039685.0
2018-06-18,117.78,116.72,116.33,117.97,965617
2018-06-19,117.52,116.82,116.18,117.55,522166
2018-06-20,116.71,114.14,113.98,117.11,898866
2018-06-21,115.11,115.28,114.625,116.32,1479832.0
2018-06-24,115.19,114.92,113.94,115.31,780502
2018-06-25,115,114.62,113.94,115.14,487476
2018-06-26,114.86,112.78,112.72,115.49,547226
2018-06-27,112.8,112.08,110.91,112.83,421345
2018-06-28,112.37,111.79,111.79,113.455,412597
2018-07-01,111.07,112.37,110.25,112.42,653939
2018-07-02,112.93,112.82,112.33,113.83,546882
2018-07-04,113.68,112.72,111.39,113.68,577305
2018-07-05,112.53,113.28,112.05,113.78,498885
2018-07-08,113.93,114.36,113.49,114.59,864445
2018-07-09,114.24,114.34,113.22,114.81,1142801.0
2018-07-10,113.99,113.98,113.41,114.74,547164
2018-07-11,114.79,114.81,114.75,116.17,489512
2018-07-12,114.57,114.83,114.57,115.4,286836
2018-07-15,115,114.29,114.25,115.68,468218
2018-07-16,113.97,114.67,113.19,115.13,635952
2018-07-17,114.82,115.22,114.66,115.78,669587
2018-07-18,115.04,116.29,114.71,116.44,556615
2018-07-19,115.51,115.7,115.01,116.55,513926
2018-07-22,115.78,115.83,115.4,116.5,754445
2018-07-23,116.18,116.4,115.5,116.7447,551179
2018-07-24,116.19,116.34,114.7,116.53,779153
2018-07-25,114.75,111.02,109.38,114.75,1790290.0
2018-07-26,110.85,109.35,108.63,111.6599,1065417.0
2018-07-29,109.64,111.13,109.45,111.67,700771
2018-07-30,111.63,112.9,111.47,113.12,959172
2018-07-31,112.99,111.9,111.72,113.44,679689
2018-08-01,110.8,110.79,109.14,110.95,719639
2018-08-02,111.09,111.39,110.2,111.59,428205
2018-08-05,111.05,110.91,110.65,111.88,672834
2018-08-06,111.17,112.2,110.62,112.359,625881
2018-08-07,112.43,110.73,110.58,112.43,433650
2018-08-08,110.82,111.56,110.82,112.6,674256
2018-08-09,111.15,110.56,110.21,111.15,501141
2018-08-12,110.92,110.06,109.58,111.17,499364
2018-08-13,110.36,111.42,110.36,112.04,613658
2018-08-14,110.42,108.48,107.39,110.42,754776
2018-08-15,108.98,110.24,108.46,110.32,702721
2018-08-16,110.28,111.61,110.2,111.95,648391
2018-08-19,112,112.26,111.15,112.2958,675290
2018-08-20,112.23,112.22,112.06,112.65,633151
2018-08-21,112.4,110.74,110.58,112.62,526249
2018-08-22,110.58,110.11,109.77,110.72,636386
2018-08-23,110.68,110.64,109.71,110.81,647572
2018-08-26,111.04,112.66,111,113.46,947692
2018-08-27,112.88,111.57,111.13,113.3,531559
2018-08-28,111.53,112.77,111.37,112.98,607464
2018-08-29,112.2,111.37,110.94,112.51,458351
2018-08-30,110.76,109.92,109.67,111.4311,786805
2018-09-03,109.75,109.25,108.66,110.03,533152
2018-09-04,109.14,111.75,108.88,112,767673
2018-09-05,111.99,111.56,111.01,112.89,585050
2018-09-06,111.32,111.91,110.79,112.07,634346
2018-09-09,112.33,113.2,112.011,113.72,491594
2018-09-10,112.81,112.64,111.51,113.21,662803
2018-09-11,112.75,112.89,112.45,113.3809,638981
2018-09-12,113.01,113.76,112.58,114.27,500377
2018-09-13,113.82,114.46,113.51,115.17,552030
2018-09-16,114.69,115.36,114.69,116.14,565188
2018-09-17,115.81,116.45,115.62,116.86,578020
2018-09-18,117,117.78,116.99,118.44,691667
2018-09-19,118.63,118.16,117.85,118.88,823083
2018-09-20,118.45,116.69,116.05,118.45,1072425.0
2018-09-23,116.1,115.89,114.13,116.3,978683
2018-09-24,116.48,113.03,112.9,116.48,648510
2018-09-25,112.95,111.57,111.05,113.24,824758
2018-09-26,111.83,110.54,110.44,112.3,458748
2018-09-27,110.57,109.69,109.5,111.16,614908
2018-09-30,110.33,109.98,109.33,110.52,701880
2018-10-01,110.3,109.89,109.51,110.62,975321
2018-10-02,110.47,105.94,105.51,110.479,1067486.0
2018-10-03,106.11,106.76,105.75,107.2688,1088425.0
2018-10-04,106.82,105.63,105.46,108.15,916877
2018-10-07,105.01,101.38,100.73,105.6,1133175.0
2018-10-08,98.85,93.14,92.57,98.85,3136647.0
2018-10-09,93,88.95,88.93,93.28,2555214.0
2018-10-10,89,88.36,88.21,90.6,3607634.0
2018-10-11,89.8,88.05,86.98,89.8,1888598.0
2018-10-14,87.68,88.34,87.615,88.65,2104746.0
2018-10-15,89,90.43,88.02,90.82,2136877.0
2018-10-16,90.51,90.91,89.45,90.96,1458054.0
2018-10-17,90.06,89.06,88.09,91.17,1214605.0
2018-10-18,89.22,87.92,87.79,90.14,899220
2018-10-21,88.05,86.78,85.57,88.215,2304260.0
2018-10-22,85.6,87.01,84,87.59,1195934.0
2018-10-23,87.18,83.7,83.54,87.87,1398958.0
2018-10-24,85,89.02,85,92.27,3145842.0
2018-10-25,87.66,90.39,86.23,91.48,1648337.0
2018-10-28,91.41,89.34,87.87,91.92,1638545.0
2018-10-29,89.57,92.96,89.4,93.49,1494197.0
2018-10-30,93.84,91.81,91.7,94.94,1463439.0
2018-10-31,92.82,95.86,92.34,96.25,1115094.0
2018-11-01,96.64,94.9,94.05,96.645,1189075.0
2018-11-04,95.27,96.44,94.5,96.815,880975
2018-11-05,96.03,96.57,96.02,97.85,1218210.0
2018-11-06,97.29,98.67,95.8,98.77,1154269.0
2018-11-07,98.31,97.61,96.7,99.13,963666
2018-11-08,97.27,96,94.88,97.82,664891
2018-11-11,96.07,94.89,94.54,96.07,635612
2018-11-12,95.17,95.44,94.69,96.795,751939
2018-11-13,96.28,95.34,95.1,98.004,639460
2018-11-14,94.11,96.11,93.6,96.49,572639
2018-11-15,95.62,97.05,95.48,97.68,545781
2018-11-18,96.8,96.84,96.01,97.74,743394
2018-11-19,95.81,95.34,93.55,97.26,808318
2018-11-20,95.92,95.77,95.085,96.38,638814
