date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,291.79,296.5,291.69,298,737540
2018-05-29,297.05,300.89,294.02,301.71,775655
2018-05-30,301.37,300.32,297.64,304.87,670845
2018-05-31,301.34,306.88,297.78,311.36,1012723.0
2018-06-03,307.64,312.09,304.96,314.79,1153797.0
2018-06-04,310.14,311.85,306.49,315.38,714446
2018-06-05,312.89,315.13,312.01,315.675,630038
2018-06-06,315.53,308.72,305.28,317.245,829720
2018-06-07,308.22,308.1,303.52,310.62,644261
2018-06-10,308,311.95,306.125,313.93,535499
2018-06-11,311.71,309.53,308.84,312.42,353560
2018-06-12,310.12,308.28,307.634,313.67,465208
2018-06-13,309.94,315.67,307.579,317.82,606885
2018-06-14,316.9,315.3,310.355,320.693,1034215.0
2018-06-17,312.26,315.61,309.71,316.26,622547
2018-06-18,314.63,327.07,312.41,327.56,1096399.0
2018-06-19,327.66,336.93,327.66,338.48,1299974.0
2018-06-20,336.87,329.04,323.67,336.88,1014087.0
2018-06-21,330.05,331.97,326.9,334.525,714858
2018-06-24,328.95,327.11,321.74,332.18,574416
2018-06-25,327.89,327.23,321.77,330.25,655049
2018-06-26,336.69,336.61,333,342.66,1501300.0
2018-06-27,336.63,341.82,332.96,343.34,948399
2018-06-28,343.6,344.99,343.15,349.24,1205708.0
2018-07-01,344.95,351.14,342.58,351.47,872013
2018-07-02,352,353.86,347,355.98,540557
2018-07-04,356.37,360.95,353.5,362.77,954322
2018-07-05,364,369.59,358.805,370.5,1002547.0
2018-07-08,370.3,371.31,366.2,374.84,881422
2018-07-09,371.28,366.27,364.1995,371.32,921426
2018-07-10,365.08,365.21,362.53,366.52,596001
2018-07-11,366.59,366.43,359.338,367.59,698133
2018-07-12,366.3,367.64,364.661,370.14,546191
2018-07-15,368.56,364.75,359.7627,368.56,596403
2018-07-16,364.03,365.43,362.04,366.67,415348
2018-07-17,365.52,365.98,360.72,367.23,456661
2018-07-18,363.64,367.74,362.58,368.195,666955
2018-07-19,367.04,367.11,363.69,368.7995,990227
2018-07-22,367.19,366.21,363.19,368.23,1106530.0
2018-07-23,369.88,372.77,366.21,374.48,846740
2018-07-24,370.98,374.49,369.57,376.11,706758
2018-07-25,376,373.59,369.215,376.75,579255
2018-07-26,373.14,367.6,361.6504,373.66,1093902.0
2018-07-29,365.56,371.51,363.16,375.76,758464
2018-07-30,372.64,368.01,365.44,375,961495
2018-07-31,366.74,371.03,365.82,373.22,675238
2018-08-01,372.48,397,367.515,401.5,2148446.0
2018-08-02,395.18,394.88,390.75,399,1312190.0
2018-08-05,394,390.05,389.52,395.84,769084
2018-08-06,391.29,391.42,388.22,395.32,477683
2018-08-07,380,374.27,367.63,380,1166035.0
2018-08-08,372.77,372.14,363.25,374.41,1000555.0
2018-08-09,371.22,368.78,364.857,371.85,633397
2018-08-12,367,366.45,362.3103,368.57,590453
2018-08-13,367.05,366.23,364.96,369.4,517729
2018-08-14,365,361.87,361.19,369,551110
