date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,189.15,190.93,187.69,191.215,577175
2018-05-29,192.32,193.67,192.19,195.53,464437
2018-05-30,193.47,192.62,191.82,194.55,820769
2018-05-31,194.11,195.2,193.98,195.85,436220
2018-06-03,195.76,194.92,194.62,196.23,552560
2018-06-04,195.21,196.22,194.15,196.77,406768
2018-06-05,196.61,201.6,195.67,202,753952
2018-06-06,201.87,202.99,199.7,203.47,873450
2018-06-07,202.41,205.32,202.35,205.7,521771
2018-06-10,205.4,206.66,204.37,207.44,539136
2018-06-11,206.94,208.95,205.47,209.06,499598
2018-06-12,209.04,209.75,208,210.02,711165
2018-06-13,205.27,200.27,197.7,206,2038783.0
2018-06-14,200,201.25,197.6,201.37,1284038.0
2018-06-17,199.41,198.69,197.12,199.41,780726
2018-06-18,196.52,195.02,193.7,197.3,752231
2018-06-19,195.44,192.94,192.78,195.57,364170
2018-06-20,192.71,192.99,191.48,193.39,677278
2018-06-21,193.9,193.87,192.28,194.58,568057
2018-06-24,193.03,192.35,191,193.03,781385
2018-06-25,192.33,192.12,191.45,192.97,441962
2018-06-26,192.68,192.12,192.11,194.805,711609
2018-06-27,191.57,193.8,190.345,193.94,387350
2018-06-28,194.56,193.59,193.49,195.42,583622
2018-07-01,192.25,193.78,191.52,194.14,382025
2018-07-02,194.74,192.56,192.23,194.74,207772
2018-07-04,193.37,195.11,192.53,195.22,600199
2018-07-05,195.74,196.48,194.63,197.01,372167
2018-07-08,197.08,198.97,196.61,200.25,438327
2018-07-09,198.58,199.92,198.451,200.69,427774
2018-07-10,198.59,196.69,196.38,198.59,425589
2018-07-11,197.86,198.56,196.81,198.66,417762
2018-07-12,198.11,198.09,197.57,199.35,564499
2018-07-15,191.01,193.5,190.73,194.98,715498
2018-07-16,191.95,196.01,190.99,196.55,763809
2018-07-17,196.34,194.26,194.1,196.38,652951
2018-07-18,194.84,197.64,194.475,198.5,512394
2018-07-19,197.53,197.15,197.01,199.32,534369
2018-07-22,198,196.45,196.12,198.52,660087
2018-07-23,194.48,197.77,191.01,202.785,1220999.0
2018-07-24,197.01,196.66,191.72,197.53,944509
2018-07-25,196.78,198.48,196.19,198.89,519695
2018-07-26,198.29,195.18,192.09,198.29,681298
2018-07-29,194.9,192.83,192.61,194.92,420175
2018-07-30,193.58,197.27,193.08,197.83,784533
2018-07-31,196.4,194.84,194.06,197.64,339249
2018-08-01,194.01,194.92,193.51,195.1,380580
2018-08-02,195.25,193.98,192.28,195.67,293980
2018-08-05,193.73,195.61,193.1864,197.45,431084
2018-08-06,195.94,196.52,194.675,196.84,518169
2018-08-07,196.49,194.66,194.54,196.825,293680
2018-08-08,194.4,191.95,191.77,194.54,424249
2018-08-09,191.27,189.99,189.14,191.88,328002
2018-08-12,190.17,187.32,186.68,190.17,583003
2018-08-13,187.6,188.34,186.76,189.02,480848
2018-08-14,187.74,186.44,184.81,187.74,410346
2018-08-15,187.71,187.92,187.02,188.87,491412
2018-08-16,187.79,187.55,186.04,188.02,356113
2018-08-19,187.44,187.53,186.89,188.6,414323
2018-08-20,187.5,187.43,186.98,188.79,509787
2018-08-21,187.4,188.29,186.46,188.59,390486
2018-08-22,188.45,187.67,186.88,189.39,459297
2018-08-23,188.49,189.36,187.65,189.86,378908
2018-08-26,190.35,190.98,189.62,191.37,450590
2018-08-27,191.87,191.5,190.09,192.21,367442
2018-08-28,191.36,190.21,190.09,192.59,386235
2018-08-29,190.46,190.06,189.07,191.285,335442
2018-08-30,189.55,189.48,188.34,190.21,435138
2018-09-03,188.43,188.26,186.76,189.33,519416
2018-09-04,188.49,189.3,187.61,190,473003
2018-09-05,189.08,191.73,188.66,192.84,546627
2018-09-06,191.36,192.49,191.175,193.82,430742
2018-09-09,193.46,192.89,192.68,194.76,349575
2018-09-10,192.64,193.84,191.43,194.45,425499
2018-09-11,193.74,193.15,190.83,194.39,678375
2018-09-12,193.82,195.75,192.735,196.05,539682
2018-09-13,195.95,196.17,195.04,199.66,559546
2018-09-16,195.95,195.09,194.33,196.32,531924
2018-09-17,195.49,195.73,193.79,195.85,493541
2018-09-18,195.87,196.67,195.34,198.56,406603
2018-09-19,197.71,197.29,197.03,198.81,630682
2018-09-20,197.96,196.76,196.49,198.725,791162
2018-09-23,197.08,196.59,194.99,197.08,417601
2018-09-24,197.41,196.16,196.02,198.58,365613
2018-09-25,196.51,195.23,194.8,196.65,336813
2018-09-26,195.85,195.36,194.35,196.33,302888
2018-09-27,194.83,194.68,194.24,195.77,429325
2018-09-30,195.76,194,193.19,195.975,505689
2018-10-01,193.69,193.97,192.37,194.18,494329
2018-10-02,194.36,193.46,193.33,194.8,292959
2018-10-03,192.96,191.33,190.3,193.13,494086
2018-10-04,191.74,190.71,189.25,192.94,595260
2018-10-07,186.53,182.95,181.27,189.05,1032163.0
2018-10-08,181.66,181.5,180.92,182.76,739259
2018-10-09,181.21,177.48,177.25,182.59,736179
2018-10-10,179.5,178.32,177.92,182.96,1223899.0
2018-10-11,180.69,181.8,178.98,182.51,728585
2018-10-14,180.94,181.93,179.98,184.19,596861
2018-10-15,183.4,188.12,182.86,188.25,550796
2018-10-16,187.75,188.98,185.54,189.63,485740
2018-10-17,189.4,187.72,185.44,190.38,655888
2018-10-18,188.88,185.42,184.65,188.88,738666
2018-10-21,185.48,186.08,183.375,186.87,735904
2018-10-22,171,181.22,167.935,186.12,2671713.0
2018-10-23,181.26,175.4,175.25,182.93,1223764.0
2018-10-24,176.62,183.64,176,185.71,825103
2018-10-25,181.31,182.69,179.755,186.59,1061713.0
2018-10-28,184.87,183.66,181.25,186.51,831191
2018-10-29,184.39,188.82,183.38,189.22,712823
2018-10-30,190.28,189.69,189.35,192.86,709950
2018-10-31,190.1,193.39,189.31,193.92,545655
2018-11-01,194.88,193.65,191.75,195.55,529515
2018-11-04,193.97,195.88,193.73,197.13,548609
2018-11-05,195.9,197.03,195.63,198.17,411080
2018-11-06,196.85,198.16,195.98,199.25,579564
2018-11-07,197.53,199.94,197.53,201.22,390583
2018-11-08,199.62,199.44,197,200.56,374310
2018-11-11,198.56,195.71,195.18,198.74,446130
2018-11-12,196.04,195.89,195.42,199.44,379205
2018-11-13,197.16,195.24,194.72,198.74,523928
2018-11-14,193.91,198.07,193.91,199.18,475720
2018-11-15,197.97,199.57,196.965,202.13,500151
2018-11-18,198.83,197.77,197.04,200.61,495686
2018-11-19,196.51,196.08,195.13,198.115,518594
2018-11-20,197.22,195.76,195.68,197.95,562278
2018-11-22,194.21,196.66,193.26,198.18,227191
2018-11-25,198.78,198.7,198.07,199.73,476847
2018-11-26,197.53,198.94,196.205,199.42,506638
2018-11-27,199.35,202.22,199.35,202.5,761515
2018-11-28,201.58,203.49,201.27,204.64,933849
2018-11-29,198.34,198.58,195.17,199.67,1044193.0
2018-12-02,199.61,201.51,199.61,202.04,677445
2018-12-03,202.01,195.45,195.045,202.65,661306
2018-12-05,191.98,193.88,190.815,194.92,794616
2018-12-06,193.19,188.94,187.86,195.18,593354
2018-12-09,189.08,189.54,185.06,190.05,563031
2018-12-10,190.98,189.79,189.425,191.98,522551
2018-12-11,188.87,190.44,185.02,192.21,601212
2018-12-12,191.07,191.19,190.1001,192.07,350988
2018-12-13,189.53,188.97,188.28,191.26,468301
2018-12-16,188.58,184.58,183.59,190.68,700799
2018-12-17,185.89,184.29,182.76,187.01,544800
2018-12-18,184.59,182.31,179.98,187.49,703829
2018-12-19,181.78,177.81,176.925,182.24,494341
2018-12-20,177.7,176.56,175.9,182.26,1126602.0
