epoch,accuracy,num_predictions
0,50.41,4943
1,57.3,1665
2,59.15,1339
3,57.43,2598
4,55.35,5622
5,54.76,7970
6,54.62,9443
7,54.74,10460
8,55.06,11413
9,55.49,12571
10,55.76,13532
11,56.28,13999
12,56.67,14727
13,56.78,17394
14,56.56,21189
15,55.11,29922
16,55.08,33260
17,55.81,34338
18,56.6,35335
19,55.51,43950
20,55.91,43990
21,56.26,41916
22,55.84,45812
23,55.42,49115
24,55.8,47280
25,55.4,50650
26,55.47,50810
27,55.57,50518
28,55.53,52014
29,55.52,52629
30,55.57,52909
31,55.63,53203
32,55.53,54018
33,55.48,55108
34,55.56,55054
35,55.59,55327
36,55.62,55948
37,55.73,55775
38,55.59,56712
39,55.61,56629
40,55.57,58074
41,55.67,57585
42,55.69,57861
43,55.63,58622
44,55.6,59306
45,55.61,59701
46,55.67,59593
47,55.56,60422
48,55.5,61195
49,55.54,61302
