date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,9.84,9.52,9.36,9.84,141222.75
2014-01-02,9.52,9.76,9.48,9.84,181744
2014-01-05,9.84,9.64,9.6,9.8796,130008.25
2014-01-06,9.72,9.52,9.42,9.96,293472.25
2014-01-07,9.52,9.52,9.44,9.68,121913
2014-01-08,9.72,9.88,9.6816,10.04,689978.5
2014-01-09,9.92,9.2,9.12,9.96,512830
2014-01-12,9.24,9.2,9.12,9.4,204135.5
2014-01-13,9.24,9.4,9.12,9.4,136914.5
2014-01-14,9.48,9.36,9.32,9.48,104938.75
2014-01-15,9.36,9.48,9.1996,9.6,397644.5
2014-01-16,9.36,9.48,9.32,9.96,698690.25
2014-01-20,9.6,9.8,9.58,9.84,138868.25
2014-01-21,9.84,10,9.8,10.32,297301
2014-01-22,10,10.04,9.8,10.2,158176
2014-01-23,10,9.6,9.44,10.08,207177.25
2014-01-26,9.56,9.32,8.96,9.56,283868.5
2014-01-27,9.28,9.24,9.08,9.32,337594.75
2014-01-28,9.16,9.16,9.0804,9.28,262511
2014-01-29,9.16,9.6,9.16,9.68,350668
2014-01-30,9.4,9.68,9.32,9.8092,224651.75
2014-02-02,9.44,9.28,9.04,9.68,288843.25
2014-02-03,9.12,9.64,9.0004,9.68,497454.75
2014-02-04,8.88,8.84,8.6,9.2344,598734.75
2014-02-05,8.8,8.72,8.44,8.84,358078.25
2014-02-06,8.72,8.52,8.4,8.76,266034.25
2014-02-09,8.52,8.8,8.4,8.84,244268.25
2014-02-10,8.72,8.6,8.36,8.72,297571.75
2014-02-11,8.52,8.6,8.32,8.76,123127.75
2014-02-12,8.6,8.72,8.56,8.72,124339
2014-02-13,8.72,8.74,8.56,8.88,203252.25
2014-02-17,8.64,8.76,8.6,8.76,111166.75
2014-02-18,8.68,8.8,8.68,8.88,125996.5
2014-02-19,8.84,9.04,8.74,9.16,80142.75
2014-02-20,9.12,8.92,8.8,9.16,155066.5
2014-02-23,9,9.08,8.88,9.08,105695
2014-02-24,9.08,9.08,8.96,9.12,80151.5
2014-02-25,9.04,9.04,8.8404,9.52,170408.25
2014-02-26,9,9.12,9,9.24,98079.25
2014-02-27,9.16,8.92,8.84,9.2,91091.75
2014-03-02,8.8,8.8,8.56,8.88,100655.75
2014-03-03,8.92,9.2,8.92,9.28,202723
2014-03-04,9.12,9.08,8.88,9.18,107576.25
2014-03-05,9.08,8.96,8.92,9.28,127459.25
2014-03-06,9.08,9,8.88,9.12,95156.75
2014-03-09,8.92,9.04,8.88,9.08,71907
2014-03-10,9.24,9.48,9.2,9.68,421069.5
2014-03-11,9.4,9.52,9.24,9.56,125448.25
2014-03-12,9.56,9.4,9.36,9.56,120876.75
2014-03-13,9.32,9.28,9.2,9.4,101482.75
2014-03-16,9.36,9.44,9.2,9.48,143315.75
2014-03-17,9.44,9.6,9.4,9.6,88246.75
2014-03-18,9.56,9.4,9.24,9.6,140291
2014-03-19,9.32,9.32,9.24,9.48,68585.25
2014-03-20,9.4,9.24,9.16,9.48,218739.75
2014-03-23,9.2,9.16,9,9.36,113735.75
2014-03-24,9.2,9.12,8.92,9.4,111623
2014-03-25,9.24,8.8,8.8,9.28,202411.5
2014-03-26,8.76,8.6,8.44,8.8,264739
2014-03-27,8.56,8.44,8.4,8.64,169576.75
2014-03-30,8.44,8.6,8.4,8.64,90370.25
2014-03-31,8.56,9,8.48,9,96896.75
2014-04-01,8.92,8.96,8.64,8.96,101225.75
2014-04-02,8.88,8.72,8.66,9,88814.75
