date,open_price,close_price,lowest_price,highest_price,volume
2016-10-10,9.82,9.86,9.82,9.97,7740076.0
2016-10-11,9.9,10,9.9,10.02,495717
2016-10-12,10,10,10,10.036,154859
2016-10-13,10,10.03,10,10.03,6886
2016-10-16,10,10,10,10.03,7715
2016-10-17,10.03,10,10,10.1,15817
2016-10-18,10,10.015,10,10.015,101312
2016-10-19,9.98,10.05,9.98,10.41,86415
2016-10-20,10.05,10.13,10,10.13,67986
2016-10-23,10.011,10.07,10.011,10.07,401
2016-10-24,10.1,10.1,10.04,10.1,1008
2016-10-25,10.09,10,10,10.09,600
2016-10-26,10,10.1,10,10.1,5804
2016-10-27,10.1,10.09,10,10.1,8885
2016-10-30,10,10.01,10,10.05,134452
2016-10-31,10.08,10.05,10,10.08,2200
2016-11-01,10.011,10,10,10.0271,14500
2016-11-02,10.077,10,10,10.08,4884
2016-11-03,10,10,10,10,822
2016-11-06,10,10,10,10,1000
2016-11-07,10,10.05,10,10.06,9475
2016-11-09,10.04,10.0523,10.03,10.0523,1400
2016-11-10,9.9799,10,9.9799,10.1,5275
2016-11-14,10.0402,10.085,10.0402,10.1,3576
2016-11-15,10,10,10,10.0483,5794
2016-11-16,9.92,10,9.52,10.046,13175
2016-11-20,10,10,10,10.01,86000
2016-11-21,10,10.017,10,10.017,15360
2016-11-22,10,10.1,10,10.1,9297
2016-11-24,10.02,10.15,10,10.15,1636
2016-11-27,9.9,10.25,9.9,10.27,19749
2016-12-01,10.02,10.2,9.92,10.2,32902
2016-12-07,10.15,10.2,10.15,10.2,9320
2016-12-18,10.11,10.15,10.11,10.15,600
2016-12-29,10.17,10.125,10.05,10.17,1076
2017-01-03,10.1,10.1,10.1,10.1,1200
2017-01-04,10.2,10.25,10.15,10.25,29689
2017-01-10,10.2,10.2499,10.2,10.2499,2200
2017-01-11,10.2,10.2,10.2,10.2,200
2017-01-12,10.2001,10.25,10.2,10.25,1694
2017-01-17,10.2,10.35,10.1,10.35,80356
2017-01-18,10.35,10.4,10.35,10.4,10800
2017-01-19,10.39,10.38,10.35,10.39,84100
2017-01-22,10.38,10.4,10.38,10.4,39156
2017-01-25,10.02,10.3,10.02,10.3,460
2017-01-26,10.15,10.4,10.15,10.4,12678
2017-01-29,10.3847,10.37,10.06,10.3847,1640
2017-01-30,10.15,10.26,10.15,10.39,103210
2017-01-31,10.3114,10.3114,10.3114,10.3114,304
2017-02-06,10.33,10.38,10.33,10.38,74259
2017-02-08,10.22,10.37,10.2,10.38,2106
2017-02-12,10.35,10.3501,10.15,10.45,24202
2017-02-13,10.4406,10.4499,10.4406,10.4499,600
2017-02-14,10.13,10.25,10.13,10.4495,2344
2017-02-15,10.2501,10.26,10.2501,10.26,2644
2017-02-20,10.2,10.25,10.2,10.45,5550
2017-02-21,10.14,10.22,10.07,10.45,10428
2017-02-22,10.39,10.39,10.38,10.39,2700
2017-03-01,10.18,10.35,10.15,10.35,5138
2017-03-05,10.25,10.3,10.24,10.3,10700
2017-03-06,10.25,10.25,10.25,10.25,2800
2017-03-08,10.36,10.33,10.12,10.36,1174
2017-03-12,10.15,10.39,10.15,10.39,530
2017-03-13,10.38,10.4,10.38,10.4,703
2017-03-16,10.21,10.4,10.13,10.4,54910
2017-03-20,10.2,10.39,10.2,10.4,11989
2017-03-21,10.4,10.425,10.4,10.45,21900
2017-03-22,10.0661,10.4,10.0661,10.4,1121
2017-03-23,10.35,10.36,10.3,10.37,79494
2017-03-26,10.18,10.37,10.17,10.37,712
2017-03-27,10.2,10.4,10.2,10.51,72248
2017-03-28,10.32,10.2,10.16,10.32,50700
2017-04-02,10.31,10.28,10.28,10.31,1338
2017-04-03,10.1667,10.1667,10.1667,10.1667,100
2017-04-04,10.13,10.16,10.1,10.28,36735
2017-04-05,10.15,10.2,10.12,10.21,846229
2017-04-06,10.17,10.2,10.17,10.2,200
2017-04-09,10.3,10.25,10.22,10.3,17266
2017-04-11,10.23,10.23,10.23,10.23,200
2017-04-16,10.33,10.33,10.33,10.33,100
2017-04-18,10.15,10.37,10.12,10.4,3882
2017-04-24,10.23,10.345,10.22,10.35,13182
2017-04-27,10.22,10.26,10.22,10.26,3099
2017-05-01,10.35,10.2,10.2,10.35,2606
2017-05-02,10.297,10.2992,10.297,10.2992,200
2017-05-03,10.15,10.24,10.07,10.24,772
2017-05-07,10.2499,10.2,10.17,10.25,3165
2017-05-08,10.15,10.21,10.15,10.25,4045
2017-05-09,10.28,10.33,10.26,10.38,5229
2017-05-10,10.22,10.4,10.2,10.4,3900
2017-05-11,10.275,10.32,10.2,10.35,10005
2017-05-15,10.2,10.27,10.2,10.27,1200
2017-05-16,10.3,10.3,10.3,10.3,172
2017-05-17,10.24,10.3,10.2,10.3,2800
2017-05-22,10.2,10.3,10.2,10.32,33775
2017-05-23,10.2,10.26,10.2,10.2944,890
2017-05-24,10.24,10.29,10.21,10.29,600
2017-05-25,10.32,10.2975,10.2975,10.32,1128
2017-05-29,10.3,10.3,10.3,10.3096,6510
2017-05-30,10.2,10.2,10.2,10.3,910
2017-06-05,10.2,10.3,10.2,10.3,700
2017-06-06,10.28,10.32,10.21,10.32,2115
2017-06-08,10.21,10.3,10.2,10.31,815
2017-06-12,10.2,10.2952,10.2,10.2952,1790
2017-06-13,10.2,10.2999,10.2,10.2999,1144
2017-06-14,10.2,10.3,10.2,10.3,3428
2017-06-20,10.3,10.35,10.28,10.35,53918
2017-06-21,10.3,10.22,10.22,10.3,1000
2017-06-25,10.23,10.25,10.2,10.25,2814
2017-06-26,10.32,10.4,10.32,10.44,38266
2017-06-27,10.39,10.39,10.39,10.4,1600
2017-07-02,10.22,10.3,10.2,10.3,602
2017-07-04,10.38,10.4,10.38,10.4,808
2017-07-05,10.34,10.34,10.34,10.34,25000
2017-07-06,10.22,10.37,10.22,10.37,454
2017-07-13,10.34,10.38,10.09,10.38,334
2017-07-16,10.25,10.35,10.23,10.35,1846
2017-07-17,10.24,10.36,10.24,10.36,840
2017-07-18,10.4,10.4,10.4,10.4,181
2017-07-19,10.4,10.4,10.4,10.4,100
2017-07-20,10.4,10.4,10.4,10.4,100
2017-07-23,10.37,10.37,10.37,10.37,100
2017-07-24,10.22,10.36,10.2,10.36,786
2017-07-25,10.39,10.39,10.39,10.39,200
2017-07-26,10.2,10.37,10.2,10.37,492
2017-07-27,10.1,10.34,10.05,10.4,11788
2017-07-30,10.22,10.35,10.21,10.39,24551
2017-07-31,10.22,10.35,10.22,10.38,340
2017-08-01,10.397,10.4,10.23,10.4,12638
2017-08-02,10.32,10.345,10.245,10.36,1308
2017-08-03,10.25,10.36,10.25,10.36,526
2017-08-06,10.26,10.35,10.25,10.36,1076
2017-08-07,10.3523,10.32,10.2,10.3523,1158
2017-08-08,10.27,10.315,10.2,10.315,300
2017-08-10,10.22,10.26,10.21,10.37,952
2017-08-13,10.21,10.26,10.17,10.26,2214
2017-08-15,10.24,10.24,10.24,10.24,200
2017-08-16,10.27,10.27,10.27,10.27,420
2017-08-17,10.29,10.29,10.28,10.29,900
2017-08-20,10.4,10.4,10.4,10.45,197958
2017-08-21,10.35,10.3856,10.35,10.3996,2272
2017-08-27,10.357,10.35,10.35,10.357,800
2017-08-28,10.33,10.3579,10.33,10.3579,1200
2017-08-29,10.38,10.37,10.37,10.38,2220
2017-08-30,10.33,10.35,10.33,10.3521,5900
2017-08-31,10.35,10.35,10.35,10.35,200
2017-09-05,10.34,10.35,10.34,10.3538,5200
2017-09-06,10.32,10.32,10.32,10.34,2566
2017-09-07,10.32,10.35,10.32,10.37,181729
2017-09-10,10.35,10.35,10.35,10.35,579
2017-09-14,10.36,10.35,10.35,10.36,2100
2017-09-17,10.35,10.35,10.35,10.35,100
2017-09-18,10.3501,10.3508,10.35,10.353,1200
2017-09-19,10.35,10.3689,10.35,10.3689,1100
2017-09-20,10.37,10.35,10.2,10.37,13500
2017-09-21,10.35,10.32,10.32,10.35,200
2017-09-24,10.34,10.34,10.34,10.34,100
2017-09-25,10.32,10.32,10.32,10.32,100
2017-09-26,10.34,10.34,10.34,10.34,100
2017-09-27,10.34,10.34,10.34,10.34,200
