date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,73.5,70.65,62.4,73.65,125034.8667
2014-01-02,72.15,69.45,67.65,72.15,44953.7333
2014-01-05,69.45,65.7,63.9,71.25,43809.1333
2014-01-06,65.7,65.85,65.7,67.65,29881.8667
2014-01-07,64.95,61.65,59.4,65.85,40175.6667
2014-01-08,61.35,66,60.306,66.3,23975.2667
2014-01-09,66,66.15,63.6,67.35,25790.9333
2014-01-12,66.45,68.4,65.25,72,72737.2667
2014-01-13,69.15,74.25,69,77.85,90048.8
2014-01-14,74.4,76.65,74.1,79.5,78926.2667
2014-01-15,76.35,70.8,69.9,77.7,38958.9333
2014-01-16,71.25,71.7,69.3,73.2,21406.3333
2014-01-20,73.95,76.95,71.1,82.05,52015.2
2014-01-21,76.65,77.4,75.75,80.25,36652.3333
2014-01-22,77.4,74.1,70.794,78.315,35206.2667
2014-01-23,72.75,67.65,66.9,72.75,38088.8
2014-01-26,67.05,64.95,63,70.0485,29054.4
2014-01-27,64.05,66,63.6,68.1,28475.8
2014-01-28,66,62.7,61.8,69.3,44098.6667
2014-01-29,62.55,66.15,62.55,67.5,30924.8667
2014-01-30,64.65,63.45,63,66.12,24487.2
2014-02-02,62.7,58.95,57.15,63.75,33530.3333
2014-02-03,60,55.65,54.75,60.6,25135.4667
2014-02-04,55.35,53.25,51.45,55.65,31400.8667
2014-02-05,53.7,51.45,50.7,55.65,32250.2667
2014-02-06,51.6,52.5,50.4,53.4,16577.6
2014-02-09,51,51.6,50.25,52.95,24837.6
2014-02-10,51.9,50.1,49.8,53.7,22158.5333
2014-02-11,50.7,49.65,49.5,52.05,10255.6667
2014-02-12,49.65,53.4,49.3545,57.75,39876.9333
2014-02-13,53.85,53.85,53.4,57.132,24821.4667
2014-02-17,55.05,57.75,53.55,58.2,28862.4
2014-02-18,57.75,53.85,53.55,57.75,28793.4
2014-02-19,54.3,55.35,53.85,55.8,12753.2667
2014-02-20,55.8,52.5,51.75,55.95,25854.8667
2014-02-23,55.5,54.75,53.4,57,37235.0667
2014-02-24,55.95,54,52.5,56.85,30692.0667
2014-02-25,60,68.25,58.2,69.9825,165602.0667
2014-02-26,67.05,71.85,63.9,72.75,75181.8
2014-02-27,70.95,68.55,67.8,73.2,43887.6
2014-03-02,64.95,72,64.95,73.5,50803.7333
2014-03-03,72.9,75.75,72.9,77.55,68928.7333
2014-03-04,76.2,74.25,72.45,78.75,49195.1333
2014-03-05,74.1,72.75,71.7,75.24,37258.8667
2014-03-06,73.95,67.8,65.4,73.95,72045.2667
