date,open_price,close_price,lowest_price,highest_price,volume
2017-05-11,7.45,7.85,7.25,7.91,631989
2017-05-14,7.85,7.76,7.58,7.98,63076
2017-05-15,7.75,7.75,7.7,7.89,34823
2017-05-16,7.8,7.8,7.7223,7.85,55088
2017-05-17,7.84,7.78,7.75,7.95,32131
2017-05-18,7.8,7.57,7.57,7.899,25134
2017-05-21,7.75,7.91,7.68,8,61834
2017-05-22,7.99,7.9001,7.9,8.05,22928
2017-05-23,8.06,8.04,7.9454,8.1,24204
2017-05-24,8.05,8.14,8,8.14,10858
2017-05-25,8.14,8.07,8,8.19,12421
2017-05-29,8.09,8.04,8,8.12,8303
2017-05-30,7.96,7.92,7.85,8.11,22718
2017-05-31,7.86,8.06,7.86,8.07,7674
2017-06-01,7.96,8.19,7.7,8.19,66589
2017-06-04,8.2,8.14,8.1,8.2,15071
2017-06-05,8.19,8.14,8,8.25,33612
2017-06-06,8.2,8.15,7.96,8.2,5304
2017-06-07,8.05,8.15,7.95,8.25,5714
2017-06-08,8.2,8.15,8,8.25,24709
2017-06-11,8.25,8.38,8.2,8.38,20774
2017-06-12,8.26,8.4,8.169,8.5,21568
2017-06-13,8.42,8.39,8.21,8.5,17149
2017-06-14,7.7401,8.38,7.73,8.39,11445
2017-06-15,8.35,8.08,7.94,9.56,93371
2017-06-18,8.09,8.36,8.09,8.44,11148
2017-06-19,8.28,8.34,8.025,8.46,21388
2017-06-20,8.32,8.32,8.2,8.51,32959
2017-06-21,8.44,8.2,8.2,8.45,9635
2017-06-22,8.19,8.35,7.915,8.39,33975
2017-06-25,8.38,8.28,8.12,8.38,20190
2017-06-26,8.16,8.2,8.16,8.25,7617
2017-06-27,8.33,8.18,8.03,8.33,2736
2017-06-28,8.11,8.12,8.01,8.18,2066
2017-06-29,8.29,8.15,8.09,8.29,5010
2017-07-02,8.08,8.23,8.08,8.23,616
2017-07-04,8.14,8.35,8.14,8.35,6735
2017-07-05,8,8.29,8,8.35,1974
2017-07-06,8.0101,8.2,8.0101,8.2,2523
2017-07-09,8.03,8.01,8.01,8.2471,3850
2017-07-10,8.02,8,8,8.14,5631
2017-07-11,8.06,8.1,8,8.1,10344
2017-07-12,8,8.05,7.97,8.1,33467
2017-07-13,8,7.89,7.8,8.02,3835
2017-07-16,7.82,7.94,7.607,7.94,10620
2017-07-17,7.9,7.98,7.85,7.98,1479
2017-07-18,7.98,7.94,7.9,7.98,8731
2017-07-19,7.912,7.93,7.81,7.93,6645
2017-07-20,7.93,7.75,7.74,8,11475
2017-07-23,7.86,7.88,7.85,7.88,11497
2017-07-24,7.86,7.76,7.76,7.86,7855
2017-07-25,7.85,7.82,7.6491,7.905,18369
2017-07-26,7.76,7.58,7.58,7.94,853
2017-07-27,7.82,7.74,7.72,7.82,1127
2017-07-30,7.79,7.79,7.49,7.9,23233
2017-07-31,7.78,7.61,7.55,7.8,6796
2017-08-01,7.67,7.98,7.61,7.98,16007
2017-08-02,7.9621,7.92,7.845,8.02,22239
2017-08-03,8,7.93,7.93,8.04,28794
2017-08-06,8.01,7.78,7.78,8.0199,1869
2017-08-07,7.95,7.99,7.745,7.99,2420
2017-08-08,7.99,7.98,7.65,8,3073
2017-08-09,8.14,8.4,7.6,8.4,18657
2017-08-10,8,7.84,7.75,8.34,51145
2017-08-13,7.94,8.33,7.75,8.33,11532
2017-08-14,7.95,8.17,7.75,8.19,6690
2017-08-15,8,7.8,7.8,8.21,1011
2017-08-16,7.74,7.99,7.74,8.02,2241
2017-08-17,7.75,7.99,7.69,7.99,4178
2017-08-20,8.1,8.39,8.0301,8.39,12663
2017-08-21,8.4,8.34,7.34,9.27,64559
2017-08-22,8.32,8.2,7.85,8.96,43929
2017-08-23,8.05,8.26,8.05,8.67,30838
2017-08-24,8.205,8.33,7.81,8.58,36361
2017-08-27,8.32,8.1,7.23,8.55,53210
2017-08-28,8.06,8.1,7.945,8.3,23448
2017-08-29,8.16,8.27,7.92,8.32,37690
2017-08-30,8.2,8.15,8,8.2,13304
2017-08-31,8.15,8.03,8.01,8.1998,3064
2017-09-04,8.05,8.37,7.865,8.37,23477
2017-09-05,8.47,8.22,8.115,8.47,3582
2017-09-06,8.13,8.08,8.08,8.25,10737
2017-09-07,8.05,7.91,7.91,8.09,8750
2017-09-10,7.91,7.99,7.8701,8.12,12629
