date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,22.4,22.17,21.11,22.41,452575
2014-01-02,22.19,22.72,22.03,23.0728,320364
2014-01-05,23.05,24.26,22.62,24.659,1033836.0
2014-01-06,24.5,24.29,24.0501,25.58,611441
2014-01-07,24.29,24.08,23.91,24.74,553026
2014-01-08,24.23,24.21,23.91,24.552,486021
2014-01-09,24.19,24.43,23.63,24.4949,700931
2014-01-12,24.49,23.54,23.01,24.509,640197
2014-01-13,23.75,25.55,23.2501,25.59,634924
2014-01-14,25.62,25.66,25.31,26.1,540273
2014-01-15,25.7,25.86,25.4,26.05,346319
2014-01-16,25.89,25.66,25.44,26.07,264007
2014-01-20,25.88,25.7,25.5,26.04,343002
2014-01-21,25.84,25.76,25.5,26.47,359783
2014-01-22,25.64,25.43,24.9107,25.71,364374
2014-01-23,25.19,24.29,23.41,25.3861,714209
2014-01-26,24.28,23.72,22.52,25.34,1155416.0
2014-01-27,23.72,24.09,23.51,24.3,423321
2014-01-28,25.82,25.85,24.22,26.87,1574268.0
2014-01-29,25.25,26.27,25.25,26.98,852569
2014-01-30,25.77,25.89,25.4501,26.28,510249
2014-02-02,25.87,24.14,23.89,25.89,571818
2014-02-03,24.28,24.02,23.81,24.6999,385353
2014-02-04,23.81,24.17,23.46,24.4,285597
2014-02-05,24.32,23.98,23.83,24.77,406432
2014-02-06,24.1,24.21,24,24.55,351847
2014-02-09,24.07,24.05,23.8,24.29,241849
2014-02-10,24.18,24.63,24.18,24.95,493837
2014-02-11,24.72,24.39,24.23,25.199,341018
2014-02-12,24.11,24.89,24.01,25.22,385139
2014-02-13,24.79,24.64,24.61,25.04,280376
2014-02-17,25.05,25.7,24.6399,25.87,535331
2014-02-18,25.58,24.95,24.91,25.7686,284472
2014-02-19,24.94,25.77,24.94,26,482734
2014-02-20,25.89,25.31,25.07,25.9996,353826
2014-02-23,25.34,26.24,25.34,26.68,640368
2014-02-24,26.14,25.8,25.6508,26.17,237961
2014-02-25,25.8,26,25.8,26.66,329035
2014-02-26,26.19,25.9,25.65,26.63,344016
2014-02-27,25.9,25.1,24.87,25.985,301408
2014-03-02,24.73,25.16,24.501,25.34,310591
2014-03-03,25.5,26.42,25.5,26.6,352930
2014-03-04,26.39,26.75,26.01,27.15,336382
2014-03-05,26.91,26.7,26.6,27.705,473172
2014-03-06,26.95,26.51,25.719,26.95,261050
2014-03-09,26.41,26.3,26.02,26.9399,263057
2014-03-10,26.36,25.91,25.63,26.809,289776
2014-03-11,25.71,26.33,25.15,26.38,273470
2014-03-12,26.54,25.93,25.66,26.55,294931
2014-03-13,25.92,26.08,25.8401,26.3,236441
2014-03-16,26.3,26.35,26.07,26.6725,222532
2014-03-17,26.34,26.94,26.25,27.12,221221
2014-03-18,26.89,27.02,26.55,27.4,228792
2014-03-19,27.01,26.25,26.09,27.28,273707
2014-03-20,26.4,26.15,25.9,26.619,269496
2014-03-23,26.18,24.86,24.76,26.29,448453
2014-03-24,25.06,25.07,24.84,25.72,218918
2014-03-25,25.31,24.54,24.52,25.31,320953
2014-03-26,24.5,24.34,24.0401,25,278375
2014-03-27,24.36,24.5,24.3,25.29,246754
2014-03-30,24.7,25.8,24.61,26.08,396951
2014-03-31,25.98,26.59,25.8,26.92,347120
2014-04-01,26.74,26.23,26.09,26.95,272862
2014-04-02,26.25,25.81,25.5501,26.44,154879
2014-04-03,26.03,24.66,24.52,26.2049,308255
2014-04-06,24.55,24.48,24.01,24.89,249433
2014-04-07,24.42,24.2,24.1,24.68,263811
2014-04-08,24.18,25.59,24.14,25.73,304643
2014-04-09,25.51,24.35,24.0355,25.939,346463
2014-04-10,23.96,23.16,23.11,24.43,699751
2014-04-13,23.46,23.32,23.02,24.36,417412
2014-04-14,23.38,22.53,21.54,23.78,790474
2014-04-15,22.73,23.75,22.37,23.79,407266
2014-04-16,23.6,24.26,23.39,24.6,334066
2014-04-20,24.23,24.7,23.97,24.74,226161
2014-04-21,24.73,24.39,24.28,24.73,271918
2014-04-22,25.51,26.08,24.32,26.24,688285
2014-04-23,26.43,25.86,25.6801,26.5,376156
2014-04-24,25.68,24.96,24.92,25.88,384410
2014-04-27,25.13,25.04,24.4,25.53,223192
2014-04-28,25.14,24.9,24.61,25.44,206379
2014-04-29,24.73,24.83,24.11,24.8999,388065
2014-04-30,24.71,24.6,24.4,25.1,334128
2014-05-01,24.67,24.34,24.2501,24.6996,353882
2014-05-04,24.13,24.67,24.087,24.7799,243627
2014-05-05,24.45,24.55,24.45,25.12,245935
2014-05-06,24.54,24.07,23.76,24.9775,381864
2014-05-07,23.98,23.62,23.53,24.6,246949
2014-05-08,23.48,24.03,23.4,24.21,178663
2014-05-11,24.04,24.89,23.892,25.13,242202
2014-05-12,24.86,24.98,24.63,25.08,391264
2014-05-13,24.87,24.71,24.6,25.125,338218
2014-05-14,24.5,24.49,24.13,24.58,266412
2014-05-15,24.47,24.44,23.69,24.56,272579
2014-05-18,24.4,24.44,24.031,24.804,233907
2014-05-19,24.29,23.65,23.46,24.32,322669
2014-05-20,23.82,23.71,23.569,24.26,185823
2014-05-21,23.81,23.96,23.65,24.3,158547
2014-05-22,23.96,24.14,23.69,24.23,170605
2014-05-26,24.3,24.79,24.15,24.86,225253
2014-05-27,24.68,24.72,24.5,24.99,160549
2014-05-28,24.77,24.84,24.45,24.92,163450
2014-05-29,24.87,24.65,24.37,24.87,208264
2014-06-01,24.67,23.96,23.87,24.87,136882
2014-06-02,23.83,23.87,23.76,24.085,173947
2014-06-03,23.77,23.71,23.4,24.18,191503
2014-06-04,23.88,24.5,23.42,24.51,245193
2014-06-05,24.71,24.94,24.49,25.07,413026
2014-06-08,25.08,25.04,24.98,25.5,246382
2014-06-09,24.98,25.22,24.571,25.23,142565
2014-06-10,24.92,25.27,24.92,25.4,169784
2014-06-11,25.16,25.28,24.9,25.46,151908
2014-06-12,25.27,25.05,24.98,25.42,205451
2014-06-15,25,25.77,25,25.81,138406
2014-06-16,25.68,25.815,25.47,25.89,195366
2014-06-17,25.82,26.2,25.6537,26.23,155835
2014-06-18,26.29,25.85,25.69,26.29,118403
2014-06-19,25.99,25.66,25.37,25.99,395970
2014-06-22,25.74,24.99,24.95,25.96,228184
2014-06-23,24.96,25,24.88,25.58,169980
2014-06-24,24.76,24.72,24.62,25.16,151871
2014-06-25,24.72,24.72,24.315,24.89,151400
2014-06-26,24.53,24.99,24.53,25.07,639281
2014-06-29,24.83,25.14,24.73,25.18,292190
2014-06-30,25.3,26.22,25.272,26.48,400322
2014-07-01,26.11,26.2,25.97,26.48,194233
2014-07-02,26.37,26.26,26.16,26.428,96713
2014-07-06,26.1,25.43,25.37,26.221,249594
2014-07-07,25.28,24.44,24.4,25.28,301066
2014-07-08,24.6,24.73,24.36,24.84,157159
2014-07-09,24.09,24.92,24.03,25.04,191216
2014-07-10,24.81,25.12,24.68,25.22,156353
2014-07-13,25.44,25.51,25.18,25.68,159676
2014-07-14,25.52,25.01,24.79,25.63,115698
2014-07-15,25.15,24.72,24.65,25.15,98064
2014-07-16,24.49,24.29,24.215,24.81,266371
2014-07-17,24.24,25.31,24.24,25.45,281045
2014-07-20,25.06,25.44,24.66,25.59,254322
2014-07-21,25.75,26.47,25.618,26.5,361855
2014-07-22,27.63,26.66,26.28,28.24,803011
2014-07-23,26.84,27.51,26.8,27.689,479055
2014-07-24,27.25,28.11,27.03,28.27,337084
2014-07-27,28.24,28.79,27.86,28.93,279516
2014-07-28,28.92,28.91,28.41,29.24,266863
2014-07-29,29.22,29.4,29.074,29.55,572564
2014-07-30,28.9,28.77,28.51,29.479,372720
2014-07-31,28.66,27.73,27.55,28.88,286466
2014-08-03,27.96,27.87,27.23,27.962,273207
2014-08-04,27.68,27.6,27.1801,28.08,206811
2014-08-05,27.31,27.42,27.12,27.85,245610
2014-08-06,27.67,27.37,27.07,27.69,188899
2014-08-07,27.33,27.38,27.13,27.55,161029
2014-08-10,27.49,27.64,27.27,28.01,139587
2014-08-11,27.48,27.55,27.25,27.69,111163
2014-08-12,27.68,27.88,27.54,28.02,199949
2014-08-13,27.92,27.87,27.65,28.219,114459
2014-08-14,28.18,27.55,27.26,28.18,187826
2014-08-17,27.87,28,27.514,28.09,157537
2014-08-18,28,27.98,27.7801,28.05,74125
2014-08-19,27.7,27.58,27.36,27.885,92879
2014-08-20,27.58,27.29,27,27.58,149073
2014-08-21,27.22,27.265,27.08,27.71,87054
2014-08-24,27.51,27.37,27.24,27.68,138253
2014-08-25,27.51,28.265,27.4,28.48,351377
2014-08-26,28.39,28.43,28.11,28.72,204525
2014-08-27,28.27,28.05,27.92,28.38,217746
2014-08-28,28.13,28.11,27.7,28.28,112368
2014-09-01,28.29,29.06,28.27,29.07,150864
2014-09-02,29.14,28.76,28.64,29.9,190426
2014-09-03,28.86,28.7,28.64,29,115085
2014-09-04,28.74,28.77,28.32,28.96,87607
2014-09-07,28.75,28.99,28.75,29.22,127408
2014-09-08,28.97,28.9,28.82,29.088,188198
2014-09-09,28.86,28.87,28.8,29.3,265170
2014-09-10,28.8,28.95,28.41,29,123047
2014-09-11,29.01,28.82,28.5,29.16,171665
2014-09-14,28.86,28.72,28.5,28.91,181680
2014-09-15,28.47,28.34,27.9401,28.69,200159
2014-09-16,28.28,28.73,28.14,29.14,221675
2014-09-17,28.83,29,28.71,29.07,145767
2014-09-18,29.01,28.99,28.67,29.0674,727268
2014-09-21,28.81,28.87,28.25,29.03,277648
2014-09-22,28.73,28.26,28.18,28.98,182433
2014-09-23,28.32,28.91,27.8,28.96,267085
2014-09-24,28.78,28.49,28.37,28.96,317426
2014-09-25,28.68,28.58,28.22,28.83,165508
2014-09-28,28.17,29.18,28.17,29.27,172664
2014-09-29,29.26,29.51,28.96,29.66,395925
2014-09-30,29.6,28.52,28.415,29.6,254526
2014-10-01,28.61,30.09,28.34,30.34,385464
2014-10-02,30.36,31.01,30.17,31.18,416419
2014-10-05,31.22,30.76,30.68,31.7,412405
2014-10-06,31.24,30.71,30.33,31.45,641752
2014-10-07,30.61,30.87,30.36,31.05,392906
