date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,44.62,44.35,43.83,44.62,149626
2014-01-02,44.5,44.46,44.17,44.63,58752
2014-01-05,44.53,44.31,44.17,44.98,109885
2014-01-06,44.41,44.88,44.41,45.08,118642
2014-01-07,44.86,44.24,43.85,44.865,135314
2014-01-08,44.52,44.36,44.06,44.84,70274
2014-01-09,44.4,44.39,43.57,44.53,116968
2014-01-12,44.18,43.95,43.49,44.18,178927
2014-01-13,43.99,43.9,43.66,43.99,86514
2014-01-14,43.95,44,43.7,44.2,126917
2014-01-15,44.01,43.38,43.1,44.4,96909
2014-01-16,43.36,43.19,42.91,43.38,185850
2014-01-20,43.25,43.88,43.25,43.92,188130
2014-01-21,43.9999,43.7,43.45,44.144,162642
2014-01-22,43.34,40.73,40.33,43.34,306676
2014-01-23,40.65,39.6,39.01,40.958,314709
2014-01-26,39.6,39.06,38.9,39.928,158128
2014-01-27,39.09,38.6,38.43,39.16,327926
2014-01-28,38.16,37.56,37.5,38.75,132947
2014-01-29,37.87,37.75,37.46,38.17,286403
2014-01-30,37.1,36.83,36.77,37.41,127210
2014-02-02,36.84,35.64,35.51,36.852,264156
2014-02-03,35.69,36.12,35.65,36.29,160900
2014-02-04,36.01,36.06,35.93,36.49,143286
2014-02-05,36.11,36.47,35.95,36.52,87867
2014-02-06,36.59,36.92,36.25,37.05,126001
2014-02-09,36.98,36.51,36.37,36.98,63929
2014-02-10,36.55,36.97,36.55,37.1,44142
2014-02-11,36.9,37.27,36.89,37.3741,108222
2014-02-12,36.98,37.52,36.91,37.545,64215
2014-02-13,37.47,38.03,37.3,38.105,58243
2014-02-17,38.14,38.42,37.93,38.59,110869
2014-02-18,38.23,37.2,37.05,38.5,148381
2014-02-19,37.21,37.59,37.18,38.06,107152
2014-02-20,37.67,37.48,37.11,37.9,288225
2014-02-23,37.4,38.25,37.4,38.54,104744
2014-02-24,38.35,38.32,38.16,38.642,112905
2014-02-25,38.2,38.87,38.086,39.09,100380
2014-02-26,38.73,39.17,38.412,39.26,63831
2014-02-27,39.19,39.69,38.79,40.43,133597
2014-03-02,39.32,39.49,38.821,40.25,71073
2014-03-03,40.06,40.99,39.682,41.27,205879
2014-03-04,40.82,40.85,40.347,40.9799,61920
2014-03-05,41,41.04,40.67,41.26,69411
2014-03-06,41.39,41.35,40.97,41.56,63665
2014-03-09,41.13,41.46,40.95,41.7,50807
2014-03-10,41.34,40.85,40.62,41.34,101330
2014-03-11,40.65,40.9,40.06,40.99,55445
2014-03-12,41.03,40.72,40.4,41.15,104669
2014-03-13,40.46,41.06,40.46,41.32,78657
2014-03-16,41.24,41.2,41.01,41.95,143984
2014-03-17,41.34,41.37,41.16,41.586,93814
2014-03-18,41.33,41.49,41,42.038,111150
2014-03-19,41.42,42.34,41.42,42.59,131460
2014-03-20,42.6,41.86,41.635,42.81,706413
2014-03-23,41.88,41.66,41.56,42.39,111292
2014-03-24,41.81,41.42,41.36,42.17,103184
2014-03-25,41.63,41.04,40.62,41.716,191445
2014-03-26,41.28,40.64,40.45,41.668,119947
2014-03-27,40.65,40.43,40.16,41.09,133285
2014-03-30,40.63,41.21,40.63,41.62,157512
2014-03-31,41.2,42.02,41.02,42.15,120669
2014-04-01,41.97,41.86,41.42,42.29,59513
2014-04-02,41.77,41.74,41.2,42,100705
2014-04-03,41.83,40.82,40.28,42.14,153301
2014-04-06,40.76,40.5,39.75,41.33,226907
2014-04-07,40.49,40.34,40.12,41.1,147327
2014-04-08,40.46,40.07,39.85,40.46,122159
2014-04-09,39.95,39.23,39.1,39.95,195478
2014-04-10,38.87,38.42,38.38,39.18,131817
2014-04-13,38.92,39.04,38.47,39.28,155438
2014-04-14,39.24,38.86,38.56,39.65,124841
2014-04-15,39.18,39.17,38.83,39.35,84799
2014-04-16,39.12,39.78,38.96,39.93,98146
2014-04-20,39.68,39.635,39.34,39.99,51199
2014-04-21,39.82,40.61,39.57,40.67,118054
2014-04-22,40.53,40.78,40.46,41.1,74013
2014-04-23,40.93,39.828,39.69,40.93,77564
2014-04-24,39.55,39.5,39.26,39.844,112045
2014-04-27,39.62,39.62,39.335,39.965,95681
2014-04-28,39.9,39.44,39.26,40.23,111099
2014-04-29,39.5,39.54,39.17,39.63,125843
2014-04-30,39.39,39.34,39,40.04,147518
2014-05-01,39.37,39.63,39.15,40.01,84294
2014-05-04,39.25,39.15,38.89,39.42,77425
2014-05-05,39.17,38.64,38.555,39.36,79354
2014-05-06,38.78,39.08,38.18,39.14,82699
2014-05-07,39.1,38.96,38.78,39.55,71717
2014-05-08,38.68,39.58,38.65,39.67,43266
2014-05-11,39.63,40.1,39.49,40.4,132332
2014-05-12,39.97,39.34,39.1,39.97,74115
2014-05-13,39.19,38.29,38.22,39.19,98687
2014-05-14,38.04,37.84,37.03,38.14,108310
2014-05-15,37.9,37.59,37.13,37.9,80462
2014-05-18,37.61,38.2,37.29,38.26,73164
2014-05-19,38.03,37.64,37.39,38.03,102107
2014-05-20,37.72,37.61,37.34,38.07,52447
2014-05-21,37.61,37.79,37.595,38.08,50489
2014-05-22,37.78,38.33,37.78,38.39,33824
2014-05-26,38.35,38.88,38.32,39.26,68008
2014-05-27,38.68,38.3,38.06,38.68,52566
2014-05-28,38.27,38.2,37.86,38.53,49298
2014-05-29,38.3,38.17,37.984,38.72,59189
2014-06-01,38.19,38.575,37.76,38.87,63801
2014-06-02,38.35,39.01,38.35,39.22,73294
2014-06-03,38.71,39.17,38.71,39.24,46644
2014-06-04,39.22,40.68,38.93,40.81,84228
2014-06-05,40.96,40.67,40.46,41.09,110679
2014-06-08,40.47,41.58,40.05,41.64,53406
2014-06-09,41.53,41.03,40.61,41.53,48979
2014-06-10,40.73,40.34,40.14,41.03,55579
