date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,23.87,23.87,23.77,24.05,580511
2014-01-02,23.88,23.78,23.43,24.0075,346744
2014-01-05,23.8,23.41,23.24,23.9,606026
2014-01-06,23.48,23.42,23.21,23.615,660767
2014-01-07,23.33,23.56,23.309,23.79,704690
2014-01-08,23.58,23.51,23.3,23.76,684685
2014-01-09,23.55,23.08,23.06,23.76,502915
2014-01-12,22.97,22.28,22,23,809328
2014-01-13,22.28,22.51,22.1708,22.98,626308
2014-01-14,22.58,22.57,22.42,22.81,463065
2014-01-15,22.57,22.94,22.57,23.58,1127766.0
2014-01-16,22.84,21.94,21.91,22.88,970780
2014-01-20,22.98,22.74,22.49,23.66,943208
2014-01-21,22.92,23.41,22.92,23.65,846026
2014-01-22,23.25,23.35,23.05,23.484,782559
2014-01-23,23.13,23.36,23,23.5,1160049.0
2014-01-26,23.36,22.9,22.87,23.64,846365
2014-01-27,22.93,22.98,22.75,23.13,330309
2014-01-28,22.9,23,22.87,23.18,900989
2014-01-29,23.13,23.064,22.99,23.32,400876
2014-01-30,22.64,22.97,22.64,23.174,546115
2014-02-02,22.92,22.09,21.96,23.165,1619987.0
2014-02-03,22.14,22.32,22.01,22.65,434886
2014-02-04,22.25,22.21,21.59,22.28,416757
2014-02-05,22.25,22.71,22.25,22.81,628278
2014-02-06,22.73,22.77,22.455,22.985,612573
2014-02-09,23.45,23.05,22.85,23.6,681867
2014-02-10,23.16,23.27,22.95,23.46,383718
2014-02-11,23.31,22.91,22.88,23.46,463700
2014-02-12,22.61,23.06,22.43,23.21,332460
2014-02-13,23.04,22.56,22.53,23.04,744613
2014-02-17,22.79,22.52,22.3,23.0041,879538
2014-02-18,22.43,22.46,22.17,22.87,1302437.0
2014-02-19,22.44,22.69,22.3429,22.84,831417
2014-02-20,22.67,22.77,22.47,23.16,1116110.0
2014-02-23,22.86,22.96,22.32,23.09,1767095.0
2014-02-24,23.8,26.21,23.7525,26.44,4003381.0
2014-02-25,26.16,25.14,24.92,26.45,1622995.0
2014-02-26,25,25.32,24.9,25.4,842188
2014-02-27,25.21,25.14,25.0461,25.691,764896
2014-03-02,24.87,25.64,24.8,25.99,669660
2014-03-03,24.99,24.69,24.62,25.78,1534459.0
2014-03-04,24.21,24.57,24.11,24.63,12452697.0
2014-03-05,24.55,24.92,24.35,24.96,2329741.0
2014-03-06,24.73,25.27,24.68,25.4,1719919.0
2014-03-09,25.2,24.96,24.86,25.25,1435931.0
2014-03-10,24.97,24.79,24.7,25.18,1257709.0
2014-03-11,24.6,24.97,24.05,25.1,889057
2014-03-12,24.95,24.69,24.48,25.0199,816966
2014-03-13,24.64,24.97,24.48,25.14,675456
2014-03-16,25.07,25.25,24.86,25.49,934463
2014-03-17,25.22,25.34,25.01,25.57,714420
2014-03-18,25.42,25.105,25.06,25.49,744076
2014-03-19,24.96,24.85,24.64,25.18,859622
2014-03-20,25.03,25.08,24.795,25.21,1810018.0
2014-03-23,25.07,24.29,23.82,25.22,1300697.0
2014-03-24,24.41,23.95,23.885,24.69,881946
2014-03-25,24.06,23.39,23.32,24.302,800410
2014-03-26,23.36,23.48,23.17,23.62,760214
2014-03-27,23.62,23.69,23.52,24.255,735571
2014-03-30,23.77,24.1,23.48,24.22,859102
2014-03-31,24.11,24.76,24.08,24.8,948123
2014-04-01,24.78,24.36,24.3,24.96,696427
2014-04-02,24.29,24.03,23.99,24.33,566933
2014-04-03,24.24,23.47,23.33,24.35,735983
2014-04-06,23.4,22.55,22.08,23.5,1669176.0
2014-04-07,22.62,22.81,22.28,23.28,1478040.0
2014-04-08,22.78,23.56,22.78,23.6,826899
2014-04-09,23.55,22.82,22.53,23.725,908312
2014-04-10,22.55,22.45,22.2939,22.86,607712
2014-04-13,23.8,23.09,22.902,24,899138
2014-04-14,23.18,22.88,22.42,23.26,632594
2014-04-15,23.1,22.9,22.45,23.28,753917
2014-04-16,22.85,22.57,22.53,23.17,544866
2014-04-20,22.53,22.49,22.14,22.9499,521586
2014-04-21,22.62,22.58,22.39,22.82,533443
2014-04-22,22.5,21.87,21.842,22.53,718374
2014-04-23,21.91,21.78,21.38,22.01,919747
2014-04-24,21.74,21.51,21.408,21.79,702287
2014-04-27,21.64,21.07,20.545,21.884,1630982.0
2014-04-28,21.04,21.01,20.8,21.5,1209080.0
2014-04-29,21,21.32,20.76,21.43,971727
2014-04-30,21.38,21.98,21.19,22.022,1035892.0
2014-05-01,22.12,22.29,22,22.4,948337
2014-05-04,22.08,22.12,22.07,22.55,692385
2014-05-05,22.06,22.13,21.98,22.4,540689
2014-05-06,22.19,22.28,21.88,22.44,838139
2014-05-07,22.13,21.42,20.89,22.34,2113634.0
2014-05-08,20.88,20.89,20.65,21.81,2052971.0
2014-05-11,20.97,21.59,20.825,21.73,1417293.0
2014-05-12,21.64,21.37,21.24,21.7,848597
2014-05-13,21.27,21.06,20.88,21.48,801758
2014-05-14,20.87,20.57,20.16,21.175,1434534.0
2014-05-15,20.67,21.57,20.47,21.61,1565292.0
2014-05-18,21.38,21.395,21.14,21.72,592372
2014-05-19,21.49,21.01,20.58,21.57,1326979.0
2014-05-20,21.05,21.14,20.82,21.41,887820
2014-05-21,21.1,21.01,20.65,21.23,1657938.0
2014-05-22,21.06,21.21,20.87,21.41,867728
2014-05-26,21.27,21.27,21.024,21.375,1360122.0
2014-05-27,21.22,21.01,20.96,21.38,1914278.0
2014-05-28,21,20.7,20.295,21.035,2200819.0
2014-05-29,20.77,20.84,20.6,20.965,1196614.0
2014-06-01,20.93,21.29,20.846,21.39,1034060.0
2014-06-02,21.2,21,20.89,21.35,715290
2014-06-03,20.93,21.45,20.84,21.57,832928
2014-06-04,21.52,21.7,21.4,21.97,958580
2014-06-05,22.16,22.32,22.1,22.7,1365591.0
2014-06-08,22.24,22.7,22.07,22.77,1064046.0
