date,open_price,close_price,lowest_price,highest_price,volume
2015-08-17,135,119.55,114,135,31374.4667
2015-08-18,120.75,122.4,120,124.35,6849.4
2015-08-19,123.75,125.85,122.55,133.086,9201
2015-08-20,120.75,120,118.02,123.105,2124.8667
2015-08-23,116.25,117.902,116.25,124.95,611.0667
2015-08-24,121.5,120,119.25,121.502,2254.7333
2015-08-25,120.675,119.999,118.5,121.5,1305.4667
2015-08-26,123.75,123.75,118.5,123.75,2740.9333
2015-08-27,120,120,118.5,123.715,3851.1333
2015-08-30,119.25,119.448,118.5,120.525,1599.5333
2015-08-31,117.75,114.9,114.9,120,608.6
2015-09-01,121.5,117.6,114.747,121.5,375.6667
2015-09-02,114.3,110.1,105.75,117,1441.2
2015-09-03,107.4,108.6,106.35,108.6,381.2
2015-09-07,102.9,109.2,101.252,110.1,373.4667
2015-09-08,108.75,105.75,105.75,111.899,237.5333
2015-09-09,105.75,105.218,103.35,106.349,575.6667
2015-09-10,105.015,101.25,101.25,106.614,305.5333
2015-09-13,98.7,97.95,97.95,98.7,21.0667
2015-09-14,98.7,103.5,98.7,103.5,40
2015-09-15,111.6,103.95,98.4,111.9,3043.2
2015-09-16,110.85,102.276,99.765,110.85,845.9333
2015-09-17,105,100.95,98.7,105,317
2015-09-20,104.464,105.75,100.5,108,733
2015-09-21,108.372,110.25,106.5,112.499,1867.0667
2015-09-22,106.35,107.1,98.25,107.777,1143.6667
2015-09-23,102.6,104.433,100.802,106.8,551.4667
2015-09-24,106.5,101.1,101.1,106.5,316.2
2015-09-27,99.765,98.55,90.45,106.35,4401.8
2015-09-28,99.75,96,94.95,102,1770.7333
2015-09-29,95.55,92.25,90,108,2268.8667
2015-09-30,97.2,108,91.5,108,505.2
2015-10-01,93.75,99,93.75,108.749,357
2015-10-04,98.231,97.652,97.652,103.499,67.3333
2015-10-05,97.802,97.802,97.802,97.802,25.8
2015-10-06,100.152,98.25,97.8,105,963.8667
2015-10-07,101.85,102.75,100.5,103.5,853.3333
2015-10-08,104.85,101.25,99.3,104.85,772.3333
2015-10-11,103.5,101.7,100.35,106.335,801.6667
2015-10-12,99,99.15,97.5,100.337,723.2667
2015-10-13,98.4,94.492,93.906,101.849,456.5333
2015-10-14,90.6,95.283,90,95.283,90.4
2015-10-15,95.1,93,93,95.25,85
2015-10-18,93.593,95.25,91.848,101.55,428.2667
2015-10-19,103.2,95.246,92.25,104.25,522.0667
2015-10-20,101.1,91.8,90.15,101.1,1485.7333
2015-10-21,108.75,102.825,101.25,109.5,2636.9333
2015-10-22,101.55,102.15,96,107.7,3199.3333
2015-10-25,97.65,98.1,92.25,102.75,1166.6
2015-10-26,97.5,94.2,92.94,99,682.0667
2015-10-27,91.35,90.9,88.275,93,1407.4
2015-10-28,90,91.2,90,97.5,1324.3333
2015-10-29,88.2,89.546,88.2,96,583.4667
2015-11-01,93.75,88.5,88.5,93.9,343.2667
2015-11-02,88.95,89.85,88.05,89.85,736.6667
2015-11-03,90.9,89.394,88.5,91.05,552.7333
2015-11-04,90.75,88.95,87,90.75,821.9333
2015-11-05,89.25,87.152,87,91.2,580.8667
2015-11-08,86.475,84.75,82.8,87.9,1835.8
2015-11-09,86.175,85.95,83.7,88.862,1169.1333
2015-11-10,84.855,83.4,83.4,85.2,159.9333
2015-11-11,82.65,82.5,78.75,82.65,715.1333
2015-11-12,79.8,81.728,75.002,81.75,521.8
2015-11-15,78,77.7,77.43,80.948,175.0667
2015-11-16,78.75,78.75,77.85,79.5,1020.9333
2015-11-17,78.75,78.45,71.865,84.6,549.4
2015-11-18,81,76.275,74.55,81.75,1260.0667
2015-11-19,77.25,77.25,77.25,77.25,13.6
2015-11-22,81,75.75,75,81.6,796.6
2015-11-23,75.152,72.75,69.75,80.25,906.5333
2015-11-24,72.09,71.25,67.652,80.699,422.3333
2015-11-26,73.5,70.2,68.55,74.4,518.6667
2015-11-29,70.049,66.861,66.861,70.049,56.9333
2015-11-30,73.5,67.652,66.75,73.5,1342.5333
2015-12-01,67.5,65.85,65.249,68.25,1328.4
2015-12-02,67.8,64.5,63.75,72.9,1351.7333
2015-12-03,65.4,65.999,64.05,66.9,922.6
2015-12-06,74.25,73.898,71.25,80.25,2107.3333
2015-12-07,71.85,69.15,65.55,75,1332.4
2015-12-08,72,67.5,63.9,72.3,745.5333
2015-12-09,72.45,67.35,63.6,72.45,854.8
2015-12-10,64.95,67.8,64.95,70.349,711.0667
2015-12-13,66.9,68.55,65.252,76.5,439.3333
2015-12-14,71.4,70.95,68.55,71.55,420.4667
2015-12-15,71.25,68.7,68.7,71.25,490.0667
2015-12-16,69.15,67.2,66.6,70.65,248.4667
2015-12-17,65.85,65.25,64.35,65.85,574
2015-12-20,66.9,63.75,62.25,69.225,750.7333
2015-12-21,67.5,63.75,62.1,67.5,752.8667
2015-12-22,63.6,63.621,62.1,65.4,770.2
2015-12-23,62.1,64.5,62.1,66.9,675.1333
2015-12-27,62.25,63,61.5,63,467.4
2015-12-28,63,60,59.25,63,1533.0667
2015-12-29,61.5,59.85,59.55,64.5,916.6667
2015-12-30,65.4,60.3,59.7,65.4,1153.2
2016-01-03,60.3,62.85,60,63,136.6667
2016-01-04,64.65,60.8,58.35,64.65,576.3333
2016-01-06,62.25,57.6,57.6,62.25,639.8
2016-01-07,61.2,60.75,59.25,61.2,164.7333
2016-01-10,61.8,59.175,59.175,64.35,237.0667
2016-01-11,60.15,60.9,60.15,60.9,30.8
2016-01-12,60.75,58.5,58.5,61.35,148.6
2016-01-13,62.55,64.044,62.55,64.5,446.0667
2016-01-14,65.1,60.3,58.802,65.1,314.9333
2016-01-18,61.65,58.95,58.65,62.55,836.7333
2016-01-19,58.65,56.85,56.85,58.65,255.4
2016-01-20,56.85,53.55,53.487,56.85,1496.2
2016-01-21,57.75,57,57,57.75,349.4667
2016-01-24,60.3,58.5,57.3,61.5,1706.0667
2016-01-25,58.5,53.7,53.7,58.875,1069.4
2016-01-26,56.25,53.55,52.278,59.1,708.8667
2016-01-27,56.248,55.65,54.75,56.828,66.6667
2016-01-28,57.75,53.85,53.4,57.9,910.2
2016-01-31,54,53.078,52.394,57,500.4
2016-02-01,54.75,52.5,52.5,54.75,45
2016-02-02,59.25,55.05,54.9,59.25,46.9333
